chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0000031425	0.000000001895
1	1892607	3582735	405	40	0.0000218470	0.000000008683
1	3582736	4380810	262	40	-0.0000119237	0.000000005100
1	4380811	5913892	863	40	-0.0000148031	0.000000011648
1	5913893	7247334	417	40	0.0001814089	0.000000010541
1	7247335	9365198	680	40	-0.0000012627	0.000000011834
1	9365199	10806983	339	40	0.0000211766	0.000000006167
1	10806984	11777840	247	40	0.0000531099	0.000000005684
1	11777841	12779465	280	40	-0.0000406744	0.000000005154
1	12779466	14891510	607	40	0.0000572429	0.000000012638
1	14891511	16897729	657	40	0.0000277334	0.000000012232
1	16897730	18662898	639	40	0.0000120431	0.000000012017
1	18662899	20469148	684	40	0.0000792702	0.000000012940
1	20469149	21736587	450	40	-0.0000016031	0.000000008338
1	21736588	23086882	507	40	0.0000333625	0.000000010597
1	23086883	23920589	214	27	-0.0000005763	0.000000004006
1	23920590	25516844	500	40	0.0000304955	0.000000010415
1	25516845	27401866	396	40	0.0000732627	0.000000007472
1	27401867	30161880	524	40	0.0000582545	0.000000009728
1	30161881	32438684	903	40	-0.0000357435	0.000000011360
1	32438685	34799757	644	40	0.0000270423	0.000000012080
1	34799758	37549182	527	40	0.0000943065	0.000000010769
1	37549183	38731846	358	40	-0.0000176853	0.000000006272
1	38731847	40200566	424	40	0.0001284007	0.000000009648
1	40200567	41975326	540	40	0.0001499870	0.000000011272
1	41975327	43758456	531	40	0.0001382181	0.000000010446
1	43758457	44969182	351	35	0.0001147135	0.000000007284
1	44969183	46899500	440	38	0.0004358820	0.000000011711
1	46899501	48002575	280	33	0.0000139966	0.000000004889
1	48002576	48978187	339	40	0.0000809654	0.000000007530
1	48978188	49894176	237	28	0.0001160609	0.000000006052
1	49894177	51713725	252	25	0.0000986533	0.000000004777
1	51713726	54226261	546	40	0.0000435692	0.000000010428
1	54226262	56413116	813	40	0.0000216442	0.000000012149
1	56413117	57021727	265	31	0.0000931775	0.000000005644
1	57021728	58865398	827	40	0.0000427753	0.000000012439
1	58865399	59890408	371	40	-0.0000208857	0.000000006015
1	59890409	61922364	660	40	0.0000540566	0.000000012594
1	61922365	63455088	526	40	0.0000109739	0.000000009838
1	63455089	65041703	642	40	0.0000253066	0.000000010320
1	65041704	66939403	634	40	0.0001020750	0.000000011778
1	66939404	68477894	664	40	0.0001419120	0.000000011921
1	68477895	69687615	383	40	0.0000045041	0.000000006907
1	69687616	71372469	506	40	0.0000001699	0.000000008504
1	71372470	71684404	81	10	0.0000110043	0.000000001322
1	71684405	74326906	558	40	0.0001659113	0.000000010020
1	74326907	76728134	713	40	0.0001218710	0.000000011669
1	76728135	79661197	924	40	0.0000469107	0.000000012496
1	79661198	81354190	470	40	0.0000476421	0.000000008682
1	81354191	83991747	965	40	0.0001598508	0.000000014047
1	83991748	84844494	305	34	-0.0000100599	0.000000004559
1	84844495	86454750	634	40	-0.0000504953	0.000000010325
1	86454751	88128630	552	40	0.0002807497	0.000000013351
1	88128631	90066302	515	40	0.0001283291	0.000000010500
1	90066303	91886316	554	40	0.0000076928	0.000000009319
1	91886317	93536458	500	40	0.0000253967	0.000000007832
1	93536459	94506190	245	26	0.0000634214	0.000000004389
1	94506191	96150892	640	40	0.0001011479	0.000000012645
1	96150893	97885248	598	40	0.0000704706	0.000000009540
1	97885249	99800603	632	40	0.0001003670	0.000000011065
1	99800604	100826404	329	36	0.0000971339	0.000000006311
1	100826405	102041015	439	40	0.0000145142	0.000000007446
1	102041016	102898744	271	36	0.0000229356	0.000000004776
1	102898745	103914210	196	21	-0.0000087952	0.000000002788
1	103914211	106087841	452	40	0.0000120671	0.000000007815
1	106087842	108409664	721	40	0.0000739410	0.000000012867
1	108409665	110303930	555	40	0.0000132029	0.000000009181
1	110303931	111741736	560	40	0.0000674715	0.000000011992
1	111741737	113273305	691	40	0.0000572801	0.000000012638
1	113273306	114873844	497	40	0.0001501706	0.000000010895
1	114873845	115880592	338	37	0.0000121300	0.000000005382
1	115880593	118839066	807	40	0.0001366226	0.000000013728
1	118839067	144977493	564	40	-0.0000270347	0.000000008771
1	144977494	148361252	425	40	0.0000405083	0.000000007850
1	148361253	151538880	332	33	0.0001321042	0.000000007074
1	151538881	153180828	451	40	0.0000561187	0.000000007568
1	153180829	154770402	445	40	0.0000412290	0.000000008097
1	154770403	156336132	280	38	0.0000434937	0.000000005789
1	156336133	158027411	576	40	0.0002381000	0.000000013431
1	158027412	159913047	667	40	0.0000834749	0.000000012974
1	159913048	162346720	860	40	0.0000129260	0.000000012029
1	162346721	165191701	1173	40	0.0000369873	0.000000012359
1	165191702	166460516	514	40	0.0000117005	0.000000010015
1	166460517	169086323	1078	40	0.0000152876	0.000000012061
1	169086324	170557775	550	40	0.0001342413	0.000000009822
1	170557776	173097906	897	40	0.0000346535	0.000000012327
1	173097907	175089767	399	31	0.0000937759	0.000000005888
1	175089768	177433380	764	40	0.0000860502	0.000000013033
1	177433381	178944308	497	40	0.0000430761	0.000000008643
