chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	0.0000970603	0.000000052301
1	1892607	3582735	439	14	-0.0000851555	0.000000233989
1	3582736	4380810	272	14	0.0003477286	0.000000158175
1	4380811	5913892	869	14	0.0000293224	0.000000325576
1	5913893	7247334	428	14	0.0000020858	0.000000211981
1	7247335	9365198	699	14	0.0003732985	0.000000348586
1	9365199	10806983	351	14	0.0000398634	0.000000154490
1	10806984	11777840	258	14	0.0000495032	0.000000130234
1	11777841	12779465	282	14	0.0000724694	0.000000148916
1	12779466	14891510	618	14	0.0002858600	0.000000342737
1	14891511	16897729	690	14	-0.0000092041	0.000000322999
1	16897730	18662898	664	14	0.0000791222	0.000000328907
1	18662899	20469148	711	14	-0.0000347709	0.000000321288
1	20469149	21736587	461	14	0.0002107287	0.000000234122
1	21736588	23086882	523	14	0.0000238071	0.000000282117
1	23086883	23920589	222	14	-0.0000373485	0.000000098440
1	23920590	25516844	521	14	0.0002022314	0.000000290376
1	25516845	27401866	413	14	-0.0000561593	0.000000163778
1	27401867	30161880	552	14	0.0000383219	0.000000244323
1	30161881	32438684	935	14	-0.0000406213	0.000000320897
1	32438685	34799757	675	14	0.0001790587	0.000000335593
1	34799758	37549182	553	14	-0.0000500293	0.000000260526
1	37549183	38731846	371	14	-0.0000538278	0.000000165906
1	38731847	40200566	447	14	0.0000754783	0.000000216858
1	40200567	41975326	555	14	0.0001215166	0.000000254105
1	41975327	43758456	542	14	0.0003066187	0.000000250238
1	43758457	44969182	371	14	0.0001447567	0.000000157558
1	44969183	46899500	458	14	0.0000996359	0.000000155862
1	46899501	48002575	297	14	0.0001512740	0.000000128180
1	48002576	48978187	344	14	0.0000685807	0.000000168762
1	48978188	49894176	247	14	0.0000638034	0.000000118049
1	49894177	51713725	260	14	0.0003581936	0.000000109356
1	51713726	54226261	563	14	0.0001408458	0.000000276855
1	54226262	56413116	837	14	0.0002796267	0.000000342320
1	56413117	57021727	272	14	-0.0000432105	0.000000105419
1	57021728	58865398	851	14	-0.0000576864	0.000000319756
1	58865399	59890408	383	14	0.0002876237	0.000000181961
1	59890409	61922364	671	14	-0.0000555224	0.000000319900
1	61922365	63455088	534	14	0.0002231909	0.000000275144
1	63455089	65041703	656	14	0.0001640438	0.000000281294
1	65041704	66939403	649	14	-0.0000222853	0.000000281964
1	66939404	68477894	686	14	0.0001162746	0.000000277385
1	68477895	69687615	389	14	-0.0000508592	0.000000172047
1	69687616	71372469	520	14	0.0001296296	0.000000233586
1	71372470	71684404	82	10	0.0000336042	0.000000029517
1	71684405	74326906	559	14	0.0001417055	0.000000210325
1	74326907	76728134	727	14	0.0001345296	0.000000277156
1	76728135	79661197	947	14	0.0000546143	0.000000327268
1	79661198	81354190	475	14	0.0001265628	0.000000218194
1	81354191	83991747	973	14	-0.0000180769	0.000000322405
1	83991748	84844494	314	14	0.0001930326	0.000000129691
1	84844495	86454750	652	14	0.0002314301	0.000000317344
1	86454751	88128630	572	14	0.0000496098	0.000000265011
1	88128631	90066302	523	14	0.0000883924	0.000000237818
1	90066303	91886316	562	14	0.0003700787	0.000000272077
1	91886317	93536458	509	14	-0.0000284818	0.000000192928
1	93536459	94506190	255	14	-0.0000578448	0.000000086761
1	94506191	96150892	651	14	0.0001093109	0.000000312906
1	96150893	97885248	606	14	0.0002015661	0.000000238370
1	97885249	99800603	640	14	0.0000535105	0.000000263118
1	99800604	100826404	339	14	0.0000878371	0.000000130251
1	100826405	102041015	447	14	0.0000350700	0.000000189073
1	102041016	102898744	280	14	0.0000904683	0.000000117949
1	102898745	103914210	200	14	-0.0000636364	0.000000066102
1	103914211	106087841	455	14	0.0002318060	0.000000212913
1	106087842	108409664	726	14	-0.0001443635	0.000000313957
1	108409665	110303930	565	14	0.0004105593	0.000000265575
1	110303931	111741736	571	14	-0.0000540617	0.000000298270
1	111741737	113273305	721	14	0.0001944633	0.000000336623
1	113273306	114873844	511	14	0.0002669009	0.000000253903
1	114873845	115880592	345	14	0.0002701232	0.000000150503
1	115880593	118839066	837	14	0.0001501607	0.000000333660
1	118839067	144977493	568	14	0.0000696597	0.000000248529
1	144977494	148361252	432	14	0.0002161601	0.000000203773
1	148361253	151538880	349	14	0.0003208475	0.000000155762
1	151538881	153180828	468	14	-0.0000584469	0.000000170220
