chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	118	21	0.0000060412	0.0000000274
1	1892607	3582735	472	40	0.0000724801	0.0000000803
1	3582736	4380810	293	40	-0.0002761262	0.0000000509
1	4380811	5913892	907	40	-0.0000735194	0.0000000744
1	5913893	7247334	447	40	-0.0000540379	0.0000000527
1	7247335	9365198	736	40	0.0001688917	0.0000000766
1	9365199	10806983	373	40	0.0000530928	0.0000000466
1	10806984	11777840	281	40	0.0002871784	0.0000000468
1	11777841	12779465	304	40	-0.0001177729	0.0000000464
1	12779466	14891510	644	40	-0.0001121649	0.0000000740
1	14891511	16897729	744	40	-0.0000358567	0.0000000820
1	16897730	18662898	696	40	0.0000069399	0.0000000745
1	18662899	20469148	767	40	0.0000350101	0.0000000819
1	20469149	21736587	478	40	0.0000198856	0.0000000565
1	21736588	23086882	544	40	-0.0000098782	0.0000000649
1	23086883	23920589	236	29	-0.0000982198	0.0000000295
1	23920590	25516844	547	40	-0.0000157371	0.0000000726
1	25516845	27401866	433	40	-0.0001223082	0.0000000409
1	27401867	30161880	574	40	0.0001447392	0.0000000574
1	30161881	32438684	981	40	-0.0001520502	0.0000000744
1	32438685	34799757	713	40	0.0001286263	0.0000000745
1	34799758	37549182	606	40	-0.0003670507	0.0000000769
1	37549183	38731846	391	40	0.0000911568	0.0000000466
1	38731847	40200566	461	40	-0.0001900275	0.0000000545
1	40200567	41975326	572	40	0.0000044588	0.0000000550
1	41975327	43758456	585	40	0.0001055250	0.0000000655
1	43758457	44969182	388	36	0.0002136399	0.0000000423
1	44969183	46899500	474	39	0.0001438202	0.0000000355
1	46899501	48002575	318	34	0.0000455931	0.0000000335
1	48002576	48978187	358	40	0.0000398655	0.0000000403
1	48978188	49894176	252	29	0.0000194591	0.0000000321
1	49894177	51713725	264	26	-0.0000828838	0.0000000247
1	51713726	54226261	580	40	0.0001908276	0.0000000595
1	54226262	56413116	889	40	-0.0002074088	0.0000000715
1	56413117	57021727	285	31	-0.0002266227	0.0000000330
1	57021728	58865398	904	40	-0.0000226963	0.0000000775
1	58865399	59890408	410	40	0.0000243415	0.0000000447
1	59890409	61922364	700	40	-0.0001659693	0.0000000718
1	61922365	63455088	578	40	-0.0001049158	0.0000000661
1	63455089	65041703	696	40	0.0000221868	0.0000000651
1	65041704	66939403	667	40	-0.0001300989	0.0000000668
1	66939404	68477894	714	40	-0.0000621025	0.0000000612
1	68477895	69687615	400	40	0.0000625967	0.0000000466
1	69687616	71372469	556	40	0.0000561711	0.0000000612
1	71372470	71684404	86	10	0.0000339391	0.0000000071
1	71684405	74326906	580	40	0.0000201248	0.0000000541
1	74326907	76728134	753	40	0.0001052641	0.0000000616
1	76728135	79661197	983	40	0.0002098720	0.0000000782
1	79661198	81354190	496	40	-0.0002406433	0.0000000485
1	81354191	83991747	1016	40	0.0000891997	0.0000000737
1	83991748	84844494	325	35	-0.0004891678	0.0000000353
1	84844495	86454750	676	40	0.0001179733	0.0000000680
1	86454751	88128630	605	40	0.0003434080	0.0000000686
1	88128631	90066302	547	40	-0.0000229967	0.0000000537
1	90066303	91886316	584	40	-0.0000714567	0.0000000623
1	91886317	93536458	530	40	-0.0000356036	0.0000000495
1	93536459	94506190	266	27	-0.0000458725	0.0000000249
1	94506191	96150892	693	40	0.0001125301	0.0000000691
1	96150893	97885248	634	40	0.0002504807	0.0000000562
1	97885249	99800603	668	40	0.0002465349	0.0000000643
1	99800604	100826404	346	37	0.0000441883	0.0000000322
1	100826405	102041015	467	40	0.0001610339	0.0000000474
1	102041016	102898744	290	38	-0.0000603575	0.0000000355
1	102898745	103914210	211	21	-0.0000445769	0.0000000198
1	103914211	106087841	474	40	0.0002315845	0.0000000526
1	106087842	108409664	766	40	-0.0001116694	0.0000000766
1	108409665	110303930	596	40	-0.0002903672	0.0000000676
1	110303931	111741736	611	40	-0.0000801869	0.0000000764
1	111741737	113273305	754	40	0.0000463191	0.0000000767
1	113273306	114873844	537	40	0.0000081084	0.0000000580
1	114873845	115880592	354	38	-0.0002695018	0.0000000319
1	115880593	118839066	911	40	0.0000094623	0.0000000767
1	118839067	144977493	600	40	0.0001308835	0.0000000560
1	144977494	148361252	462	40	-0.0000538119	0.0000000459
1	148361253	151538880	360	34	0.0001346381	0.0000000334
1	151538881	153180828	512	40	-0.0001133990	0.0000000412
1	153180829	154770402	490	40	0.0001936382	0.0000000499
1	154770403	156336132	322	39	0.0000402391	0.0000000406
1	156336133	158027411	642	40	-0.0000094981	0.0000000739
1	158027412	159913047	734	40	-0.0000087854	0.0000000805
1	159913048	162346720	935	40	0.0000520513	0.0000000722
1	162346721	165191701	1275	40	-0.0001867019	0.0000000711
1	165191702	166460516	580	40	-0.0000426260	0.0000000694
1	166460517	169086323	1194	40	-0.0002587002	0.0000000759
1	169086324	170557775	587	40	0.0000908326	0.0000000519
1	170557776	173097906	970	40	0.0000060434	0.0000000706
1	173097907	175089767	444	33	-0.0000045762	0.0000000305
1	175089768	177433380	865	40	0.0002413436	0.0000000811
1	177433381	178944308	541	40	0.0001345680	0.0000000531
1	178944309	178954469	2	1	0.0000643884	0.0000000026
1	178954470	181144120	806	40	0.0000965691	0.0000000746
1	181144121	182755355	663	40	-0.0001587136	0.0000000724
1	182755356	184595512	672	40	-0.0001690439	0.0000000629
1	184595513	186810022	580	40	-0.0000830134	0.0000000556
1	186810023	188759944	694	40	0.0000574656	0.0000000674
1	188759945	189904129	240	17	0.0000591532	0.0000000251
1	189904130	191868929	582	40	0.0000171421	0.0000000423
1	191868930	194107441	642	40	-0.0002352192	0.0000000615
1	194107442	196176200	621	40	0.0000409180	0.0000000527
1	196176201	197311513	203	16	-0.0000557136	0.0000000177
1	197311514	199239883	539	40	0.0000880696	0.0000000596
1	199239884	200137648	339	37	0.0000311598	0.0000000360
1	200137649	201589974	750	40	-0.0000270420	0.0000000753
1	201589975	203334733	652	40	-0.0000602226	0.0000000785
1	203334734	204681067	535	40	-0.0002202322	0.0000000727
1	204681068	206073264	604	40	0.0000321298	0.0000000720
1	206073265	208410363	693	40	0.0000785576	0.0000000733
1	208410364	210787749	1009	40	-0.0000347098	0.0000000769
1	210787750	212842329	733	40	0.0001978650	0.0000000731
1	212842330	214578265	641	40	-0.0000968308	0.0000000704
1	214578266	216243633	639	40	0.0002478235	0.0000000653
1	216243634	218705512	1140	40	0.0001046038	0.0000000690
1	218705513	219590570	308	35	-0.0000500917	0.0000000307
1	219590571	221858230	744	40	-0.0001878127	0.0000000739
1	221858231	222230219	183	22	0.0000772952	0.0000000262
1	222230220	224938519	629	40	0.0002610032	0.0000000982
1	224938520	226810859	554	40	-0.0000282622	0.0000000584
1	226810860	229156247	779	40	0.0000548842	0.0000000814
1	229156248	230685254	594	40	0.0000212527	0.0000000720
1	230685255	232090251	623	40	-0.0000571495	0.0000000701
1	232090252	233429283	648	40	-0.0000229743	0.0000000773
1	233429284	234599433	588	40	-0.0000499188	0.0000000736
1	234599434	235819435	415	40	-0.0002198612	0.0000000604
1	235819436	237555627	785	40	0.0000472759	0.0000000741
1	237555628	238567806	452	40	-0.0000701937	0.0000000547
1	238567807	239925313	523	40	0.0001097989	0.0000000621
1	239925314	240564090	369	40	-0.0000863538	0.0000000447
1	240564091	241582219	550	40	0.0000010190	0.0000000784
1	241582220	242071601	236	40	0.0000532825	0.0000000342
1	242071602	244109498	670	40	0.0000387079	0.0000000801
1	244109499	245506745	550	40	0.0000159913	0.0000000787
1	245506746	247344517	783	40	-0.0001036442	0.0000000817
1	247344518	249239465	429	40	-0.0001574366	0.0000000534
2	10133	1781021	703	40	0.0001216205	0.0000000760
2	1781022	3973778	1021	40	-0.0000833249	0.0000000735
2	3973779	5708336	657	40	0.0000561193	0.0000000712
2	5708337	6836253	589	40	0.0000103096	0.0000000632
2	6836254	8422146	670	40	0.0000715012	0.0000000697
2	8422147	10298468	720	40	-0.0000272970	0.0000000759
2	10298469	12419149	1030	40	0.0000189694	0.0000000764
2	12419150	14335307	622	40	-0.0000639797	0.0000000649
2	14335308	16329734	763	40	0.0001537519	0.0000000680
2	16329735	18647422	895	40	-0.0001141567	0.0000000724
2	18647423	19692403	394	40	0.0001614392	0.0000000469
2	19692404	21050489	659	40	-0.0000507460	0.0000000695
2	21050490	23341382	636	40	0.0002167005	0.0000000656
2	23341383	24686917	456	40	0.0000382084	0.0000000437
2	24686918	26894984	580	40	0.0000272105	0.0000000692
2	26894985	28598776	423	33	0.0000926423	0.0000000353
2	28598777	29217558	254	33	0.0000499780	0.0000000293
2	29217559	30463710	647	40	-0.0000779118	0.0000000726
2	30463711	31550449	552	40	0.0001269252	0.0000000670
2	31550450	33363776	516	40	0.0000278741	0.0000000684
2	33363777	35345027	839	40	-0.0001378537	0.0000000701
2	35345028	36122005	297	30	-0.0002176310	0.0000000347
2	36122006	38132711	972	40	-0.0000244352	0.0000000706
2	38132712	39031336	342	40	-0.0000804029	0.0000000428
2	39031337	40281482	315	32	-0.0001317946	0.0000000376
2	40281483	43309589	1361	40	-0.0002686154	0.0000000717
2	43309590	44313802	415	40	0.0000348120	0.0000000490
2	44313803	46482633	1118	40	-0.0002091542	0.0000000719
2	46482634	47318771	436	40	-0.0000497795	0.0000000634
2	47318772	48213000	309	40	-0.0001853323	0.0000000512
2	48213001	50022256	739	40	-0.0000769690	0.0000000711
2	50022257	50818927	352	34	0.0001654796	0.0000000386
2	50818928	52491132	663	40	0.0002670986	0.0000000693
2	52491133	53508451	488	40	0.0000646357	0.0000000533
2	53508452	54685225	456	40	-0.0000083961	0.0000000533
2	54685226	56203344	627	40	0.0000952479	0.0000000636
2	56203345	57429099	443	40	-0.0001770089	0.0000000476
2	57429100	58297314	279	29	-0.0002304552	0.0000000339
2	58297315	60291999	763	40	0.0000800931	0.0000000722
2	60292000	62429043	609	40	0.0000500341	0.0000000683
2	62429044	64625912	598	40	0.0002714548	0.0000000668
2	64625913	65933443	476	40	-0.0002490327	0.0000000580
2	65933444	67226165	563	40	-0.0000207464	0.0000000558
2	67226166	68010175	429	40	0.0001137302	0.0000000473
2	68010176	69139563	498	40	0.0000188843	0.0000000496
2	69139564	70755197	553	40	-0.0001873583	0.0000000570
2	70755198	73174847	824	40	-0.0000450335	0.0000000759
2	73174848	75630085	752	40	0.0000696739	0.0000000733
2	75630086	76913660	531	40	-0.0000249641	0.0000000580
2	76913661	78079263	407	40	-0.0001120197	0.0000000523
2	78079264	80050402	845	40	-0.0000375425	0.0000000662
2	80050403	81620840	592	40	0.0001092990	0.0000000691
2	81620841	85140679	913	40	-0.0000479294	0.0000000557
2	85140680	88038506	653	40	0.0002650086	0.0000000631
2	88038507	89154525	251	30	-0.0000958457	0.0000000227
2	89154526	95326451	4	2	0.0000584393	0.0000000041
2	95326452	98995200	437	40	0.0001421013	0.0000000434
2	98995201	101822328	924	40	0.0000619453	0.0000000659
2	101822329	102688764	271	30	-0.0000291252	0.0000000249
2	102688765	103588214	417	37	0.0000965849	0.0000000280
2	103588215	105125033	311	40	0.0000211755	0.0000000372
2	105125034	106210057	417	40	0.0000623871	0.0000000432
2	106210058	107408266	457	40	0.0002958178	0.0000000487
2	107408267	108429176	365	40	0.0000915067	0.0000000361
2	108429177	110572431	549	40	0.0001053187	0.0000000548
2	110572432	113921855	829	40	-0.0000456299	0.0000000664
2	113921856	116772469	787	40	0.0000008275	0.0000000667
2	116772470	118367465	413	38	0.0000815345	0.0000000366
2	118367466	121303782	1030	40	0.0000302480	0.0000000710
2	121303783	123302905	609	40	0.0000813673	0.0000000716
2	123302906	124732249	446	40	0.0001125676	0.0000000373
2	124732250	125840920	398	40	-0.0000183805	0.0000000405
2	125840921	127373763	426	38	-0.0001363387	0.0000000363
2	127373764	128034346	304	40	0.0000196177	0.0000000354
2	128034347	129474440	447	40	-0.0001779903	0.0000000438
2	129474441	130067169	236	27	-0.0000277754	0.0000000209
2	130067170	130658084	216	26	-0.0000633166	0.0000000226
2	130658085	133042783	234	36	0.0002169029	0.0000000338
2	133042784	135158577	944	40	-0.0000206541	0.0000000700
2	135158578	137042793	474	40	0.0004797309	0.0000000466
2	137042794	138698116	625	40	0.0001373935	0.0000000635
2	138698117	140100270	447	40	-0.0000378711	0.0000000356
2	140100271	141805350	589	40	0.0000954095	0.0000000585
2	141805351	142518601	311	34	-0.0002457812	0.0000000390
2	142518602	144519483	677	40	-0.0000653014	0.0000000653
2	144519484	146445569	460	40	0.0002072532	0.0000000511
2	146445570	147277161	158	15	-0.0000705214	0.0000000200
2	147277162	150210291	681	40	-0.0003060022	0.0000000625
2	150210292	151731461	484	40	-0.0001618622	0.0000000521
2	151731462	152486781	294	30	-0.0001784447	0.0000000342
2	152486782	154005055	512	40	-0.0001454755	0.0000000552
2	154005056	155391134	501	40	-0.0000748372	0.0000000595
2	155391135	157560634	575	40	0.0000785874	0.0000000578
2	157560635	158533217	173	26	-0.0000364352	0.0000000220
2	158533218	159577081	347	40	-0.0001054590	0.0000000357
2	159577082	161769732	743	40	-0.0002725887	0.0000000672
2	161769733	163503550	400	37	-0.0000879134	0.0000000366
2	163503551	164466637	202	24	-0.0000882604	0.0000000250
2	164466638	165178839	184	21	0.0001124519	0.0000000229
2	165178840	167160269	656	40	-0.0001147321	0.0000000636
2	167160270	167355969	74	10	0.0000209706	0.0000000086
2	167355970	169968235	872	40	-0.0001952126	0.0000000733
2	169968236	171226244	508	40	-0.0001961814	0.0000000510
2	171226245	173138904	603	40	-0.0000521986	0.0000000684
2	173138905	175588928	865	40	0.0000008392	0.0000000699
2	175588929	177363635	557	40	-0.0001514151	0.0000000566
2	177363636	178553182	482	40	-0.0001979273	0.0000000463
2	178553183	181312738	1030	40	0.0000617418	0.0000000689
2	181312739	182266030	310	32	-0.0001967256	0.0000000282
2	182266031	184357607	642	40	-0.0003159203	0.0000000703
2	184357608	185280172	240	26	-0.0001327189	0.0000000252
2	185280173	189882064	994	40	0.0000290349	0.0000000708
2	189882065	191973356	518	40	0.0000892435	0.0000000467
2	191973357	195861163	735	40	-0.0001120137	0.0000000714
2	195861164	196447455	159	20	-0.0000723311	0.0000000214
