chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	222	34	-0.0000388009	0.000000008435
1	1892607	3582735	580	40	-0.0000566183	0.000000024100
1	3582736	4380810	323	40	-0.0000113078	0.000000013692
1	4380811	5913892	926	40	0.0001028439	0.000000027786
1	5913893	7247334	504	40	0.0001183746	0.000000022850
1	7247335	9365198	764	40	0.0000618551	0.000000026959
1	9365199	10806983	421	40	-0.0000235828	0.000000014574
1	10806984	11777840	301	40	0.0001286241	0.000000015277
1	11777841	12779465	350	40	0.0000798024	0.000000016552
1	12779466	14891510	651	40	0.0001902313	0.000000029550
1	14891511	16897729	826	40	0.0000614020	0.000000026950
1	16897730	18662898	730	40	0.0001758701	0.000000029260
1	18662899	20469148	826	40	0.0001296022	0.000000028326
1	20469149	21736587	510	40	0.0002201410	0.000000024279
1	21736588	23086882	567	40	-0.0000000190	0.000000024252
1	23086883	23920589	259	30	0.0000680705	0.000000010991
1	23920590	25516844	601	40	0.0000673356	0.000000025975
1	25516845	27401866	530	40	-0.0000173039	0.000000016604
1	27401867	30161880	664	40	0.0000531880	0.000000024078
1	30161881	32438684	1017	40	0.0000504204	0.000000026729
1	32438685	34799757	756	40	0.0000398083	0.000000026514
1	34799758	37549182	680	40	0.0003114650	0.000000031996
1	37549183	38731846	470	40	0.0000540938	0.000000018145
1	38731847	40200566	486	40	0.0000444963	0.000000019602
1	40200567	41975326	617	40	0.0000307693	0.000000022380
1	41975327	43758456	612	40	0.0001396468	0.000000023745
1	43758457	44969182	420	37	0.0001897646	0.000000017533
1	44969183	46899500	540	40	-0.0000224854	0.000000013877
1	46899501	48002575	356	36	0.0002025024	0.000000016046
1	48002576	48978187	369	40	0.0001100846	0.000000016751
1	48978188	49894176	260	29	-0.0000394201	0.000000009340
1	49894177	51713725	293	27	0.0000538842	0.000000009025
1	51713726	54226261	614	40	0.0000668347	0.000000024041
1	54226262	56413116	934	40	0.0000676931	0.000000027077
1	56413117	57021727	292	31	0.0001045610	0.000000012031
1	57021728	58865398	940	40	0.0001943410	0.000000029633
1	58865399	59890408	427	40	0.0001450549	0.000000018020
