chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	90	18	-0.0001047582	0.0000000181
1	1892607	3582735	399	40	-0.0002308183	0.0000000548
1	3582736	4380810	259	40	-0.0002677569	0.0000000389
1	4380811	5913892	892	40	-0.0000985057	0.0000000589
1	5913893	7247334	375	40	0.0000206310	0.0000000412
1	7247335	9365198	673	40	0.0001528774	0.0000000639
1	9365199	10806983	317	40	0.0001717898	0.0000000370
1	10806984	11777840	244	40	-0.0001673898	0.0000000318
1	11777841	12779465	206	40	-0.0001538490	0.0000000287
1	12779466	14891510	598	40	-0.0002241995	0.0000000622
1	14891511	16897729	643	40	0.0001712625	0.0000000649
1	16897730	18662898	597	40	-0.0000082258	0.0000000619
1	18662899	20469148	681	40	0.0001276929	0.0000000604
1	20469149	21736587	411	40	0.0000551193	0.0000000417
1	21736588	23086882	467	40	0.0001834307	0.0000000739
1	23086883	23920589	194	26	-0.0001592485	0.0000000217
1	23920590	25516844	468	40	0.0001185742	0.0000000530
1	25516845	27401866	321	40	0.0000043219	0.0000000384
1	27401867	30161880	508	40	-0.0000923617	0.0000000459
1	30161881	32438684	916	40	0.0000018130	0.0000000632
1	32438685	34799757	643	40	0.0000338950	0.0000000684
1	34799758	37549182	556	40	0.0001616175	0.0000000544
1	37549183	38731846	344	40	0.0001993710	0.0000000367
1	38731847	40200566	404	40	-0.0001216612	0.0000000421
1	40200567	41975326	513	40	0.0000743730	0.0000000480
1	41975327	43758456	523	40	0.0000316774	0.0000000469
1	43758457	44969182	322	34	0.0000117614	0.0000000299
1	44969183	46899500	386	37	0.0000126460	0.0000000342
1	46899501	48002575	274	32	0.0000556557	0.0000000227
1	48002576	48978187	346	40	0.0002959678	0.0000000340
1	48978188	49894176	236	28	0.0001306902	0.0000000242
1	49894177	51713725	251	26	0.0001385189	0.0000000177
1	51713726	54226261	512	40	0.0000802572	0.0000000503
1	54226262	56413116	788	40	0.0000228724	0.0000000601
1	56413117	57021727	259	31	0.0000273331	0.0000000240
1	57021728	58865398	877	40	0.0001439220	0.0000000580
1	58865399	59890408	383	40	-0.0000428122	0.0000000366
1	59890409	61922364	661	40	0.0000467063	0.0000000583
1	61922365	63455088	467	40	0.0001241140	0.0000000461
1	63455089	65041703	657	40	-0.0001054531	0.0000000499
1	65041704	66939403	622	40	0.0001717825	0.0000000491
1	66939404	68477894	661	40	0.0001423624	0.0000000520
1	68477895	69687615	378	40	0.0003905764	0.0000000509
1	69687616	71372469	527	40	-0.0000001622	0.0000000460
1	71372470	71684404	81	10	-0.0000210120	0.0000000069
