chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	100	19	0.0001500376	0.000000008880
1	1892607	3582735	440	40	0.0003432339	0.000000032492
1	3582736	4380810	275	40	0.0001231115	0.000000017758
1	4380811	5913892	860	40	0.0001417920	0.000000034819
1	5913893	7247334	427	40	0.0001348457	0.000000024564
1	7247335	9365198	697	40	0.0001640304	0.000000035156
1	9365199	10806983	351	40	0.0002444350	0.000000021555
1	10806984	11777840	254	40	0.0000713031	0.000000014988
1	11777841	12779465	282	40	0.0002845239	0.000000021797
1	12779466	14891510	616	40	0.0000881041	0.000000033700
1	14891511	16897729	690	40	0.0005809123	0.000000044496
1	16897730	18662898	667	40	0.0000421397	0.000000032743
1	18662899	20469148	716	40	0.0003377003	0.000000039266
1	20469149	21736587	459	40	0.0002205377	0.000000027113
1	21736588	23086882	521	40	0.0002295705	0.000000032813
1	23086883	23920589	220	28	0.0003344413	0.000000018133
1	23920590	25516844	520	40	0.0002037662	0.000000031878
1	25516845	27401866	412	40	0.0002953879	0.000000024035
1	27401867	30161880	548	40	0.0003675644	0.000000032343
1	30161881	32438684	927	40	0.0000847166	0.000000033446
1	32438685	34799757	673	40	0.0001419276	0.000000034612
1	34799758	37549182	551	40	0.0001638761	0.000000030003
1	37549183	38731846	368	40	0.0003273956	0.000000024849
1	38731847	40200566	446	40	0.0000585975	0.000000022850
1	40200567	41975326	550	40	0.0000445113	0.000000025387
1	41975327	43758456	539	40	0.0001290138	0.000000025977
1	43758457	44969182	368	35	-0.0000163418	0.000000015146
1	44969183	46899500	457	38	0.0002620720	0.000000021326
1	46899501	48002575	296	33	0.0001679699	0.000000016225
1	48002576	48978187	342	40	0.0001616333	0.000000020589
1	48978188	49894176	247	28	0.0000510985	0.000000013210
1	49894177	51713725	255	25	0.0002396550	0.000000014386
1	51713726	54226261	562	40	0.0001358495	0.000000029500
1	54226262	56413116	829	40	0.0001814328	0.000000035645
1	56413117	57021727	271	31	0.0000924568	0.000000013535
1	57021728	58865398	850	40	0.0000427075	0.000000032359
1	58865399	59890408	382	40	0.0001727665	0.000000020714
1	59890409	61922364	667	40	0.0003649047	0.000000039481
1	61922365	63455088	534	40	0.0002570468	0.000000031732
1	63455089	65041703	658	40	0.0001006375	0.000000029090
1	65041704	66939403	641	40	0.0002660270	0.000000033542
1	66939404	68477894	679	40	0.0001262021	0.000000029400
1	68477895	69687615	375	40	0.0002035006	0.000000022317
1	69687616	71372469	515	40	0.0001506946	0.000000025906
1	71372470	71684404	82	10	0.0000305753	0.000000003712
1	71684405	74326906	556	40	0.0001396158	0.000000023377
1	74326907	76728134	711	40	0.0000928183	0.000000028392
1	76728135	79661197	945	40	0.0002398704	0.000000036709
1	79661198	81354190	466	40	-0.0000403949	0.000000020195
1	81354191	83991747	960	40	0.0001750616	0.000000035333
1	83991748	84844494	312	35	0.0001742895	0.000000016221
1	84844495	86454750	643	40	0.0001616669	0.000000032998
1	86454751	88128630	565	40	0.0000706076	0.000000027161
1	88128631	90066302	517	40	0.0001361148	0.000000026326
1	90066303	91886316	561	40	0.0002628295	0.000000030478
1	91886317	93536458	508	40	0.0000643346	0.000000021307
1	93536459	94506190	255	26	0.0001246096	0.000000012490
1	94506191	96150892	644	40	0.0002375800	0.000000034811
1	96150893	97885248	600	40	0.0001710601	0.000000026327
1	97885249	99800603	637	40	0.0003017966	0.000000032267
1	99800604	100826404	314	36	0.0003471226	0.000000020604
1	100826405	102041015	444	40	0.0002033359	0.000000023530
1	102041016	102898744	272	36	0.0002292115	0.000000016730
1	102898745	103914210	199	21	0.0000004919	0.000000007594
1	103914211	106087841	449	40	0.0001769946	0.000000023781
1	106087842	108409664	723	40	0.0001169894	0.000000034024
1	108409665	110303930	557	40	0.0002930403	0.000000030367
1	110303931	111741736	566	40	0.0002723577	0.000000035527
1	111741737	113273305	719	40	0.0001296181	0.000000034403
1	113273306	114873844	509	40	0.0003392341	0.000000031153
1	114873845	115880592	344	37	0.0002372108	0.000000019294
1	115880593	118839066	824	40	0.0002113607	0.000000036283
1	118839067	144977493	560	40	0.0002057819	0.000000028820
1	144977494	148361252	431	40	0.0001080668	0.000000021801
1	148361253	151538880	348	34	0.0006971591	0.000000029562
1	151538881	153180828	468	40	0.0001312827	0.000000020954
1	153180829	154770402	459	40	0.0002993940	0.000000027002
1	154770403	156336132	306	38	0.0002817121	0.000000020713
1	156336133	158027411	596	40	0.0001310864	0.000000030707
1	158027412	159913047	678	40	0.0000542530	0.000000032857
1	159913048	162346720	871	40	0.0001425549	0.000000034771
1	162346721	165191701	1191	40	0.0002408907	0.000000036811
1	165191702	166460516	527	40	0.0000829881	0.000000028409
1	166460517	169086323	1098	40	0.0000565039	0.000000032807
1	169086324	170557775	554	40	0.0001199272	0.000000023731
1	170557776	173097906	898	40	0.0004172115	0.000000040677
1	173097907	175089767	410	32	0.0001675781	0.000000015881
1	175089768	177433380	782	40	0.0001020517	0.000000033709
1	177433381	178944308	492	40	0.0002429020	0.000000026313
1	178944309	178954469	2	1	0.0000152571	0.000000000456
1	178954470	181144120	747	40	0.0001342763	0.000000033841
1	181144121	182755355	598	40	0.0002198627	0.000000034126
1	182755356	184595512	629	40	0.0001814840	0.000000029702
1	184595513	186810022	521	40	0.0003150822	0.000000028044
1	186810023	188759944	619	40	0.0001143093	0.000000028083
1	188759945	189904129	219	18	0.0000187083	0.000000007838
1	189904130	191868929	537	40	0.0001050930	0.000000021320
1	191868930	194107441	571	40	0.0002177627	0.000000028944
1	194107442	196176200	572	40	0.0000415713	0.000000022635
1	196176201	197311513	197	16	0.0000239501	0.000000007082
1	197311514	199239883	504	40	0.0001885372	0.000000026213
1	199239884	200137648	297	35	0.0000524005	0.000000014354
1	200137649	201589974	703	40	0.0000670138	0.000000033042
1	201589975	203334733	612	40	0.0000662001	0.000000032102
1	203334734	204681067	483	40	0.0000845198	0.000000025203
1	204681068	206073264	574	40	0.0000878475	0.000000029873
1	206073265	208410363	632	40	0.0000543893	0.000000032654
1	208410364	210787749	927	40	0.0001052640	0.000000033934
1	210787750	212842329	687	40	0.0000874235	0.000000033402
1	212842330	214578265	606	40	0.0001104074	0.000000032568
1	214578266	216243633	575	40	0.0002366483	0.000000031681
1	216243634	218705512	1078	40	0.0003188109	0.000000038495
1	218705513	219590570	278	33	0.0001219630	0.000000014948
1	219590571	221858230	679	40	0.0004316586	0.000000040308
1	221858231	222230219	174	21	0.0000914294	0.000000010941
1	222230220	224938519	450	40	-0.0000066859	0.000000020793
1	224938520	226810859	513	40	0.0002627680	0.000000028875
1	226810860	229156247	689	40	0.0001816485	0.000000033344
1	229156248	230685254	530	40	0.0003007052	0.000000033425
1	230685255	232090251	589	40	0.0000475329	0.000000029274
1	232090252	233429283	599	40	0.0001083049	0.000000033870
1	233429284	234599433	530	40	0.0002155784	0.000000031738
1	234599434	235819435	385	40	0.0003439205	0.000000027691
1	235819436	237555627	721	40	0.0003648215	0.000000039895
1	237555628	238567806	425	40	0.0000434362	0.000000022705
1	238567807	239925313	488	40	0.0000563533	0.000000026055
1	239925314	240564090	343	40	0.0001087397	0.000000019637
1	240564091	241582219	519	40	0.0000882150	0.000000031748
1	241582220	242071601	217	38	0.0000439295	0.000000012752
1	242071602	244109498	620	40	0.0003297888	0.000000038396
1	244109499	245506745	514	40	0.0004036902	0.000000036689
1	245506746	247344517	705	40	0.0000605920	0.000000032951
1	247344518	249239465	399	40	0.0001108624	0.000000023877
2	10133	1781021	655	40	0.0001921306	0.000000035965
2	1781022	3973778	958	40	-0.0000132496	0.000000031557
2	3973779	5708336	621	40	0.0001656935	0.000000035666
2	5708337	6836253	554	40	0.0001942648	0.000000030589
2	6836254	8422146	648	40	0.0001271735	0.000000034544
2	8422147	10298468	671	40	0.0001064527	0.000000034313
2	10298469	12419149	967	40	0.0001023647	0.000000034142
2	12419150	14335307	590	40	0.0001277313	0.000000030791
2	14335308	16329734	744	40	0.0007875302	0.000000049305
2	16329735	18647422	856	40	0.0001846212	0.000000035843
2	18647423	19692403	385	40	0.0003659588	0.000000027081
2	19692404	21050489	640	40	0.0001505315	0.000000034451
2	21050490	23341382	618	40	0.0000758321	0.000000033328
2	23341383	24686917	433	40	0.0001166330	0.000000022604
2	24686918	26894984	554	40	0.0002235839	0.000000031061
2	26894985	28598776	413	33	0.0007446861	0.000000033754
2	28598777	29217558	247	31	0.0000331222	0.000000012743
2	29217559	30463710	635	40	0.0000937994	0.000000033820
2	30463711	31550449	529	40	0.0002215032	0.000000033580
2	31550450	33363776	494	40	0.0001237488	0.000000030415
2	33363777	35345027	800	40	0.0001113198	0.000000034189
2	35345028	36122005	290	30	-0.0000121887	0.000000013636
2	36122006	38132711	924	40	0.0001655795	0.000000035451
2	38132712	39031336	322	37	0.0001297613	0.000000021181
2	39031337	40281482	298	31	0.0000936033	0.000000018163
2	40281483	43309589	1303	40	0.0001961534	0.000000035958
2	43309590	44313802	403	40	0.0005305384	0.000000033814
2	44313803	46482633	1065	40	0.0001140389	0.000000034249
2	46482634	47318771	417	40	0.0002482104	0.000000030954
2	47318772	48213000	299	40	-0.0000092221	0.000000017927
2	48213001	50022256	711	40	0.0000546770	0.000000032885
2	50022257	50818927	344	34	0.0000005073	0.000000017568
2	50818928	52491132	643	40	0.0001743498	0.000000035371
2	52491133	53508451	466	40	0.0000543512	0.000000024895
2	53508452	54685225	430	40	0.0002332750	0.000000027750
2	54685226	56203344	606	40	0.0003754218	0.000000039965
2	56203345	57429099	427	40	0.0002457602	0.000000028247
2	57429100	58297314	272	29	0.0000078624	0.000000014125
2	58297315	60291999	736	40	0.0000671848	0.000000033117
2	60292000	62429043	584	40	0.0002010826	0.000000035609
2	62429044	64625912	581	40	0.0000085965	0.000000029740
2	64625913	65933443	462	40	0.0002158260	0.000000028884
2	65933444	67226165	551	40	0.0003602454	0.000000034507
2	67226166	68010175	419	40	0.0002962037	0.000000026846
2	68010176	69139563	471	40	0.0002282512	0.000000027149
