chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	100	18	0.0000914079	0.000000008943
1	1892607	3582735	440	40	0.0000982556	0.000000029873
1	3582736	4380810	273	40	0.0000372943	0.000000016749
1	4380811	5913892	878	40	0.0000085948	0.000000032976
1	5913893	7247334	432	40	0.0001248074	0.000000025032
1	7247335	9365198	706	40	0.0003926670	0.000000041317
1	9365199	10806983	355	40	0.0001694925	0.000000020092
1	10806984	11777840	260	40	0.0000576552	0.000000016152
1	11777841	12779465	292	40	0.0001862922	0.000000017296
1	12779466	14891510	620	40	0.0000164398	0.000000033209
1	14891511	16897729	695	40	0.0000424797	0.000000033929
1	16897730	18662898	667	40	0.0000149240	0.000000033131
1	18662899	20469148	719	40	0.0001921882	0.000000037869
1	20469149	21736587	462	40	0.0003233139	0.000000030113
1	21736588	23086882	526	40	0.0002424150	0.000000034955
1	23086883	23920589	223	28	0.0001799887	0.000000014419
1	23920590	25516844	526	40	0.0001702727	0.000000032735
1	25516845	27401866	416	40	0.0003892364	0.000000026121
1	27401867	30161880	555	40	0.0002139759	0.000000030517
1	30161881	32438684	937	40	-0.0000150517	0.000000032025
1	32438685	34799757	678	40	0.0001877828	0.000000037507
1	34799758	37549182	556	40	0.0001389101	0.000000030854
1	37549183	38731846	375	40	0.0000358043	0.000000018625
1	38731847	40200566	447	40	0.0000549763	0.000000022821
1	40200567	41975326	554	40	0.0001158284	0.000000027639
1	41975327	43758456	553	40	0.0001121318	0.000000026141
1	43758457	44969182	372	35	0.0000578271	0.000000017253
1	44969183	46899500	461	38	0.0000637398	0.000000016993
1	46899501	48002575	299	33	0.0000755178	0.000000014703
1	48002576	48978187	346	40	0.0000788197	0.000000019127
1	48978188	49894176	248	28	0.0000720742	0.000000013857
1	49894177	51713725	261	25	0.0000791882	0.000000010761
1	51713726	54226261	564	40	0.0000851733	0.000000028297
1	54226262	56413116	843	40	-0.0000082874	0.000000031090
1	56413117	57021727	273	31	0.0001555185	0.000000013589
1	57021728	58865398	852	40	0.0002081501	0.000000037570
1	58865399	59890408	385	40	0.0001234277	0.000000019973
1	59890409	61922364	674	40	0.0001192122	0.000000034668
1	61922365	63455088	544	40	0.0000519940	0.000000024469
1	63455089	65041703	659	40	0.0000401481	0.000000028672
1	65041704	66939403	654	40	0.0004120721	0.000000037890
1	66939404	68477894	693	40	0.0000728636	0.000000029416
1	68477895	69687615	390	40	0.0000157595	0.000000019413
1	69687616	71372469	524	40	0.0000781210	0.000000026052
1	71372470	71684404	84	10	0.0000258940	0.000000003678
1	71684405	74326906	564	40	0.0002436704	0.000000023612
1	74326907	76728134	733	40	0.0000804622	0.000000028455
1	76728135	79661197	952	40	-0.0000396838	0.000000031381
1	79661198	81354190	478	40	0.0000482077	0.000000023337
1	81354191	83991747	979	40	0.0000107767	0.000000032469
1	83991748	84844494	317	35	0.0001028555	0.000000015569
1	84844495	86454750	657	40	0.0001668029	0.000000034272
1	86454751	88128630	576	40	0.0001698757	0.000000031159
1	88128631	90066302	528	40	0.0001037899	0.000000026021
1	90066303	91886316	562	40	0.0001623315	0.000000029682
1	91886317	93536458	519	40	0.0001767159	0.000000024310
1	93536459	94506190	258	27	0.0001066219	0.000000012862
1	94506191	96150892	655	40	0.0001534183	0.000000034172
1	96150893	97885248	609	40	0.0000841829	0.000000024481
1	97885249	99800603	644	40	0.0002512744	0.000000032862
1	99800604	100826404	341	37	0.0000347357	0.000000014443
1	100826405	102041015	453	40	0.0001329880	0.000000023287
1	102041016	102898744	280	36	0.0001085987	0.000000015493
1	102898745	103914210	204	21	0.0001213805	0.000000010870
1	103914211	106087841	460	40	0.0001974327	0.000000025653
1	106087842	108409664	731	40	0.0000977811	0.000000034776
1	108409665	110303930	573	40	0.0003242294	0.000000027751
1	110303931	111741736	575	40	0.0001492904	0.000000033719
1	111741737	113273305	722	40	0.0001294122	0.000000034743
1	113273306	114873844	513	40	0.0001756014	0.000000028573
1	114873845	115880592	349	37	0.0001109667	0.000000016444
1	115880593	118839066	840	40	0.0000903146	0.000000034789
1	118839067	144977493	574	40	0.0005474250	0.000000031810
1	144977494	148361252	435	40	0.0001048482	0.000000021895
1	148361253	151538880	353	34	0.0000679640	0.000000015699
1	151538881	153180828	478	40	0.0001236896	0.000000021722
1	153180829	154770402	461	40	-0.0000433158	0.000000019891
1	154770403	156336132	307	38	0.0001996475	0.000000019294
1	156336133	158027411	598	40	0.0000308064	0.000000029904
1	158027412	159913047	688	40	0.0002177950	0.000000037522
1	159913048	162346720	896	40	0.0000404622	0.000000029149
1	162346721	165191701	1200	40	0.0000841408	0.000000033650
1	165191702	166460516	534	40	0.0000777438	0.000000029851
1	166460517	169086323	1118	40	0.0001482879	0.000000036598
1	169086324	170557775	567	40	0.0003857362	0.000000028875
1	170557776	173097906	916	40	0.0003171748	0.000000037395
1	173097907	175089767	416	32	0.0001504726	0.000000015986
1	175089768	177433380	790	40	0.0001823020	0.000000036553
1	177433381	178944308	505	40	0.0002235422	0.000000023566
1	178944309	178954469	2	1	-0.0000059851	0.000000000009
1	178954470	181144120	754	40	0.0000147585	0.000000032099
1	181144121	182755355	604	40	0.0000802085	0.000000032180
1	182755356	184595512	633	40	0.0002918489	0.000000033253
1	184595513	186810022	524	40	0.0000204019	0.000000022378
1	186810023	188759944	626	40	0.0001666524	0.000000030339
1	188759945	189904129	223	17	-0.0000135962	0.000000007449
1	189904130	191868929	547	40	0.0000938958	0.000000021447
1	191868930	194107441	590	40	0.0000719786	0.000000026552
1	194107442	196176200	590	40	0.0000657625	0.000000024080
1	196176201	197311513	199	16	-0.0000250430	0.000000006238
1	197311514	199239883	517	40	0.0001399276	0.000000025970
1	199239884	200137648	308	36	0.0002115388	0.000000018960
1	200137649	201589974	711	40	0.0000085669	0.000000033033
1	201589975	203334733	616	40	0.0002031564	0.000000037187
1	203334734	204681067	489	40	0.0001604816	0.000000028262
1	204681068	206073264	577	40	0.0002639316	0.000000034559
1	206073265	208410363	643	40	0.0000154168	0.000000032461
1	208410364	210787749	942	40	0.0002333128	0.000000037868
1	210787750	212842329	705	40	0.0001311322	0.000000035058
1	212842330	214578265	618	40	0.0000642357	0.000000032334
1	214578266	216243633	597	40	0.0000596996	0.000000029648
1	216243634	218705512	1092	40	0.0000513599	0.000000032852
1	218705513	219590570	289	35	0.0001456132	0.000000015551
1	219590571	221858230	700	40	0.0005058899	0.000000040013
1	221858231	222230219	178	21	0.0000162664	0.000000009712
1	222230220	224938519	477	40	0.0000256438	0.000000023591
1	224938520	226810859	523	40	0.0001914669	0.000000028529
1	226810860	229156247	707	40	0.0000882226	0.000000033616
1	229156248	230685254	542	40	0.0000701620	0.000000026780
1	230685255	232090251	596	40	0.0001643200	0.000000032817
1	232090252	233429283	611	40	0.0001575187	0.000000036701
1	233429284	234599433	543	40	0.0000328984	0.000000029677
1	234599434	235819435	388	40	0.0002138520	0.000000026220
1	235819436	237555627	730	40	0.0001011486	0.000000036005
1	237555628	238567806	438	40	0.0000163795	0.000000024000
1	238567807	239925313	498	40	0.0000051927	0.000000026203
1	239925314	240564090	344	40	0.0000551096	0.000000019101
1	240564091	241582219	522	40	0.0000099067	0.000000032643
1	241582220	242071601	220	38	0.0000481487	0.000000013710
1	242071602	244109498	627	40	0.0001275379	0.000000035143
1	244109499	245506745	521	40	0.0002532563	0.000000035841
1	245506746	247344517	717	40	0.0000379444	0.000000034255
1	247344518	249239465	406	40	0.0000486402	0.000000023607
2	10133	1781021	676	40	0.0002619121	0.000000033926
2	1781022	3973778	972	40	0.0001230683	0.000000035366
2	3973779	5708336	632	40	0.0001845491	0.000000036002
2	5708337	6836253	572	40	0.0001322187	0.000000030462
2	6836254	8422146	657	40	0.0000414041	0.000000033736
2	8422147	10298468	677	40	0.0001644207	0.000000036896
2	10298469	12419149	978	40	0.0001463620	0.000000036150
2	12419150	14335307	595	40	0.0002228748	0.000000033228
2	14335308	16329734	752	40	0.0001113831	0.000000034552
2	16329735	18647422	865	40	0.0000637915	0.000000033539
2	18647423	19692403	387	40	0.0001019721	0.000000021737
2	19692404	21050489	638	40	0.0002390267	0.000000035340
2	21050490	23341382	626	40	0.0001282222	0.000000030011
2	23341383	24686917	443	40	0.0001737147	0.000000024037
2	24686918	26894984	563	40	0.0002435858	0.000000031128
2	26894985	28598776	420	33	0.0001074439	0.000000013145
2	28598777	29217558	247	32	0.0000025622	0.000000011349
2	29217559	30463710	639	40	0.0001018353	0.000000034489
2	30463711	31550449	535	40	0.0001881122	0.000000033759
2	31550450	33363776	499	40	0.0000600496	0.000000029438
2	33363777	35345027	815	40	0.0000009184	0.000000032386
2	35345028	36122005	300	31	0.0001800255	0.000000018826
2	36122006	38132711	938	40	0.0003423617	0.000000039560
2	38132712	39031336	327	38	0.0000728644	0.000000020463
2	39031337	40281482	306	32	0.0000135865	0.000000016820
2	40281483	43309589	1316	40	0.0001162226	0.000000032460
2	43309590	44313802	408	40	0.0003391948	0.000000022481
2	44313803	46482633	1080	40	0.0001521117	0.000000034882
2	46482634	47318771	421	40	0.0000924167	0.000000028153
2	47318772	48213000	305	40	0.0000637010	0.000000020777
2	48213001	50022256	719	40	0.0000747918	0.000000033410
2	50022257	50818927	345	34	0.0001057254	0.000000020147
2	50818928	52491132	653	40	0.0000527081	0.000000032464
2	52491133	53508451	470	40	0.0000755403	0.000000025654
2	53508452	54685225	435	40	0.0000881767	0.000000024731
2	54685226	56203344	618	40	0.0000612012	0.000000031206
2	56203345	57429099	429	40	0.0001224625	0.000000025297
2	57429100	58297314	277	29	0.0000709945	0.000000015929
2	58297315	60291999	749	40	0.0006554773	0.000000045400
