chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	0.0003153282	0.000000065910
1	1892607	3582735	437	14	0.0001186689	0.000000243040
1	3582736	4380810	272	14	0.0000874631	0.000000139188
1	4380811	5913892	869	14	0.0001019085	0.000000326248
1	5913893	7247334	430	14	0.0000175812	0.000000211638
1	7247335	9365198	700	14	0.0001013650	0.000000326212
1	9365199	10806983	352	14	0.0000742836	0.000000155420
1	10806984	11777840	258	14	-0.0000592208	0.000000121438
1	11777841	12779465	283	14	-0.0000199144	0.000000141590
1	12779466	14891510	617	14	0.0004679524	0.000000350575
1	14891511	16897729	690	14	0.0000937844	0.000000325708
1	16897730	18662898	666	14	0.0002953836	0.000000339106
1	18662899	20469148	717	14	0.0001841998	0.000000331717
1	20469149	21736587	461	14	0.0001136246	0.000000224791
1	21736588	23086882	523	14	0.0000334264	0.000000279150
1	23086883	23920589	223	14	0.0001133171	0.000000107026
1	23920590	25516844	521	14	0.0000213422	0.000000274752
1	25516845	27401866	413	14	0.0000388026	0.000000167898
1	27401867	30161880	552	14	-0.0000562686	0.000000234949
1	30161881	32438684	936	14	0.0001820908	0.000000331577
1	32438685	34799757	676	14	0.0000860063	0.000000325191
1	34799758	37549182	552	14	0.0000914260	0.000000265113
1	37549183	38731846	374	14	0.0001702476	0.000000179803
1	38731847	40200566	447	14	0.0002914039	0.000000228359
1	40200567	41975326	557	14	0.0003494649	0.000000267379
1	41975327	43758456	543	14	0.0002963349	0.000000247166
1	43758457	44969182	371	14	0.0000818171	0.000000151452
1	44969183	46899500	458	14	0.0002916938	0.000000166524
1	46899501	48002575	298	14	0.0000090431	0.000000117875
1	48002576	48978187	344	14	0.0000219046	0.000000163547
1	48978188	49894176	247	14	-0.0001333010	0.000000103625
1	49894177	51713725	259	14	0.0000137444	0.000000085548
1	51713726	54226261	563	14	0.0001835916	0.000000276198
1	54226262	56413116	838	14	0.0000942463	0.000000325739
1	56413117	57021727	271	14	0.0003525145	0.000000129375
1	57021728	58865398	847	14	0.0001393314	0.000000328735
1	58865399	59890408	383	14	0.0003376173	0.000000183030
1	59890409	61922364	672	14	-0.0000014103	0.000000319381
1	61922365	63455088	533	14	0.0001098843	0.000000263500
1	63455089	65041703	659	14	-0.0000135464	0.000000267422
1	65041704	66939403	650	14	0.0002307231	0.000000295841
1	66939404	68477894	687	14	0.0001747882	0.000000278470
1	68477895	69687615	389	14	0.0000738062	0.000000178023
1	69687616	71372469	520	14	-0.0000474187	0.000000218945
1	71372470	71684404	82	10	0.0000878614	0.000000032684
1	71684405	74326906	559	14	0.0001989729	0.000000211460
1	74326907	76728134	728	14	0.0000194129	0.000000266748
1	76728135	79661197	947	14	-0.0001689384	0.000000308247
1	79661198	81354190	475	14	0.0002378991	0.000000222793
1	81354191	83991747	973	14	0.0000495761	0.000000322770
1	83991748	84844494	314	14	0.0001085089	0.000000122555
1	84844495	86454750	652	14	0.0000493127	0.000000301290
1	86454751	88128630	572	14	0.0002858185	0.000000277276
1	88128631	90066302	523	14	0.0001383243	0.000000238103
1	90066303	91886316	559	14	0.0001234084	0.000000250323
1	91886317	93536458	509	14	0.0004166456	0.000000219790
1	93536459	94506190	255	14	0.0001856955	0.000000101563
1	94506191	96150892	651	14	0.0000416711	0.000000304457
1	96150893	97885248	606	14	0.0000112223	0.000000222133
1	97885249	99800603	643	14	0.0001850367	0.000000269893
1	99800604	100826404	339	14	0.0003165658	0.000000143621
1	100826405	102041015	447	14	0.0000039729	0.000000184607
1	102041016	102898744	280	14	0.0000640367	0.000000114732
1	102898745	103914210	200	14	0.0000197217	0.000000070671
1	103914211	106087841	455	14	-0.0000438670	0.000000192092
1	106087842	108409664	728	14	0.0000453485	0.000000322489
1	108409665	110303930	566	14	0.0004794833	0.000000267594
1	110303931	111741736	572	14	0.0001390442	0.000000307981
1	111741737	113273305	721	14	0.0000702514	0.000000324144
1	113273306	114873844	512	14	0.0001102232	0.000000240399
1	114873845	115880592	345	14	0.0000765105	0.000000135962
1	115880593	118839066	837	14	0.0002776755	0.000000337929
1	118839067	144977493	567	14	0.0000580087	0.000000243902
1	144977494	148361252	432	14	0.0000153314	0.000000188005
1	148361253	151538880	350	14	0.0002436953	0.000000149450
1	151538881	153180828	468	14	0.0002046679	0.000000185333
1	153180829	154770402	460	14	0.0004047602	0.000000222352
1	154770403	156336132	307	14	0.0001326257	0.000000144668
1	156336133	158027411	597	14	0.0002479014	0.000000291927
1	158027412	159913047	683	14	-0.0000284015	0.000000317587
1	159913048	162346720	876	14	0.0002069209	0.000000333227
1	162346721	165191701	1197	14	0.0002940218	0.000000339016
1	165191702	166460516	533	14	-0.0001528512	0.000000256763
1	166460517	169086323	1106	14	0.0000535932	0.000000323037
1	169086324	170557775	560	14	0.0001566857	0.000000215404
1	170557776	173097906	902	14	0.0000586729	0.000000323374
1	173097907	175089767	412	14	0.0000384675	0.000000116117
1	175089768	177433380	784	14	0.0002442030	0.000000335705
1	177433381	178944308	492	14	0.0000692151	0.000000208281
1	178944309	178954469	2	1	-0.0000160652	0.000000000013
1	178954470	181144120	751	14	0.0001036063	0.000000320401
1	181144121	182755355	601	14	0.0001636497	0.000000306680
1	182755356	184595512	630	14	-0.0000316686	0.000000251301
1	184595513	186810022	525	14	0.0000314633	0.000000207139
1	186810023	188759944	620	14	0.0000746559	0.000000258340
1	188759945	189904129	219	14	-0.0000128586	0.000000066218
1	189904130	191868929	538	14	0.0001949844	0.000000195873
1	191868930	194107441	584	14	0.0000889721	0.000000243162
1	194107442	196176200	581	14	0.0001120215	0.000000220593
1	196176201	197311513	196	14	-0.0000320925	0.000000056311
1	197311514	199239883	504	14	0.0001240472	0.000000222749
1	199239884	200137648	301	14	0.0001693129	0.000000135819
1	200137649	201589974	710	14	-0.0000475556	0.000000316314
1	201589975	203334733	617	14	0.0005604157	0.000000348519
1	203334734	204681067	484	14	0.0000179923	0.000000228770
1	204681068	206073264	577	14	0.0002392553	0.000000295684
1	206073265	208410363	634	14	0.0003682704	0.000000343950
1	208410364	210787749	932	14	0.0001980499	0.000000332637
1	210787750	212842329	698	14	0.0000514859	0.000000322897
1	212842330	214578265	613	14	0.0006474180	0.000000349846
1	214578266	216243633	593	14	0.0001686933	0.000000279497
1	216243634	218705512	1085	14	0.0001045289	0.000000326422
1	218705513	219590570	282	14	-0.0000487799	0.000000111622
1	219590571	221858230	690	14	0.0002170826	0.000000328684
1	221858231	222230219	174	14	-0.0000289079	0.000000079798
1	222230220	224938519	467	14	0.0001206032	0.000000219119
1	224938520	226810859	520	14	0.0000672145	0.000000232713
1	226810860	229156247	695	14	-0.0000304220	0.000000295998
1	229156248	230685254	530	14	0.0002514423	0.000000281406
1	230685255	232090251	589	14	0.0000289720	0.000000284634
1	232090252	233429283	607	14	0.0002489471	0.000000336020
1	233429284	234599433	536	14	0.0000310219	0.000000273957
1	234599434	235819435	385	14	0.0000687509	0.000000194850
1	235819436	237555627	733	14	0.0000185601	0.000000320708
1	237555628	238567806	430	14	-0.0000648619	0.000000209593
1	238567807	239925313	491	14	0.0000162655	0.000000247437
1	239925314	240564090	342	14	0.0000520836	0.000000165533
1	240564091	241582219	518	14	0.0002853145	0.000000314755
1	241582220	242071601	220	14	0.0000767205	0.000000113732
1	242071602	244109498	622	14	-0.0000555833	0.000000308341
1	244109499	245506745	518	14	0.0002823603	0.000000290614
