chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	196	16	0.0001210048	0.000000086659
1	1892607	3582735	548	16	0.0000340039	0.000000254758
1	3582736	4380810	303	16	-0.0000331541	0.000000131689
1	4380811	5913892	907	16	0.0001826965	0.000000282930
1	5913893	7247334	449	16	0.0000976170	0.000000193390
1	7247335	9365198	733	16	0.0002585874	0.000000287668
1	9365199	10806983	383	16	-0.0000359180	0.000000138070
1	10806984	11777840	285	16	0.0003112498	0.000000139464
1	11777841	12779465	281	16	0.0000987790	0.000000134422
1	12779466	14891510	629	16	-0.0000249940	0.000000269963
1	14891511	16897729	790	16	0.0001175721	0.000000278864
1	16897730	18662898	693	16	0.0001350003	0.000000279952
1	18662899	20469148	778	16	0.0001233194	0.000000279223
1	20469149	21736587	475	16	0.0000773620	0.000000196146
1	21736588	23086882	532	16	0.0002667501	0.000000257225
1	23086883	23920589	236	16	0.0002316460	0.000000103842
1	23920590	25516844	572	16	-0.0000058378	0.000000248048
1	25516845	27401866	475	16	0.0000055423	0.000000159428
1	27401867	30161880	635	16	0.0000832698	0.000000236246
1	30161881	32438684	990	16	0.0001933479	0.000000283595
1	32438685	34799757	722	16	0.0000517932	0.000000274757
1	34799758	37549182	645	16	0.0001204382	0.000000278429
1	37549183	38731846	441	16	0.0002734041	0.000000185001
1	38731847	40200566	461	16	0.0001182012	0.000000188390
1	40200567	41975326	586	16	0.0000728195	0.000000218485
1	41975327	43758456	592	16	0.0001022146	0.000000217389
1	43758457	44969182	395	16	-0.0000282432	0.000000128733
1	44969183	46899500	508	16	0.0000719829	0.000000138195
1	46899501	48002575	334	16	-0.0000090535	0.000000113239
1	48002576	48978187	359	16	0.0000388431	0.000000146540
1	48978188	49894176	252	16	0.0002052434	0.000000109535
1	49894177	51713725	285	16	0.0001369637	0.000000083019
1	51713726	54226261	575	16	0.0000483587	0.000000229920
1	54226262	56413116	883	16	0.0000841989	0.000000276780
1	56413117	57021727	271	16	-0.0000004382	0.000000091610
1	57021728	58865398	911	16	0.0001162406	0.000000278781
1	58865399	59890408	411	16	0.0001229558	0.000000155606
1	59890409	61922364	690	16	0.0000942222	0.000000277406
1	61922365	63455088	529	16	-0.0000807355	0.000000222474
1	63455089	65041703	692	16	0.0000252820	0.000000242777
1	65041704	66939403	669	16	0.0001657696	0.000000252132
1	66939404	68477894	712	16	0.0000562504	0.000000236942
1	68477895	69687615	395	16	0.0000174948	0.000000152390
1	69687616	71372469	561	16	-0.0001180161	0.000000194966
1	71372470	71684404	91	10	-0.0000007383	0.000000025702
1	71684405	74326906	562	16	0.0000713621	0.000000176414
1	74326907	76728134	750	16	0.0001896116	0.000000236938
1	76728135	79661197	1013	16	0.0001312116	0.000000279716
1	79661198	81354190	503	16	0.0001694490	0.000000195563
1	81354191	83991747	1019	16	0.0001325271	0.000000279798
1	83991748	84844494	337	16	0.0001067888	0.000000110833
1	84844495	86454750	671	16	0.0000399005	0.000000263012
1	86454751	88128630	613	16	-0.0000737772	0.000000227654
1	88128631	90066302	552	16	-0.0000067703	0.000000203041
1	90066303	91886316	600	16	0.0001259199	0.000000228840
1	91886317	93536458	534	16	0.0000161444	0.000000174117
1	93536459	94506190	271	16	0.0001242631	0.000000086345
1	94506191	96150892	696	16	-0.0000773165	0.000000266083
1	96150893	97885248	655	16	0.0000076905	0.000000199885
1	97885249	99800603	668	16	0.0004799332	0.000000257977
1	99800604	100826404	340	16	0.0002107709	0.000000123623
1	100826405	102041015	471	16	0.0003295383	0.000000185110
1	102041016	102898744	295	16	0.0001935656	0.000000109865
1	102898745	103914210	203	16	0.0000837044	0.000000065502
1	103914211	106087841	498	16	-0.0001235333	0.000000169410
1	106087842	108409664	764	16	-0.0000176217	0.000000270423
1	108409665	110303930	532	16	0.0001721600	0.000000205487
1	110303931	111741736	612	16	0.0002214766	0.000000285351
1	111741737	113273305	728	16	0.0001985003	0.000000283917
1	113273306	114873844	568	16	0.0000282765	0.000000214544
1	114873845	115880592	358	16	0.0001540136	0.000000123315
1	115880593	118839066	909	16	-0.0000372621	0.000000269197
1	118839067	144977493	544	16	0.0004328488	0.000000229209
1	144977494	148361252	482	16	0.0000276640	0.000000178227
1	148361253	151538880	360	16	-0.0000459884	0.000000107229
1	151538881	153180828	524	16	0.0001964764	0.000000166252
1	153180829	154770402	516	16	0.0000163162	0.000000187769
1	154770403	156336132	364	16	0.0002247881	0.000000144386
1	156336133	158027411	630	16	0.0002436796	0.000000261796
1	158027412	159913047	724	16	0.0000686156	0.000000275807
1	159913048	162346720	838	16	0.0001868467	0.000000283189
1	162346721	165191701	1261	16	0.0001599239	0.000000281508
1	165191702	166460516	579	16	0.0000597954	0.000000240741
1	166460517	169086323	1214	16	0.0000851473	0.000000276840
1	169086324	170557775	520	16	0.0000922804	0.000000178276
1	170557776	173097906	928	16	0.0001131788	0.000000278590
1	173097907	175089767	533	16	0.0000434326	0.000000112753
1	175089768	177433380	853	16	0.0001382422	0.000000280155
1	177433381	178944308	509	16	0.0000334983	0.000000176324
1	178944309	178954469	2	1	-0.0000092796	0.000000000370
1	178954470	181144120	780	16	0.0000310201	0.000000273460
1	181144121	182755355	663	16	0.0000377595	0.000000269591
1	182755356	184595512	665	16	0.0001115218	0.000000228534
1	184595513	186810022	613	16	0.0001743603	0.000000204472
1	186810023	188759944	709	16	0.0004475650	0.000000261316
1	188759945	189904129	253	16	0.0000322378	0.000000064859
1	189904130	191868929	598	16	0.0001790067	0.000000175214
1	191868930	194107441	673	16	0.0000223419	0.000000220040
1	194107442	196176200	636	16	0.0001615011	0.000000203673
1	196176201	197311513	191	15	0.0006076609	0.000000089198
1	197311514	199239883	552	16	0.0001132199	0.000000200098
1	199239884	200137648	351	16	0.0002438833	0.000000134762
1	200137649	201589974	711	16	0.0002329779	0.000000286069
1	201589975	203334733	639	16	0.0000447887	0.000000272479
1	203334734	204681067	529	16	0.0003331755	0.000000234682
1	204681068	206073264	558	16	-0.0000277274	0.000000225775
1	206073265	208410363	689	16	0.0000707755	0.000000275942
1	208410364	210787749	1002	16	0.0000365799	0.000000273807
1	210787750	212842329	733	16	-0.0000365422	0.000000269242
1	212842330	214578265	634	16	0.0002282208	0.000000277200
1	214578266	216243633	629	16	-0.0000103903	0.000000236965
1	216243634	218705512	1146	16	0.0002932433	0.000000289832
1	218705513	219590570	313	16	-0.0000201076	0.000000105643
1	219590571	221858230	721	16	0.0001094309	0.000000271008
1	221858231	222230219	185	16	0.0001334162	0.000000081264
1	222230220	224938519	761	16	-0.0000022394	0.000000271384
