chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	79	16	0.0003745135	0.000000047423
1	1892607	3582735	371	16	0.0001702215	0.000000151411
1	3582736	4380810	241	16	0.0001210861	0.000000095232
1	4380811	5913892	833	16	-0.0000229137	0.000000219263
1	5913893	7247334	356	16	0.0002503290	0.000000136383
1	7247335	9365198	637	16	0.0001835881	0.000000230926
1	9365199	10806983	296	16	0.0004354541	0.000000118003
1	10806984	11777840	218	16	0.0003252012	0.000000095900
1	11777841	12779465	188	16	0.0001643732	0.000000079283
1	12779466	14891510	567	16	0.0003091000	0.000000230102
1	14891511	16897729	588	16	0.0000304731	0.000000202630
1	16897730	18662898	569	16	0.0002848726	0.000000221860
1	18662899	20469148	624	16	0.0002253914	0.000000233287
1	20469149	21736587	391	16	-0.0000189085	0.000000129408
1	21736588	23086882	444	16	0.0015590166	0.000000251781
1	23086883	23920589	179	16	-0.0000236997	0.000000059144
1	23920590	25516844	443	16	0.0000423437	0.000000166497
1	25516845	27401866	305	16	0.0002659344	0.000000110268
1	27401867	30161880	481	16	0.0001020783	0.000000155876
1	30161881	32438684	859	16	0.0001672559	0.000000230004
1	32438685	34799757	603	16	0.0002996839	0.000000224165
1	34799758	37549182	513	16	0.0000504830	0.000000174965
1	37549183	38731846	311	16	0.0000022964	0.000000105594
1	38731847	40200566	389	16	0.0002070760	0.000000143895
1	40200567	41975326	494	16	0.0002861089	0.000000167603
1	41975327	43758456	474	16	0.0005103492	0.000000170502
1	43758457	44969182	299	16	0.0000872752	0.000000094639
1	44969183	46899500	367	16	0.0000502214	0.000000091272
1	46899501	48002575	251	16	0.0000116373	0.000000074570
1	48002576	48978187	328	16	-0.0000311221	0.000000109022
1	48978188	49894176	229	16	0.0001782968	0.000000084720
1	49894177	51713725	240	16	-0.0001086074	0.000000047771
1	51713726	54226261	488	16	0.0001697721	0.000000175072
1	54226262	56413116	734	16	-0.0000167471	0.000000219612
1	56413117	57021727	246	16	0.0000573025	0.000000074578
1	57021728	58865398	819	16	0.0000800492	0.000000225079
1	58865399	59890408	354	16	0.0001580755	0.000000117843
1	59890409	61922364	628	16	-0.0000004121	0.000000218553
1	61922365	63455088	429	16	-0.0000570190	0.000000148791
1	63455089	65041703	617	16	0.0000427185	0.000000178795
1	65041704	66939403	591	16	0.0000356805	0.000000181253
1	66939404	68477894	622	16	0.0001783598	0.000000183581
1	68477895	69687615	355	16	0.0023127595	0.000000244731
1	69687616	71372469	483	16	-0.0000485172	0.000000144187
1	71372470	71684404	77	10	0.0000011851	0.000000018352
1	71684405	74326906	503	16	0.0000970686	0.000000135911
1	74326907	76728134	633	16	0.0001720923	0.000000177556
1	76728135	79661197	873	16	0.0000202376	0.000000221701
1	79661198	81354190	459	16	0.0001424328	0.000000150310
1	81354191	83991747	926	16	0.0001925810	0.000000231434
1	83991748	84844494	304	16	0.0001613209	0.000000088459
1	84844495	86454750	586	16	0.0000712118	0.000000196203
1	86454751	88128630	510	16	0.0002210328	0.000000177485
1	88128631	90066302	477	16	0.0002996572	0.000000166974
1	90066303	91886316	536	16	0.0004282258	0.000000188196
1	91886317	93536458	453	16	0.0003470704	0.000000145407
1	93536459	94506190	223	16	0.0001443834	0.000000064766
1	94506191	96150892	599	16	0.0002584839	0.000000207723
1	96150893	97885248	572	16	0.0000060887	0.000000149099
1	97885249	99800603	618	16	-0.0000171120	0.000000172581
1	99800604	100826404	277	16	0.0001687626	0.000000090585
1	100826405	102041015	417	16	0.0002656404	0.000000138590
1	102041016	102898744	264	16	0.0000201192	0.000000075468
1	102898745	103914210	179	16	0.0004153622	0.000000069127
1	103914211	106087841	440	16	0.0000118268	0.000000132490
