chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	16	0.0001467161	0.000000084328
1	1892607	3582735	442	16	0.0001511635	0.000000273606
1	3582736	4380810	277	16	0.0001439696	0.000000149278
1	4380811	5913892	894	16	0.0000104602	0.000000257846
1	5913893	7247334	406	16	0.0000857491	0.000000164175
1	7247335	9365198	710	16	0.0002128430	0.000000268341
1	9365199	10806983	345	16	0.0002183603	0.000000147857
1	10806984	11777840	266	16	-0.0000013511	0.000000126925
1	11777841	12779465	244	16	0.0000521615	0.000000141824
1	12779466	14891510	623	16	0.0000806041	0.000000266529
1	14891511	16897729	711	16	0.0002268665	0.000000289165
1	16897730	18662898	662	16	0.0002112474	0.000000280342
1	18662899	20469148	734	16	-0.0000159157	0.000000287695
1	20469149	21736587	444	16	0.0001003628	0.000000181581
1	21736588	23086882	511	16	0.0001271466	0.000000235455
1	23086883	23920589	213	16	-0.0000136108	0.000000079219
1	23920590	25516844	520	16	0.0001952654	0.000000236935
1	25516845	27401866	392	16	0.0001793486	0.000000138075
1	27401867	30161880	552	16	0.0000918028	0.000000204046
1	30161881	32438684	953	16	0.0000400304	0.000000255283
1	32438685	34799757	684	16	0.0001054201	0.000000261239
1	34799758	37549182	575	16	0.0000996051	0.000000245651
1	37549183	38731846	369	16	0.0001501769	0.000000148896
1	38731847	40200566	441	16	0.0002560025	0.000000183875
1	40200567	41975326	546	16	0.0003094823	0.000000198101
1	41975327	43758456	567	16	0.0001988160	0.000000201752
1	43758457	44969182	366	16	0.0001651085	0.000000124271
1	44969183	46899500	447	16	0.0005688606	0.000000135583
1	46899501	48002575	296	16	-0.0000330820	0.000000090695
1	48002576	48978187	349	16	0.0000433307	0.000000125485
1	48978188	49894176	245	16	0.0001666470	0.000000089083
1	49894177	51713725	256	16	0.0000618406	0.000000061661
1	51713726	54226261	547	16	0.0003919552	0.000000222060
1	54226262	56413116	842	16	0.0000960452	0.000000268377
1	56413117	57021727	263	16	0.0002734424	0.000000095090
1	57021728	58865398	884	16	-0.0001034349	0.000000254790
1	58865399	59890408	396	16	0.0000250708	0.000000136492
1	59890409	61922364	675	16	-0.0000089080	0.000000256939
1	61922365	63455088	516	16	-0.0000268399	0.000000223636
1	63455089	65041703	672	16	-0.0000117770	0.000000217544
1	65041704	66939403	646	16	0.0001058556	0.000000208631
1	66939404	68477894	689	16	0.0001016581	0.000000206158
1	68477895	69687615	388	16	0.0000317093	0.000000139459
1	69687616	71372469	536	16	0.0001156256	0.000000196071
1	71372470	71684404	83	10	0.0001105232	0.000000025678
1	71684405	74326906	546	16	0.0000072495	0.000000151333
1	74326907	76728134	720	16	-0.0000237307	0.000000195888
1	76728135	79661197	959	16	-0.0000563910	0.000000251063
1	79661198	81354190	492	16	0.0002359443	0.000000180206
1	81354191	83991747	1000	16	0.0001143751	0.000000268609
1	83991748	84844494	320	16	0.0000583981	0.000000097288
1	84844495	86454750	654	16	0.0000643314	0.000000236395
1	86454751	88128630	586	16	-0.0000830565	0.000000214130
1	88128631	90066302	535	16	0.0002148585	0.000000198208
1	90066303	91886316	573	16	0.0002899729	0.000000220225
1	91886317	93536458	499	16	0.0000530147	0.000000154235
1	93536459	94506190	248	16	0.0000595530	0.000000072948
1	94506191	96150892	673	16	0.0002744816	0.000000263185
1	96150893	97885248	616	16	0.0003301847	0.000000193560
1	97885249	99800603	653	16	0.0000979064	0.000000217503
1	99800604	100826404	330	16	0.0000333060	0.000000094774
1	100826405	102041015	448	16	0.0001348306	0.000000147822
1	102041016	102898744	286	16	0.0003817235	0.000000123671
1	102898745	103914210	198	16	0.0004601730	0.000000076892
1	103914211	106087841	477	16	0.0000480831	0.000000162130
1	106087842	108409664	749	16	-0.0000562583	0.000000256555
1	108409665	110303930	494	16	0.0003659012	0.000000208777
1	110303931	111741736	580	16	-0.0000291198	0.000000260835
1	111741737	113273305	708	16	0.0002038596	0.000000266691
1	113273306	114873844	521	16	-0.0000625562	0.000000188858
1	114873845	115880592	335	16	0.0001059459	0.000000102502
1	115880593	118839066	870	16	0.0000682085	0.000000276745
1	118839067	144977493	531	16	0.0002843936	0.000000196281
1	144977494	148361252	440	16	0.0000186846	0.000000142722
