chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	14	0.0000495086	0.000000053482
1	1892607	3582735	424	14	0.0003328087	0.000000261325
1	3582736	4380810	264	14	0.0006138620	0.000000177320
1	4380811	5913892	846	14	0.0001231639	0.000000344319
1	5913893	7247334	419	14	0.0000801289	0.000000219822
1	7247335	9365198	678	14	-0.0000303965	0.000000333839
1	9365199	10806983	345	14	0.0000522010	0.000000160685
1	10806984	11777840	250	14	-0.0000060810	0.000000127017
1	11777841	12779465	277	14	0.0000853400	0.000000152908
1	12779466	14891510	602	14	0.0001558898	0.000000346553
1	14891511	16897729	654	14	-0.0000055475	0.000000332407
1	16897730	18662898	641	14	-0.0000445382	0.000000332874
1	18662899	20469148	701	14	-0.0000543462	0.000000332204
1	20469149	21736587	445	14	0.0000621546	0.000000226425
1	21736588	23086882	502	14	0.0003624928	0.000000302397
1	23086883	23920589	219	14	0.0001643764	0.000000114719
1	23920590	25516844	510	14	0.0001015174	0.000000286141
1	25516845	27401866	403	14	0.0002892330	0.000000189535
1	27401867	30161880	536	14	0.0002045768	0.000000256976
1	30161881	32438684	889	14	0.0002031199	0.000000349776
1	32438685	34799757	658	14	0.0003325424	0.000000357826
1	34799758	37549182	544	14	-0.0000042658	0.000000269990
1	37549183	38731846	364	14	0.0002310764	0.000000187647
1	38731847	40200566	436	14	0.0001995562	0.000000227207
1	40200567	41975326	539	14	0.0002179746	0.000000262256
1	41975327	43758456	521	14	-0.0001162217	0.000000219332
1	43758457	44969182	359	14	0.0000547691	0.000000152839
1	44969183	46899500	446	14	0.0003069187	0.000000170525
1	46899501	48002575	290	14	0.0001234800	0.000000130556
1	48002576	48978187	331	14	0.0002346355	0.000000179743
1	48978188	49894176	243	14	-0.0000215161	0.000000115625
1	49894177	51713725	254	14	0.0003869055	0.000000112080
1	51713726	54226261	553	14	0.0000754249	0.000000277642
1	54226262	56413116	813	14	0.0001927034	0.000000349065
1	56413117	57021727	260	14	0.0002525135	0.000000125743
1	57021728	58865398	826	14	0.0001435090	0.000000345708
1	58865399	59890408	370	14	0.0000460074	0.000000166324
1	59890409	61922364	657	14	-0.0000045395	0.000000335604
1	61922365	63455088	517	14	-0.0000004610	0.000000261361
1	63455089	65041703	636	14	-0.0001083967	0.000000266631
1	65041704	66939403	636	14	0.0000762713	0.000000297225
1	66939404	68477894	670	14	0.0000328863	0.000000276240
1	68477895	69687615	375	14	0.0000782814	0.000000178681
1	69687616	71372469	507	14	-0.0000073485	0.000000228868
1	71372470	71684404	82	10	0.0002324929	0.000000043986
1	71684405	74326906	545	14	-0.0000386500	0.000000203307
1	74326907	76728134	714	14	0.0000639046	0.000000279096
1	76728135	79661197	925	14	0.0000793623	0.000000341330
1	79661198	81354190	453	14	-0.0000004209	0.000000208007
1	81354191	83991747	945	14	0.0000593450	0.000000339964
1	83991748	84844494	306	14	0.0003151120	0.000000140879
1	84844495	86454750	634	14	-0.0000577328	0.000000302559
1	86454751	88128630	553	14	0.0003147727	0.000000282785
