chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	92	17	-0.0000632174	0.0000000119
1	1892607	3582735	405	40	0.0000220936	0.0000000293
1	3582736	4380810	262	40	0.0002192312	0.0000000177
1	4380811	5913892	862	40	-0.0000212577	0.0000000286
1	5913893	7247334	409	40	0.0000485425	0.0000000187
1	7247335	9365198	680	40	0.0000684742	0.0000000281
1	9365199	10806983	338	40	-0.0001437503	0.0000000159
1	10806984	11777840	246	40	-0.0000727305	0.0000000139
1	11777841	12779465	276	40	-0.0001581718	0.0000000170
1	12779466	14891510	607	40	0.0001334821	0.0000000316
1	14891511	16897729	656	40	-0.0000615910	0.0000000303
1	16897730	18662898	637	40	-0.0000093535	0.0000000294
1	18662899	20469148	684	40	0.0001324832	0.0000000313
1	20469149	21736587	450	40	0.0000789318	0.0000000247
1	21736588	23086882	506	40	0.0001346432	0.0000000271
1	23086883	23920589	214	27	0.0000918990	0.0000000116
1	23920590	25516844	499	40	0.0001254502	0.0000000300
1	25516845	27401866	386	40	0.0002773180	0.0000000269
1	27401867	30161880	523	40	0.0000981476	0.0000000204
1	30161881	32438684	902	40	0.0001426047	0.0000000319
1	32438685	34799757	644	40	0.0000815529	0.0000000293
1	34799758	37549182	526	40	0.0000013602	0.0000000234
1	37549183	38731846	358	40	0.0000804551	0.0000000184
1	38731847	40200566	424	40	0.0001991320	0.0000000229
1	40200567	41975326	540	40	0.0000140863	0.0000000261
1	41975327	43758456	531	40	0.0001422059	0.0000000214
1	43758457	44969182	351	35	-0.0001928070	0.0000000173
1	44969183	46899500	440	38	0.0002346699	0.0000000171
1	46899501	48002575	280	33	0.0000906324	0.0000000178
1	48002576	48978187	339	40	-0.0000208140	0.0000000187
1	48978188	49894176	237	28	0.0000091659	0.0000000114
1	49894177	51713725	252	25	-0.0000043611	0.0000000101
1	51713726	54226261	546	40	-0.0001958329	0.0000000294
1	54226262	56413116	812	40	-0.0000857416	0.0000000301
1	56413117	57021727	265	31	0.0002024993	0.0000000131
1	57021728	58865398	824	40	0.0001388557	0.0000000296
1	58865399	59890408	371	40	-0.0000125400	0.0000000186
1	59890409	61922364	660	40	-0.0000068304	0.0000000288
1	61922365	63455088	522	40	-0.0000366970	0.0000000642
1	63455089	65041703	642	40	-0.0000388968	0.0000000240
1	65041704	66939403	634	40	0.0000044611	0.0000000246
1	66939404	68477894	663	40	0.0000738029	0.0000000279
1	68477895	69687615	382	40	-0.0000369276	0.0000000185
1	69687616	71372469	506	40	-0.0000174911	0.0000000198
1	71372470	71684404	81	10	0.0001451481	0.0000000045
1	71684405	74326906	558	40	0.0001606647	0.0000000187
1	74326907	76728134	711	40	0.0001157025	0.0000000249
1	76728135	79661197	923	40	-0.0000166369	0.0000000292
1	79661198	81354190	470	40	0.0000429422	0.0000000201
1	81354191	83991747	965	40	-0.0001821091	0.0000000310
1	83991748	84844494	305	34	0.0000166297	0.0000000132
1	84844495	86454750	634	40	-0.0000676396	0.0000000267
1	86454751	88128630	551	40	0.0001113992	0.0000000238
1	88128631	90066302	515	40	-0.0000786452	0.0000000236
1	90066303	91886316	552	40	-0.0000487658	0.0000000287
1	91886317	93536458	500	40	-0.0000885841	0.0000000212
1	93536459	94506190	245	26	-0.0000394529	0.0000000100
1	94506191	96150892	640	40	0.0000965319	0.0000000264
1	96150893	97885248	598	40	0.0000167958	0.0000000222
1	97885249	99800603	632	40	-0.0000801253	0.0000000239
1	99800604	100826404	329	36	-0.0001140660	0.0000000142
1	100826405	102041015	439	40	-0.0001093757	0.0000000191
1	102041016	102898744	271	36	-0.0000046566	0.0000000164
1	102898745	103914210	196	21	0.0000981742	0.0000000078
1	103914211	106087841	452	40	-0.0000176384	0.0000000191
