chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	81	15	0.0000728054	0.000000037751
1	1892607	3582735	380	16	0.0000513175	0.000000176050
1	3582736	4380810	246	16	0.0000115145	0.000000107642
1	4380811	5913892	844	16	0.0001769146	0.000000278951
1	5913893	7247334	375	16	0.0001338039	0.000000165102
1	7247335	9365198	660	16	0.0002731131	0.000000284938
1	9365199	10806983	314	16	-0.0000621088	0.000000113639
1	10806984	11777840	231	16	0.0002110607	0.000000111052
1	11777841	12779465	219	16	-0.0000128096	0.000000101961
1	12779466	14891510	586	16	-0.0000235906	0.000000266471
1	14891511	16897729	624	16	0.0001229780	0.000000264791
1	16897730	18662898	609	16	0.0000862438	0.000000272102
1	18662899	20469148	648	16	0.0001491476	0.000000277222
1	20469149	21736587	418	16	-0.0000547083	0.000000166154
1	21736588	23086882	472	16	0.0002785664	0.000000228093
1	23086883	23920589	193	16	0.0002030084	0.000000092016
1	23920590	25516844	473	16	0.0000136584	0.000000212240
1	25516845	27401866	353	16	0.0000007824	0.000000128156
1	27401867	30161880	502	16	0.0001012066	0.000000195414
1	30161881	32438684	878	16	0.0002291880	0.000000282204
1	32438685	34799757	619	16	0.0000661477	0.000000260659
1	34799758	37549182	501	16	0.0001338761	0.000000211657
1	37549183	38731846	335	16	0.0001890612	0.000000146210
1	38731847	40200566	404	16	0.0001537051	0.000000171289
1	40200567	41975326	515	16	0.0001720331	0.000000203198
1	41975327	43758456	511	16	0.0000777817	0.000000186077
1	43758457	44969182	330	16	-0.0000478483	0.000000112403
1	44969183	46899500	413	16	-0.0000165201	0.000000112749
1	46899501	48002575	261	16	-0.0000145240	0.000000092507
1	48002576	48978187	330	16	0.0000542877	0.000000138972
1	48978188	49894176	230	16	0.0002428824	0.000000105757
1	49894177	51713725	242	16	0.0001318452	0.000000074975
1	51713726	54226261	510	16	0.0000478830	0.000000210338
1	54226262	56413116	772	16	-0.0000065519	0.000000267531
1	56413117	57021727	244	16	-0.0000253322	0.000000084118
1	57021728	58865398	805	16	0.0001287181	0.000000275951
1	58865399	59890408	357	16	0.0001273105	0.000000139712
1	59890409	61922364	634	16	0.0001020222	0.000000274289
1	61922365	63455088	462	16	-0.0000902724	0.000000192629
1	63455089	65041703	619	16	0.0000325009	0.000000216291
1	65041704	66939403	611	16	0.0001745572	0.000000234961
1	66939404	68477894	636	16	0.0000917075	0.000000221119
1	68477895	69687615	373	16	0.0000254852	0.000000146391
1	69687616	71372469	486	16	-0.0001296674	0.000000172116
1	71372470	71684404	78	10	0.0000166549	0.000000023708
1	71684405	74326906	521	16	0.0000946631	0.000000167639
1	74326907	76728134	680	16	0.0001540058	0.000000221520
1	76728135	79661197	895	16	0.0001191931	0.000000275358
1	79661198	81354190	465	16	0.0001808846	0.000000184623
1	81354191	83991747	943	16	0.0001642768	0.000000278164
1	83991748	84844494	298	16	0.0001476802	0.000000104556
1	84844495	86454750	609	16	0.0000352907	0.000000243308
1	86454751	88128630	531	16	-0.0000534978	0.000000200615
1	88128631	90066302	501	16	-0.0000283308	0.000000185699
1	90066303	91886316	540	16	0.0001328453	0.000000207025
1	91886317	93536458	465	16	0.0000260088	0.000000156246
1	93536459	94506190	228	16	0.0001299469	0.000000077379
1	94506191	96150892	621	16	-0.0000652947	0.000000242969
1	96150893	97885248	577	16	0.0000241985	0.000000183884
1	97885249	99800603	617	16	0.0005036958	0.000000241478
1	99800604	100826404	313	16	0.0002245726	0.000000117096
1	100826405	102041015	419	16	0.0003302646	0.000000171756
1	102041016	102898744	267	16	0.0001809192	0.000000103496
1	102898745	103914210	183	16	0.0000296305	0.000000059189
1	103914211	106087841	448	16	-0.0000982634	0.000000157922
1	106087842	108409664	702	16	-0.0000111165	0.000000267247
1	108409665	110303930	452	16	0.0001966041	0.000000179475
1	110303931	111741736	530	16	0.0001717244	0.000000244723
1	111741737	113273305	649	16	0.0001512307	0.000000269541
1	113273306	114873844	480	16	0.0000235227	0.000000187781
1	114873845	115880592	318	16	0.0001805344	0.000000117001
1	115880593	118839066	764	16	-0.0000382286	0.000000265559
1	118839067	144977493	489	16	0.0004415885	0.000000215362
1	144977494	148361252	401	16	0.0000880958	0.000000157344
1	148361253	151538880	283	16	-0.0000360794	0.000000094287
1	151538881	153180828	420	16	0.0001687678	0.000000147114
1	153180829	154770402	413	16	-0.0000290113	0.000000153395
1	154770403	156336132	255	16	0.0002048937	0.000000113275
1	156336133	158027411	541	16	0.0002562699	0.000000229017
1	158027412	159913047	632	16	0.0000944024	0.000000260030
1	159913048	162346720	723	16	0.0001540098	0.000000277525
