chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	99	14	0.0001600067	0.000000076690
1	1892607	3582735	436	14	0.0000624413	0.000000272677
1	3582736	4380810	272	14	0.0000243420	0.000000136967
1	4380811	5913892	858	14	0.0000495750	0.000000275919
1	5913893	7247334	427	14	0.0000891007	0.000000184967
1	7247335	9365198	696	14	-0.0000029459	0.000000274368
1	9365199	10806983	352	14	0.0001347836	0.000000147376
1	10806984	11777840	252	14	0.0001291733	0.000000127940
1	11777841	12779465	284	14	0.0003287188	0.000000173610
1	12779466	14891510	615	14	0.0003168205	0.000000299164
1	14891511	16897729	690	14	-0.0000004548	0.000000282404
1	16897730	18662898	666	14	0.0001640867	0.000000298869
1	18662899	20469148	713	14	0.0001439074	0.000000301388
1	20469149	21736587	459	14	0.0001098930	0.000000196289
1	21736588	23086882	521	14	0.0001676828	0.000000255991
1	23086883	23920589	220	14	0.0003933749	0.000000104283
1	23920590	25516844	519	14	0.0002934068	0.000000256378
1	25516845	27401866	411	14	0.0004235950	0.000000163346
1	27401867	30161880	546	14	0.0001307041	0.000000213092
1	30161881	32438684	927	14	0.0002775529	0.000000283015
1	32438685	34799757	673	14	0.0000899357	0.000000276779
1	34799758	37549182	554	14	-0.0000065209	0.000000228706
1	37549183	38731846	367	14	0.0007242119	0.000000183197
1	38731847	40200566	446	14	0.0006541317	0.000000222948
1	40200567	41975326	551	14	0.0001218160	0.000000204940
1	41975327	43758456	539	14	0.0000875140	0.000000185457
1	43758457	44969182	368	14	0.0002858523	0.000000137489
1	44969183	46899500	457	14	0.0001905559	0.000000123126
1	46899501	48002575	297	14	0.0011115300	0.000000158919
1	48002576	48978187	342	14	0.0002157298	0.000000138689
1	48978188	49894176	247	14	0.0003843437	0.000000109439
1	49894177	51713725	254	14	0.0000701637	0.000000065674
1	51713726	54226261	561	14	0.0001620674	0.000000227399
1	54226262	56413116	828	14	0.0001430115	0.000000283748
1	56413117	57021727	271	14	0.0001569635	0.000000092653
1	57021728	58865398	846	14	0.0002969236	0.000000286429
1	58865399	59890408	383	14	0.0001060752	0.000000137479
1	59890409	61922364	667	14	0.0000525303	0.000000277927
1	61922365	63455088	533	14	0.0004531813	0.000000252240
1	63455089	65041703	658	14	0.0001432738	0.000000231720
1	65041704	66939403	641	14	0.0003049270	0.000000238546
1	66939404	68477894	679	14	0.0001780003	0.000000220583
1	68477895	69687615	375	14	-0.0000198069	0.000000144538
1	69687616	71372469	515	14	-0.0000473767	0.000000184029
1	71372470	71684404	82	10	0.0000678833	0.000000023918
1	71684405	74326906	556	14	0.0001712803	0.000000168309
1	74326907	76728134	711	14	-0.0000497625	0.000000211281
1	76728135	79661197	943	14	-0.0000738974	0.000000266489
1	79661198	81354190	466	14	0.0000287481	0.000000170849
1	81354191	83991747	960	14	0.0000618986	0.000000278629
1	83991748	84844494	312	14	0.0001300900	0.000000102474
1	84844495	86454750	643	14	0.0001914718	0.000000255179
1	86454751	88128630	564	14	0.0003264492	0.000000235817
1	88128631	90066302	517	14	0.0001791067	0.000000200286
1	90066303	91886316	557	14	0.0002403684	0.000000221143
1	91886317	93536458	508	14	0.0001033026	0.000000161639
1	93536459	94506190	255	14	0.0001756176	0.000000086977
1	94506191	96150892	644	14	0.0002384716	0.000000260424
1	96150893	97885248	600	14	0.0001495237	0.000000188379
1	97885249	99800603	638	14	-0.0000418964	0.000000214190
1	99800604	100826404	314	14	-0.0000493664	0.000000092824
1	100826405	102041015	444	14	0.0001823615	0.000000154574
1	102041016	102898744	273	14	0.0000826606	0.000000105321
1	102898745	103914210	199	14	0.0001762655	0.000000063231
1	103914211	106087841	449	14	-0.0000561363	0.000000156857
1	106087842	108409664	723	14	0.0000025394	0.000000274052
1	108409665	110303930	557	14	0.0001811494	0.000000227047
1	110303931	111741736	567	14	0.0001456793	0.000000276059
1	111741737	113273305	719	14	0.0000087813	0.000000269679
1	113273306	114873844	509	14	-0.0000107369	0.000000197246
1	114873845	115880592	343	14	0.0002757891	0.000000120744
1	115880593	118839066	823	14	0.0003345975	0.000000295176
1	118839067	144977493	562	14	0.0000867010	0.000000196627
1	144977494	148361252	431	14	0.0002591613	0.000000156458
1	148361253	151538880	349	14	0.0002454592	0.000000121122
1	151538881	153180828	468	14	-0.0000018967	0.000000134331
1	153180829	154770402	459	14	0.0002736076	0.000000182099
1	154770403	156336132	306	14	0.0002102040	0.000000128707
1	156336133	158027411	594	14	0.0000645060	0.000000241454
1	158027412	159913047	675	14	0.0002720498	0.000000302204
1	159913048	162346720	870	14	0.0000766484	0.000000285207
1	162346721	165191701	1190	14	0.0002274797	0.000000284218
1	165191702	166460516	528	14	0.0001299893	0.000000231379
1	166460517	169086323	1098	14	0.0002059699	0.000000291396
1	169086324	170557775	554	14	0.0002422467	0.000000172547
1	170557776	173097906	898	14	0.0001044219	0.000000265487
1	173097907	175089767	410	14	0.0000053991	0.000000088879
1	175089768	177433380	783	14	-0.0000113753	0.000000260644
1	177433381	178944308	492	14	0.0003257636	0.000000177600
1	178944309	178954469	2	1	0.0002974339	0.000000043190
1	178954470	181144120	745	14	-0.0000212612	0.000000244841
1	181144121	182755355	599	14	0.0000861226	0.000000245602
1	182755356	184595512	629	14	0.0002873101	0.000000236686
1	184595513	186810022	521	14	0.0002102536	0.000000180633
1	186810023	188759944	619	14	0.0002799661	0.000000217465
1	188759945	189904129	218	14	-0.0000411272	0.000000053106
1	189904130	191868929	537	14	0.0001250762	0.000000143163
1	191868930	194107441	570	14	0.0000868419	0.000000198076
1	194107442	196176200	572	14	0.0000390414	0.000000171939
1	196176201	197311513	196	14	0.0001779393	0.000000057674
1	197311514	199239883	504	14	0.0000767827	0.000000178508
1	199239884	200137648	297	14	0.0002059747	0.000000111063
1	200137649	201589974	704	14	0.0001279023	0.000000290343
1	201589975	203334733	612	14	0.0001607387	0.000000291770
1	203334734	204681067	484	14	0.0000615814	0.000000200327
1	204681068	206073264	574	14	0.0007975933	0.000000290026
