chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	0.0001022313	0.000000004996
1	1892607	3582735	445	40	0.0001148484	0.000000014393
1	3582736	4380810	278	40	-0.0000107857	0.000000007286
1	4380811	5913892	871	40	0.0000611936	0.000000015373
1	5913893	7247334	438	40	0.0001000549	0.000000011828
1	7247335	9365198	702	40	0.0001835931	0.000000017123
1	9365199	10806983	354	40	-0.0000220235	0.000000006996
1	10806984	11777840	259	40	0.0000708075	0.000000007698
1	11777841	12779465	295	40	0.0001592632	0.000000008786
1	12779466	14891510	619	40	0.0000852493	0.000000015857
1	14891511	16897729	692	40	0.0000994013	0.000000016059
1	16897730	18662898	673	40	-0.0000300327	0.000000014345
1	18662899	20469148	720	40	0.0000102189	0.000000015033
1	20469149	21736587	461	40	0.0000588757	0.000000011018
1	21736588	23086882	525	40	0.0000584798	0.000000013864
1	23086883	23920589	222	28	0.0002009288	0.000000007679
1	23920590	25516844	526	40	-0.0000100802	0.000000012693
1	25516845	27401866	424	40	0.0000236828	0.000000008590
1	27401867	30161880	555	40	0.0001102316	0.000000013080
1	30161881	32438684	936	40	0.0001414424	0.000000016523
1	32438685	34799757	675	40	0.0001073691	0.000000016213
1	34799758	37549182	564	40	0.0000663124	0.000000013856
1	37549183	38731846	372	40	0.0000589709	0.000000008837
1	38731847	40200566	447	40	-0.0000180174	0.000000009423
1	40200567	41975326	556	40	0.0000197608	0.000000011585
1	41975327	43758456	546	40	0.0001505204	0.000000012653
1	43758457	44969182	372	35	0.0000478599	0.000000007858
1	44969183	46899500	459	38	0.0001112984	0.000000008618
1	46899501	48002575	299	33	0.0001190337	0.000000007641
1	48002576	48978187	344	40	0.0000398794	0.000000008292
1	48978188	49894176	247	28	0.0001397297	0.000000007562
1	49894177	51713725	260	25	0.0002436339	0.000000007618
1	51713726	54226261	564	40	0.0000060892	0.000000011975
1	54226262	56413116	841	40	0.0001301355	0.000000015918
1	56413117	57021727	273	31	0.0000370251	0.000000005305
1	57021728	58865398	851	40	0.0001632619	0.000000016966
1	58865399	59890408	383	40	0.0000516347	0.000000008394
1	59890409	61922364	672	40	0.0000209581	0.000000014475
1	61922365	63455088	546	40	0.0000369844	0.000000011322
1	63455089	65041703	659	40	-0.0000107598	0.000000012190
1	65041704	66939403	651	40	0.0001399542	0.000000014733
1	66939404	68477894	688	40	0.0000683011	0.000000013249
1	68477895	69687615	390	40	0.0000628909	0.000000009429
1	69687616	71372469	521	40	0.0000735622	0.000000011706
1	71372470	71684404	83	10	0.0000148469	0.000000001610
1	71684405	74326906	561	40	0.0006388350	0.000000017504
1	74326907	76728134	730	40	0.0002376318	0.000000015411
1	76728135	79661197	950	40	0.0003014955	0.000000018777
1	79661198	81354190	475	40	0.0000219586	0.000000010095
1	81354191	83991747	974	40	0.0000776584	0.000000015350
1	83991748	84844494	314	35	0.0000759999	0.000000006935
1	84844495	86454750	652	40	0.0000230577	0.000000013671
1	86454751	88128630	573	40	0.0000072901	0.000000012189
1	88128631	90066302	523	40	0.0000241338	0.000000010775
