chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	-0.0001126290	0.0000000067
1	1892607	3582735	440	40	0.0000334651	0.0000000192
1	3582736	4380810	273	40	0.0001629809	0.0000000112
1	4380811	5913892	870	40	0.0000539814	0.0000000223
1	5913893	7247334	430	40	0.0001394558	0.0000000166
1	7247335	9365198	700	40	0.0001994742	0.0000000245
1	9365199	10806983	352	40	0.0000410635	0.0000000104
1	10806984	11777840	259	40	0.0001047725	0.0000000109
1	11777841	12779465	282	40	0.0002012432	0.0000000124
1	12779466	14891510	618	40	0.0002085309	0.0000000232
1	14891511	16897729	690	40	0.0000324244	0.0000000228
1	16897730	18662898	666	40	0.0000360484	0.0000000212
1	18662899	20469148	713	40	0.0000386003	0.0000000211
1	20469149	21736587	461	40	0.0000998536	0.0000000168
1	21736588	23086882	523	40	0.0000353229	0.0000000205
1	23086883	23920589	222	28	-0.0001093331	0.0000000109
1	23920590	25516844	522	40	0.0000410930	0.0000000194
1	25516845	27401866	413	40	0.0000559013	0.0000000119
1	27401867	30161880	552	40	0.0000197650	0.0000000188
1	30161881	32438684	936	40	0.0001701000	0.0000000241
1	32438685	34799757	675	40	0.0002173062	0.0000000234
1	34799758	37549182	552	40	0.0000599366	0.0000000195
1	37549183	38731846	373	40	0.0000910144	0.0000000122
1	38731847	40200566	447	40	0.0000368566	0.0000000150
1	40200567	41975326	555	40	-0.0000024932	0.0000000176
1	41975327	43758456	543	40	0.0001127267	0.0000000191
1	43758457	44969182	371	35	0.0000880483	0.0000000121
1	44969183	46899500	458	38	0.0001432125	0.0000000125
1	46899501	48002575	297	33	0.0002393153	0.0000000111
1	48002576	48978187	344	40	0.0001237964	0.0000000124
1	48978188	49894176	247	28	0.0001862262	0.0000000107
1	49894177	51713725	260	25	0.0002797487	0.0000000119
1	51713726	54226261	563	40	0.0000368215	0.0000000177
1	54226262	56413116	838	40	0.0001449062	0.0000000249
1	56413117	57021727	272	31	0.0000130924	0.0000000081
1	57021728	58865398	851	40	0.0001143704	0.0000000241
1	58865399	59890408	383	40	0.0001593379	0.0000000134
1	59890409	61922364	671	40	0.0001166394	0.0000000209
1	61922365	63455088	534	40	-0.0000164938	0.0000000177
1	63455089	65041703	657	40	0.0000355405	0.0000000178
1	65041704	66939403	649	40	0.0000843892	0.0000000213
1	66939404	68477894	687	40	0.0000199535	0.0000000195
1	68477895	69687615	389	40	0.0001689194	0.0000000135
1	69687616	71372469	520	40	0.0000648098	0.0000000170
1	71372470	71684404	82	10	0.0000027799	0.0000000024
1	71684405	74326906	559	40	0.0000247602	0.0000000238
1	74326907	76728134	727	40	0.0000298380	0.0000000222
1	76728135	79661197	949	40	0.0001943846	0.0000000259
1	79661198	81354190	475	40	-0.0000041672	0.0000000156
1	81354191	83991747	973	40	0.0001949819	0.0000000225
1	83991748	84844494	314	35	0.0001031942	0.0000000102
1	84844495	86454750	652	40	0.0000096646	0.0000000214
1	86454751	88128630	572	40	-0.0000529829	0.0000000179
1	88128631	90066302	523	40	0.0002379092	0.0000000164
1	90066303	91886316	563	40	-0.0000673706	0.0000000187
1	91886317	93536458	509	40	0.0000304301	0.0000000139
1	93536459	94506190	255	26	0.0000370232	0.0000000071
1	94506191	96150892	651	40	0.0000989113	0.0000000217
1	96150893	97885248	605	40	0.0004363277	0.0000000243
1	97885249	99800603	640	40	0.0002265995	0.0000000201
1	99800604	100826404	339	37	0.0001705626	0.0000000099
1	100826405	102041015	447	40	0.0001008851	0.0000000137
1	102041016	102898744	279	36	-0.0000583578	0.0000000093
1	102898745	103914210	201	21	0.0000232732	0.0000000054
1	103914211	106087841	455	40	0.0000005508	0.0000000164
1	106087842	108409664	726	40	-0.0000161621	0.0000000229
1	108409665	110303930	565	40	0.0003144940	0.0000000211
1	110303931	111741736	571	40	0.0000551358	0.0000000214
1	111741737	113273305	721	40	0.0001940316	0.0000000235
1	113273306	114873844	511	40	0.0000978323	0.0000000172
1	114873845	115880592	346	37	0.0000022718	0.0000000102
1	115880593	118839066	838	40	0.0000575506	0.0000000219
1	118839067	144977493	567	40	0.0001305845	0.0000000176
1	144977494	148361252	432	40	0.0002346962	0.0000000163
1	148361253	151538880	349	34	0.0000766703	0.0000000134
1	151538881	153180828	468	40	0.0001189957	0.0000000129
1	153180829	154770402	460	40	-0.0000419603	0.0000000151
1	154770403	156336132	307	38	-0.0000897219	0.0000000129
1	156336133	158027411	599	40	0.0000762659	0.0000000206
1	158027412	159913047	686	40	0.0000264806	0.0000000210
1	159913048	162346720	876	40	0.0000870240	0.0000000215
1	162346721	165191701	1200	40	0.0000427437	0.0000000218
1	165191702	166460516	533	40	0.0000728915	0.0000000192
1	166460517	169086323	1107	40	0.0001694701	0.0000000224
1	169086324	170557775	560	40	0.0000581832	0.0000000140
1	170557776	173097906	902	40	0.0000830009	0.0000000221
1	173097907	175089767	412	32	0.0000115157	0.0000000098
1	175089768	177433380	784	40	0.0001593641	0.0000000246
1	177433381	178944308	492	40	0.0000522143	0.0000000232
1	178944309	178954469	2	1	-0.0000007631	0.0000000000
1	178954470	181144120	752	40	0.0000275802	0.0000000218
1	181144121	182755355	601	40	0.0000898598	0.0000000198
1	182755356	184595512	630	40	0.0001648744	0.0000000207
1	184595513	186810022	524	40	0.0000520691	0.0000000158
1	186810023	188759944	619	40	0.0002084768	0.0000000183
1	188759945	189904129	220	18	0.0000778498	0.0000000076
1	189904130	191868929	538	40	0.0002546397	0.0000000178
1	191868930	194107441	584	40	0.0000437574	0.0000000175
1	194107442	196176200	579	40	0.0001477590	0.0000000154
1	196176201	197311513	197	16	0.0000185420	0.0000000061
1	197311514	199239883	504	40	0.0000634148	0.0000000171
1	199239884	200137648	301	36	0.0000824714	0.0000000102
1	200137649	201589974	711	40	0.0000286600	0.0000000225
1	201589975	203334733	617	40	0.0000932556	0.0000000258
1	203334734	204681067	485	40	-0.0000322320	0.0000000162
1	204681068	206073264	578	40	0.0001280972	0.0000000211
1	206073265	208410363	633	40	0.0000138610	0.0000000223
1	208410364	210787749	932	40	0.0000076672	0.0000000270
1	210787750	212842329	698	40	0.0001088842	0.0000000233
1	212842330	214578265	614	40	0.0000030864	0.0000000219
1	214578266	216243633	595	40	0.0001290250	0.0000000205
1	216243634	218705512	1083	40	0.0000247984	0.0000000211
1	218705513	219590570	282	34	-0.0000025339	0.0000000101
1	219590571	221858230	690	40	-0.0001554048	0.0000000214
1	221858231	222230219	174	21	0.0000553888	0.0000000070
1	222230220	224938519	463	40	0.0001782675	0.0000000162
1	224938520	226810859	519	40	0.0000418296	0.0000000161
1	226810860	229156247	695	40	0.0001131244	0.0000000196
1	229156248	230685254	530	40	-0.0000472272	0.0000000176
1	230685255	232090251	590	40	-0.0000303089	0.0000000205
1	232090252	233429283	607	40	0.0000941533	0.0000000228
1	233429284	234599433	536	40	0.0000859047	0.0000000190
1	234599434	235819435	385	40	0.0001791672	0.0000000151
1	235819436	237555627	735	40	0.0000752631	0.0000000223
1	237555628	238567806	429	40	0.0000502285	0.0000000149
1	238567807	239925313	490	40	-0.0000345915	0.0000000173
1	239925314	240564090	343	40	0.0000895774	0.0000000124
1	240564091	241582219	521	40	0.0001335029	0.0000000221
1	241582220	242071601	220	38	0.0000987909	0.0000000082
1	242071602	244109498	622	40	0.0000350084	0.0000000247
1	244109499	245506745	520	40	0.0001191414	0.0000000205
1	245506746	247344517	711	40	0.0000339826	0.0000000211
1	247344518	249239465	400	40	0.0000155595	0.0000000154
2	10133	1781021	663	40	0.0005303771	0.0000000379
2	1781022	3973778	968	40	-0.0000264969	0.0000000228
2	3973779	5708336	631	40	0.0000828213	0.0000000224
2	5708337	6836253	565	40	0.0000907553	0.0000000197
2	6836254	8422146	656	40	0.0000038593	0.0000000218
2	8422147	10298468	674	40	0.0001197726	0.0000000225
2	10298469	12419149	974	40	0.0000898225	0.0000000233
2	12419150	14335307	593	40	-0.0000591657	0.0000000196
2	14335308	16329734	748	40	0.0001386402	0.0000000226
2	16329735	18647422	860	40	0.0001867802	0.0000000220
2	18647423	19692403	385	40	0.0000125458	0.0000000133
2	19692404	21050489	640	40	0.0000708852	0.0000000209
2	21050490	23341382	624	40	0.0002278493	0.0000000206
2	23341383	24686917	442	40	0.0000162911	0.0000000149
2	24686918	26894984	560	40	0.0000100372	0.0000000253
2	26894985	28598776	416	33	0.0003111176	0.0000000151
2	28598777	29217558	248	32	0.0001749687	0.0000000096
2	29217559	30463710	637	40	0.0001205559	0.0000000237
2	30463711	31550449	533	40	0.0002334204	0.0000000211
2	31550450	33363776	495	40	0.0001828652	0.0000000197
2	33363777	35345027	807	40	0.0000945642	0.0000000227
2	35345028	36122005	291	30	0.0001257176	0.0000000116
2	36122006	38132711	934	40	0.0000337548	0.0000000231
2	38132712	39031336	326	38	0.0000514827	0.0000000126
2	39031337	40281482	303	32	0.0001447081	0.0000000109
2	40281483	43309589	1311	40	0.0001612783	0.0000000250
2	43309590	44313802	403	40	0.0000174932	0.0000000146
2	44313803	46482633	1072	40	0.0001333214	0.0000000228
2	46482634	47318771	419	40	-0.0000363264	0.0000000172
2	47318772	48213000	300	40	0.0000959762	0.0000000120
