chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	81	17	0.0001262761	0.000000006936
1	1892607	3582735	370	40	0.0003864675	0.000000029646
1	3582736	4380810	241	40	0.0001953433	0.000000017842
1	4380811	5913892	848	40	0.0000866463	0.000000033643
1	5913893	7247334	359	40	0.0002229137	0.000000023518
1	7247335	9365198	638	40	0.0003791833	0.000000040179
1	9365199	10806983	298	40	0.0001919284	0.000000018523
1	10806984	11777840	220	40	0.0001436354	0.000000015245
1	11777841	12779465	188	40	0.0000590850	0.000000012173
1	12779466	14891510	570	40	0.0000643423	0.000000032237
1	14891511	16897729	591	40	0.0001778141	0.000000033153
1	16897730	18662898	568	40	0.0001168851	0.000000032310
1	18662899	20469148	626	40	0.0001369779	0.000000034768
1	20469149	21736587	394	40	0.0002267307	0.000000024748
1	21736588	23086882	446	40	0.0001219484	0.000000026948
1	23086883	23920589	181	26	0.0000415284	0.000000010406
1	23920590	25516844	445	40	0.0000248191	0.000000024782
1	25516845	27401866	307	40	0.0000290785	0.000000015151
1	27401867	30161880	483	40	0.0000425435	0.000000023258
1	30161881	32438684	865	40	0.0000988726	0.000000033916
1	32438685	34799757	607	40	0.0000946666	0.000000032331
1	34799758	37549182	508	40	0.0000357210	0.000000025666
1	37549183	38731846	322	40	0.0001923297	0.000000020680
1	38731847	40200566	390	40	0.0003415434	0.000000027433
1	40200567	41975326	497	40	0.0001597234	0.000000026126
1	41975327	43758456	478	40	0.0001490201	0.000000024546
1	43758457	44969182	303	34	0.0003162669	0.000000020785
1	44969183	46899500	369	37	0.0000599098	0.000000014892
1	46899501	48002575	255	32	0.0001474000	0.000000014701
1	48002576	48978187	330	40	0.0000429966	0.000000017735
1	48978188	49894176	230	28	0.0000247625	0.000000012100
1	49894177	51713725	245	25	0.0000679638	0.000000010119
1	51713726	54226261	491	40	0.0001731624	0.000000028411
1	54226262	56413116	737	40	0.0001343790	0.000000034710
1	56413117	57021727	245	29	0.0000731997	0.000000012550
1	57021728	58865398	820	40	0.0001877656	0.000000035902
1	58865399	59890408	353	40	0.0004353074	0.000000026090
1	59890409	61922364	631	40	0.0002233489	0.000000036503
1	61922365	63455088	429	40	0.0001661090	0.000000026204
1	63455089	65041703	618	40	-0.0000687992	0.000000024297
1	65041704	66939403	602	40	0.0003664330	0.000000034653
1	66939404	68477894	629	40	0.0002679929	0.000000031555
1	68477895	69687615	369	40	0.0000677762	0.000000019237
1	69687616	71372469	488	40	0.0000682756	0.000000023512
1	71372470	71684404	77	10	0.0000858374	0.000000004801
1	71684405	74326906	505	40	0.0003120165	0.000000026521
1	74326907	76728134	646	40	0.0003824572	0.000000033530
1	76728135	79661197	878	40	0.0000870095	0.000000033651
1	79661198	81354190	466	40	0.0001184938	0.000000023929
1	81354191	83991747	936	40	0.0002343254	0.000000036943
1	83991748	84844494	305	35	0.0002512668	0.000000017828
1	84844495	86454750	592	40	0.0000586340	0.000000029394
1	86454751	88128630	513	40	0.0000975261	0.000000026724
1	88128631	90066302	483	40	0.0001028813	0.000000024731
1	90066303	91886316	537	40	0.0002591560	0.000000030009
1	91886317	93536458	453	40	0.0000586234	0.000000020176
1	93536459	94506190	224	25	0.0000556691	0.000000010033
1	94506191	96150892	608	40	0.0000387592	0.000000029338
1	96150893	97885248	574	40	0.0004250500	0.000000031529
1	97885249	99800603	621	40	0.0004503938	0.000000035689
1	99800604	100826404	300	36	0.0001372702	0.000000015732
1	100826405	102041015	420	40	-0.0000258944	0.000000018103
1	102041016	102898744	270	36	0.0003817543	0.000000020164
1	102898745	103914210	180	21	-0.0000315984	0.000000006536
1	103914211	106087841	447	40	0.0002138851	0.000000024780
1	106087842	108409664	699	40	0.0001990196	0.000000036154
1	108409665	110303930	398	40	0.0000288852	0.000000018625
1	110303931	111741736	512	40	0.0000745506	0.000000028589
1	111741737	113273305	627	40	0.0001590246	0.000000033963
1	113273306	114873844	471	40	0.0000515618	0.000000023331
1	114873845	115880592	306	36	0.0000557859	0.000000014360
1	115880593	118839066	746	40	0.0000387566	0.000000032573
1	118839067	144977493	464	40	0.0000664736	0.000000023408
1	144977494	148361252	374	40	0.0004814961	0.000000028514
1	148361253	151538880	250	28	0.0003996513	0.000000019871
1	151538881	153180828	405	40	0.0000868710	0.000000018459
1	153180829	154770402	369	40	0.0002839575	0.000000023925
1	154770403	156336132	218	33	0.0001838853	0.000000015575
1	156336133	158027411	489	40	0.0000662089	0.000000025000
1	158027412	159913047	562	40	0.0000566947	0.000000029480
1	159913048	162346720	640	40	0.0001893544	0.000000035938
1	162346721	165191701	1125	40	0.0001266826	0.000000034538
1	165191702	166460516	500	40	0.0008988674	0.000000045566
1	166460517	169086323	1014	40	0.0002285185	0.000000036813
1	169086324	170557775	432	40	0.0001534800	0.000000021971
1	170557776	173097906	753	40	0.0000803533	0.000000033503
1	173097907	175089767	377	30	0.0001721801	0.000000015378
1	175089768	177433380	721	40	0.0002023674	0.000000035385
1	177433381	178944308	409	40	0.0004897484	0.000000028889
1	178944309	178954469	2	1	-0.0000027379	0.000000000062
1	178954470	181144120	650	40	0.0003196741	0.000000035868
1	181144121	182755355	558	40	0.0000791417	0.000000029981
1	182755356	184595512	559	40	0.0001943196	0.000000028498
1	184595513	186810022	460	40	0.0001276334	0.000000022413
1	186810023	188759944	601	40	0.0003740660	0.000000033600
1	188759945	189904129	218	18	-0.0000187381	0.000000007070
1	189904130	191868929	521	40	0.0003327893	0.000000026283
1	191868930	194107441	559	40	0.0001761506	0.000000027516
1	194107442	196176200	568	40	0.0001483994	0.000000025170
1	196176201	197311513	163	14	-0.0000111813	0.000000005683
1	197311514	199239883	485	40	0.0000942403	0.000000023835
1	199239884	200137648	290	35	0.0002548332	0.000000018977
1	200137649	201589974	594	40	0.0000817046	0.000000031654
1	201589975	203334733	525	40	0.0001991507	0.000000031564
1	203334734	204681067	406	40	0.0001729472	0.000000024569
1	204681068	206073264	476	40	0.0002785997	0.000000030057
1	206073265	208410363	520	40	0.0001154189	0.000000029759
1	208410364	210787749	867	40	0.0000264689	0.000000032299
1	210787750	212842329	649	40	-0.0000286486	0.000000031067
1	212842330	214578265	545	40	0.0001419408	0.000000031060
1	214578266	216243633	553	40	0.0000221855	0.000000026456
1	216243634	218705512	1039	40	0.0001367605	0.000000034763
1	218705513	219590570	269	34	0.0002156310	0.000000016909
1	219590571	221858230	618	40	0.0000924723	0.000000030472
1	221858231	222230219	166	21	0.0000587972	0.000000009915
1	222230220	224938519	416	40	0.0000897285	0.000000021886
1	224938520	226810859	444	40	0.0002085333	0.000000025617
1	226810860	229156247	589	40	0.0001811181	0.000000030517
1	229156248	230685254	444	40	0.0000741083	0.000000025561
1	230685255	232090251	517	40	0.0001177443	0.000000028588
1	232090252	233429283	569	40	0.0000822816	0.000000031861
1	233429284	234599433	500	40	0.0000698873	0.000000027585
1	234599434	235819435	346	40	0.0001406573	0.000000021432
1	235819436	237555627	642	40	0.0000518496	0.000000032866
1	237555628	238567806	385	40	0.0001077964	0.000000022289
1	238567807	239925313	473	40	0.0002400957	0.000000029776
1	239925314	240564090	322	40	0.0000672952	0.000000018023
1	240564091	241582219	497	40	0.0001650944	0.000000032094
1	241582220	242071601	191	36	0.0001330366	0.000000013755
1	242071602	244109498	609	40	0.0002997124	0.000000037170
1	244109499	245506745	483	40	0.0000929893	0.000000028550
1	245506746	247344517	662	40	0.0000684948	0.000000033238
1	247344518	249239465	334	40	0.0001377020	0.000000020414
2	10133	1781021	563	40	0.0004583625	0.000000038641
2	1781022	3973778	901	40	0.0002000089	0.000000036176
2	3973779	5708336	611	40	0.0000727296	0.000000033332
2	5708337	6836253	550	40	0.0001148611	0.000000028781
2	6836254	8422146	636	40	0.0002951965	0.000000037848
2	8422147	10298468	600	40	-0.0000628389	0.000000030174
2	10298469	12419149	881	40	0.0000418857	0.000000032643
2	12419150	14335307	567	40	0.0002040693	0.000000031545
2	14335308	16329734	710	40	0.0003130130	0.000000038701
2	16329735	18647422	814	40	0.0002766355	0.000000037888
2	18647423	19692403	374	40	0.0000161620	0.000000018976
2	19692404	21050489	582	40	0.0000709061	0.000000030184
2	21050490	23341382	550	40	0.0000508217	0.000000029994
2	23341383	24686917	395	40	0.0002482006	0.000000024971
2	24686918	26894984	456	40	0.0003472283	0.000000029794
2	26894985	28598776	242	26	0.0002414190	0.000000016729
2	28598777	29217558	202	28	0.0002073260	0.000000014717
2	29217559	30463710	592	40	0.0001851755	0.000000035325
2	30463711	31550449	474	40	0.0001645304	0.000000029954
2	31550450	33363776	441	40	0.0001321276	0.000000028266
2	33363777	35345027	756	40	0.0000956037	0.000000033843
2	35345028	36122005	281	30	0.0001246697	0.000000016333
2	36122006	38132711	865	40	0.0000823174	0.000000033546
2	38132712	39031336	300	37	0.0000804061	0.000000019202
2	39031337	40281482	280	30	0.0000823499	0.000000017347
2	40281483	43309589	1202	40	0.0001418532	0.000000034877
2	43309590	44313802	258	39	0.0002239359	0.000000020056
2	44313803	46482633	996	40	0.0001646586	0.000000035386
2	46482634	47318771	372	40	0.0000841700	0.000000024633
2	47318772	48213000	273	40	0.0001721158	0.000000020230
2	48213001	50022256	663	40	0.0002788708	0.000000037938
2	50022257	50818927	321	33	0.0001408571	0.000000019914
2	50818928	52491132	625	40	0.0002518126	0.000000037333
2	52491133	53508451	451	40	0.0000769049	0.000000024983
