chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	94	17	-0.0000175469	0.0000000016
1	1892607	3582735	410	40	0.0000319567	0.0000000089
1	3582736	4380810	256	40	-0.0000147872	0.0000000054
1	4380811	5913892	842	40	0.0000266331	0.0000000105
1	5913893	7247334	415	40	-0.0000428515	0.0000000078
1	7247335	9365198	676	40	0.0000168010	0.0000000103
1	9365199	10806983	340	40	0.0000478761	0.0000000059
1	10806984	11777840	247	40	-0.0000068314	0.0000000059
1	11777841	12779465	269	40	-0.0000301900	0.0000000058
1	12779466	14891510	600	40	-0.0000501062	0.0000000106
1	14891511	16897729	650	40	0.0000032842	0.0000000103
1	16897730	18662898	626	40	-0.0000068574	0.0000000110
1	18662899	20469148	683	40	0.0000585954	0.0000000106
1	20469149	21736587	445	40	-0.0000673980	0.0000000089
1	21736588	23086882	501	40	-0.0000942382	0.0000000103
1	23086883	23920589	218	28	0.0000770135	0.0000000045
1	23920590	25516844	507	40	0.0000724204	0.0000000092
1	25516845	27401866	401	40	-0.0000210803	0.0000000059
1	27401867	30161880	531	40	0.0000078236	0.0000000080
1	30161881	32438684	886	40	0.0000115844	0.0000000102
1	32438685	34799757	658	40	0.0000681146	0.0000000108
1	34799758	37549182	533	40	-0.0000528079	0.0000000097
1	37549183	38731846	361	40	0.0000123993	0.0000000062
1	38731847	40200566	436	40	-0.0000119673	0.0000000118
1	40200567	41975326	538	40	-0.0000647848	0.0000000087
1	41975327	43758456	519	40	0.0000599097	0.0000000092
1	43758457	44969182	359	35	-0.0000300198	0.0000000058
1	44969183	46899500	446	38	0.0000161452	0.0000000070
1	46899501	48002575	290	33	-0.0000489274	0.0000000049
1	48002576	48978187	331	40	0.0001094205	0.0000000062
1	48978188	49894176	243	28	-0.0000134872	0.0000000037
1	49894177	51713725	254	25	0.0000262188	0.0000000031
1	51713726	54226261	552	40	-0.0000412958	0.0000000096
1	54226262	56413116	809	40	-0.0000480688	0.0000000107
1	56413117	57021727	259	30	0.0000469764	0.0000000045
1	57021728	58865398	821	40	0.0000774811	0.0000000119
1	58865399	59890408	370	40	0.0000434871	0.0000000066
1	59890409	61922364	656	40	-0.0000091383	0.0000000107
1	61922365	63455088	512	40	0.0000122653	0.0000000088
1	63455089	65041703	633	40	-0.0000209159	0.0000000090
1	65041704	66939403	634	40	-0.0000005014	0.0000000101
1	66939404	68477894	668	40	0.0000598060	0.0000000094
1	68477895	69687615	374	40	0.0001291587	0.0000000065
1	69687616	71372469	505	40	-0.0000060038	0.0000000078
1	71372470	71684404	82	10	-0.0000147660	0.0000000009
1	71684405	74326906	543	40	0.0000169807	0.0000000069
1	74326907	76728134	714	40	0.0000416572	0.0000000095
1	76728135	79661197	920	40	0.0000103684	0.0000000107
1	79661198	81354190	453	40	-0.0000710905	0.0000000072
1	81354191	83991747	944	40	0.0000306543	0.0000000109
1	83991748	84844494	305	34	0.0000275556	0.0000000043
1	84844495	86454750	633	40	-0.0000213945	0.0000000104
1	86454751	88128630	548	40	0.0000010548	0.0000000088
1	88128631	90066302	509	40	0.0000030008	0.0000000095
1	90066303	91886316	543	40	0.0000280835	0.0000000082
1	91886317	93536458	493	40	0.0000124803	0.0000000070
1	93536459	94506190	252	26	-0.0000550974	0.0000000043
1	94506191	96150892	631	40	-0.0000192632	0.0000000096
1	96150893	97885248	587	40	0.0000143669	0.0000000088
1	97885249	99800603	622	40	-0.0000160907	0.0000000092
1	99800604	100826404	330	36	-0.0001046055	0.0000000045
1	100826405	102041015	438	40	0.0000178444	0.0000000069
1	102041016	102898744	271	36	0.0000405642	0.0000000045
1	102898745	103914210	197	21	-0.0000038056	0.0000000028
1	103914211	106087841	443	40	0.0000986641	0.0000000073
1	106087842	108409664	716	40	0.0000389787	0.0000000108
1	108409665	110303930	555	40	0.0000647880	0.0000000094
1	110303931	111741736	553	40	-0.0000223059	0.0000000107
1	111741737	113273305	702	40	0.0000486384	0.0000000111
1	113273306	114873844	503	40	0.0000568447	0.0000000084
1	114873845	115880592	337	36	-0.0000500402	0.0000000060
1	115880593	118839066	820	40	-0.0000543445	0.0000000107
1	118839067	144977493	549	40	0.0000811464	0.0000000087
1	144977494	148361252	424	40	0.0000298181	0.0000000066
1	148361253	151538880	347	34	-0.0000083649	0.0000000059
1	151538881	153180828	463	40	-0.0000286349	0.0000000064
1	153180829	154770402	440	40	0.0000645631	0.0000000066
1	154770403	156336132	302	38	0.0000173625	0.0000000056
1	156336133	158027411	593	40	0.0000348553	0.0000000093
