chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	104	20	-0.0000380151	0.0000000037
1	1892607	3582735	424	40	0.0000441865	0.0000000175
1	3582736	4380810	264	40	0.0000827607	0.0000000114
1	4380811	5913892	846	40	-0.0000753966	0.0000000241
1	5913893	7247334	419	40	0.0000575834	0.0000000181
1	7247335	9365198	678	40	0.0000416191	0.0000000248
1	9365199	10806983	345	40	0.0000328580	0.0000000118
1	10806984	11777840	250	40	0.0000104505	0.0000000099
1	11777841	12779465	277	40	-0.0000440831	0.0000000118
1	12779466	14891510	602	40	-0.0000573639	0.0000000230
1	14891511	16897729	654	40	-0.0000486731	0.0000000224
1	16897730	18662898	641	40	-0.0002194466	0.0000000231
1	18662899	20469148	701	40	0.0000422076	0.0000000231
1	20469149	21736587	445	40	0.0000080539	0.0000000160
1	21736588	23086882	502	40	-0.0002339245	0.0000000230
1	23086883	23920589	219	28	0.0000135078	0.0000000079
1	23920590	25516844	510	40	-0.0000835015	0.0000000185
1	25516845	27401866	403	40	0.0000428236	0.0000000143
1	27401867	30161880	536	40	-0.0000461977	0.0000000196
1	30161881	32438684	889	40	-0.0001208469	0.0000000241
1	32438685	34799757	658	40	0.0000430195	0.0000000228
1	34799758	37549182	544	40	-0.0001148254	0.0000000190
1	37549183	38731846	364	40	-0.0000025209	0.0000000139
1	38731847	40200566	436	40	-0.0000469761	0.0000000164
1	40200567	41975326	539	40	-0.0000311161	0.0000000182
1	41975327	43758456	521	40	0.0000099581	0.0000000153
1	43758457	44969182	359	35	-0.0000337336	0.0000000119
1	44969183	46899500	446	38	-0.0000031957	0.0000000130
1	46899501	48002575	290	33	0.0000622473	0.0000000089
1	48002576	48978187	331	40	0.0000779109	0.0000000141
1	48978188	49894176	243	28	0.0000053559	0.0000000091
1	49894177	51713725	254	25	-0.0000668760	0.0000000086
1	51713726	54226261	553	40	-0.0000955777	0.0000000201
1	54226262	56413116	813	40	-0.0000371585	0.0000000232
1	56413117	57021727	260	30	-0.0000630055	0.0000000095
1	57021728	58865398	826	40	-0.0000861030	0.0000000233
1	58865399	59890408	370	40	0.0000497631	0.0000000117
1	59890409	61922364	657	40	0.0001262891	0.0000000243
1	61922365	63455088	517	40	0.0000174986	0.0000000178
1	63455089	65041703	636	40	0.0000501195	0.0000000186
1	65041704	66939403	636	40	-0.0000501420	0.0000000205
1	66939404	68477894	670	40	0.0000523809	0.0000000203
1	68477895	69687615	375	40	0.0000750820	0.0000000153
1	69687616	71372469	507	40	0.0000229500	0.0000000175
1	71372470	71684404	82	10	0.0000441780	0.0000000028
1	71684405	74326906	545	40	0.0000087702	0.0000000139
1	74326907	76728134	714	40	0.0000001184	0.0000000206
1	76728135	79661197	925	40	-0.0000514791	0.0000000227
1	79661198	81354190	453	40	0.0000369490	0.0000000155
1	81354191	83991747	945	40	0.0000226815	0.0000000234
1	83991748	84844494	306	35	-0.0000233094	0.0000000116
1	84844495	86454750	634	40	-0.0001137177	0.0000000202
1	86454751	88128630	553	40	-0.0000668666	0.0000000192
1	88128631	90066302	509	40	-0.0000190499	0.0000000175
1	90066303	91886316	549	40	-0.0001235578	0.0000000202
1	91886317	93536458	494	40	-0.0000764662	0.0000000153
1	93536459	94506190	252	26	0.0000675923	0.0000000073
1	94506191	96150892	632	40	-0.0000198586	0.0000000219
1	96150893	97885248	589	40	0.0000716718	0.0000000173
1	97885249	99800603	625	40	-0.0000180453	0.0000000195
1	99800604	100826404	331	36	-0.0000463283	0.0000000104
1	100826405	102041015	439	40	-0.0001019716	0.0000000161
1	102041016	102898744	274	37	-0.0000156732	0.0000000084
1	102898745	103914210	198	21	0.0000091765	0.0000000055
1	103914211	106087841	444	40	0.0001209303	0.0000000153
1	106087842	108409664	718	40	0.0000286406	0.0000000238
1	108409665	110303930	557	40	-0.0000296132	0.0000000179
1	110303931	111741736	556	40	-0.0000409458	0.0000000217
