chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	103	19	0.0000200639	0.0000000012
1	1892607	3582735	446	40	-0.0000139864	0.0000000041
1	3582736	4380810	279	40	0.0000088041	0.0000000027
1	4380811	5913892	877	40	0.0000633912	0.0000000048
1	5913893	7247334	441	40	-0.0000450485	0.0000000039
1	7247335	9365198	704	40	-0.0000533059	0.0000000057
1	9365199	10806983	355	40	-0.0000015346	0.0000000022
1	10806984	11777840	259	40	-0.0000399867	0.0000000025
1	11777841	12779465	298	40	-0.0000000962	0.0000000026
1	12779466	14891510	618	40	0.0000174000	0.0000000046
1	14891511	16897729	693	40	0.0000081553	0.0000000050
1	16897730	18662898	674	40	-0.0000317180	0.0000000046
1	18662899	20469148	730	40	0.0000081525	0.0000000047
1	20469149	21736587	462	40	-0.0000350648	0.0000000038
1	21736588	23086882	527	40	-0.0000327012	0.0000000043
1	23086883	23920589	223	28	0.0000491531	0.0000000023
1	23920590	25516844	528	40	-0.0000244731	0.0000000042
1	25516845	27401866	423	40	0.0000051689	0.0000000026
1	27401867	30161880	560	40	0.0000046563	0.0000000041
1	30161881	32438684	935	40	0.0000101191	0.0000000054
1	32438685	34799757	677	40	-0.0000763426	0.0000000049
1	34799758	37549182	563	40	-0.0000276377	0.0000000043
1	37549183	38731846	375	40	-0.0000614080	0.0000000031
1	38731847	40200566	449	40	-0.0000081072	0.0000000033
1	40200567	41975326	557	40	0.0000194389	0.0000000038
1	41975327	43758456	549	40	-0.0000759162	0.0000000041
1	43758457	44969182	374	36	-0.0000652878	0.0000000035
1	44969183	46899500	462	39	-0.0000382059	0.0000000026
1	46899501	48002575	299	33	-0.0000398042	0.0000000023
1	48002576	48978187	345	40	0.0000236729	0.0000000025
1	48978188	49894176	248	28	-0.0000513860	0.0000000021
1	49894177	51713725	260	25	0.0000127248	0.0000000022
1	51713726	54226261	566	40	0.0000012089	0.0000000041
1	54226262	56413116	842	40	0.0000010730	0.0000000048
1	56413117	57021727	272	31	-0.0000246681	0.0000000018
1	57021728	58865398	858	40	-0.0000399122	0.0000000056
1	58865399	59890408	384	40	-0.0000321648	0.0000000026
1	59890409	61922364	675	40	-0.0000181541	0.0000000049
1	61922365	63455088	546	40	-0.0000023646	0.0000000037
1	63455089	65041703	657	40	-0.0000468087	0.0000000038
1	65041704	66939403	656	40	-0.0000834058	0.0000000048
1	66939404	68477894	694	40	-0.0000484191	0.0000000044
1	68477895	69687615	390	40	-0.0000561776	0.0000000033
1	69687616	71372469	524	40	0.0000068147	0.0000000038
