chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	90	14	0.0003226845	0.000000106360
1	1892607	3582735	400	14	0.0002035255	0.000000330722
1	3582736	4380810	258	14	-0.0000200908	0.000000168590
1	4380811	5913892	892	14	0.0000428254	0.000000333420
1	5913893	7247334	375	14	-0.0000435671	0.000000183521
1	7247335	9365198	673	14	0.0000199404	0.000000328879
1	9365199	10806983	317	14	0.0001868884	0.000000173879
1	10806984	11777840	243	14	0.0001932208	0.000000165317
1	11777841	12779465	206	14	0.0003183427	0.000000173831
1	12779466	14891510	598	14	0.0002674170	0.000000355436
1	14891511	16897729	641	14	0.0001650687	0.000000365403
1	16897730	18662898	597	14	0.0001077130	0.000000344254
1	18662899	20469148	680	14	0.0002425434	0.000000389128
1	20469149	21736587	411	14	0.0001382314	0.000000214099
1	21736588	23086882	466	14	0.0000092316	0.000000262841
1	23086883	23920589	194	14	0.0001283882	0.000000100613
1	23920590	25516844	468	14	0.0000907072	0.000000269287
1	25516845	27401866	321	14	0.0004550625	0.000000169076
1	27401867	30161880	508	14	0.0000134476	0.000000238383
1	30161881	32438684	915	14	0.0002137783	0.000000337176
1	32438685	34799757	643	14	0.0000808247	0.000000330801
1	34799758	37549182	556	14	-0.0000668725	0.000000291412
1	37549183	38731846	344	14	0.0001370688	0.000000177239
1	38731847	40200566	404	14	0.0001602853	0.000000215309
1	40200567	41975326	513	14	0.0002338370	0.000000232013
1	41975327	43758456	522	14	0.0000193665	0.000000225069
1	43758457	44969182	321	14	0.0003161326	0.000000154056
1	44969183	46899500	386	14	0.0005025871	0.000000153469
1	46899501	48002575	274	14	0.0004991703	0.000000142756
1	48002576	48978187	346	14	0.0002362293	0.000000168724
1	48978188	49894176	236	14	0.0001780283	0.000000108869
1	49894177	51713725	251	14	0.0000226541	0.000000073194
1	51713726	54226261	512	14	0.0003956543	0.000000270352
1	54226262	56413116	788	14	0.0000539270	0.000000340019
1	56413117	57021727	259	14	0.0003192541	0.000000119336
1	57021728	58865398	877	14	-0.0000301065	0.000000330095
1	58865399	59890408	383	14	0.0001261295	0.000000176696
1	59890409	61922364	661	14	-0.0000820226	0.000000325230
1	61922365	63455088	467	14	0.0001293378	0.000000270825
1	63455089	65041703	657	14	0.0000312450	0.000000276133
1	65041704	66939403	622	14	-0.0000529673	0.000000250408
1	66939404	68477894	661	14	0.0002445171	0.000000264013
1	68477895	69687615	377	14	0.0000565731	0.000000173524
1	69687616	71372469	527	14	-0.0000024071	0.000000238177
1	71372470	71684404	81	10	0.0001625710	0.000000033885
1	71684405	74326906	530	14	0.0001313991	0.000000195295
1	74326907	76728134	678	14	-0.0000813972	0.000000241891
1	76728135	79661197	920	14	-0.0000229141	0.000000324085
1	79661198	81354190	490	14	0.0001034655	0.000000218530
1	81354191	83991747	985	14	0.0000359669	0.000000335280
1	83991748	84844494	321	14	-0.0000857709	0.000000112199
1	84844495	86454750	621	14	0.0000997984	0.000000293195
1	86454751	88128630	551	14	-0.0000776958	0.000000265394
1	88128631	90066302	510	14	0.0003154326	0.000000250220
1	90066303	91886316	566	14	0.0002683609	0.000000276048
1	91886317	93536458	476	14	0.0000742595	0.000000188901
1	93536459	94506190	235	14	0.0001230366	0.000000091072
1	94506191	96150892	650	14	0.0000729334	0.000000304456
1	96150893	97885248	607	14	0.0000421855	0.000000221168
1	97885249	99800603	648	14	-0.0000553752	0.000000265263
1	99800604	100826404	309	14	0.0000130795	0.000000114842
1	100826405	102041015	444	14	0.0000232313	0.000000177333
1	102041016	102898744	284	14	0.0001928108	0.000000135413
1	102898745	103914210	190	14	0.0001944296	0.000000074751
1	103914211	106087841	473	14	0.0001208319	0.000000208677
1	106087842	108409664	742	14	-0.0000162588	0.000000332221
1	108409665	110303930	425	14	0.0002403712	0.000000214780
1	110303931	111741736	552	14	0.0001871716	0.000000334316
1	111741737	113273305	662	14	0.0001705259	0.000000336351
1	113273306	114873844	498	14	0.0001262958	0.000000244441
1	114873845	115880592	317	14	0.0001499144	0.000000128023
1	115880593	118839066	821	14	0.0002104178	0.000000367677
1	118839067	144977493	499	14	0.0002315700	0.000000233909
1	144977494	148361252	405	14	0.0003120844	0.000000188433
1	148361253	151538880	261	14	0.0002786320	0.000000114265
