chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	15	0.0003202707	0.000000072204
1	1892607	3582735	439	15	0.0000176161	0.000000218080
1	3582736	4380810	272	15	0.0003817645	0.000000132399
1	4380811	5913892	869	15	-0.0000612534	0.000000215452
1	5913893	7247334	430	15	0.0001901870	0.000000157087
1	7247335	9365198	700	15	-0.0000138731	0.000000217822
1	9365199	10806983	352	15	0.0000695897	0.000000115920
1	10806984	11777840	258	15	0.0000499278	0.000000104882
1	11777841	12779465	283	15	0.0003610549	0.000000142413
1	12779466	14891510	618	15	0.0004961464	0.000000252206
1	14891511	16897729	690	15	0.0001980933	0.000000236408
1	16897730	18662898	666	15	0.0002688884	0.000000245797
1	18662899	20469148	717	15	0.0000886025	0.000000241199
1	20469149	21736587	461	15	0.0001784907	0.000000167078
1	21736588	23086882	523	15	0.0002725995	0.000000213726
1	23086883	23920589	223	15	0.0004060139	0.000000089335
1	23920590	25516844	521	15	0.0004249367	0.000000216766
1	25516845	27401866	413	15	0.0004741126	0.000000136566
1	27401867	30161880	552	15	0.0002979471	0.000000184751
1	30161881	32438684	936	15	0.0004916250	0.000000243316
1	32438685	34799757	676	15	0.0000506435	0.000000219595
1	34799758	37549182	552	15	-0.0000295043	0.000000177414
1	37549183	38731846	374	15	0.0003526473	0.000000134320
1	38731847	40200566	447	15	0.0004079066	0.000000172098
1	40200567	41975326	557	15	0.0000946430	0.000000166598
1	41975327	43758456	543	15	-0.0000038976	0.000000146981
1	43758457	44969182	371	15	0.0002199564	0.000000110645
1	44969183	46899500	458	15	0.0002155299	0.000000102559
1	46899501	48002575	298	15	0.0009717776	0.000000129490
1	48002576	48978187	344	15	0.0002727197	0.000000117208
1	48978188	49894176	247	15	0.0002894859	0.000000085968
1	49894177	51713725	260	15	0.0002626818	0.000000065547
1	51713726	54226261	563	15	-0.0000164829	0.000000174334
1	54226262	56413116	838	15	0.0001231045	0.000000227096
1	56413117	57021727	271	15	0.0001255379	0.000000074841
1	57021728	58865398	847	15	0.0002203860	0.000000228797
1	58865399	59890408	383	15	0.0001125165	0.000000113080
1	59890409	61922364	672	15	0.0001629738	0.000000229143
1	61922365	63455088	533	15	0.0003773618	0.000000201106
1	63455089	65041703	659	15	0.0000146727	0.000000180805
1	65041704	66939403	650	15	0.0003522409	0.000000196776
1	66939404	68477894	687	15	0.0002603510	0.000000184048
1	68477895	69687615	389	15	0.0002693637	0.000000136286
1	69687616	71372469	520	15	-0.0000516504	0.000000150390
1	71372470	71684404	82	10	0.0000442006	0.000000018796
1	71684405	74326906	559	15	0.0003514156	0.000000149065
1	74326907	76728134	728	15	0.0000551450	0.000000178502
1	76728135	79661197	947	15	-0.0000694210	0.000000214418
1	79661198	81354190	475	15	0.0000004422	0.000000138048
1	81354191	83991747	973	15	-0.0000730553	0.000000219326
1	83991748	84844494	314	15	-0.0000461593	0.000000075424
1	84844495	86454750	652	15	0.0000989386	0.000000202981
1	86454751	88128630	572	15	0.0003491856	0.000000199128
1	88128631	90066302	523	15	0.0001676965	0.000000163271
1	90066303	91886316	559	15	0.0002591101	0.000000182698
1	91886317	93536458	509	15	0.0002180913	0.000000139346
1	93536459	94506190	255	15	0.0003170812	0.000000079427
1	94506191	96150892	651	15	0.0001295553	0.000000209013
1	96150893	97885248	606	15	0.0001262190	0.000000153665
1	97885249	99800603	643	15	-0.0000384249	0.000000175475
1	99800604	100826404	339	15	0.0002081154	0.000000090997
1	100826405	102041015	447	15	0.0000055601	0.000000117347
1	102041016	102898744	279	15	0.0000415388	0.000000088048
1	102898745	103914210	200	15	-0.0000449323	0.000000040801
1	103914211	106087841	455	15	0.0001833604	0.000000142314
1	106087842	108409664	728	15	0.0000500108	0.000000223520
1	108409665	110303930	566	15	0.0000578464	0.000000180366
1	110303931	111741736	572	15	0.0001884708	0.000000227289
1	111741737	113273305	721	15	0.0000654047	0.000000219710
1	113273306	114873844	512	15	0.0001108928	0.000000167561
1	114873845	115880592	345	15	0.0001302698	0.000000091618
1	115880593	118839066	837	15	0.0002037449	0.000000231968
1	118839067	144977493	568	15	0.0001530890	0.000000164047
1	144977494	148361252	432	15	0.0002172731	0.000000124966
1	148361253	151538880	350	15	0.0004061061	0.000000107920
1	151538881	153180828	468	15	0.0000704764	0.000000112325
1	153180829	154770402	460	15	0.0002490960	0.000000148224
1	154770403	156336132	307	15	0.0002805067	0.000000109707
1	156336133	158027411	597	15	0.0000045993	0.000000191882
1	158027412	159913047	683	15	0.0009253779	0.000000286511
1	159913048	162346720	876	15	0.0000381526	0.000000227521
1	162346721	165191701	1197	15	0.0003695090	0.000000236988
1	165191702	166460516	533	15	0.0000559366	0.000000184861
