chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	81	17	0.0000031596	0.000000001384
1	1892607	3582735	360	40	0.0000237563	0.000000006886
1	3582736	4380810	233	40	0.0000798018	0.000000005214
1	4380811	5913892	825	40	0.0000162556	0.000000010340
1	5913893	7247334	352	40	0.0000115005	0.000000005962
1	7247335	9365198	620	40	0.0000231882	0.000000010428
1	9365199	10806983	289	40	0.0000232838	0.000000004820
1	10806984	11777840	213	40	0.0000066077	0.000000003842
1	11777841	12779465	184	40	0.0000082240	0.000000003540
1	12779466	14891510	555	40	0.0000030114	0.000000009684
1	14891511	16897729	560	40	0.0000016091	0.000000008894
1	16897730	18662898	545	40	0.0000858653	0.000000010249
1	18662899	20469148	609	40	-0.0000177557	0.000000009907
1	20469149	21736587	379	40	0.0001649634	0.000000008274
1	21736588	23086882	426	40	0.0000354085	0.000000007864
1	23086883	23920589	179	26	0.0000365638	0.000000003497
1	23920590	25516844	434	40	0.0000043912	0.000000007632
1	25516845	27401866	298	40	0.0000016948	0.000000004586
1	27401867	30161880	471	40	0.0000542034	0.000000007657
1	30161881	32438684	834	40	-0.0000174067	0.000000009912
1	32438685	34799757	591	40	0.0000235989	0.000000009701
1	34799758	37549182	500	40	-0.0000152081	0.000000007708
1	37549183	38731846	314	40	0.0000300034	0.000000005531
1	38731847	40200566	382	40	0.0000120447	0.000000006414
1	40200567	41975326	484	40	0.0000629612	0.000000007870
1	41975327	43758456	459	40	0.0001278879	0.000000008147
1	43758457	44969182	295	33	0.0000465807	0.000000004934
1	44969183	46899500	361	35	0.0000084932	0.000000004390
1	46899501	48002575	249	32	0.0000474095	0.000000004299
1	48002576	48978187	318	40	0.0000046873	0.000000005290
1	48978188	49894176	226	27	-0.0000035551	0.000000003653
1	49894177	51713725	239	24	0.0000188886	0.000000002931
1	51713726	54226261	481	40	0.0000235106	0.000000008017
1	54226262	56413116	717	40	-0.0000040924	0.000000010081
1	56413117	57021727	236	29	0.0000113006	0.000000003579
1	57021728	58865398	800	40	0.0001041912	0.000000011457
1	58865399	59890408	343	40	0.0000606892	0.000000005920
1	59890409	61922364	619	40	-0.0000470586	0.000000009251
1	61922365	63455088	418	40	0.0000468249	0.000000007665
1	63455089	65041703	598	40	0.0000216517	0.000000008338
1	65041704	66939403	589	40	-0.0000090105	0.000000008293
1	66939404	68477894	613	40	0.0000400894	0.000000008531
1	68477895	69687615	357	40	0.0000222603	0.000000005776
1	69687616	71372469	478	40	0.0000190807	0.000000007211
1	71372470	71684404	77	10	-0.0000056853	0.000000000871
1	71684405	74326906	493	40	0.0000099179	0.000000006347
1	74326907	76728134	637	40	0.0000376519	0.000000008440
1	76728135	79661197	855	40	0.0000274752	0.000000010482
1	79661198	81354190	445	40	0.0000357881	0.000000007019
1	81354191	83991747	910	40	0.0000083472	0.000000010239
1	83991748	84844494	297	35	0.0000318783	0.000000004304
1	84844495	86454750	575	40	-0.0000219234	0.000000008494
1	86454751	88128630	496	40	-0.0000118878	0.000000007466
1	88128631	90066302	472	40	0.0001193525	0.000000008646
1	90066303	91886316	527	40	0.0000036753	0.000000007745
1	91886317	93536458	441	40	-0.0000284956	0.000000005637
1	93536459	94506190	224	25	0.0000440062	0.000000003390
1	94506191	96150892	591	40	0.0000202700	0.000000009213
1	96150893	97885248	560	40	0.0000286328	0.000000007353
1	97885249	99800603	606	40	0.0000575552	0.000000008773
1	99800604	100826404	293	35	-0.0000135521	0.000000003848
1	100826405	102041015	411	40	0.0000106009	0.000000006092
1	102041016	102898744	264	36	0.0000337569	0.000000004126
1	102898745	103914210	178	20	0.0000355633	0.000000002780
1	103914211	106087841	436	40	0.0000502924	0.000000006920
1	106087842	108409664	691	40	0.0000637946	0.000000010944
1	108409665	110303930	392	40	0.0000649387	0.000000006539
1	110303931	111741736	501	40	0.0000941280	0.000000009623
1	111741737	113273305	613	40	-0.0000053678	0.000000009496
1	113273306	114873844	464	40	0.0000156517	0.000000007229
1	114873845	115880592	301	35	0.0000431684	0.000000004729
1	115880593	118839066	735	40	0.0000555211	0.000000010838
1	118839067	144977493	454	40	0.0000503459	0.000000007547
1	144977494	148361252	369	40	-0.0000020839	0.000000005649
1	148361253	151538880	249	28	0.0000252570	0.000000003877
1	151538881	153180828	401	40	0.0000584263	0.000000006053
1	153180829	154770402	358	40	-0.0000001284	0.000000005552
1	154770403	156336132	214	33	0.0000175393	0.000000003880
1	156336133	158027411	486	40	-0.0000099314	0.000000007390
1	158027412	159913047	547	40	0.0000202880	0.000000009111
1	159913048	162346720	627	40	-0.0000124130	0.000000009975
1	162346721	165191701	1109	40	0.0000347016	0.000000010574
1	165191702	166460516	491	40	0.0000722148	0.000000008959
1	166460517	169086323	995	40	0.0000186033	0.000000010369
1	169086324	170557775	426	40	0.0000847671	0.000000007013
1	170557776	173097906	731	40	0.0000068491	0.000000010220
1	173097907	175089767	372	30	0.0000394859	0.000000004239
1	175089768	177433380	702	40	0.0000244671	0.000000009916
1	177433381	178944308	397	40	-0.0000303382	0.000000005331
1	178944309	178954469	2	1	-0.0000030602	0.000000000001
1	178954470	181144120	629	40	0.0000360904	0.000000009495
1	181144121	182755355	544	40	0.0001485666	0.000000010741
1	182755356	184595512	542	40	0.0000279466	0.000000008012
1	184595513	186810022	450	40	0.0000218392	0.000000006498
1	186810023	188759944	588	40	0.0000284296	0.000000008343
1	188759945	189904129	209	17	0.0000319584	0.000000002754
1	189904130	191868929	515	40	0.0000850157	0.000000007158
1	191868930	194107441	537	40	0.0001284017	0.000000009065
1	194107442	196176200	551	40	0.0000458558	0.000000007511
1	196176201	197311513	156	13	0.0000479416	0.000000002434
1	197311514	199239883	474	40	0.0000867823	0.000000008030
1	199239884	200137648	286	35	-0.0000257304	0.000000003916
1	200137649	201589974	581	40	0.0001050259	0.000000010695
1	201589975	203334733	511	40	0.0000172179	0.000000008727
1	203334734	204681067	398	40	0.0000666539	0.000000007410
1	204681068	206073264	468	40	0.0000588411	0.000000008283
1	206073265	208410363	505	40	0.0000618838	0.000000009254
1	208410364	210787749	839	40	0.0000457473	0.000000010714
1	210787750	212842329	631	40	0.0000641162	0.000000010907
1	212842330	214578265	538	40	0.0000357501	0.000000009287
1	214578266	216243633	544	40	0.0000977199	0.000000009486
1	216243634	218705512	1021	40	0.0000072715	0.000000010225
1	218705513	219590570	262	32	0.0000135188	0.000000004010
1	219590571	221858230	606	40	0.0000020388	0.000000008940
1	221858231	222230219	162	20	0.0000737697	0.000000003666
1	222230220	224938519	413	40	0.0000004916	0.000000006429
1	224938520	226810859	433	40	0.0000109898	0.000000006765
1	226810860	229156247	581	40	-0.0000107647	0.000000008311
1	229156248	230685254	436	40	0.0000596237	0.000000008293
1	230685255	232090251	508	40	0.0001153614	0.000000009649
1	232090252	233429283	557	40	0.0000110645	0.000000009583
1	233429284	234599433	486	40	-0.0000099257	0.000000008079
1	234599434	235819435	339	40	-0.0000430319	0.000000005250
1	235819436	237555627	625	40	0.0000320565	0.000000010540
1	237555628	238567806	379	40	0.0000585974	0.000000007045
1	238567807	239925313	465	40	0.0000235923	0.000000008079
1	239925314	240564090	307	40	0.0000131081	0.000000005296
