chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	14	0.0001412977	0.000000053046
1	1892607	3582735	404	14	-0.0000847096	0.000000211975
1	3582736	4380810	261	14	0.0003656626	0.000000154553
1	4380811	5913892	861	14	0.0000215140	0.000000325262
1	5913893	7247334	409	14	0.0000181620	0.000000205792
1	7247335	9365198	677	14	0.0004085655	0.000000351191
1	9365199	10806983	335	14	0.0000706072	0.000000150973
1	10806984	11777840	246	14	0.0000641960	0.000000126413
1	11777841	12779465	271	14	0.0000728812	0.000000144711
1	12779466	14891510	606	14	0.0002829193	0.000000342774
1	14891511	16897729	656	14	0.0000266499	0.000000325606
1	16897730	18662898	634	14	0.0000747865	0.000000328831
1	18662899	20469148	684	14	-0.0000314063	0.000000321717
1	20469149	21736587	450	14	0.0002011318	0.000000231003
1	21736588	23086882	506	14	0.0000205891	0.000000271255
1	23086883	23920589	214	14	-0.0000426054	0.000000095238
1	23920590	25516844	498	14	0.0002127898	0.000000279038
1	25516845	27401866	384	14	-0.0000537135	0.000000154381
1	27401867	30161880	523	14	0.0000414066	0.000000236359
1	30161881	32438684	903	14	-0.0000380934	0.000000321269
1	32438685	34799757	644	14	0.0002126026	0.000000333537
1	34799758	37549182	522	14	-0.0000382540	0.000000245848
1	37549183	38731846	357	14	-0.0000755235	0.000000159465
1	38731847	40200566	424	14	0.0000561097	0.000000207634
1	40200567	41975326	540	14	0.0001252325	0.000000251088
1	41975327	43758456	529	14	0.0003273386	0.000000243557
1	43758457	44969182	350	14	0.0001966551	0.000000156112
1	44969183	46899500	439	14	0.0001365751	0.000000152773
1	46899501	48002575	278	14	0.0001552758	0.000000124942
1	48002576	48978187	339	14	0.0000638377	0.000000166745
1	48978188	49894176	237	14	0.0000635393	0.000000113917
1	49894177	51713725	252	14	0.0003586946	0.000000106600
1	51713726	54226261	546	14	0.0001571026	0.000000271726
1	54226262	56413116	810	14	0.0002677014	0.000000341755
1	56413117	57021727	264	14	-0.0000450921	0.000000103653
1	57021728	58865398	826	14	-0.0000511546	0.000000320394
1	58865399	59890408	371	14	0.0002129214	0.000000173366
1	59890409	61922364	659	14	-0.0000632441	0.000000319584
1	61922365	63455088	513	14	0.0002272830	0.000000267826
1	63455089	65041703	642	14	0.0001579127	0.000000276095
1	65041704	66939403	634	14	-0.0000162803	0.000000276768
1	66939404	68477894	662	14	0.0001251689	0.000000273188
1	68477895	69687615	382	14	-0.0000514509	0.000000170278
1	69687616	71372469	505	14	0.0001175845	0.000000229591
1	71372470	71684404	80	10	0.0000228387	0.000000028326
1	71684405	74326906	555	14	0.0001340168	0.000000208735
1	74326907	76728134	708	14	0.0001279034	0.000000273371
1	76728135	79661197	923	14	0.0000523363	0.000000327327
1	79661198	81354190	470	14	0.0001204572	0.000000216011
1	81354191	83991747	964	14	-0.0000319505	0.000000321680
1	83991748	84844494	304	14	0.0002019510	0.000000128651
1	84844495	86454750	634	14	0.0002353596	0.000000313406
1	86454751	88128630	552	14	0.0000282926	0.000000253128
1	88128631	90066302	514	14	0.0000819985	0.000000233475
1	90066303	91886316	554	14	0.0003735259	0.000000267642
1	91886317	93536458	497	14	-0.0000206860	0.000000191011
1	93536459	94506190	244	14	-0.0000620252	0.000000081245
1	94506191	96150892	638	14	0.0001403583	0.000000312985
1	96150893	97885248	597	14	0.0002014949	0.000000237260
1	97885249	99800603	630	14	0.0000596431	0.000000260209
1	99800604	100826404	329	14	0.0001059852	0.000000130432
1	100826405	102041015	439	14	0.0000366327	0.000000188104
1	102041016	102898744	271	14	0.0000916104	0.000000115772
1	102898745	103914210	195	14	-0.0000701814	0.000000065234
1	103914211	106087841	451	14	0.0002249859	0.000000212070
1	106087842	108409664	720	14	-0.0001447697	0.000000314122
1	108409665	110303930	544	14	0.0003971863	0.000000256565
1	110303931	111741736	559	14	-0.0000413613	0.000000295635
1	111741737	113273305	691	14	0.0002059640	0.000000337619
1	113273306	114873844	496	14	0.0002865541	0.000000249894
1	114873845	115880592	337	14	0.0002606745	0.000000146971
1	115880593	118839066	807	14	0.0001647113	0.000000334855
1	118839067	144977493	554	14	0.0000759618	0.000000244982
1	144977494	148361252	425	14	0.0002127147	0.000000201142
1	148361253	151538880	331	14	0.0003407764	0.000000153539
1	151538881	153180828	449	14	-0.0000675915	0.000000167224
1	153180829	154770402	443	14	0.0002201137	0.000000207689
1	154770403	156336132	280	14	0.0003207481	0.000000150314
1	156336133	158027411	576	14	0.0001306793	0.000000280054
1	158027412	159913047	665	14	0.0001724624	0.000000333864
1	159913048	162346720	847	14	0.0002013451	0.000000337309
1	162346721	165191701	1171	14	-0.0000319374	0.000000321681
1	165191702	166460516	513	14	0.0000441235	0.000000264185
1	166460517	169086323	1078	14	-0.0000097860	0.000000323165
1	169086324	170557775	543	14	0.0001871176	0.000000218395
1	170557776	173097906	886	14	0.0001808873	0.000000335939
1	173097907	175089767	399	14	0.0000753987	0.000000118419
1	175089768	177433380	763	14	0.0003759109	0.000000349004
1	177433381	178944308	483	14	0.0000820225	0.000000210040
1	178944309	178954469	2	1	-0.0000114680	0.000000000323
1	178954470	181144120	711	14	0.0003310065	0.000000328722
1	181144121	182755355	577	14	-0.0000242996	0.000000289399
1	182755356	184595512	607	14	0.0002066002	0.000000265734
1	184595513	186810022	499	14	0.0002328995	0.000000217349
1	186810023	188759944	610	14	0.0001438749	0.000000262974
1	188759945	189904129	216	14	0.0002326321	0.000000082244
1	189904130	191868929	536	14	0.0000512932	0.000000189078
1	191868930	194107441	575	14	-0.0000043731	0.000000237517
1	194107442	196176200	576	14	0.0001759050	0.000000226565
1	196176201	197311513	188	14	0.0000695585	0.000000063311
1	197311514	199239883	499	14	0.0001725353	0.000000227030
1	199239884	200137648	294	14	0.0001850839	0.000000136293
1	200137649	201589974	683	14	0.0000352178	0.000000326180
1	201589975	203334733	591	14	-0.0000263618	0.000000303316
1	203334734	204681067	469	14	0.0000087140	0.000000226506
1	204681068	206073264	559	14	0.0002990549	0.000000294927
1	206073265	208410363	598	14	0.0002537994	0.000000330284
1	208410364	210787749	903	14	0.0004189884	0.000000351890
1	210787750	212842329	685	14	0.0001097413	0.000000331173
1	212842330	214578265	604	14	0.0002530418	0.000000323504
1	214578266	216243633	578	14	0.0001104848	0.000000275813
1	216243634	218705512	1069	14	0.0001460418	0.000000333604
1	218705513	219590570	276	14	0.0002106233	0.000000127980
1	219590571	221858230	674	14	0.0003011556	0.000000332705
1	221858231	222230219	171	14	0.0000664237	0.000000085523
1	222230220	224938519	446	14	0.0003023201	0.000000222647
1	224938520	226810859	497	14	-0.0000466209	0.000000218658
1	226810860	229156247	652	14	0.0000410217	0.000000293767
1	229156248	230685254	514	14	0.0000649247	0.000000265573
1	230685255	232090251	573	14	0.0001879215	0.000000292598
1	232090252	233429283	597	14	0.0002756852	0.000000338515
1	233429284	234599433	517	14	0.0002992955	0.000000286976
1	234599434	235819435	366	14	0.0004184379	0.000000214139
1	235819436	237555627	691	14	0.0001239379	0.000000332124
1	237555628	238567806	418	14	0.0000200512	0.000000212756
1	238567807	239925313	487	14	0.0001625733	0.000000258532
1	239925314	240564090	335	14	0.0001622731	0.000000173274
1	240564091	241582219	503	14	0.0003454449	0.000000312650
1	241582220	242071601	207	14	0.0000396786	0.000000108638
1	242071602	244109498	599	14	0.0002924667	0.000000323907
1	244109499	245506745	496	14	0.0003458987	0.000000287924
1	245506746	247344517	667	14	0.0000587093	0.000000327754
1	247344518	249239465	384	14	0.0001761553	0.000000200728
2	10133	1781021	646	14	0.0003439429	0.000000345351
2	1781022	3973778	950	14	0.0002251720	0.000000338905
2	3973779	5708336	623	14	0.0002404886	0.000000339932
2	5708337	6836253	558	14	0.0000158176	0.000000264450
2	6836254	8422146	642	14	-0.0000046013	0.000000320495
2	8422147	10298468	658	14	0.0000381737	0.000000326378
2	10298469	12419149	953	14	0.0001633955	0.000000334767
2	12419150	14335307	589	14	-0.0000442228	0.000000277815
2	14335308	16329734	734	14	0.0001007717	0.000000330572
2	16329735	18647422	853	14	-0.0000466684	0.000000320694
2	18647423	19692403	380	14	0.0000258744	0.000000184048
2	19692404	21050489	627	14	0.0001341749	0.000000316294
2	21050490	23341382	622	14	-0.0000202816	0.000000322462
2	23341383	24686917	436	14	-0.0000038672	0.000000197533
2	24686918	26894984	541	14	0.0000987464	0.000000261390
2	26894985	28598776	406	14	0.0003584128	0.000000187596
2	28598777	29217558	247	14	0.0001196174	0.000000120101
2	29217559	30463710	626	14	0.0001544095	0.000000334165
2	30463711	31550449	521	14	0.0002408715	0.000000299790
2	31550450	33363776	482	14	0.0002097736	0.000000286785
2	33363777	35345027	796	14	0.0000354444	0.000000326195
2	35345028	36122005	289	14	-0.0000134682	0.000000130091
2	36122006	38132711	917	14	0.0000055059	0.000000324190
2	38132712	39031336	320	14	0.0002839143	0.000000195192
2	39031337	40281482	299	14	-0.0000474350	0.000000152197
2	40281483	43309589	1283	14	0.0000451716	0.000000326847
2	43309590	44313802	395	14	0.0003444154	0.000000230910
2	44313803	46482633	1054	14	0.0000354741	0.000000326197
2	46482634	47318771	408	14	0.0004479589	0.000000277565
2	47318772	48213000	293	14	0.0002282880	0.000000182905
2	48213001	50022256	700	14	0.0002298942	0.000000339222
2	50022257	50818927	341	14	0.0003717334	0.000000193741
2	50818928	52491132	646	14	0.0001500228	0.000000333871
2	52491133	53508451	461	14	0.0001452317	0.000000243277
2	53508452	54685225	427	14	0.0000666200	0.000000226198
2	54685226	56203344	602	14	-0.0000047012	0.000000323506
2	56203345	57429099	425	14	0.0001694925	0.000000235129
2	57429100	58297314	270	14	0.0002441199	0.000000147141
2	58297315	60291999	736	14	0.0001883556	0.000000336439
2	60292000	62429043	581	14	0.0000232567	0.000000321608
2	62429044	64625912	576	14	0.0002840134	0.000000318142
2	64625913	65933443	456	14	0.0003032966	0.000000255212
2	65933444	67226165	549	14	0.0000902960	0.000000271580
2	67226166	68010175	418	14	0.0000893529	0.000000202376
2	68010176	69139563	466	14	0.0000800827	0.000000218812
2	69139564	70755197	522	14	0.0000076475	0.000000236913
2	70755198	73174847	783	14	0.0000321250	0.000000325973
2	73174848	75630085	699	14	-0.0000244949	0.000000322180
2	75630086	76913660	513	14	0.0001658064	0.000000270872
2	76913661	78079263	390	14	0.0001021054	0.000000221653
2	78079264	80050402	818	14	0.0001217224	0.000000331975
2	80050403	81620840	573	14	0.0002039280	0.000000329947
2	81620841	85140679	886	14	0.0003799365	0.000000301784
2	85140680	88038506	616	14	0.0000428392	0.000000259088
2	88038507	89154525	242	14	-0.0000614438	0.000000098272
2	89154526	95326451	4	2	0.0000528233	0.000000005615
2	95326452	98995200	420	14	0.0002790853	0.000000197531
2	98995201	101822328	887	14	0.0000657948	0.000000328228
2	101822329	102688764	256	14	0.0002070848	0.000000114172
2	102688765	103588214	396	14	0.0001821262	0.000000143038
2	103588215	105125033	304	14	0.0003162744	0.000000154455
2	105125034	106210057	399	14	0.0002029136	0.000000203851
2	106210058	107408266	439	14	-0.0000523102	0.000000194989
2	107408267	108429176	350	14	0.0002140116	0.000000144515
2	108429177	110572431	519	14	0.0001121985	0.000000234094
2	110572432	113921855	762	14	0.0003004778	0.000000343950
2	113921856	116772469	742	14	-0.0000244434	0.000000322183
2	116772470	118367465	393	14	0.0001210759	0.000000153674
2	118367466	121303782	984	14	0.0001214360	0.000000331956
2	121303783	123302905	570	14	-0.0000208170	0.000000274285
2	123302906	124732249	425	14	0.0000280353	0.000000160453
2	124732250	125840920	377	14	0.0000060797	0.000000164223
2	125840921	127373763	407	14	0.0000843287	0.000000147389
2	127373764	128034346	257	14	0.0001170137	0.000000124280
2	128034347	129474440	422	14	-0.0000315067	0.000000178237
2	129474441	130067169	220	14	0.0004056119	0.000000111498
2	130067170	130658084	200	14	0.0001817176	0.000000097327
2	130658085	133042783	203	14	0.0000389556	0.000000095757
2	133042784	135158577	901	14	0.0002108835	0.000000337948
2	135158578	137042793	442	14	0.0003811674	0.000000189105
2	137042794	138698116	589	14	0.0002685689	0.000000292164
2	138698117	140100270	429	14	0.0000509778	0.000000150316
2	140100271	141805350	561	14	0.0000082895	0.000000265386
2	141805351	142518601	293	14	0.0000290439	0.000000143727
2	142518602	144519483	645	14	0.0000051339	0.000000295789
2	144519484	146445569	437	14	0.0000191164	0.000000201773
2	146445570	147277161	151	14	0.0002297445	0.000000079117
2	147277162	150210291	649	14	-0.0000771894	0.000000264725
2	150210292	151731461	468	14	0.0000687607	0.000000213941
2	151731462	152486781	279	14	0.0001702015	0.000000122824
2	152486782	154005055	466	14	0.0000841409	0.000000218394
2	154005056	155391134	484	14	0.0000768916	0.000000233135
2	155391135	157560634	546	14	-0.0000606547	0.000000242228
2	157560635	158533217	171	14	0.0002395276	0.000000104759
2	158533218	159577081	328	14	0.0000108045	0.000000150878
2	159577082	161769732	705	14	0.0001144071	0.000000311992
2	161769733	163503550	386	14	0.0001264965	0.000000145709
2	163503551	164466637	191	14	0.0002782850	0.000000101295
2	164466638	165178839	173	14	0.0001887053	0.000000087626
2	165178840	167160269	613	14	0.0001226781	0.000000282419
2	167160270	167355969	72	10	0.0000158282	0.000000030660
