chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	76	14	0.0002236558	0.000000052002
1	1892607	3582735	367	14	-0.0000994934	0.000000204670
1	3582736	4380810	236	14	0.0003863082	0.000000155254
1	4380811	5913892	847	14	0.0000171295	0.000000338480
1	5913893	7247334	357	14	-0.0000163164	0.000000183779
1	7247335	9365198	637	14	0.0003655350	0.000000362390
1	9365199	10806983	296	14	0.0000753079	0.000000144046
1	10806984	11777840	219	14	-0.0000270612	0.000000114886
1	11777841	12779465	186	14	0.0000098427	0.000000104547
1	12779466	14891510	570	14	0.0002946806	0.000000346605
1	14891511	16897729	590	14	-0.0000168551	0.000000305212
1	16897730	18662898	564	14	0.0001219582	0.000000318552
1	18662899	20469148	618	14	-0.0000586373	0.000000333280
1	20469149	21736587	394	14	0.0002273405	0.000000214264
1	21736588	23086882	445	14	0.0000569377	0.000000252710
1	23086883	23920589	181	14	-0.0000662499	0.000000086738
1	23920590	25516844	443	14	0.0000893539	0.000000255654
1	25516845	27401866	307	14	-0.0000602904	0.000000138823
1	27401867	30161880	483	14	0.0000128315	0.000000228707
1	30161881	32438684	868	14	-0.0000336966	0.000000334992
1	32438685	34799757	607	14	0.0001754398	0.000000331455
1	34799758	37549182	507	14	-0.0000466241	0.000000252962
1	37549183	38731846	320	14	-0.0000186685	0.000000160394
1	38731847	40200566	391	14	0.0000930098	0.000000207221
1	40200567	41975326	497	14	0.0001309096	0.000000239634
1	41975327	43758456	476	14	0.0003219047	0.000000236215
1	43758457	44969182	303	14	0.0001584980	0.000000145727
1	44969183	46899500	370	14	0.0001158999	0.000000141522
1	46899501	48002575	256	14	0.0001377693	0.000000120888
1	48002576	48978187	330	14	0.0000213560	0.000000168532
1	48978188	49894176	230	14	0.0000923768	0.000000118459
1	49894177	51713725	245	14	0.0003370554	0.000000105224
1	51713726	54226261	491	14	0.0001633452	0.000000264368
1	54226262	56413116	736	14	0.0003709719	0.000000362763
1	56413117	57021727	246	14	-0.0000466073	0.000000103281
1	57021728	58865398	821	14	-0.0000838422	0.000000331550
1	58865399	59890408	354	14	0.0002972569	0.000000183882
1	59890409	61922364	631	14	-0.0000735959	0.000000329128
1	61922365	63455088	429	14	0.0002425417	0.000000246528
1	63455089	65041703	616	14	0.0001336528	0.000000275611
1	65041704	66939403	601	14	-0.0000275042	0.000000272771
1	66939404	68477894	630	14	0.0001165099	0.000000273698
1	68477895	69687615	370	14	-0.0000507948	0.000000174552
1	69687616	71372469	489	14	0.0001319028	0.000000233959
1	71372470	71684404	77	10	0.0000337665	0.000000029232
1	71684405	74326906	506	14	0.0001021418	0.000000205042
1	74326907	76728134	646	14	0.0000581055	0.000000262323
1	76728135	79661197	876	14	0.0000577088	0.000000341265
1	79661198	81354190	466	14	0.0001181082	0.000000224459
1	81354191	83991747	937	14	-0.0000112202	0.000000336534
1	83991748	84844494	305	14	0.0001798702	0.000000131488
1	84844495	86454750	592	14	0.0002173817	0.000000309074
1	86454751	88128630	514	14	0.0000320987	0.000000256137
1	88128631	90066302	484	14	0.0000913131	0.000000235495
1	90066303	91886316	538	14	0.0003185742	0.000000272038
1	91886317	93536458	453	14	-0.0000365523	0.000000187247
1	93536459	94506190	224	14	-0.0000514155	0.000000080850
1	94506191	96150892	609	14	0.0001021502	0.000000305739
1	96150893	97885248	577	14	0.0001853248	0.000000238318
1	97885249	99800603	619	14	0.0000597861	0.000000269081
1	99800604	100826404	300	14	0.0001058604	0.000000131024
1	100826405	102041015	420	14	0.0000236387	0.000000189263
1	102041016	102898744	272	14	0.0000731186	0.000000119087
1	102898745	103914210	179	14	-0.0000676220	0.000000063677
1	103914211	106087841	447	14	0.0002070341	0.000000216387
1	106087842	108409664	698	14	-0.0001518628	0.000000326882
1	108409665	110303930	397	14	0.0003494317	0.000000203136
1	110303931	111741736	511	14	-0.0000479871	0.000000276601
1	111741737	113273305	627	14	0.0001792707	0.000000334038
1	113273306	114873844	471	14	0.0002589924	0.000000244058
1	114873845	115880592	305	14	0.0002471488	0.000000144514
1	115880593	118839066	745	14	0.0001825709	0.000000349833
1	118839067	144977493	467	14	0.0000625240	0.000000229945
1	144977494	148361252	373	14	0.0001770698	0.000000189357
1	148361253	151538880	250	14	0.0002789427	0.000000125310
1	151538881	153180828	405	14	-0.0000596201	0.000000160318
1	153180829	154770402	369	14	0.0001595703	0.000000186795
1	154770403	156336132	218	14	0.0003250455	0.000000133565
1	156336133	158027411	488	14	0.0002170041	0.000000255627
1	158027412	159913047	562	14	0.0001471394	0.000000305782
1	159913048	162346720	639	14	0.0002203097	0.000000352423
1	162346721	165191701	1131	14	-0.0000481257	0.000000334001
1	165191702	166460516	501	14	0.0000282525	0.000000266926
1	166460517	169086323	1014	14	-0.0000290697	0.000000335309
1	169086324	170557775	431	14	0.0001441768	0.000000195386
1	170557776	173097906	754	14	0.0001054115	0.000000344538
1	173097907	175089767	378	14	0.0000617084	0.000000117026
1	175089768	177433380	721	14	0.0003529375	0.000000351378
1	177433381	178944308	409	14	0.0000566069	0.000000183915
1	178944309	178954469	2	1	-0.0000118319	0.000000000334
1	178954470	181144120	649	14	0.0002730557	0.000000319727
1	181144121	182755355	559	14	-0.0000414688	0.000000292869
1	182755356	184595512	559	14	0.0002033365	0.000000261976
1	184595513	186810022	461	14	0.0002624338	0.000000215254
1	186810023	188759944	601	14	0.0001442054	0.000000271154
1	188759945	189904129	217	14	0.0002383465	0.000000086785
1	189904130	191868929	521	14	-0.0000256052	0.000000187992
1	191868930	194107441	560	14	-0.0000157767	0.000000241192
1	194107442	196176200	568	14	0.0001759194	0.000000234099
1	196176201	197311513	163	14	0.0000956628	0.000000062516
1	197311514	199239883	485	14	0.0001933163	0.000000234571
1	199239884	200137648	290	14	0.0001596753	0.000000141206
1	200137649	201589974	595	14	0.0000371327	0.000000318118
1	201589975	203334733	527	14	-0.0000034949	0.000000284145
1	203334734	204681067	406	14	0.0000371074	0.000000212562
1	204681068	206073264	476	14	0.0002778441	0.000000264144
1	206073265	208410363	521	14	0.0002774723	0.000000303370
1	208410364	210787749	867	14	0.0004371191	0.000000367302
1	210787750	212842329	649	14	0.0001262353	0.000000345967
1	212842330	214578265	545	14	0.0002182100	0.000000306859
1	214578266	216243633	554	14	0.0000944673	0.000000276644
1	216243634	218705512	1041	14	0.0001064137	0.000000344607
1	218705513	219590570	269	14	0.0002182262	0.000000132790
1	219590571	221858230	618	14	0.0002531413	0.000000315318
1	221858231	222230219	166	14	0.0000740139	0.000000087454
1	222230220	224938519	422	14	0.0002849675	0.000000224507
1	224938520	226810859	445	14	-0.0000545646	0.000000209854
1	226810860	229156247	590	14	0.0000491128	0.000000279503
1	229156248	230685254	443	14	0.0000948787	0.000000251654
1	230685255	232090251	517	14	0.0001435892	0.000000279259
1	232090252	233429283	568	14	0.0001962853	0.000000329797
1	233429284	234599433	500	14	0.0002796805	0.000000289306
1	234599434	235819435	345	14	0.0003379934	0.000000205805
1	235819436	237555627	640	14	0.0000492927	0.000000340687
1	237555628	238567806	387	14	0.0000084312	0.000000202865
1	238567807	239925313	474	14	0.0001671765	0.000000263164
1	239925314	240564090	322	14	0.0001628886	0.000000175433
1	240564091	241582219	495	14	0.0003209462	0.000000318441
1	241582220	242071601	191	14	0.0000886761	0.000000110519
1	242071602	244109498	608	14	0.0003021245	0.000000342462
1	244109499	245506745	482	14	0.0003323849	0.000000298129
1	245506746	247344517	662	14	0.0000326295	0.000000339543
1	247344518	249239465	335	14	0.0001582411	0.000000184651
2	10133	1781021	564	14	0.0003434753	0.000000322265
2	1781022	3973778	903	14	0.0002194983	0.000000352368
2	3973779	5708336	612	14	0.0002366736	0.000000353546
2	5708337	6836253	550	14	0.0000222793	0.000000273940
2	6836254	8422146	637	14	-0.0000225847	0.000000331068
2	8422147	10298468	600	14	0.0000331793	0.000000338017
2	10298469	12419149	886	14	0.0001570479	0.000000348082
2	12419150	14335307	570	14	-0.0000277187	0.000000280986
2	14335308	16329734	708	14	0.0001357941	0.000000346623
2	16329735	18647422	814	14	-0.0000532233	0.000000333652
2	18647423	19692403	374	14	0.0000568312	0.000000190829
2	19692404	21050489	581	14	0.0001396581	0.000000309068
2	21050490	23341382	550	14	-0.0000013870	0.000000303217
2	23341383	24686917	395	14	-0.0000185762	0.000000194730
2	24686918	26894984	457	14	0.0000636821	0.000000230024
2	26894985	28598776	242	14	0.0005989508	0.000000150818
2	28598777	29217558	202	14	0.0000786877	0.000000102849
2	29217559	30463710	592	14	0.0001554566	0.000000341724
2	30463711	31550449	474	14	0.0002445511	0.000000289883
2	31550450	33363776	441	14	0.0001896219	0.000000274996
2	33363777	35345027	757	14	0.0000294316	0.000000339324
2	35345028	36122005	281	14	-0.0000196465	0.000000131676
2	36122006	38132711	864	14	0.0000157214	0.000000338383
2	38132712	39031336	300	14	0.0003077403	0.000000194812
2	39031337	40281482	280	14	-0.0000515901	0.000000150083
2	40281483	43309589	1202	14	0.0000633544	0.000000341652
2	43309590	44313802	258	14	0.0002884127	0.000000168473
2	44313803	46482633	997	14	0.0000452370	0.000000340409
2	46482634	47318771	372	14	0.0004064372	0.000000260590
2	47318772	48213000	271	14	0.0002330479	0.000000177489
2	48213001	50022256	663	14	0.0002483286	0.000000354346
2	50022257	50818927	321	14	0.0003700691	0.000000192223
2	50818928	52491132	626	14	0.0001291119	0.000000346165
2	52491133	53508451	451	14	0.0001355653	0.000000247893
2	53508452	54685225	396	14	0.0000541411	0.000000225798
2	54685226	56203344	540	14	-0.0000237949	0.000000312403
2	56203345	57429099	413	14	0.0001739557	0.000000237543
2	57429100	58297314	266	14	0.0002473761	0.000000152412
2	58297315	60291999	712	14	0.0001802939	0.000000349677
2	60292000	62429043	528	14	0.0000357989	0.000000315719
2	62429044	64625912	537	14	0.0002095664	0.000000307781
2	64625913	65933443	432	14	0.0003089521	0.000000252498
2	65933444	67226165	534	14	0.0000876899	0.000000274695
2	67226166	68010175	401	14	0.0001069098	0.000000209570
2	68010176	69139563	432	14	0.0000748011	0.000000219378
2	69139564	70755197	470	14	0.0000038308	0.000000223082
2	70755198	73174847	710	14	0.0000510530	0.000000340808
2	73174848	75630085	632	14	-0.0000299639	0.000000335248
2	75630086	76913660	492	14	0.0001508292	0.000000273084
2	76913661	78079263	381	14	0.0000956338	0.000000225061
2	78079264	80050402	795	14	0.0000943233	0.000000343777
2	80050403	81620840	559	14	0.0002401429	0.000000337438
2	81620841	85140679	852	14	0.0003728452	0.000000305387
2	85140680	88038506	526	14	0.0000894113	0.000000253467
2	88038507	89154525	219	14	-0.0000658122	0.000000094343
2	89154526	95326451	0	0	-0.0001391497	-0.000000000000
2	95326452	98995200	361	14	0.0002488227	0.000000179914
2	98995201	101822328	810	14	0.0000614985	0.000000341525
2	101822329	102688764	232	14	0.0001778859	0.000000109557
2	102688765	103588214	354	14	0.0002250275	0.000000144324
2	103588215	105125033	297	14	0.0002860832	0.000000154377
2	105125034	106210057	391	14	0.0001476822	0.000000204651
2	106210058	107408266	429	14	-0.0000556976	0.000000197797
2	107408267	108429176	343	14	0.0002097819	0.000000146571
2	108429177	110572431	490	14	0.0001053118	0.000000235014
2	110572432	113921855	685	14	0.0002777796	0.000000344669
2	113921856	116772469	727	14	-0.0000223837	0.000000335768
2	116772470	118367465	391	14	0.0001239599	0.000000159319
2	118367466	121303782	917	14	0.0001270103	0.000000346020
2	121303783	123302905	549	14	-0.0000356603	0.000000275200
2	123302906	124732249	417	14	0.0000218370	0.000000165852
2	124732250	125840920	372	14	0.0000368623	0.000000172307
2	125840921	127373763	401	14	0.0000923791	0.000000154503
2	127373764	128034346	255	14	0.0001183168	0.000000132520
2	128034347	129474440	372	14	-0.0000516755	0.000000166972
2	129474441	130067169	216	14	0.0004014432	0.000000114580
2	130067170	130658084	194	14	0.0002096435	0.000000101618
2	130658085	133042783	200	14	0.0000010393	0.000000098865
2	133042784	135158577	884	14	0.0001997128	0.000000351010
2	135158578	137042793	394	14	0.0003208570	0.000000181425
2	137042794	138698116	571	14	0.0002811842	0.000000300618
2	138698117	140100270	423	14	0.0000575716	0.000000158163
2	140100271	141805350	537	14	-0.0000003452	0.000000271649
2	141805351	142518601	295	14	0.0000331676	0.000000150485
2	142518602	144519483	626	14	0.0000066746	0.000000302245
2	144519484	146445569	421	14	0.0000187149	0.000000202864
2	146445570	147277161	144	14	0.0002447836	0.000000081086
2	147277162	150210291	640	14	-0.0000825771	0.000000268260
2	150210292	151731461	458	14	0.0000568396	0.000000218154
2	151731462	152486781	253	14	0.0001756211	0.000000120881
2	152486782	154005055	440	14	0.0001119040	0.000000220488
2	154005056	155391134	471	14	0.0000701919	0.000000239095
2	155391135	157560634	539	14	-0.0000648613	0.000000249515
2	157560635	158533217	155	14	0.0002416757	0.000000100653
2	158533218	159577081	312	14	-0.0000068991	0.000000147766
2	159577082	161769732	641	14	0.0000592308	0.000000303561
2	161769733	163503550	365	14	0.0001126166	0.000000142616
2	163503551	164466637	188	14	0.0002654612	0.000000102885
2	164466638	165178839	160	14	0.0001933364	0.000000089302
2	165178840	167160269	547	14	0.0000956252	0.000000267834
2	167160270	167355969	60	9	0.0000016116	0.000000028236
2	167355970	169968235	746	14	0.0005716917	0.000000376537
2	169968236	171226244	425	14	0.0001168146	0.000000220114
2	171226245	173138904	523	14	0.0007355730	0.000000327948
2	173138905	175588928	768	14	0.0005422776	0.000000374519
2	175588929	177363635	498	14	0.0001309703	0.000000244686
2	177363636	178553182	440	14	0.0001577577	0.000000199080
2	178553183	181312738	875	14	-0.0000574160	0.000000333364
2	181312739	182266030	291	14	0.0002434514	0.000000139043
2	182266031	184357607	565	14	0.0001332230	0.000000293500
2	184357608	185280172	224	14	-0.0000476186	0.000000091778
2	185280173	189882064	885	14	0.0000408116	0.000000340105
2	189882065	191973356	438	14	0.0003796458	0.000000226034
2	191973357	195861163	686	14	0.0000609952	0.000000341490
2	195861164	196447455	149	14	-0.0001170592	0.000000059116
2	196447456	198078109	396	14	0.0003362308	0.000000179097
2	198078110	199311124	284	14	0.0000079408	0.000000101236
2	199311125	201576283	589	14	0.0002170815	0.000000293983
2	201576284	202818636	257	14	0.0000471549	0.000000127698
2	202818637	205799240	622	14	0.0001046774	0.000000342923
2	205799241	206735703	380	14	0.0001845680	0.000000226857
2	206735704	208645398	591	14	0.0000575749	0.000000327242
2	208645399	209941528	300	14	0.0001976956	0.000000158982
2	209941529	212379517	683	14	-0.0000467619	0.000000334095
2	212379518	214014281	608	14	0.0000339769	0.000000337290
2	214014282	215573794	424	14	0.0003333980	0.000000234161
2	215573795	217715660	727	14	-0.0000256944	0.000000335541
2	217715661	218395479	268	14	0.0000500498	0.000000140352
