chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	14	0.0001038482	0.000000054324
1	1892607	3582735	437	14	0.0000287226	0.000000250593
1	3582736	4380810	271	14	0.0003814298	0.000000166217
1	4380811	5913892	867	14	-0.0000509474	0.000000334193
1	5913893	7247334	428	14	0.0000815917	0.000000226632
1	7247335	9365198	699	14	0.0002321476	0.000000353545
1	9365199	10806983	351	14	0.0000212944	0.000000159942
1	10806984	11777840	258	14	0.0000472655	0.000000135723
1	11777841	12779465	281	14	0.0000163600	0.000000150874
1	12779466	14891510	617	14	0.0001431784	0.000000347463
1	14891511	16897729	688	14	0.0000300349	0.000000339729
1	16897730	18662898	661	14	0.0001436656	0.000000347496
1	18662899	20469148	711	14	-0.0000502366	0.000000334241
1	20469149	21736587	461	14	0.0001451249	0.000000239578
1	21736588	23086882	523	14	0.0001545455	0.000000303277
1	23086883	23920589	222	14	0.0001227494	0.000000113609
1	23920590	25516844	520	14	0.0000443898	0.000000291206
1	25516845	27401866	413	14	-0.0000480356	0.000000171577
1	27401867	30161880	550	14	0.0001474522	0.000000260873
1	30161881	32438684	935	14	0.0001907307	0.000000350714
1	32438685	34799757	675	14	0.0000856262	0.000000343529
1	34799758	37549182	549	14	0.0001155769	0.000000280228
1	37549183	38731846	371	14	-0.0000930466	0.000000170588
1	38731847	40200566	447	14	0.0002425394	0.000000237561
1	40200567	41975326	555	14	0.0003375083	0.000000279705
1	41975327	43758456	542	14	0.0002175625	0.000000254658
1	43758457	44969182	371	14	0.0001782939	0.000000166518
1	44969183	46899500	458	14	0.0001416289	0.000000165384
1	46899501	48002575	297	14	0.0001987291	0.000000136788
1	48002576	48978187	344	14	0.0001020622	0.000000178315
1	48978188	49894176	247	14	-0.0000436456	0.000000115889
1	49894177	51713725	259	14	0.0005106571	0.000000123908
1	51713726	54226261	562	14	-0.0000009328	0.000000278297
1	54226262	56413116	837	14	0.0004056534	0.000000365405
1	56413117	57021727	271	14	0.0001175836	0.000000120310
1	57021728	58865398	847	14	0.0000196860	0.000000339021
1	58865399	59890408	383	14	0.0003607864	0.000000194461
1	59890409	61922364	671	14	-0.0000513193	0.000000334167
1	61922365	63455088	533	14	0.0001510085	0.000000281144
1	63455089	65041703	656	14	-0.0000936080	0.000000275749
1	65041704	66939403	649	14	0.0000547725	0.000000299523
1	66939404	68477894	687	14	0.0000295255	0.000000284140
1	68477895	69687615	389	14	0.0000123645	0.000000183930
1	69687616	71372469	520	14	0.0000460251	0.000000237910
1	71372470	71684404	82	10	0.0000485231	0.000000031770
1	71684405	74326906	559	14	0.0001430599	0.000000219400
1	74326907	76728134	727	14	0.0000593866	0.000000283912
1	76728135	79661197	946	14	-0.0000343870	0.000000335325
1	79661198	81354190	475	14	0.0003665535	0.000000243832
1	81354191	83991747	973	14	0.0001054231	0.000000344882
1	83991748	84844494	314	14	0.0001698416	0.000000133537
1	84844495	86454750	652	14	0.0003744030	0.000000340572
1	86454751	88128630	571	14	0.0000482037	0.000000275640
1	88128631	90066302	523	14	0.0001450835	0.000000251918
1	90066303	91886316	559	14	0.0002589884	0.000000273622
