chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	14	-0.0000775535	0.000000061985
1	1892607	3582735	438	14	0.0001235024	0.000000334043
1	3582736	4380810	271	14	0.0000097861	0.000000167255
1	4380811	5913892	869	14	0.0000483828	0.000000344841
1	5913893	7247334	429	14	-0.0000257395	0.000000222471
1	7247335	9365198	700	14	0.0001257713	0.000000353631
1	9365199	10806983	352	14	0.0003806649	0.000000192970
1	10806984	11777840	258	14	0.0000622353	0.000000159607
1	11777841	12779465	283	14	0.0001296114	0.000000193896
1	12779466	14891510	618	14	0.0000136324	0.000000350240
1	14891511	16897729	690	14	-0.0000029688	0.000000354135
1	16897730	18662898	663	14	0.0000088371	0.000000355053
1	18662899	20469148	715	14	0.0000865842	0.000000366521
1	20469149	21736587	461	14	0.0001936024	0.000000244658
1	21736588	23086882	523	14	0.0000086295	0.000000308776
1	23086883	23920589	223	14	0.0000809183	0.000000106182
1	23920590	25516844	521	14	0.0002809061	0.000000318825
1	25516845	27401866	413	14	0.0001889320	0.000000187591
1	27401867	30161880	552	14	0.0001212606	0.000000267217
1	30161881	32438684	935	14	0.0001924898	0.000000343644
1	32438685	34799757	676	14	0.0000898044	0.000000339590
1	34799758	37549182	551	14	0.0000282698	0.000000281227
1	37549183	38731846	374	14	0.0000626832	0.000000179684
1	38731847	40200566	447	14	0.0001108591	0.000000235072
1	40200567	41975326	556	14	0.0002082750	0.000000267805
1	41975327	43758456	543	14	0.0000093481	0.000000221660
1	43758457	44969182	371	14	0.0002393113	0.000000163342
1	44969183	46899500	458	14	0.0006028243	0.000000181666
1	46899501	48002575	298	14	0.0000941930	0.000000123524
1	48002576	48978187	344	14	0.0001699997	0.000000173187
1	48978188	49894176	247	14	0.0002697891	0.000000130137
1	49894177	51713725	260	14	0.0001888373	0.000000094539
1	51713726	54226261	563	14	0.0006307964	0.000000315500
1	54226262	56413116	838	14	0.0000303126	0.000000345028
1	56413117	57021727	271	14	0.0001661909	0.000000114965
1	57021728	58865398	847	14	-0.0000479074	0.000000330615
1	58865399	59890408	383	14	0.0001934216	0.000000174956
1	59890409	61922364	672	14	0.0000228751	0.000000347914
1	61922365	63455088	533	14	0.0000341954	0.000000279286
1	63455089	65041703	659	14	0.0000545719	0.000000283119
1	65041704	66939403	650	14	0.0000572429	0.000000282766
1	66939404	68477894	687	14	0.0001881540	0.000000281478
1	68477895	69687615	389	14	-0.0001116728	0.000000185542
1	69687616	71372469	520	14	-0.0000185360	0.000000235156
1	71372470	71684404	82	10	0.0000114614	0.000000026507
1	71684405	74326906	559	14	-0.0000880517	0.000000196038
1	74326907	76728134	728	14	0.0000444893	0.000000273032
1	76728135	79661197	946	14	0.0000617382	0.000000348267
1	79661198	81354190	475	14	0.0002062573	0.000000229042
1	81354191	83991747	973	14	0.0000491654	0.000000354967
1	83991748	84844494	312	14	-0.0001634791	0.000000107083
1	84844495	86454750	652	14	0.0000754741	0.000000319516
1	86454751	88128630	571	14	-0.0000086443	0.000000282773
1	88128631	90066302	523	14	0.0000610773	0.000000238000
1	90066303	91886316	557	14	0.0003851640	0.000000289717
1	91886317	93536458	509	14	0.0000950338	0.000000206815
1	93536459	94506190	255	14	0.0000601080	0.000000100411
1	94506191	96150892	651	14	0.0000818815	0.000000321861
1	96150893	97885248	606	14	0.0002316006	0.000000243153
1	97885249	99800603	643	14	-0.0000536716	0.000000273757
1	99800604	100826404	339	14	0.0000178798	0.000000126961
1	100826405	102041015	447	14	0.0000435765	0.000000188990
1	102041016	102898744	279	14	0.0001644207	0.000000141548
1	102898745	103914210	200	14	0.0003892036	0.000000093402
1	103914211	106087841	454	14	0.0000332499	0.000000207025
1	106087842	108409664	728	14	-0.0000442808	0.000000343521
1	108409665	110303930	566	14	0.0000935291	0.000000284310
1	110303931	111741736	571	14	0.0000201678	0.000000339275
1	111741737	113273305	721	14	0.0001502266	0.000000352571
1	113273306	114873844	512	14	-0.0000924222	0.000000248945
1	114873845	115880592	345	14	0.0000928927	0.000000138092
1	115880593	118839066	835	14	0.0000173996	0.000000341166
1	118839067	144977493	568	14	0.0004166358	0.000000266669
1	144977494	148361252	432	14	0.0002033003	0.000000192758
1	148361253	151538880	350	14	0.0004427359	0.000000161968
1	151538881	153180828	468	14	0.0000761560	0.000000173334
1	153180829	154770402	459	14	0.0002447735	0.000000219544
1	154770403	156336132	307	14	0.0005022393	0.000000182262
1	156336133	158027411	597	14	0.0000740218	0.000000301958
1	158027412	159913047	681	14	0.0002885487	0.000000372854
1	159913048	162346720	876	14	0.0001834243	0.000000364720
1	162346721	165191701	1198	14	-0.0000999233	0.000000334658
1	165191702	166460516	533	14	-0.0000334122	0.000000282375
1	166460517	169086323	1106	14	0.0000527348	0.000000356274
1	169086324	170557775	558	14	-0.0000500666	0.000000199275
1	170557776	173097906	902	14	0.0008412285	0.000000386252
1	173097907	175089767	412	14	0.0000627035	0.000000118339
1	175089768	177433380	785	14	0.0002872242	0.000000344289
1	177433381	178944308	492	14	0.0000139559	0.000000200727
1	178944309	178954469	2	1	-0.0000224286	0.000000001081
1	178954470	181144120	751	14	0.0000207768	0.000000317414
1	181144121	182755355	601	14	0.0001317219	0.000000315529
1	182755356	184595512	630	14	0.0000373169	0.000000274772
1	184595513	186810022	525	14	0.0002040709	0.000000225890
1	186810023	188759944	620	14	0.0000959539	0.000000261064
1	188759945	189904129	219	14	0.0000401876	0.000000075097
1	189904130	191868929	538	14	0.0001346183	0.000000183348
1	191868930	194107441	584	14	0.0001383886	0.000000254368
1	194107442	196176200	581	14	0.0000857468	0.000000220399
1	196176201	197311513	196	14	0.0002410915	0.000000076270
1	197311514	199239883	504	14	0.0000227497	0.000000218245
1	199239884	200137648	301	14	0.0002921714	0.000000149089
1	200137649	201589974	708	14	0.0003267782	0.000000373322
1	201589975	203334733	618	14	-0.0000088959	0.000000357730
1	203334734	204681067	485	14	-0.0000159673	0.000000243819
1	204681068	206073264	577	14	0.0001101380	0.000000316865
1	206073265	208410363	634	14	-0.0000699863	0.000000325840
1	208410364	210787749	930	14	0.0001377233	0.000000345972
1	210787750	212842329	698	14	0.0000800355	0.000000343986
1	212842330	214578265	611	14	0.0001505269	0.000000345956
1	214578266	216243633	592	14	0.0001106730	0.000000275200
1	216243634	218705512	1083	14	0.0000519949	0.000000325776
1	218705513	219590570	282	14	0.0000395670	0.000000116225
1	219590571	221858230	690	14	0.0001424366	0.000000323499
1	221858231	222230219	174	14	0.0000948101	0.000000085445
1	222230220	224938519	467	14	0.0002731390	0.000000243848
1	224938520	226810859	520	14	0.0000925735	0.000000253079
1	226810860	229156247	695	14	0.0002203478	0.000000329703
1	229156248	230685254	530	14	0.0002032162	0.000000308920
1	230685255	232090251	589	14	0.0006486574	0.000000359573
1	232090252	233429283	607	14	0.0002616660	0.000000385496
1	233429284	234599433	536	14	-0.0000088321	0.000000304631
1	234599434	235819435	384	14	0.0001222525	0.000000237414
1	235819436	237555627	730	14	0.0000256223	0.000000352180
1	237555628	238567806	430	14	0.0001284320	0.000000238567
1	238567807	239925313	491	14	0.0000807060	0.000000264483
1	239925314	240564090	343	14	0.0001400163	0.000000182712
1	240564091	241582219	518	14	0.0000593860	0.000000368180
1	241582220	242071601	220	14	0.0001158268	0.000000131424
1	242071602	244109498	622	14	0.0000392453	0.000000330596
1	244109499	245506745	515	14	0.0001376575	0.000000342305
1	245506746	247344517	710	14	0.0002367950	0.000000379967
1	247344518	249239465	400	14	-0.0000862136	0.000000215322
2	10133	1781021	664	14	-0.0000970376	0.000000323840
2	1781022	3973778	968	14	0.0000756674	0.000000354788
2	3973779	5708336	632	14	0.0000413574	0.000000338414
2	5708337	6836253	567	14	0.0001110525	0.000000278882
2	6836254	8422146	655	14	0.0001524824	0.000000339418
2	8422147	10298468	673	14	0.0001219507	0.000000346564
2	10298469	12419149	974	14	0.0001782649	0.000000367624
2	12419150	14335307	595	14	0.0000356940	0.000000284496
2	14335308	16329734	748	14	-0.0000113305	0.000000310239
2	16329735	18647422	861	14	-0.0000875122	0.000000320399
2	18647423	19692403	384	14	-0.0000133988	0.000000182074
2	19692404	21050489	633	14	0.0001545804	0.000000326007
2	21050490	23341382	622	14	0.0002658645	0.000000339771
2	23341383	24686917	442	14	0.0003943203	0.000000226217
2	24686918	26894984	560	14	0.0001605779	0.000000281132
2	26894985	28598776	417	14	0.0002984961	0.000000180096
2	28598777	29217558	247	14	0.0002653137	0.000000132531
2	29217559	30463710	636	14	0.0002298047	0.000000350364
2	30463711	31550449	532	14	0.0003027678	0.000000326664
2	31550450	33363776	495	14	0.0000351258	0.000000281885
2	33363777	35345027	804	14	0.0000636077	0.000000331174
2	35345028	36122005	291	14	0.0000317269	0.000000128624
2	36122006	38132711	932	14	0.0001477491	0.000000339727
2	38132712	39031336	326	14	-0.0000578393	0.000000166475
2	39031337	40281482	303	14	0.0002521065	0.000000164568
2	40281483	43309589	1312	14	0.0001180088	0.000000313871
2	43309590	44313802	403	14	0.0006387677	0.000000260778
2	44313803	46482633	1073	14	0.0004023099	0.000000371795
2	46482634	47318771	419	14	0.0000837339	0.000000276977
2	47318772	48213000	301	14	0.0001156557	0.000000213454
2	48213001	50022256	716	14	-0.0000156856	0.000000317890
2	50022257	50818927	345	14	-0.0000736052	0.000000159771
