chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000032797	0.000000001943
1	1892607	3582735	410	40	0.0000208722	0.000000008789
1	3582736	4380810	263	40	-0.0000126533	0.000000005113
1	4380811	5913892	864	40	-0.0000146363	0.000000011650
1	5913893	7247334	418	40	0.0001814284	0.000000010565
1	7247335	9365198	680	40	-0.0000012433	0.000000011834
1	9365199	10806983	339	40	0.0000211995	0.000000006167
1	10806984	11777840	247	40	0.0000531377	0.000000005685
1	11777841	12779465	282	40	-0.0000428712	0.000000005171
1	12779466	14891510	607	40	0.0000572713	0.000000012638
1	14891511	16897729	657	40	0.0000277574	0.000000012233
1	16897730	18662898	639	40	0.0000120646	0.000000012017
1	18662899	20469148	686	40	0.0000792671	0.000000012940
1	20469149	21736587	450	40	-0.0000015837	0.000000008338
1	21736588	23086882	507	40	0.0000333873	0.000000010598
1	23086883	23920589	214	27	-0.0000005631	0.000000004007
1	23920590	25516844	501	40	0.0000305892	0.000000010440
1	25516845	27401866	396	40	0.0000732936	0.000000007472
1	27401867	30161880	526	40	0.0000538120	0.000000009715
1	30161881	32438684	905	40	-0.0000364367	0.000000011351
1	32438685	34799757	644	40	0.0000270662	0.000000012080
1	34799758	37549182	527	40	0.0000943406	0.000000010769
1	37549183	38731846	358	40	-0.0000176683	0.000000006272
1	38731847	40200566	424	40	0.0001284401	0.000000009648
1	40200567	41975326	540	40	0.0001500297	0.000000011273
1	41975327	43758456	532	40	0.0001374644	0.000000010459
1	43758457	44969182	351	35	0.0001147483	0.000000007285
1	44969183	46899500	440	38	0.0004359677	0.000000011712
1	46899501	48002575	280	33	0.0000140150	0.000000004889
1	48002576	48978187	339	40	0.0000809975	0.000000007531
1	48978188	49894176	237	28	0.0001160925	0.000000006053
1	49894177	51713725	252	25	0.0000986808	0.000000004778
1	51713726	54226261	547	40	0.0000446666	0.000000010467
1	54226262	56413116	814	40	0.0000217491	0.000000012150
1	56413117	57021727	265	31	0.0000932071	0.000000005645
1	57021728	58865398	827	40	0.0000428016	0.000000012439
1	58865399	59890408	371	40	-0.0000208692	0.000000006016
1	59890409	61922364	660	40	0.0000540846	0.000000012594
1	61922365	63455088	526	40	0.0000109952	0.000000009839
1	63455089	65041703	642	40	0.0000253302	0.000000010321
1	65041704	66939403	636	40	0.0001025440	0.000000011832
1	66939404	68477894	664	40	0.0001419535	0.000000011922
1	68477895	69687615	383	40	0.0000045245	0.000000006907
1	69687616	71372469	507	40	-0.0000018687	0.000000008500
1	71372470	71684404	81	10	0.0000110109	0.000000001322
1	71684405	74326906	558	40	0.0001659565	0.000000010021
1	74326907	76728134	713	40	0.0001219094	0.000000011670
1	76728135	79661197	924	40	0.0000469376	0.000000012496
1	79661198	81354190	470	40	0.0000476691	0.000000008682
1	81354191	83991747	965	40	0.0001598951	0.000000014048
1	83991748	84844494	306	35	-0.0000089511	0.000000004598
1	84844495	86454750	634	40	-0.0000504834	0.000000010325
1	86454751	88128630	553	40	0.0002811001	0.000000013380
1	88128631	90066302	515	40	0.0001283685	0.000000010501
1	90066303	91886316	556	40	0.0000065758	0.000000009351
1	91886317	93536458	500	40	0.0000254203	0.000000007833
1	93536459	94506190	245	26	0.0000634440	0.000000004389
1	94506191	96150892	640	40	0.0001011831	0.000000012646
1	96150893	97885248	598	40	0.0000705011	0.000000009541
1	97885249	99800603	632	40	0.0001004021	0.000000011066
1	99800604	100826404	329	36	0.0000971666	0.000000006312
1	100826405	102041015	439	40	0.0000145361	0.000000007447
1	102041016	102898744	271	36	0.0000229568	0.000000004776
1	102898745	103914210	196	21	-0.0000087862	0.000000002788
1	103914211	106087841	452	40	0.0000120886	0.000000007815
1	106087842	108409664	722	40	0.0000733898	0.000000012860
1	108409665	110303930	556	40	0.0000133792	0.000000009207
1	110303931	111741736	560	40	0.0000675015	0.000000011993
1	111741737	113273305	691	40	0.0000573086	0.000000012639
1	113273306	114873844	497	40	0.0001502133	0.000000010895
1	114873845	115880592	338	37	0.0000121500	0.000000005383
1	115880593	118839066	810	40	0.0001337016	0.000000013688
1	118839067	144977493	564	40	-0.0000270192	0.000000008771
1	144977494	148361252	425	40	0.0000405342	0.000000007851
1	148361253	151538880	332	33	0.0001321408	0.000000007074
1	151538881	153180828	451	40	0.0000561470	0.000000007568
1	153180829	154770402	446	40	0.0000414153	0.000000008123
1	154770403	156336132	280	38	0.0000435190	0.000000005789
1	156336133	158027411	578	40	0.0002375025	0.000000013471
