chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	19	-0.0000160639	0.0000000085
1	1892607	3582735	442	40	-0.0001517634	0.0000000264
1	3582736	4380810	276	40	0.0001010084	0.0000000151
1	4380811	5913892	878	40	-0.0001266174	0.0000000266
1	5913893	7247334	435	40	-0.0000601704	0.0000000192
1	7247335	9365198	706	40	0.0001586557	0.0000000285
1	9365199	10806983	355	40	0.0000401515	0.0000000129
1	10806984	11777840	260	40	0.0003496368	0.0000000149
1	11777841	12779465	293	40	-0.0000140297	0.0000000168
1	12779466	14891510	619	40	0.0000632723	0.0000000272
1	14891511	16897729	695	40	0.0000370487	0.0000000286
1	16897730	18662898	673	40	-0.0000646951	0.0000000259
1	18662899	20469148	727	40	0.0000008839	0.0000000278
1	20469149	21736587	462	40	0.0000126762	0.0000000201
1	21736588	23086882	526	40	0.0001121130	0.0000000235
1	23086883	23920589	223	28	-0.0000216196	0.0000000119
1	23920590	25516844	527	40	0.0000585581	0.0000000237
1	25516845	27401866	416	40	0.0000066306	0.0000000139
1	27401867	30161880	556	40	0.0001303323	0.0000000218
1	30161881	32438684	940	40	-0.0000451598	0.0000000276
1	32438685	34799757	678	40	-0.0000079907	0.0000000268
1	34799758	37549182	560	40	-0.0000265110	0.0000000229
1	37549183	38731846	375	40	0.0000159396	0.0000000158
1	38731847	40200566	448	40	-0.0000657770	0.0000000183
1	40200567	41975326	557	40	-0.0000350592	0.0000000199
1	41975327	43758456	553	40	-0.0000167800	0.0000000216
1	43758457	44969182	374	36	0.0000587712	0.0000000140
1	44969183	46899500	463	39	0.0000597673	0.0000000138
1	46899501	48002575	299	33	-0.0000568166	0.0000000121
1	48002576	48978187	346	40	-0.0000533424	0.0000000141
1	48978188	49894176	248	28	-0.0000291001	0.0000000124
1	49894177	51713725	260	25	-0.0000757771	0.0000000112
1	51713726	54226261	564	40	0.0000213552	0.0000000205
1	54226262	56413116	843	40	-0.0000145762	0.0000000269
1	56413117	57021727	274	31	-0.0001162119	0.0000000103
1	57021728	58865398	853	40	0.0000210746	0.0000000282
1	58865399	59890408	385	40	0.0000053466	0.0000000148
1	59890409	61922364	676	40	-0.0000965020	0.0000000251
1	61922365	63455088	544	40	-0.0000228465	0.0000000211
1	63455089	65041703	660	40	0.0000614327	0.0000000209
1	65041704	66939403	655	40	-0.0000618891	0.0000000239
1	66939404	68477894	693	40	-0.0000053616	0.0000000219
1	68477895	69687615	391	40	0.0001233347	0.0000000163
1	69687616	71372469	524	40	-0.0000117194	0.0000000212
1	71372470	71684404	84	10	0.0000112664	0.0000000027
1	71684405	74326906	566	40	0.0001008661	0.0000000270
1	74326907	76728134	734	40	0.0000240603	0.0000000252
1	76728135	79661197	957	40	0.0000053908	0.0000000305
1	79661198	81354190	479	40	-0.0000063330	0.0000000171
1	81354191	83991747	980	40	-0.0000250754	0.0000000268
1	83991748	84844494	319	36	-0.0001592726	0.0000000121
1	84844495	86454750	657	40	0.0000517665	0.0000000241
1	86454751	88128630	577	40	-0.0000099502	0.0000000218
1	88128631	90066302	529	40	0.0000331235	0.0000000190
1	90066303	91886316	566	40	0.0000859097	0.0000000212
1	91886317	93536458	519	40	-0.0000300662	0.0000000167
1	93536459	94506190	258	27	-0.0000434536	0.0000000085
1	94506191	96150892	656	40	-0.0001339988	0.0000000254
1	96150893	97885248	609	40	0.0000205019	0.0000000274
1	97885249	99800603	644	40	0.0000189766	0.0000000233
1	99800604	100826404	341	37	-0.0000043719	0.0000000104
1	100826405	102041015	453	40	-0.0001076545	0.0000000161
1	102041016	102898744	282	37	-0.0002065914	0.0000000120
1	102898745	103914210	204	21	-0.0000591577	0.0000000070
1	103914211	106087841	462	40	0.0001466766	0.0000000199
