chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	18	0.0000461099	0.0000000041
1	1892607	3582735	428	40	-0.0000409490	0.0000000129
1	3582736	4380810	263	40	-0.0000655700	0.0000000094
1	4380811	5913892	844	40	-0.0000353122	0.0000000142
1	5913893	7247334	419	40	-0.0001435969	0.0000000105
1	7247335	9365198	678	40	0.0000371077	0.0000000144
1	9365199	10806983	344	40	-0.0000455807	0.0000000080
1	10806984	11777840	250	40	-0.0000575030	0.0000000067
1	11777841	12779465	274	40	-0.0000070840	0.0000000089
1	12779466	14891510	601	40	0.0000421876	0.0000000160
1	14891511	16897729	657	40	-0.0000531851	0.0000000150
1	16897730	18662898	635	40	0.0000927368	0.0000000164
1	18662899	20469148	697	40	-0.0000357763	0.0000000148
1	20469149	21736587	445	40	0.0001146101	0.0000000125
1	21736588	23086882	502	40	0.0000112062	0.0000000137
1	23086883	23920589	219	28	-0.0000722673	0.0000000066
1	23920590	25516844	509	40	0.0000309970	0.0000000135
1	25516845	27401866	401	40	-0.0000341933	0.0000000097
1	27401867	30161880	534	40	0.0001003570	0.0000000125
1	30161881	32438684	890	40	-0.0000726977	0.0000000155
1	32438685	34799757	658	40	0.0000324807	0.0000000147
1	34799758	37549182	539	40	0.0000409171	0.0000000114
1	37549183	38731846	364	40	-0.0000672170	0.0000000094
1	38731847	40200566	436	40	0.0000033725	0.0000000112
1	40200567	41975326	539	40	-0.0000154619	0.0000000121
1	41975327	43758456	521	40	-0.0000835421	0.0000000116
1	43758457	44969182	359	35	-0.0000202463	0.0000000084
1	44969183	46899500	446	38	0.0000717055	0.0000000073
1	46899501	48002575	290	33	0.0000980636	0.0000000092
1	48002576	48978187	331	40	0.0000157486	0.0000000082
1	48978188	49894176	243	28	0.0000022539	0.0000000060
1	49894177	51713725	254	25	0.0001032904	0.0000000050
1	51713726	54226261	552	40	0.0001136166	0.0000000119
1	54226262	56413116	812	40	-0.0000065767	0.0000000147
1	56413117	57021727	259	30	-0.0000128777	0.0000000055
1	57021728	58865398	823	40	0.0000013509	0.0000000163
1	58865399	59890408	370	40	-0.0000584533	0.0000000087
1	59890409	61922364	656	40	0.0000090774	0.0000000140
1	61922365	63455088	516	40	0.0001547821	0.0000000134
1	63455089	65041703	635	40	-0.0000690884	0.0000000120
1	65041704	66939403	636	40	0.0000434509	0.0000000132
1	66939404	68477894	669	40	-0.0001759670	0.0000000129
1	68477895	69687615	375	40	-0.0000660581	0.0000000090
1	69687616	71372469	507	40	-0.0000681735	0.0000000101
1	71372470	71684404	82	10	0.0000137163	0.0000000014
1	71684405	74326906	543	40	-0.0000259015	0.0000000102
1	74326907	76728134	714	40	-0.0000020495	0.0000000124
1	76728135	79661197	923	40	-0.0000809964	0.0000000143
1	79661198	81354190	453	40	0.0000704721	0.0000000097
1	81354191	83991747	945	40	0.0000208622	0.0000000142
1	83991748	84844494	306	35	-0.0000264320	0.0000000059
1	84844495	86454750	633	40	-0.0000081355	0.0000000128
1	86454751	88128630	550	40	-0.0000600801	0.0000000124
1	88128631	90066302	509	40	0.0000026300	0.0000000126
1	90066303	91886316	546	40	0.0000405980	0.0000000120
1	91886317	93536458	493	40	0.0000190069	0.0000000092
1	93536459	94506190	252	26	-0.0000344003	0.0000000062
1	94506191	96150892	632	40	0.0001278670	0.0000000137
1	96150893	97885248	588	40	0.0000830852	0.0000000108
1	97885249	99800603	625	40	-0.0000015169	0.0000000122
1	99800604	100826404	330	36	-0.0001057140	0.0000000061
1	100826405	102041015	438	40	0.0000163233	0.0000000085
1	102041016	102898744	271	36	-0.0000340109	0.0000000062
1	102898745	103914210	198	21	0.0000763657	0.0000000036
1	103914211	106087841	444	40	0.0000298517	0.0000000103
1	106087842	108409664	716	40	0.0000648149	0.0000000153
1	108409665	110303930	556	40	-0.0000709014	0.0000000124
