chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	19	0.0001705605	0.000000009603
1	1892607	3582735	443	40	0.0003438267	0.000000032740
1	3582736	4380810	277	40	0.0001170260	0.000000017772
1	4380811	5913892	860	40	0.0001419668	0.000000034801
1	5913893	7247334	427	40	0.0001350184	0.000000024552
1	7247335	9365198	698	40	0.0001633992	0.000000035133
1	9365199	10806983	352	40	0.0002416450	0.000000021563
1	10806984	11777840	254	40	0.0000714594	0.000000014981
1	11777841	12779465	286	40	0.0002853396	0.000000022106
1	12779466	14891510	616	40	0.0000882647	0.000000033682
1	14891511	16897729	693	40	0.0005966763	0.000000044903
1	16897730	18662898	669	40	0.0000422290	0.000000032753
1	18662899	20469148	718	40	0.0003353497	0.000000039223
1	20469149	21736587	459	40	0.0002207331	0.000000027101
1	21736588	23086882	521	40	0.0002297683	0.000000032797
1	23086883	23920589	220	28	0.0003346260	0.000000018127
1	23920590	25516844	520	40	0.0002039572	0.000000031863
1	25516845	27401866	412	40	0.0002956032	0.000000024026
1	27401867	30161880	548	40	0.0003677989	0.000000032329
1	30161881	32438684	930	40	0.0000863555	0.000000033492
1	32438685	34799757	673	40	0.0001421020	0.000000034594
1	34799758	37549182	560	40	0.0001659831	0.000000030775
1	37549183	38731846	368	40	0.0003276194	0.000000024839
1	38731847	40200566	446	40	0.0000587499	0.000000022838
1	40200567	41975326	551	40	0.0000438782	0.000000025431
1	41975327	43758456	539	40	0.0001291847	0.000000025964
1	43758457	44969182	368	35	-0.0000162266	0.000000015138
1	44969183	46899500	457	38	0.0002622713	0.000000021318
1	46899501	48002575	297	33	0.0001497799	0.000000015892
1	48002576	48978187	342	40	0.0001618129	0.000000020580
1	48978188	49894176	247	28	0.0000512075	0.000000013204
1	49894177	51713725	255	25	0.0002398041	0.000000014381
1	51713726	54226261	562	40	0.0001360222	0.000000029485
1	54226262	56413116	829	40	0.0001816180	0.000000035626
1	56413117	57021727	272	31	0.0001027128	0.000000013839
1	57021728	58865398	850	40	0.0000428554	0.000000032340
1	58865399	59890408	383	40	0.0001719037	0.000000020759
1	59890409	61922364	667	40	0.0003651382	0.000000039462
1	61922365	63455088	534	40	0.0002572521	0.000000031717
1	63455089	65041703	659	40	0.0000990835	0.000000029117
1	65041704	66939403	641	40	0.0002662342	0.000000033526
1	66939404	68477894	679	40	0.0001263721	0.000000029385
1	68477895	69687615	375	40	0.0002036913	0.000000022308
1	69687616	71372469	515	40	0.0001508713	0.000000025894
1	71372470	71684404	82	10	0.0000306175	0.000000003710
1	71684405	74326906	556	40	0.0001397892	0.000000023366
1	74326907	76728134	711	40	0.0000929795	0.000000028377
1	76728135	79661197	945	40	0.0002400707	0.000000036690
1	79661198	81354190	466	40	-0.0000402693	0.000000020184
1	81354191	83991747	960	40	0.0001752447	0.000000035315
1	83991748	84844494	312	35	0.0001744553	0.000000016215
1	84844495	86454750	643	40	0.0001618464	0.000000032981
1	86454751	88128630	569	40	0.0000707063	0.000000027362
1	88128631	90066302	517	40	0.0001362876	0.000000026313
1	90066303	91886316	561	40	0.0002630360	0.000000030464
1	91886317	93536458	508	40	0.0000644882	0.000000021296
1	93536459	94506190	255	26	0.0001247314	0.000000012485
1	94506191	96150892	644	40	0.0002377797	0.000000034794
1	96150893	97885248	601	40	0.0001707718	0.000000026377
1	97885249	99800603	638	40	0.0003019778	0.000000032328
1	99800604	100826404	314	36	0.0003473378	0.000000020597
1	100826405	102041015	444	40	0.0002035264	0.000000023520
1	102041016	102898744	275	36	0.0002144556	0.000000016626
1	102898745	103914210	199	21	0.0000005636	0.000000007590
1	103914211	106087841	449	40	0.0001771779	0.000000023770
1	106087842	108409664	725	40	0.0001144750	0.000000033974
1	108409665	110303930	558	40	0.0002964427	0.000000030503
1	110303931	111741736	568	40	0.0002714645	0.000000035657
1	111741737	113273305	719	40	0.0001297893	0.000000034385
1	113273306	114873844	509	40	0.0003394609	0.000000031140
1	114873845	115880592	344	37	0.0002374002	0.000000019286
1	115880593	118839066	826	40	0.0002135854	0.000000036341
1	118839067	144977493	562	40	0.0002057887	0.000000028919
1	144977494	148361252	431	40	0.0001082321	0.000000021791
1	148361253	151538880	349	34	0.0006978163	0.000000029659
1	151538881	153180828	468	40	0.0001314543	0.000000020944
1	153180829	154770402	460	40	0.0002974216	0.000000027024
1	154770403	156336132	306	38	0.0002819170	0.000000020705
1	156336133	158027411	597	40	0.0001311020	0.000000030769
1	158027412	159913047	678	40	0.0000544045	0.000000032839
1	159913048	162346720	873	40	0.0001437355	0.000000034804
1	162346721	165191701	1197	40	0.0002405627	0.000000036832
1	165191702	166460516	528	40	0.0000825725	0.000000028463
1	166460517	169086323	1099	40	0.0000568189	0.000000032803
1	169086324	170557775	554	40	0.0001200956	0.000000023720
1	170557776	173097906	898	40	0.0004174591	0.000000040658
1	173097907	175089767	410	32	0.0001677318	0.000000015875
1	175089768	177433380	784	40	0.0001021242	0.000000033715
1	177433381	178944308	492	40	0.0002431029	0.000000026301
1	178944309	178954469	2	1	0.0000152646	0.000000000456
1	178954470	181144120	748	40	0.0001326942	0.000000033859
1	181144121	182755355	599	40	0.0002178052	0.000000034134
1	182755356	184595512	629	40	0.0001816690	0.000000029687
1	184595513	186810022	521	40	0.0003153027	0.000000028032
1	186810023	188759944	619	40	0.0001144763	0.000000028068
1	188759945	189904129	220	19	0.0000242576	0.000000008038
1	189904130	191868929	537	40	0.0001052572	0.000000021310
1	191868930	194107441	571	40	0.0002179572	0.000000028931
1	194107442	196176200	572	40	0.0000417187	0.000000022623
1	196176201	197311513	197	16	0.0000240111	0.000000007079
1	197311514	199239883	504	40	0.0001887239	0.000000026201
1	199239884	200137648	297	35	0.0000525339	0.000000014348
1	200137649	201589974	704	40	0.0000662912	0.000000033015
1	201589975	203334733	615	40	0.0000669994	0.000000032343
1	203334734	204681067	485	40	0.0000875146	0.000000025413
1	204681068	206073264	574	40	0.0000880078	0.000000029857
1	206073265	208410363	632	40	0.0000545404	0.000000032635
1	208410364	210787749	927	40	0.0001054289	0.000000033916
1	210787750	212842329	687	40	0.0000875834	0.000000033384
1	212842330	214578265	606	40	0.0001105736	0.000000032550
1	214578266	216243633	576	40	0.0002394878	0.000000031801
1	216243634	218705512	1079	40	0.0003192750	0.000000038491
1	218705513	219590570	278	33	0.0001221081	0.000000014942
1	219590571	221858230	679	40	0.0004319099	0.000000040290
1	221858231	222230219	174	21	0.0000915253	0.000000010936
1	222230220	224938519	452	40	-0.0000066464	0.000000020935
1	224938520	226810859	513	40	0.0002629743	0.000000028862
1	226810860	229156247	689	40	0.0001818334	0.000000033327
1	229156248	230685254	530	40	0.0003009220	0.000000033410
1	230685255	232090251	589	40	0.0000476821	0.000000029258
1	232090252	233429283	599	40	0.0001084709	0.000000033852
1	233429284	234599433	531	40	0.0002145863	0.000000031771
1	234599434	235819435	386	40	0.0003463494	0.000000027862
1	235819436	237555627	722	40	0.0003655544	0.000000039900
1	237555628	238567806	425	40	0.0000435846	0.000000022693
1	238567807	239925313	488	40	0.0000565048	0.000000026041
1	239925314	240564090	343	40	0.0001089053	0.000000019628
1	240564091	241582219	519	40	0.0000883759	0.000000031731
1	241582220	242071601	217	38	0.0000440718	0.000000012747
1	242071602	244109498	621	40	0.0003309408	0.000000038481
1	244109499	245506745	515	40	0.0004023426	0.000000036721
1	245506746	247344517	705	40	0.0000607450	0.000000032932
1	247344518	249239465	401	40	0.0001037513	0.000000023897
2	10133	1781021	656	40	0.0001927409	0.000000035975
2	1781022	3973778	959	40	-0.0000128225	0.000000031554
2	3973779	5708336	625	40	0.0001599871	0.000000035578
2	5708337	6836253	554	40	0.0001944536	0.000000030574
2	6836254	8422146	650	40	0.0001264996	0.000000034550
2	8422147	10298468	674	40	0.0001062718	0.000000034331
