chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	20	0.0001349133	0.0000000042
1	1892607	3582735	443	40	0.0000372345	0.0000000096
1	3582736	4380810	277	40	0.0000329890	0.0000000057
1	4380811	5913892	880	40	0.0000464163	0.0000000103
1	5913893	7247334	440	40	0.0001358562	0.0000000088
1	7247335	9365198	706	40	0.0003451956	0.0000000148
1	9365199	10806983	355	40	0.0000478163	0.0000000058
1	10806984	11777840	260	40	-0.0000209416	0.0000000047
1	11777841	12779465	297	40	0.0001292143	0.0000000062
1	12779466	14891510	620	40	0.0000739863	0.0000000110
1	14891511	16897729	698	40	0.0000183635	0.0000000107
1	16897730	18662898	673	40	-0.0000108362	0.0000000100
1	18662899	20469148	723	40	0.0000945281	0.0000000121
1	20469149	21736587	462	40	0.0002040390	0.0000000096
1	21736588	23086882	527	40	-0.0000061358	0.0000000105
1	23086883	23920589	224	28	0.0001345980	0.0000000059
1	23920590	25516844	527	40	0.0000780230	0.0000000103
1	25516845	27401866	425	40	0.0001679739	0.0000000082
1	27401867	30161880	558	40	0.0001371393	0.0000000102
1	30161881	32438684	939	40	0.0000228161	0.0000000109
1	32438685	34799757	678	40	0.0001312312	0.0000000121
1	34799758	37549182	560	40	0.0000950231	0.0000000103
1	37549183	38731846	375	40	0.0000211507	0.0000000059
1	38731847	40200566	448	40	0.0000671643	0.0000000074
1	40200567	41975326	556	40	0.0000854772	0.0000000087
1	41975327	43758456	554	40	0.0001139417	0.0000000093
1	43758457	44969182	372	35	0.0000205699	0.0000000052
1	44969183	46899500	461	38	0.0000000744	0.0000000048
1	46899501	48002575	300	33	0.0000853305	0.0000000052
1	48002576	48978187	346	40	0.0000990369	0.0000000064
1	48978188	49894176	248	28	0.0000933051	0.0000000055
1	49894177	51713725	261	25	0.0000863232	0.0000000046
1	51713726	54226261	565	40	-0.0000388929	0.0000000081
1	54226262	56413116	845	40	-0.0000346551	0.0000000094
1	56413117	57021727	274	31	0.0001223233	0.0000000047
1	57021728	58865398	858	40	0.0001920782	0.0000000126
1	58865399	59890408	385	40	0.0001054562	0.0000000066
1	59890409	61922364	674	40	0.0001240936	0.0000000115
