chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	93	18	-0.0000148179	0.0000000172
1	1892607	3582735	438	40	0.0001098665	0.0000000652
1	3582736	4380810	267	40	0.0002550518	0.0000000421
1	4380811	5913892	855	40	0.0000728155	0.0000000806
1	5913893	7247334	424	40	-0.0001852133	0.0000000543
1	7247335	9365198	698	40	-0.0001115214	0.0000000846
1	9365199	10806983	347	40	0.0000254937	0.0000000430
1	10806984	11777840	253	40	-0.0000719008	0.0000000358
1	11777841	12779465	276	40	0.0001670734	0.0000000405
1	12779466	14891510	614	40	-0.0000240598	0.0000000795
1	14891511	16897729	684	40	-0.0000441660	0.0000000809
1	16897730	18662898	664	40	-0.0000818924	0.0000000798
1	18662899	20469148	708	40	0.0000152219	0.0000000766
1	20469149	21736587	458	40	-0.0003044016	0.0000000613
1	21736588	23086882	519	40	-0.0001796956	0.0000000733
1	23086883	23920589	220	28	-0.0000237213	0.0000000324
1	23920590	25516844	518	40	-0.0001228488	0.0000000762
1	25516845	27401866	411	40	-0.0001412773	0.0000000463
1	27401867	30161880	549	40	0.0002041327	0.0000000643
1	30161881	32438684	926	40	0.0002315172	0.0000000797
1	32438685	34799757	669	40	-0.0003040555	0.0000000837
1	34799758	37549182	549	40	0.0000707428	0.0000000669
1	37549183	38731846	362	40	-0.0000736986	0.0000000444
1	38731847	40200566	445	40	-0.0002580598	0.0000000563
1	40200567	41975326	551	40	-0.0000493126	0.0000000654
1	41975327	43758456	539	40	-0.0000028826	0.0000000620
1	43758457	44969182	366	35	0.0002264385	0.0000000447
1	44969183	46899500	455	38	0.0001305602	0.0000000480
1	46899501	48002575	291	33	0.0001638706	0.0000000384
1	48002576	48978187	342	40	-0.0000110146	0.0000000437
1	48978188	49894176	246	28	0.0001294837	0.0000000320
1	49894177	51713725	255	25	0.0000433722	0.0000000309
1	51713726	54226261	560	40	-0.0000679957	0.0000000650
1	54226262	56413116	832	40	-0.0001187751	0.0000000878
1	56413117	57021727	272	31	0.0000629992	0.0000000353
1	57021728	58865398	846	40	0.0000102800	0.0000000780
1	58865399	59890408	383	40	-0.0000459813	0.0000000476
1	59890409	61922364	666	40	0.0000176839	0.0000000763
1	61922365	63455088	533	40	0.0000580424	0.0000000671
1	63455089	65041703	656	40	-0.0000315686	0.0000000673
1	65041704	66939403	638	40	-0.0002825546	0.0000000760
1	66939404	68477894	678	40	-0.0000545485	0.0000000693
1	68477895	69687615	372	40	-0.0001789936	0.0000000488
1	69687616	71372469	513	40	0.0001004336	0.0000000578
1	71372470	71684404	82	10	0.0000346125	0.0000000080
1	71684405	74326906	556	40	0.0001997250	0.0000000521
1	74326907	76728134	711	40	-0.0000774938	0.0000000705
1	76728135	79661197	944	40	0.0001581902	0.0000000804
1	79661198	81354190	468	40	-0.0002799453	0.0000000566
1	81354191	83991747	962	40	0.0001408449	0.0000000825
1	83991748	84844494	312	35	-0.0001147848	0.0000000350
1	84844495	86454750	645	40	0.0002305041	0.0000000841
1	86454751	88128630	565	40	-0.0000571667	0.0000000659
1	88128631	90066302	516	40	-0.0001313166	0.0000000593
1	90066303	91886316	561	40	0.0002004344	0.0000000728
1	91886317	93536458	509	40	-0.0000591345	0.0000000495
1	93536459	94506190	254	26	-0.0000987135	0.0000000255
1	94506191	96150892	640	40	-0.0001167221	0.0000000749
1	96150893	97885248	601	40	0.0002076214	0.0000000594
1	97885249	99800603	636	40	-0.0001610704	0.0000000674
1	99800604	100826404	311	36	0.0001592283	0.0000000420
1	100826405	102041015	444	40	0.0000333855	0.0000000475
1	102041016	102898744	273	36	0.0001214433	0.0000000339
1	102898745	103914210	200	21	0.0001112901	0.0000000212
1	103914211	106087841	448	40	0.0002565695	0.0000000546
1	106087842	108409664	725	40	-0.0000835838	0.0000000804
1	108409665	110303930	560	40	0.0000630060	0.0000000714
1	110303931	111741736	564	40	0.0000577919	0.0000000786
1	111741737	113273305	718	40	0.0001272181	0.0000000804
1	113273306	114873844	507	40	0.0000317896	0.0000000656
1	114873845	115880592	344	37	0.0001395990	0.0000000472
1	115880593	118839066	815	40	-0.0002601340	0.0000000812
1	118839067	144977493	562	40	-0.0000429197	0.0000000638
1	144977494	148361252	430	40	0.0001277788	0.0000000540
1	148361253	151538880	348	34	0.0001169731	0.0000000410
1	151538881	153180828	463	40	0.0000579924	0.0000000593
1	153180829	154770402	459	40	0.0003377870	0.0000000530
1	154770403	156336132	305	38	0.0003276316	0.0000000496
1	156336133	158027411	596	40	-0.0001441072	0.0000000701
1	158027412	159913047	678	40	-0.0002345676	0.0000000782
