chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	104	20	0.0001044932	0.000000032030
1	1892607	3582735	445	22	0.0001762812	0.000000117216
1	3582736	4380810	277	22	0.0001657680	0.000000067562
1	4380811	5913892	860	22	0.0000825713	0.000000123637
1	5913893	7247334	427	22	0.0002359081	0.000000091233
1	7247335	9365198	698	22	0.0002286590	0.000000131128
1	9365199	10806983	352	22	0.0002148764	0.000000069009
1	10806984	11777840	254	22	0.0001498557	0.000000058891
1	11777841	12779465	286	22	0.0002287796	0.000000062902
1	12779466	14891510	616	22	0.0001307798	0.000000126388
1	14891511	16897729	694	22	0.0001452855	0.000000129389
1	16897730	18662898	670	22	0.0000336333	0.000000124541
1	18662899	20469148	718	22	0.0000065377	0.000000124248
1	20469149	21736587	459	22	0.0000484323	0.000000086128
1	21736588	23086882	521	22	-0.0000383173	0.000000107235
1	23086883	23920589	220	22	0.0001797184	0.000000045141
1	23920590	25516844	520	22	0.0002337284	0.000000116025
1	25516845	27401866	412	22	0.0000319339	0.000000065387
1	27401867	30161880	548	22	-0.0000029550	0.000000093615
1	30161881	32438684	931	22	0.0001676544	0.000000126832
1	32438685	34799757	673	22	0.0001684069	0.000000129581
1	34799758	37549182	560	22	0.0003007493	0.000000117325
1	37549183	38731846	367	22	0.0001617734	0.000000071461
1	38731847	40200566	446	22	0.0000216370	0.000000080493
1	40200567	41975326	551	22	0.0000823558	0.000000094747
1	41975327	43758456	539	22	0.0004222040	0.000000102477
1	43758457	44969182	368	22	0.0002355350	0.000000067354
1	44969183	46899500	457	22	0.0000658477	0.000000058797
1	46899501	48002575	297	22	0.0001222136	0.000000051182
1	48002576	48978187	342	22	0.0000834498	0.000000065239
1	48978188	49894176	247	22	0.0002958529	0.000000056175
1	49894177	51713725	255	22	0.0002231258	0.000000041348
1	51713726	54226261	562	22	0.0000126250	0.000000100656
1	54226262	56413116	829	22	0.0000405672	0.000000118766
1	56413117	57021727	272	22	0.0002955581	0.000000049673
1	57021728	58865398	850	22	0.0002670035	0.000000130970
1	58865399	59890408	383	22	0.0001217650	0.000000066846
1	59890409	61922364	667	22	0.0000967221	0.000000122247
1	61922365	63455088	534	22	0.0002086565	0.000000095847
1	63455089	65041703	659	22	0.0000943475	0.000000106289
1	65041704	66939403	641	22	0.0003791072	0.000000118772
1	66939404	68477894	679	22	0.0001069989	0.000000104283
1	68477895	69687615	375	22	0.0002034975	0.000000074942
1	69687616	71372469	515	22	0.0000933352	0.000000089762
1	71372470	71684404	82	10	0.0000183798	0.000000011695
1	71684405	74326906	556	22	0.0005251398	0.000000088741
1	74326907	76728134	711	22	0.0001234341	0.000000100369
1	76728135	79661197	945	22	0.0003930750	0.000000134539
1	79661198	81354190	466	22	0.0000995617	0.000000081772
1	81354191	83991747	960	22	0.0001192748	0.000000121733
1	83991748	84844494	312	22	0.0002568526	0.000000056098
1	84844495	86454750	643	22	0.0000832871	0.000000113139
1	86454751	88128630	570	22	0.0001755306	0.000000107641
1	88128631	90066302	517	22	0.0000907632	0.000000087514
1	90066303	91886316	561	22	0.0001532798	0.000000100135
1	91886317	93536458	508	22	0.0001962210	0.000000079541
1	93536459	94506190	255	22	0.0001602678	0.000000042221
1	94506191	96150892	644	22	-0.0000037312	0.000000109084
1	96150893	97885248	601	22	0.0003004106	0.000000095531
1	97885249	99800603	639	22	0.0000824165	0.000000101311
1	99800604	100826404	314	22	0.0002101120	0.000000055423
1	100826405	102041015	444	22	0.0001744469	0.000000077565
1	102041016	102898744	275	22	0.0001025343	0.000000049661
1	102898745	103914210	199	21	0.0000227141	0.000000029163
1	103914211	106087841	449	22	0.0000706913	0.000000077905
1	106087842	108409664	727	22	0.0001424471	0.000000124639
1	108409665	110303930	559	22	0.0003382336	0.000000093277
1	110303931	111741736	568	22	0.0000960148	0.000000115034
1	111741737	113273305	719	22	0.0003414150	0.000000132426
1	113273306	114873844	509	22	0.0000525728	0.000000092585
1	114873845	115880592	344	22	0.0001404858	0.000000056664
1	115880593	118839066	826	22	0.0000724729	0.000000122287
1	118839067	144977493	562	22	0.0001462997	0.000000083800
1	144977494	148361252	431	22	0.0001567719	0.000000076995
1	148361253	151538880	350	22	0.0000989651	0.000000056602
1	151538881	153180828	468	22	-0.0000623813	0.000000063182
1	153180829	154770402	460	22	0.0000245457	0.000000076815
1	154770403	156336132	306	22	0.0003484515	0.000000068905
1	156336133	158027411	599	22	0.0001263192	0.000000114196
1	158027412	159913047	679	22	0.0000345136	0.000000121340
1	159913048	162346720	873	22	0.0000587251	0.000000109128
1	162346721	165191701	1198	22	-0.0000321101	0.000000117373
1	165191702	166460516	528	22	-0.0000411929	0.000000099349
1	166460517	169086323	1099	22	0.0000168973	0.000000122778
1	169086324	170557775	554	22	0.0003614632	0.000000089044
1	170557776	173097906	899	22	0.0000732864	0.000000116376
1	173097907	175089767	410	22	0.0001252967	0.000000049104
1	175089768	177433380	784	22	0.0002528270	0.000000129978
1	177433381	178944308	492	22	0.0002745498	0.000000079335
1	178944309	178954469	2	1	0.0000388681	0.000000002563
1	178954470	181144120	748	22	0.0002080094	0.000000126547
1	181144121	182755355	599	22	0.0000933917	0.000000113279
1	182755356	184595512	629	22	-0.0000167169	0.000000095087
1	184595513	186810022	521	22	-0.0000726526	0.000000074467
1	186810023	188759944	619	22	0.0001293806	0.000000100368
1	188759945	189904129	220	19	0.0002559402	0.000000038001
1	189904130	191868929	537	22	0.0001105973	0.000000072071
1	191868930	194107441	571	22	0.0001636668	0.000000096309
1	194107442	196176200	572	22	0.0000109090	0.000000080682
1	196176201	197311513	197	16	0.0001212874	0.000000029436
1	197311514	199239883	504	22	0.0003167412	0.000000094638
1	199239884	200137648	297	22	0.0000539782	0.000000050630
1	200137649	201589974	704	22	0.0000438708	0.000000122981
1	201589975	203334733	615	22	0.0002243820	0.000000129281
1	203334734	204681067	485	22	0.0002080982	0.000000097637
1	204681068	206073264	574	22	0.0002610239	0.000000116992
1	206073265	208410363	631	22	-0.0000141051	0.000000116632
1	208410364	210787749	927	22	0.0001934694	0.000000127416
1	210787750	212842329	687	22	0.0001421679	0.000000122815
1	212842330	214578265	605	22	0.0000570792	0.000000114180
1	214578266	216243633	576	22	0.0000957946	0.000000105249
1	216243634	218705512	1079	22	0.0000889351	0.000000121264
1	218705513	219590570	278	22	0.0000826090	0.000000045471
1	219590571	221858230	679	22	0.0003219025	0.000000120248
1	221858231	222230219	174	21	0.0001294038	0.000000037407
1	222230220	224938519	453	22	0.0000463441	0.000000080030
1	224938520	226810859	513	22	0.0000289227	0.000000086669
