chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	76	14	0.0001643714	0.000000048362
1	1892607	3582735	368	14	-0.0000384500	0.000000211286
1	3582736	4380810	237	14	0.0003193840	0.000000152540
1	4380811	5913892	849	14	0.0000423367	0.000000343022
1	5913893	7247334	357	14	0.0000116630	0.000000187220
1	7247335	9365198	639	14	0.0000786746	0.000000345526
1	9365199	10806983	297	14	0.0000109312	0.000000141503
1	10806984	11777840	220	14	0.0000696981	0.000000123078
1	11777841	12779465	186	14	-0.0000405113	0.000000101991
1	12779466	14891510	570	14	0.0001402692	0.000000338764
1	14891511	16897729	592	14	0.0000006082	0.000000310494
1	16897730	18662898	566	14	0.0001110529	0.000000321958
1	18662899	20469148	622	14	-0.0001242670	0.000000331541
1	20469149	21736587	394	14	0.0002602492	0.000000218228
1	21736588	23086882	445	14	0.0002287564	0.000000266572
1	23086883	23920589	181	14	0.0000664536	0.000000096484
1	23920590	25516844	444	14	0.0001168837	0.000000260376
1	25516845	27401866	307	14	-0.0000617431	0.000000139893
1	27401867	30161880	484	14	0.0001078092	0.000000237829
1	30161881	32438684	870	14	0.0002201551	0.000000355275
1	32438685	34799757	607	14	0.0001109891	0.000000329720
1	34799758	37549182	506	14	0.0000916577	0.000000263819
1	37549183	38731846	322	14	-0.0000990741	0.000000157610
1	38731847	40200566	391	14	0.0002569317	0.000000220121
1	40200567	41975326	497	14	0.0001920405	0.000000245772
1	41975327	43758456	477	14	0.0003130480	0.000000238194
1	43758457	44969182	303	14	0.0002382848	0.000000152323
1	44969183	46899500	370	14	0.0000820532	0.000000140360
1	46899501	48002575	256	14	0.0001595649	0.000000123334
1	48002576	48978187	330	14	0.0000331736	0.000000170731
1	48978188	49894176	230	14	0.0000432386	0.000000116076
1	49894177	51713725	245	14	0.0005089663	0.000000117664
1	51713726	54226261	491	14	-0.0000182587	0.000000254061
1	54226262	56413116	738	14	0.0005858055	0.000000380472
1	56413117	57021727	246	14	0.0000249302	0.000000109012
1	57021728	58865398	821	14	0.0000348415	0.000000342505
1	58865399	59890408	354	14	0.0004435880	0.000000195304
1	59890409	61922364	631	14	-0.0001340748	0.000000327715
