chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	162	28	-0.0000737159	0.0000000151
1	1892607	3582735	493	40	-0.0002052825	0.0000000362
1	3582736	4380810	285	40	0.0000986924	0.0000000273
1	4380811	5913892	905	40	-0.0000783501	0.0000000379
1	5913893	7247334	412	40	0.0001634056	0.0000000291
1	7247335	9365198	695	40	-0.0000337996	0.0000000447
1	9365199	10806983	350	40	0.0002884649	0.0000000251
1	10806984	11777840	259	40	0.0000822736	0.0000000219
1	11777841	12779465	239	40	-0.0001248844	0.0000000213
1	12779466	14891510	604	40	-0.0000444528	0.0000000416
1	14891511	16897729	708	40	0.0001488686	0.0000000392
1	16897730	18662898	621	40	-0.0000610249	0.0000000396
1	18662899	20469148	718	40	-0.0000311889	0.0000000381
1	20469149	21736587	434	40	-0.0000001952	0.0000000289
1	21736588	23086882	483	40	0.0001610230	0.0000000469
1	23086883	23920589	212	26	0.0000998052	0.0000000188
1	23920590	25516844	505	40	-0.0000348477	0.0000000339
1	25516845	27401866	389	40	-0.0001350676	0.0000000275
1	27401867	30161880	576	40	0.0002880143	0.0000000345
1	30161881	32438684	945	40	0.0000514889	0.0000000432
1	32438685	34799757	674	40	0.0000813015	0.0000000457
1	34799758	37549182	621	40	-0.0001214536	0.0000000371
1	37549183	38731846	404	40	0.0001328188	0.0000000285
1	38731847	40200566	424	40	-0.0000775365	0.0000000265
1	40200567	41975326	549	40	0.0002050072	0.0000000352
1	41975327	43758456	546	40	0.0000165424	0.0000000307
1	43758457	44969182	345	34	-0.0001179584	0.0000000206
1	44969183	46899500	433	38	-0.0001954750	0.0000000261
1	46899501	48002575	302	34	0.0000336896	0.0000000170
1	48002576	48978187	355	40	0.0000398804	0.0000000239
1	48978188	49894176	243	28	0.0000680738	0.0000000164
1	49894177	51713725	279	26	0.0000214635	0.0000000149
1	51713726	54226261	539	40	-0.0000770295	0.0000000331
1	54226262	56413116	823	40	-0.0000088315	0.0000000391
1	56413117	57021727	266	31	-0.0002327044	0.0000000154
1	57021728	58865398	902	40	0.0000729023	0.0000000388
1	58865399	59890408	394	40	0.0000359354	0.0000000302
1	59890409	61922364	676	40	-0.0000612878	0.0000000417
1	61922365	63455088	478	40	-0.0001194286	0.0000000301
1	63455089	65041703	672	40	-0.0000717006	0.0000000355
1	65041704	66939403	642	40	0.0000238687	0.0000000397
1	66939404	68477894	682	40	-0.0000175825	0.0000000367
1	68477895	69687615	385	40	0.0001129770	0.0000000353
1	69687616	71372469	549	40	0.0003486277	0.0000000323
1	71372470	71684404	88	10	-0.0000211226	0.0000000053
1	71684405	74326906	546	40	0.0002240242	0.0000000267
1	74326907	76728134	703	40	0.0001326223	0.0000000352
1	76728135	79661197	966	40	-0.0001289958	0.0000000405
1	79661198	81354190	501	40	-0.0000071442	0.0000000262
1	81354191	83991747	1003	40	0.0000510264	0.0000000405
1	83991748	84844494	338	36	-0.0001262468	0.0000000211
1	84844495	86454750	636	40	-0.0002710757	0.0000000387
1	86454751	88128630	574	40	-0.0001122054	0.0000000340
1	88128631	90066302	523	40	0.0000339965	0.0000000378
1	90066303	91886316	591	40	0.0001003549	0.0000000358
1	91886317	93536458	506	40	-0.0001776682	0.0000000328
1	93536459	94506190	254	27	0.0000625705	0.0000000175
1	94506191	96150892	672	40	-0.0000572295	0.0000000351
1	96150893	97885248	641	40	0.0000429411	0.0000000315
1	97885249	99800603	659	40	0.0000227837	0.0000000366
1	99800604	100826404	315	36	0.0002592469	0.0000000185
1	100826405	102041015	465	40	-0.0001541678	0.0000000291
1	102041016	102898744	292	38	0.0000100632	0.0000000187
1	102898745	103914210	195	21	0.0000137941	0.0000000150
1	103914211	106087841	492	40	0.0002916351	0.0000000318
1	106087842	108409664	755	40	0.0001886914	0.0000000429
1	108409665	110303930	456	40	-0.0000252842	0.0000000275
1	110303931	111741736	579	40	0.0000057308	0.0000000412
1	111741737	113273305	677	40	0.0001185706	0.0000000449
1	113273306	114873844	542	40	-0.0000007872	0.0000000302
1	114873845	115880592	337	38	0.0000116489	0.0000000185
1	115880593	118839066	857	40	-0.0003707165	0.0000000414
1	118839067	144977493	511	40	-0.0000565678	0.0000000302
1	144977494	148361252	439	40	0.0001651644	0.0000000267
1	148361253	151538880	302	30	-0.0002033101	0.0000000218
1	151538881	153180828	486	40	0.0000698913	0.0000000246
1	153180829	154770402	454	40	-0.0000127258	0.0000000293
1	154770403	156336132	292	37	-0.0001549557	0.0000000214
1	156336133	158027411	549	40	-0.0001232004	0.0000000354
1	158027412	159913047	632	40	0.0002602306	0.0000000394
1	159913048	162346720	731	40	0.0000201818	0.0000000409
1	162346721	165191701	1227	40	-0.0003291710	0.0000000417
1	165191702	166460516	559	40	-0.0000337138	0.0000000360
1	166460517	169086323	1161	40	-0.0000013731	0.0000000380
1	169086324	170557775	473	40	-0.0001321327	0.0000000299
1	170557776	173097906	860	40	-0.0000422193	0.0000000521
1	173097907	175089767	508	33	0.0000217565	0.0000000190
1	175089768	177433380	819	40	-0.0000854394	0.0000000407
1	177433381	178944308	470	40	-0.0000274348	0.0000000282
1	178944309	178954469	2	1	0.0000014251	-0.0000000001
1	178954470	181144120	734	40	0.0001640628	0.0000000435
1	181144121	182755355	635	40	-0.0000091379	0.0000000364
1	182755356	184595512	612	40	-0.0001359248	0.0000000348
1	184595513	186810022	565	40	0.0001466712	0.0000000295
1	186810023	188759944	701	40	0.0000175619	0.0000000357
1	188759945	189904129	250	19	0.0000657192	0.0000000142
1	189904130	191868929	588	40	-0.0001693395	0.0000000258
1	191868930	194107441	661	40	-0.0000115377	0.0000000330
1	194107442	196176200	632	40	0.0001691911	0.0000000288
1	196176201	197311513	178	15	0.0000234523	0.0000000093
1	197311514	199239883	540	40	0.0002327326	0.0000000342
1	199239884	200137648	343	38	0.0000840708	0.0000000285
1	200137649	201589974	652	40	0.0001327794	0.0000000378
1	201589975	203334733	581	40	-0.0000745087	0.0000000377
1	203334734	204681067	484	40	0.0000620504	0.0000000340
1	204681068	206073264	509	40	-0.0003923415	0.0000000428
1	206073265	208410363	622	40	-0.0001227599	0.0000000434
1	208410364	210787749	966	40	-0.0000020722	0.0000000407
1	210787750	212842329	706	40	0.0000263220	0.0000000423
1	212842330	214578265	602	40	-0.0001883862	0.0000000357
1	214578266	216243633	611	40	0.0000198567	0.0000000358
1	216243634	218705512	1126	40	-0.0000011286	0.0000000415
1	218705513	219590570	309	35	-0.0000679666	0.0000000211
1	219590571	221858230	693	40	-0.0000324619	0.0000000402
1	221858231	222230219	182	21	0.0000479912	0.0000000162
1	222230220	224938519	722	40	-0.0000276560	0.0000000422
