chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	20	0.0001313878	0.000000009514
1	1892607	3582735	438	40	0.0001110568	0.000000027766
1	3582736	4380810	274	40	0.0001213930	0.000000017514
1	4380811	5913892	876	40	-0.0000339425	0.000000029348
1	5913893	7247334	430	40	0.0001474931	0.000000023403
1	7247335	9365198	706	40	0.0002965552	0.000000036294
1	9365199	10806983	355	40	-0.0000250183	0.000000014460
1	10806984	11777840	260	40	0.0000885528	0.000000015620
1	11777841	12779465	290	40	0.0002727644	0.000000017698
1	12779466	14891510	619	40	0.0001609704	0.000000033663
1	14891511	16897729	692	40	0.0000922909	0.000000032215
1	16897730	18662898	671	40	0.0000367854	0.000000031148
1	18662899	20469148	721	40	0.0002474763	0.000000036374
1	20469149	21736587	462	40	0.0000965566	0.000000023087
1	21736588	23086882	524	40	0.0003332438	0.000000034179
1	23086883	23920589	222	28	0.0005113180	0.000000020271
1	23920590	25516844	526	40	0.0000552993	0.000000027815
1	25516845	27401866	415	40	0.0000130311	0.000000016319
1	27401867	30161880	555	40	0.0001289652	0.000000026455
1	30161881	32438684	937	40	0.0002319713	0.000000034782
1	32438685	34799757	678	40	0.0001498298	0.000000033834
1	34799758	37549182	553	40	0.0002046852	0.000000029734
1	37549183	38731846	373	40	0.0001400266	0.000000019281
1	38731847	40200566	447	40	0.0000752791	0.000000021479
1	40200567	41975326	555	40	0.0001120605	0.000000025535
1	41975327	43758456	549	40	0.0003983285	0.000000029979
1	43758457	44969182	372	35	0.0000334310	0.000000015399
1	44969183	46899500	460	38	-0.0000049571	0.000000014141
1	46899501	48002575	299	33	0.0001391884	0.000000014956
1	48002576	48978187	345	40	-0.0000118094	0.000000015663
1	48978188	49894176	248	28	0.0002377408	0.000000016347
1	49894177	51713725	260	25	0.0003237237	0.000000014965
1	51713726	54226261	565	40	0.0000709171	0.000000025901
1	54226262	56413116	841	40	0.0000982670	0.000000030816
1	56413117	57021727	273	31	0.0000603539	0.000000010732
1	57021728	58865398	849	40	0.0001351464	0.000000032979
1	58865399	59890408	384	40	0.0001061814	0.000000018000
1	59890409	61922364	672	40	0.0001436451	0.000000032430
1	61922365	63455088	542	40	0.0000190231	0.000000021810
1	63455089	65041703	658	40	0.0000798485	0.000000027235
1	65041704	66939403	654	40	0.0001911617	0.000000030481
1	66939404	68477894	691	40	0.0000737193	0.000000027062
1	68477895	69687615	389	40	0.0001270506	0.000000020188
1	69687616	71372469	524	40	0.0000547857	0.000000023536
1	71372470	71684404	84	10	-0.0000069860	0.000000002711
1	71684405	74326906	561	40	0.0003787536	0.000000024562
1	74326907	76728134	733	40	0.0002948609	0.000000030828
1	76728135	79661197	953	40	0.0004563976	0.000000039619
1	79661198	81354190	477	40	0.0001384694	0.000000023429
1	81354191	83991747	978	40	0.0001672073	0.000000033232
1	83991748	84844494	316	35	0.0001178101	0.000000014629
1	84844495	86454750	655	40	0.0001150385	0.000000030399
1	86454751	88128630	575	40	0.0001512942	0.000000028442
1	88128631	90066302	525	40	-0.0000038933	0.000000021460
1	90066303	91886316	565	40	-0.0000166208	0.000000023885
1	91886317	93536458	514	40	0.0001195554	0.000000020931
