chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	14	-0.0000778032	0.000000062015
1	1892607	3582735	437	14	0.0001221748	0.000000332034
1	3582736	4380810	270	14	0.0000023551	0.000000165179
1	4380811	5913892	867	14	0.0000538314	0.000000344179
1	5913893	7247334	427	14	-0.0000228643	0.000000220031
1	7247335	9365198	699	14	0.0001304267	0.000000353654
1	9365199	10806983	351	14	0.0003803972	0.000000191773
1	10806984	11777840	258	14	0.0000619260	0.000000159688
1	11777841	12779465	281	14	0.0001246575	0.000000190788
1	12779466	14891510	618	14	0.0000133698	0.000000350377
1	14891511	16897729	688	14	-0.0000025926	0.000000352974
1	16897730	18662898	660	14	0.0000078097	0.000000353139
1	18662899	20469148	710	14	0.0000953594	0.000000363567
1	20469149	21736587	461	14	0.0001932285	0.000000244765
1	21736588	23086882	523	14	0.0000083679	0.000000308907
1	23086883	23920589	222	14	0.0000809512	0.000000105640
1	23920590	25516844	520	14	0.0002811739	0.000000317289
1	25516845	27401866	413	14	0.0001885622	0.000000187677
1	27401867	30161880	550	14	0.0001217142	0.000000264417
1	30161881	32438684	934	14	0.0001921311	0.000000343231
1	32438685	34799757	675	14	0.0000904626	0.000000339116
1	34799758	37549182	549	14	0.0000398420	0.000000280257
1	37549183	38731846	371	14	0.0000712830	0.000000177655
1	38731847	40200566	447	14	0.0001105354	0.000000235179
1	40200567	41975326	554	14	0.0002100643	0.000000265739
1	41975327	43758456	542	14	0.0000079260	0.000000220659
1	43758457	44969182	371	14	0.0002389150	0.000000163416
1	44969183	46899500	458	14	0.0006022014	0.000000181732
1	46899501	48002575	297	14	0.0000960405	0.000000122528
1	48002576	48978187	344	14	0.0001696488	0.000000173268
1	48978188	49894176	247	14	0.0002693745	0.000000130194
1	49894177	51713725	260	14	0.0001884778	0.000000094580
1	51713726	54226261	562	14	0.0006353841	0.000000314719
1	54226262	56413116	837	14	0.0000300286	0.000000344517
1	56413117	57021727	271	14	0.0001658448	0.000000115019
1	57021728	58865398	847	14	-0.0000481252	0.000000330746
1	58865399	59890408	383	14	0.0001930546	0.000000175036
1	59890409	61922364	671	14	0.0000225439	0.000000347454
1	61922365	63455088	533	14	0.0000339212	0.000000279408
1	63455089	65041703	656	14	0.0000562546	0.000000280247
1	65041704	66939403	649	14	0.0000570306	0.000000281643
1	66939404	68477894	687	14	0.0001877903	0.000000281592
1	68477895	69687615	389	14	-0.0001118580	0.000000185641
1	69687616	71372469	520	14	-0.0000187746	0.000000235267
1	71372470	71684404	82	10	0.0000112849	0.000000026517
1	71684405	74326906	559	14	-0.0000882405	0.000000196138
1	74326907	76728134	727	14	0.0000459813	0.000000272103
1	76728135	79661197	945	14	0.0000621509	0.000000348030
1	79661198	81354190	475	14	0.0002058785	0.000000229143
1	81354191	83991747	973	14	0.0000488793	0.000000355104
1	83991748	84844494	312	14	-0.0001636214	0.000000107148
1	84844495	86454750	652	14	0.0000751765	0.000000319644
1	86454751	88128630	570	14	-0.0000090000	0.000000281580
1	88128631	90066302	523	14	0.0000607930	0.000000238108
1	90066303	91886316	557	14	0.0003846648	0.000000289831
1	91886317	93536458	509	14	0.0000947255	0.000000206912
1	93536459	94506190	255	14	0.0000598180	0.000000100461
1	94506191	96150892	651	14	0.0000815806	0.000000321988
1	96150893	97885248	605	14	0.0002285027	0.000000242781
1	97885249	99800603	640	14	-0.0000542625	0.000000270954
