chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	176	21	0.0014674364	0.000000187172
1	1892607	3582735	521	21	0.0005697256	0.000000140278
1	3582736	4380810	294	21	0.0001608980	0.000000054913
1	4380811	5913892	897	21	0.0001146731	0.000000082883
1	5913893	7247334	436	21	0.0007251149	0.000000086773
1	7247335	9365198	726	21	0.0003420766	0.000000094172
1	9365199	10806983	377	21	0.0008172388	0.000000079191
1	10806984	11777840	280	21	0.0005111951	0.000000064792
1	11777841	12779465	276	21	0.0002809241	0.000000059148
1	12779466	14891510	626	21	0.0001405438	0.000000083817
1	14891511	16897729	773	21	0.0002606425	0.000000109119
1	16897730	18662898	688	21	0.0002374738	0.000000092836
1	18662899	20469148	761	21	0.0000733381	0.000000093419
1	20469149	21736587	471	21	0.0000502415	0.000000063441
1	21736588	23086882	526	21	0.0001336816	0.000000079207
1	23086883	23920589	233	21	0.0005068139	0.000000049668
1	23920590	25516844	560	21	0.0002592713	0.000000092798
1	25516845	27401866	463	21	0.0011130559	0.000000105629
1	27401867	30161880	615	21	0.0001876893	0.000000089579
1	30161881	32438684	983	21	0.0002808565	0.000000092563
1	32438685	34799757	712	21	0.0000738163	0.000000089480
1	34799758	37549182	635	21	0.0005087705	0.000000118262
1	37549183	38731846	427	21	0.0006121522	0.000000088493
1	38731847	40200566	459	21	0.0000988564	0.000000058805
1	40200567	41975326	580	21	0.0002615309	0.000000075480
1	41975327	43758456	583	21	0.0003909524	0.000000079857
1	43758457	44969182	388	21	0.0005504031	0.000000061558
1	44969183	46899500	500	21	0.0006213063	0.000000069378
1	46899501	48002575	332	21	0.0006135388	0.000000065513
1	48002576	48978187	355	21	0.0001075949	0.000000045727
1	48978188	49894176	250	21	0.0004152858	0.000000041701
1	49894177	51713725	281	21	0.0008223816	0.000000053991
1	51713726	54226261	571	21	0.0001355719	0.000000074530
1	54226262	56413116	876	21	0.0001323827	0.000000088956
1	56413117	57021727	269	21	0.0003642416	0.000000037706
1	57021728	58865398	901	21	0.0002001625	0.000000090344
1	58865399	59890408	408	21	0.0001217391	0.000000050753
1	59890409	61922364	684	21	0.0001342667	0.000000083341
1	61922365	63455088	527	21	0.0001926569	0.000000073328
1	63455089	65041703	687	21	0.0001113069	0.000000076835
1	65041704	66939403	663	21	0.0004036599	0.000000082363
1	66939404	68477894	705	21	0.0001206876	0.000000073015
1	68477895	69687615	394	21	0.0002044690	0.000000049972
1	69687616	71372469	552	21	0.0000836130	0.000000066771
1	71372470	71684404	89	10	0.0015294575	0.000000062997
1	71684405	74326906	556	21	0.0004285229	0.000000060758
1	74326907	76728134	743	21	0.0001646935	0.000000070578
1	76728135	79661197	996	21	0.0007674214	0.000000108353
1	79661198	81354190	497	21	0.0001338808	0.000000057125
1	81354191	83991747	1009	21	0.0000966994	0.000000080758
1	83991748	84844494	328	21	0.0009682598	0.000000064647
1	84844495	86454750	665	21	0.0001875422	0.000000080901
1	86454751	88128630	604	21	0.0003517933	0.000000086444
1	88128631	90066302	543	21	0.0000388382	0.000000058958
1	90066303	91886316	591	21	0.0002107089	0.000000074363
1	91886317	93536458	520	21	0.0003527101	0.000000063931
1	93536459	94506190	265	21	0.0000878943	0.000000028959
1	94506191	96150892	693	21	0.0001462990	0.000000086636
1	96150893	97885248	649	21	0.0002159920	0.000000069768
1	97885249	99800603	664	21	0.0001258466	0.000000071907
1	99800604	100826404	335	21	0.0001949754	0.000000037575
1	100826405	102041015	464	21	0.0001156467	0.000000054325
1	102041016	102898744	292	21	0.0002425982	0.000000038793
1	102898745	103914210	201	21	0.0001649519	0.000000024274
1	103914211	106087841	488	21	0.0001567652	0.000000059688
1	106087842	108409664	760	21	0.0001972239	0.000000086401
1	108409665	110303930	524	21	0.0003077204	0.000000068826
1	110303931	111741736	603	21	0.0001229446	0.000000090188
1	111741737	113273305	723	21	0.0003205602	0.000000091343
1	113273306	114873844	558	21	0.0001177121	0.000000075344
1	114873845	115880592	351	21	0.0002214726	0.000000042422
1	115880593	118839066	899	21	0.0001210921	0.000000092949
1	118839067	144977493	538	21	0.0002907257	0.000000063324
1	144977494	148361252	473	21	0.0004360991	0.000000075671
1	148361253	151538880	347	21	0.0002524456	0.000000047798
1	151538881	153180828	511	21	-0.0000078930	0.000000053093
1	153180829	154770402	506	21	0.0011380068	0.000000111073
1	154770403	156336132	352	21	0.0008824920	0.000000090722
1	156336133	158027411	626	21	0.0000972503	0.000000083914
1	158027412	159913047	715	21	0.0000132283	0.000000086177
1	159913048	162346720	822	21	0.0001009024	0.000000083354
1	162346721	165191701	1257	21	0.0000111016	0.000000082840
1	165191702	166460516	578	21	0.0001046968	0.000000079719
1	166460517	169086323	1193	21	0.0000907689	0.000000093520
1	169086324	170557775	512	21	0.0003230304	0.000000059813
1	170557776	173097906	913	21	0.0000272234	0.000000084951
1	173097907	175089767	510	21	0.0009632567	0.000000086092
1	175089768	177433380	845	21	0.0004865445	0.000000105865
1	177433381	178944308	504	21	0.0001922471	0.000000058652
1	178944309	178954469	2	1	0.0000343598	0.000000001669
1	178954470	181144120	769	21	0.0001409879	0.000000091041
1	181144121	182755355	658	21	0.0000542376	0.000000086651
1	182755356	184595512	660	21	0.0000999685	0.000000070262
1	184595513	186810022	603	21	0.0002375437	0.000000080341
1	186810023	188759944	704	21	0.0003873328	0.000000093106
1	188759945	189904129	249	19	0.0006308663	0.000000043685
1	189904130	191868929	587	21	0.0001934357	0.000000055650
1	191868930	194107441	662	21	0.0003067021	0.000000086328
1	194107442	196176200	623	21	0.0000824538	0.000000061329
1	196176201	197311513	187	15	0.0001070525	0.000000019375
1	197311514	199239883	541	21	0.0004180282	0.000000073255
1	199239884	200137648	346	21	0.0002168989	0.000000049910
1	200137649	201589974	706	21	0.0000728818	0.000000086561
1	201589975	203334733	634	21	0.0002824093	0.000000095844
1	203334734	204681067	522	21	0.0005182962	0.000000094572
1	204681068	206073264	554	21	0.0002249973	0.000000073935
1	206073265	208410363	670	21	0.0001597108	0.000000096270
1	208410364	210787749	989	21	0.0003254797	0.000000096040
1	210787750	212842329	724	21	0.0002706073	0.000000090143
1	212842330	214578265	626	21	0.0000478026	0.000000080865
1	214578266	216243633	625	21	0.0000716315	0.000000076391
1	216243634	218705512	1133	21	0.0001213653	0.000000083129
1	218705513	219590570	306	21	0.0002044642	0.000000040467
1	219590571	221858230	711	21	0.0002926607	0.000000087348
1	221858231	222230219	181	21	0.0004467387	0.000000036365
1	222230220	224938519	739	21	0.0014005929	0.000000249558
1	224938520	226810859	537	21	0.0002990125	0.000000072776
1	226810860	229156247	765	21	0.0004566554	0.000000113541
1	229156248	230685254	569	21	0.0008909264	0.000000112706
1	230685255	232090251	616	21	0.0001777012	0.000000083319
1	232090252	233429283	640	21	0.0001539786	0.000000089696
1	233429284	234599433	574	21	0.0001778186	0.000000083258
1	234599434	235819435	409	21	0.0003031655	0.000000070913
1	235819436	237555627	795	21	-0.0000118001	0.000000088357
1	237555628	238567806	438	21	0.0000772692	0.000000056984
1	238567807	239925313	522	21	0.0000700201	0.000000068764
1	239925314	240564090	370	21	0.0000241917	0.000000048860
1	240564091	241582219	545	21	0.0001907712	0.000000091066
1	241582220	242071601	229	21	0.0008452317	0.000000064076
1	242071602	244109498	709	21	0.0001938687	0.000000098720
1	244109499	245506745	548	21	0.0002446640	0.000000093136
1	245506746	247344517	796	21	0.0001916630	0.000000102499
1	247344518	249239465	450	21	0.0006597378	0.000000097989
2	10133	1781021	664	21	0.0005231655	0.000000096894
2	1781022	3973778	1009	21	0.0000079587	0.000000082867
