chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	117	20	-0.0000043755	0.0000000067
1	1892607	3582735	474	40	0.0000177293	0.0000000255
1	3582736	4380810	295	40	-0.0000671322	0.0000000142
1	4380811	5913892	913	40	0.0000691303	0.0000000279
1	5913893	7247334	449	40	0.0000017784	0.0000000202
1	7247335	9365198	738	40	-0.0000315921	0.0000000272
1	9365199	10806983	374	40	-0.0001016996	0.0000000156
1	10806984	11777840	280	40	0.0001023987	0.0000000165
1	11777841	12779465	307	40	-0.0000741913	0.0000000183
1	12779466	14891510	645	40	-0.0000900437	0.0000000302
1	14891511	16897729	743	40	-0.0000144134	0.0000000286
1	16897730	18662898	697	40	-0.0000299149	0.0000000307
1	18662899	20469148	774	40	0.0000674774	0.0000000306
1	20469149	21736587	479	40	0.0000750251	0.0000000239
1	21736588	23086882	545	40	0.0000318147	0.0000000241
1	23086883	23920589	236	29	0.0000447131	0.0000000111
1	23920590	25516844	549	40	-0.0001898169	0.0000000256
1	25516845	27401866	432	40	0.0001427264	0.0000000169
1	27401867	30161880	577	40	-0.0001643013	0.0000000221
1	30161881	32438684	978	40	0.0000985226	0.0000000273
1	32438685	34799757	715	40	-0.0001303645	0.0000000269
1	34799758	37549182	604	40	-0.0002745132	0.0000000298
1	37549183	38731846	394	40	-0.0001073454	0.0000000174
1	38731847	40200566	462	40	-0.0000774720	0.0000000200
1	40200567	41975326	573	40	0.0000055073	0.0000000222
1	41975327	43758456	586	40	0.0000399803	0.0000000226
1	43758457	44969182	389	36	0.0000135139	0.0000000174
1	44969183	46899500	477	40	0.0000727342	0.0000000144
1	46899501	48002575	317	34	0.0000123364	0.0000000169
1	48002576	48978187	359	40	-0.0000807024	0.0000000169
1	48978188	49894176	253	29	0.0000957194	0.0000000102
1	49894177	51713725	265	26	-0.0000980451	0.0000000083
1	51713726	54226261	583	40	0.0000366659	0.0000000245
1	54226262	56413116	890	40	-0.0001384616	0.0000000280
1	56413117	57021727	284	31	-0.0000909967	0.0000000129
1	57021728	58865398	909	40	0.0000444917	0.0000000291
1	58865399	59890408	411	40	0.0000451495	0.0000000179
1	59890409	61922364	702	40	-0.0000299034	0.0000000255
1	61922365	63455088	578	40	-0.0000240794	0.0000000264
