chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	118	21	0.0002039281	0.000000052180
1	1892607	3582735	474	21	0.0001703609	0.000000146696
1	3582736	4380810	293	21	0.0001789113	0.000000082428
1	4380811	5913892	907	21	0.0001134344	0.000000143931
1	5913893	7247334	447	21	0.0001574034	0.000000104766
1	7247335	9365198	736	21	0.0002142724	0.000000151505
1	9365199	10806983	373	21	0.0002725864	0.000000087372
1	10806984	11777840	281	21	0.0001209941	0.000000077238
1	11777841	12779465	304	21	0.0002822511	0.000000078272
1	12779466	14891510	645	21	0.0000894756	0.000000143589
1	14891511	16897729	744	21	0.0001481424	0.000000156438
1	16897730	18662898	696	21	0.0000421841	0.000000142885
1	18662899	20469148	767	21	0.0000773294	0.000000152382
1	20469149	21736587	478	21	0.0000523266	0.000000101760
1	21736588	23086882	544	21	-0.0000367640	0.000000128027
1	23086883	23920589	236	21	0.0002194124	0.000000057212
1	23920590	25516844	547	21	0.0001303856	0.000000135389
1	25516845	27401866	433	21	0.0000830389	0.000000080240
1	27401867	30161880	574	21	-0.0000102765	0.000000112349
1	30161881	32438684	981	21	0.0001691543	0.000000147180
1	32438685	34799757	713	21	0.0001142307	0.000000149616
1	34799758	37549182	606	21	0.0003438715	0.000000155475
1	37549183	38731846	391	21	0.0001356173	0.000000085997
1	38731847	40200566	461	21	0.0000238247	0.000000094582
1	40200567	41975326	572	21	-0.0000500228	0.000000104972
1	41975327	43758456	585	21	0.0003515030	0.000000127530
1	43758457	44969182	388	21	0.0002504076	0.000000079227
1	44969183	46899500	474	21	0.0000645904	0.000000069270
1	46899501	48002575	318	21	0.0001576590	0.000000066075
1	48002576	48978187	358	21	0.0000866292	0.000000077138
1	48978188	49894176	252	21	0.0002495636	0.000000059935
1	49894177	51713725	265	21	0.0002750550	0.000000049213
1	51713726	54226261	580	21	0.0000190366	0.000000116528
1	54226262	56413116	889	21	0.0000013458	0.000000138857
1	56413117	57021727	285	21	0.0002773574	0.000000057007
1	57021728	58865398	904	21	0.0001710175	0.000000151378
1	58865399	59890408	410	21	0.0001158619	0.000000084008
1	59890409	61922364	700	21	0.0000931818	0.000000140558
1	61922365	63455088	578	21	0.0001557737	0.000000122066
1	63455089	65041703	696	21	0.0000663371	0.000000130130
1	65041704	66939403	667	21	0.0003954166	0.000000136446
1	66939404	68477894	714	21	0.0000820707	0.000000122491
1	68477895	69687615	400	21	0.0002320775	0.000000087937
1	69687616	71372469	556	21	0.0000534426	0.000000112104
1	71372470	71684404	86	10	-0.0000113729	0.000000012780
1	71684405	74326906	580	21	0.0004907062	0.000000101195
1	74326907	76728134	753	21	0.0001278687	0.000000117718
1	76728135	79661197	983	21	0.0003855855	0.000000152094
1	79661198	81354190	496	21	0.0000578988	0.000000095420
1	81354191	83991747	1016	21	0.0001014875	0.000000139929
1	83991748	84844494	325	21	0.0003337073	0.000000067843
1	84844495	86454750	676	21	0.0000396858	0.000000130789
1	86454751	88128630	605	21	0.0001540447	0.000000131557
1	88128631	90066302	547	21	0.0000133062	0.000000101863
1	90066303	91886316	584	21	0.0001283995	0.000000117857
1	91886317	93536458	530	21	0.0001986249	0.000000092726
1	93536459	94506190	266	21	0.0001398314	0.000000047455
1	94506191	96150892	693	21	-0.0000356567	0.000000136299
1	96150893	97885248	634	21	0.0001542514	0.000000106035
1	97885249	99800603	668	21	0.0000812337	0.000000121555
1	99800604	100826404	346	21	0.0001547709	0.000000060414
1	100826405	102041015	467	21	0.0001445118	0.000000090422
1	102041016	102898744	289	21	0.0001860638	0.000000061297
1	102898745	103914210	211	21	0.0000493916	0.000000035686
1	103914211	106087841	474	21	0.0001130584	0.000000094400
1	106087842	108409664	766	21	0.0001836064	0.000000146775
1	108409665	110303930	596	21	0.0003771165	0.000000114533
1	110303931	111741736	611	21	0.0000753171	0.000000145485
1	111741737	113273305	754	21	0.0003380896	0.000000152607
1	113273306	114873844	537	21	0.0000718912	0.000000114274
1	114873845	115880592	354	21	0.0001510580	0.000000063625
1	115880593	118839066	911	21	0.0000594524	0.000000150423
1	118839067	144977493	600	21	0.0001434617	0.000000101328
1	144977494	148361252	462	21	0.0001031382	0.000000093737
1	148361253	151538880	360	21	0.0001345386	0.000000064973
1	151538881	153180828	512	21	-0.0001033387	0.000000080711
1	153180829	154770402	490	21	0.0000359818	0.000000095136
1	154770403	156336132	322	21	0.0003543828	0.000000080847
1	156336133	158027411	642	21	0.0000839342	0.000000141940
1	158027412	159913047	734	21	-0.0000148308	0.000000144680
1	159913048	162346720	936	21	0.0000311123	0.000000128746
1	162346721	165191701	1275	21	-0.0000250290	0.000000140016
1	165191702	166460516	580	21	-0.0000137196	0.000000131085
1	166460517	169086323	1194	21	-0.0000210089	0.000000148690
1	169086324	170557775	587	21	0.0003347027	0.000000102981
1	170557776	173097906	970	21	0.0000433646	0.000000139330
1	173097907	175089767	444	21	0.0000797748	0.000000060380
1	175089768	177433380	866	21	0.0004094115	0.000000171149
1	177433381	178944308	541	21	0.0002699992	0.000000102122
1	178944309	178954469	2	1	0.0000371543	0.000000002576
1	178954470	181144120	806	21	0.0001595992	0.000000152758
1	181144121	182755355	663	21	0.0000338414	0.000000149214
1	182755356	184595512	672	21	0.0000400184	0.000000120014
1	184595513	186810022	580	21	-0.0000315377	0.000000105445
1	186810023	188759944	694	21	0.0002136612	0.000000141752
1	188759945	189904129	240	17	0.0002221933	0.000000045383
1	189904130	191868929	582	21	0.0000833112	0.000000088835
1	191868930	194107441	642	21	0.0000668206	0.000000123597
1	194107442	196176200	621	21	0.0000360838	0.000000102450
1	196176201	197311513	203	16	0.0000829283	0.000000031411
1	197311514	199239883	539	21	0.0004135966	0.000000121267
1	199239884	200137648	339	21	0.0000343081	0.000000070438
1	200137649	201589974	750	21	0.0000098999	0.000000143375
1	201589975	203334733	654	21	0.0001912082	0.000000154448
1	203334734	204681067	536	21	0.0002936539	0.000000136795
1	204681068	206073264	604	21	0.0002460554	0.000000137857
1	206073265	208410363	693	21	-0.0000370374	0.000000145071
1	208410364	210787749	1009	21	0.0002076784	0.000000156379
1	210787750	212842329	733	21	0.0001518373	0.000000143606
1	212842330	214578265	640	21	0.0000166169	0.000000135421
1	214578266	216243633	639	21	0.0000366168	0.000000131419
1	216243634	218705512	1140	21	0.0000470641	0.000000139850
1	218705513	219590570	308	21	0.0000796386	0.000000059196
1	219590571	221858230	744	21	0.0003237533	0.000000148036
1	221858231	222230219	183	21	0.0002961189	0.000000051660
1	222230220	224938519	629	21	0.0003044303	0.000000213902
1	224938520	226810859	554	21	-0.0000127196	0.000000107901
1	226810860	229156247	779	21	0.0002375043	0.000000167558
1	229156248	230685254	594	21	0.0000211006	0.000000131336
1	230685255	232090251	623	21	0.0000769806	0.000000130590
1	232090252	233429283	648	21	0.0000694074	0.000000149008
1	233429284	234599433	588	21	0.0001513354	0.000000146439
1	234599434	235819435	415	21	0.0001797356	0.000000107505
1	235819436	237555627	785	21	-0.0000804490	0.000000145409
1	237555628	238567806	452	21	0.0000875720	0.000000103867
1	238567807	239925313	523	21	0.0000235295	0.000000116436
1	239925314	240564090	370	21	-0.0000348316	0.000000081375
1	240564091	241582219	551	21	0.0001563979	0.000000154788
1	241582220	242071601	236	21	0.0000849917	0.000000060398
1	242071602	244109498	671	21	0.0001927742	0.000000154253
1	244109499	245506745	550	21	0.0002591781	0.000000153155
1	245506746	247344517	785	21	0.0001177552	0.000000164570
1	247344518	249239465	429	21	-0.0000898821	0.000000092317
2	10133	1781021	704	21	0.0004852426	0.000000148243
2	1781022	3973778	1021	21	0.0000058727	0.000000142819
2	3973779	5708336	657	21	0.0000714595	0.000000139480
2	5708337	6836253	589	21	0.0000580116	0.000000121071
2	6836254	8422146	670	21	0.0001147214	0.000000138507
2	8422147	10298468	720	21	-0.0000834548	0.000000143366
2	10298469	12419149	1030	21	-0.0000293425	0.000000142904
2	12419150	14335307	622	21	0.0000673956	0.000000126484
2	14335308	16329734	763	21	-0.0000418420	0.000000128579
2	16329735	18647422	895	21	0.0001559189	0.000000143676
2	18647423	19692403	394	21	0.0003224556	0.000000091807
2	19692404	21050489	659	21	0.0000422625	0.000000132600
2	21050490	23341382	636	21	0.0001389798	0.000000121864
2	23341383	24686917	456	21	0.0000037938	0.000000085204
2	24686918	26894984	580	21	0.0005539873	0.000000135546
2	26894985	28598776	423	21	0.0002651658	0.000000059965
2	28598777	29217558	254	21	-0.0000095238	0.000000046373
2	29217559	30463710	647	21	0.0002228082	0.000000142329
2	30463711	31550449	553	21	0.0000185805	0.000000128034
2	31550450	33363776	516	21	0.0002162756	0.000000132417
2	33363777	35345027	839	21	0.0000623977	0.000000140875
2	35345028	36122005	297	21	0.0001565209	0.000000062909
2	36122006	38132711	972	21	0.0001136724	0.000000140795
2	38132712	39031336	342	21	-0.0000118794	0.000000081331
2	39031337	40281482	315	21	0.0000264359	0.000000070306
2	40281483	43309589	1362	21	0.0002628999	0.000000138908
2	43309590	44313802	415	21	0.0001872065	0.000000082513
2	44313803	46482633	1118	21	0.0001568344	0.000000141656
2	46482634	47318771	436	21	0.0001754617	0.000000120158
2	47318772	48213000	309	21	0.0003364205	0.000000096276
2	48213001	50022256	739	21	0.0000836291	0.000000137360
2	50022257	50818927	352	21	-0.0000418875	0.000000070080
2	50818928	52491132	663	21	0.0001600940	0.000000134947
2	52491133	53508451	488	21	-0.0000241816	0.000000102013
2	53508452	54685225	456	21	0.0001676481	0.000000106802
2	54685226	56203344	627	21	-0.0000205843	0.000000122726
2	56203345	57429099	443	21	-0.0000397874	0.000000092990
2	57429100	58297314	279	21	0.0001262301	0.000000062214
2	58297315	60291999	763	21	0.0003165863	0.000000143291
2	60292000	62429043	609	21	0.0002306413	0.000000136624
2	62429044	64625912	598	21	0.0001074555	0.000000126255
2	64625913	65933443	476	21	0.0001856847	0.000000109494
2	65933444	67226165	563	21	0.0000150187	0.000000106940
2	67226166	68010175	429	21	0.0002853053	0.000000092406
2	68010176	69139563	498	21	0.0000013193	0.000000096848
2	69139564	70755197	553	21	0.0002484239	0.000000112716
2	70755198	73174847	824	21	0.0001237526	0.000000142525
2	73174848	75630085	752	21	0.0000939309	0.000000142939
2	75630086	76913660	531	21	0.0001368347	0.000000115780
2	76913661	78079263	407	21	-0.0000393726	0.000000094896
2	78079264	80050402	845	21	0.0000273108	0.000000129904
2	80050403	81620840	592	21	0.0001285255	0.000000134665
2	81620841	85140679	913	21	-0.0000701878	0.000000111419
2	85140680	88038506	654	21	0.0003037466	0.000000127009
2	88038507	89154525	251	21	0.0000074514	0.000000044725
2	89154526	95326451	4	2	0.0001361666	0.000000009945
2	95326452	98995200	437	21	0.0000709170	0.000000080158
2	98995201	101822328	924	21	0.0001345399	0.000000135397
2	101822329	102688764	271	21	-0.0000078235	0.000000046390
2	102688765	103588214	417	21	-0.0000884558	0.000000053707
2	103588215	105125033	311	21	0.0002980257	0.000000073233
2	105125034	106210057	417	21	-0.0000349706	0.000000082704
2	106210058	107408266	457	21	0.0001450925	0.000000094162
2	107408267	108429176	365	21	0.0002286944	0.000000068088
2	108429177	110572431	550	21	0.0000759207	0.000000106089
2	110572432	113921855	830	21	0.0000742457	0.000000136737
2	113921856	116772469	787	21	-0.0000390393	0.000000133833
2	116772470	118367465	413	21	0.0001443473	0.000000071478
2	118367466	121303782	1030	21	-0.0000309371	0.000000134320
2	121303783	123302905	610	21	0.0000835415	0.000000135972
2	123302906	124732249	446	21	-0.0000024736	0.000000068686
2	124732250	125840920	398	21	0.0001200679	0.000000079612
2	125840921	127373763	426	21	0.0002391328	0.000000075504
2	127373764	128034346	304	21	0.0002118752	0.000000072000
2	128034347	129474440	447	21	0.0000023462	0.000000083183
2	129474441	130067169	236	21	-0.0000319852	0.000000038228
2	130067170	130658084	216	21	0.0001500022	0.000000046547
