chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	89	16	-0.0000196480	0.0000000040
1	1892607	3582735	397	40	0.0000112906	0.0000000169
1	3582736	4380810	258	40	-0.0001075897	0.0000000073
1	4380811	5913892	860	40	-0.0000678619	0.0000000169
1	5913893	7247334	408	40	0.0001581107	0.0000000135
1	7247335	9365198	675	40	0.0000765940	0.0000000157
1	9365199	10806983	333	40	-0.0000466881	0.0000000113
1	10806984	11777840	244	40	0.0001263694	0.0000000119
1	11777841	12779465	270	40	-0.0000157532	0.0000000087
1	12779466	14891510	604	40	-0.0001119322	0.0000000181
1	14891511	16897729	654	40	0.0000195245	0.0000000175
1	16897730	18662898	628	40	0.0000725415	0.0000000168
1	18662899	20469148	681	40	-0.0000141468	0.0000000175
1	20469149	21736587	449	40	0.0001791269	0.0000000148
1	21736588	23086882	506	40	-0.0000589807	0.0000000172
1	23086883	23920589	213	27	0.0000275598	0.0000000089
1	23920590	25516844	496	40	-0.0000965565	0.0000000162
1	25516845	27401866	384	40	-0.0000603088	0.0000000159
1	27401867	30161880	520	40	-0.0000142339	0.0000000132
1	30161881	32438684	903	40	0.0000077744	0.0000000171
1	32438685	34799757	644	40	-0.0000258848	0.0000000174
1	34799758	37549182	521	40	0.0001649267	0.0000000167
1	37549183	38731846	355	40	-0.0000422712	0.0000000100
1	38731847	40200566	424	40	0.0001178461	0.0000000214
1	40200567	41975326	539	40	-0.0000049134	0.0000000128
1	41975327	43758456	529	40	-0.0000792815	0.0000000146
1	43758457	44969182	350	35	-0.0000501148	0.0000000081
1	44969183	46899500	439	38	0.0001173018	0.0000000129
1	46899501	48002575	278	33	0.0000225098	0.0000000087
1	48002576	48978187	339	40	-0.0002378392	0.0000000124
1	48978188	49894176	237	28	0.0000021338	0.0000000071
1	49894177	51713725	252	25	0.0000573635	0.0000000059
1	51713726	54226261	546	40	-0.0001052345	0.0000000154
1	54226262	56413116	807	40	0.0000546969	0.0000000268
1	56413117	57021727	264	31	-0.0001388901	0.0000000082
1	57021728	58865398	822	40	-0.0000623954	0.0000000177
1	58865399	59890408	371	40	0.0000448001	0.0000000105
1	59890409	61922364	659	40	0.0000877457	0.0000000199
1	61922365	63455088	512	40	0.0002065002	0.0000000386
1	63455089	65041703	642	40	-0.0000324482	0.0000000160
1	65041704	66939403	635	40	0.0001058025	0.0000000178
1	66939404	68477894	661	40	-0.0000557359	0.0000000169
1	68477895	69687615	380	40	-0.0000043601	0.0000000115
1	69687616	71372469	504	40	-0.0001813057	0.0000000135
1	71372470	71684404	80	10	0.0000117898	0.0000000016
1	71684405	74326906	555	40	0.0001899341	0.0000000111
1	74326907	76728134	708	40	0.0000877715	0.0000000154
1	76728135	79661197	921	40	0.0000500844	0.0000000176
1	79661198	81354190	470	40	-0.0000270435	0.0000000112
1	81354191	83991747	963	40	0.0000350113	0.0000000175
1	83991748	84844494	305	34	-0.0000151471	0.0000000072
1	84844495	86454750	634	40	-0.0000057631	0.0000000188
1	86454751	88128630	550	40	-0.0003059339	0.0000000144
1	88128631	90066302	514	40	-0.0000061687	0.0000000137
1	90066303	91886316	551	40	-0.0001294892	0.0000000155
1	91886317	93536458	497	40	0.0001680082	0.0000000184
1	93536459	94506190	244	26	0.0001407297	0.0000000085
1	94506191	96150892	637	40	-0.0000245957	0.0000000174
1	96150893	97885248	597	40	0.0000837382	0.0000000140
1	97885249	99800603	629	40	-0.0000306141	0.0000000156
1	99800604	100826404	329	36	-0.0000581701	0.0000000096
1	100826405	102041015	439	40	-0.0001146402	0.0000000129
1	102041016	102898744	270	36	-0.0001343173	0.0000000080
1	102898745	103914210	195	21	0.0000083178	0.0000000048
1	103914211	106087841	450	40	-0.0000374913	0.0000000110
1	106087842	108409664	720	40	0.0000444254	0.0000000168
1	108409665	110303930	545	40	0.0002476360	0.0000000608
1	110303931	111741736	559	40	-0.0000823647	0.0000000184
1	111741737	113273305	691	40	0.0000275678	0.0000000190
1	113273306	114873844	496	40	0.0000555956	0.0000000134
1	114873845	115880592	336	37	0.0000488053	0.0000000100
1	115880593	118839066	807	40	-0.0000131372	0.0000000158
1	118839067	144977493	551	40	-0.0000313314	0.0000000129
1	144977494	148361252	425	40	-0.0000855101	0.0000000121
1	148361253	151538880	331	33	-0.0000647616	0.0000000121
1	151538881	153180828	449	40	0.0000213405	0.0000000092
1	153180829	154770402	442	40	-0.0000509261	0.0000000112
1	154770403	156336132	280	38	-0.0002940005	0.0000000118
1	156336133	158027411	576	40	0.0000632237	0.0000000155
1	158027412	159913047	660	40	0.0000785442	0.0000000180
1	159913048	162346720	845	40	0.0001367075	0.0000000175
1	162346721	165191701	1167	40	-0.0001293534	0.0000000166
1	165191702	166460516	512	40	-0.0001119956	0.0000000157
1	166460517	169086323	1071	40	0.0000692566	0.0000000158
1	169086324	170557775	542	40	0.0000107180	0.0000000108
1	170557776	173097906	886	40	-0.0000174770	0.0000000170
1	173097907	175089767	399	31	-0.0001403459	0.0000000091
1	175089768	177433380	761	40	-0.0000430558	0.0000000168
1	177433381	178944308	483	40	-0.0001360449	0.0000000111
1	178944309	178954469	2	1	-0.0000027887	-0.0000000000
1	178954470	181144120	710	40	-0.0000967428	0.0000000206
1	181144121	182755355	577	40	-0.0000469371	0.0000000175
1	182755356	184595512	607	40	-0.0001343863	0.0000000194
1	184595513	186810022	499	40	-0.0000373785	0.0000000112
1	186810023	188759944	609	40	0.0000231450	0.0000000148
1	188759945	189904129	216	17	-0.0000601506	0.0000000054
1	189904130	191868929	536	40	0.0000814309	0.0000000110
1	191868930	194107441	576	40	-0.0000721256	0.0000000128
1	194107442	196176200	576	40	0.0001091600	0.0000000125
1	196176201	197311513	188	16	0.0001303940	0.0000000053
1	197311514	199239883	499	40	-0.0001445226	0.0000000161
1	199239884	200137648	294	35	-0.0000122240	0.0000000122
1	200137649	201589974	680	40	0.0001484987	0.0000000165
1	201589975	203334733	587	40	-0.0000156826	0.0000000149
1	203334734	204681067	469	40	-0.0000236634	0.0000000153
1	204681068	206073264	558	40	0.0000886166	0.0000000145
1	206073265	208410363	598	40	0.0000733435	0.0000000168
1	208410364	210787749	902	40	-0.0000550008	0.0000000173
1	210787750	212842329	684	40	-0.0000990400	0.0000000185
1	212842330	214578265	599	40	0.0000007215	0.0000000183
1	214578266	216243633	574	40	0.0000947167	0.0000000152
1	216243634	218705512	1068	40	0.0000207953	0.0000000174
1	218705513	219590570	276	33	-0.0000847284	0.0000000078
1	219590571	221858230	674	40	0.0004037672	0.0000000198
1	221858231	222230219	171	21	0.0000282484	0.0000000061
1	222230220	224938519	445	40	0.0000079256	0.0000000150
1	224938520	226810859	496	40	0.0000043098	0.0000000181
1	226810860	229156247	650	40	0.0001591700	0.0000000166
1	229156248	230685254	513	40	0.0000259380	0.0000000121
1	230685255	232090251	571	40	0.0000867933	0.0000000170
1	232090252	233429283	596	40	0.0000733911	0.0000000147
1	233429284	234599433	517	40	-0.0000201213	0.0000000146
1	234599434	235819435	364	40	-0.0002120702	0.0000000200
1	235819436	237555627	686	40	-0.0000525803	0.0000000199
1	237555628	238567806	415	40	-0.0000863633	0.0000000127
1	238567807	239925313	486	40	-0.0000939942	0.0000000133
1	239925314	240564090	334	40	-0.0002188229	0.0000000135
1	240564091	241582219	499	40	-0.0001106125	0.0000000158
1	241582220	242071601	207	37	0.0000048123	0.0000000129
1	242071602	244109498	600	40	-0.0000841233	0.0000000166
1	244109499	245506745	489	40	0.0000805829	0.0000000170
1	245506746	247344517	666	40	-0.0000329893	0.0000000178
1	247344518	249239465	385	40	0.0000357722	0.0000000105
2	10133	1781021	645	40	0.0000538304	0.0000000142
2	1781022	3973778	947	40	-0.0001289980	0.0000000180
2	3973779	5708336	623	40	-0.0000643731	0.0000000175
2	5708337	6836253	558	40	0.0000198753	0.0000000145
2	6836254	8422146	642	40	-0.0000594278	0.0000000173
2	8422147	10298468	651	40	0.0001147566	0.0000000180
2	10298469	12419149	951	40	-0.0000358723	0.0000000164
2	12419150	14335307	589	40	-0.0000001005	0.0000000158
2	14335308	16329734	733	40	-0.0001187364	0.0000000175
2	16329735	18647422	851	40	-0.0002096316	0.0000000186
2	18647423	19692403	380	40	0.0001080786	0.0000000101
2	19692404	21050489	624	40	0.0001931049	0.0000000228
2	21050490	23341382	619	40	-0.0003463561	0.0000000757
2	23341383	24686917	436	40	0.0002215875	0.0000000171
2	24686918	26894984	541	40	0.0000570202	0.0000000140
2	26894985	28598776	406	33	0.0006418340	0.0000000274
2	28598777	29217558	243	30	0.0000671579	0.0000000084
2	29217559	30463710	625	40	0.0000183996	0.0000000191
2	30463711	31550449	520	40	0.0000594862	0.0000000158
2	31550450	33363776	482	40	-0.0000465488	0.0000000174
2	33363777	35345027	795	40	-0.0000396770	0.0000000206
2	35345028	36122005	289	30	0.0000657214	0.0000000082
2	36122006	38132711	916	40	0.0000139683	0.0000000164
2	38132712	39031336	320	38	-0.0000088740	0.0000000116
2	39031337	40281482	299	32	-0.0000030729	0.0000000098
2	40281483	43309589	1284	40	0.0000904407	0.0000000171
2	43309590	44313802	394	40	-0.0002087790	0.0000000355
2	44313803	46482633	1053	40	-0.0000644863	0.0000000200
2	46482634	47318771	408	40	0.0000110209	0.0000000136
2	47318772	48213000	294	40	-0.0000026307	0.0000000154
2	48213001	50022256	699	40	-0.0001515714	0.0000000222
2	50022257	50818927	341	34	-0.0000401763	0.0000000106
2	50818928	52491132	646	40	-0.0000243897	0.0000000183
2	52491133	53508451	461	40	-0.0001862398	0.0000000123
2	53508452	54685225	427	40	-0.0000938665	0.0000000131
2	54685226	56203344	602	40	-0.0000059514	0.0000000158
2	56203345	57429099	425	40	-0.0000240570	0.0000000122
2	57429100	58297314	270	28	0.0000562521	0.0000000104
2	58297315	60291999	736	40	-0.0001402691	0.0000000174
2	60292000	62429043	581	40	-0.0001650202	0.0000000178
2	62429044	64625912	576	40	-0.0000748912	0.0000000189
2	64625913	65933443	455	40	-0.0000475532	0.0000000161
2	65933444	67226165	547	40	0.0000489257	0.0000000135
2	67226166	68010175	419	40	-0.0000530994	0.0000000171
2	68010176	69139563	466	40	-0.0001038413	0.0000000152
2	69139564	70755197	522	40	-0.0000109268	0.0000000151
2	70755198	73174847	782	40	0.0000484674	0.0000000171
2	73174848	75630085	694	40	-0.0000796245	0.0000000168
2	75630086	76913660	513	40	0.0000251771	0.0000000140
2	76913661	78079263	388	40	0.0002349036	0.0000000141
2	78079264	80050402	818	40	-0.0000815430	0.0000000183
2	80050403	81620840	573	40	-0.0000753391	0.0000000149
2	81620841	85140679	886	40	0.0000540037	0.0000000152
2	85140680	88038506	615	40	-0.0002036352	0.0000000138
2	88038507	89154525	242	30	0.0000877177	0.0000000078
2	89154526	95326451	4	2	0.0000275018	0.0000000005
2	95326452	98995200	420	40	-0.0001472650	0.0000000126
2	98995201	101822328	887	40	-0.0000480823	0.0000000190
2	101822329	102688764	256	30	-0.0000562059	0.0000000063
2	102688765	103588214	396	36	-0.0000021636	0.0000000093
2	103588215	105125033	304	40	0.0000473628	0.0000000086
2	105125034	106210057	397	40	-0.0001275198	0.0000000109
2	106210058	107408266	439	40	-0.0000615206	0.0000000103
2	107408267	108429176	352	40	-0.0000724770	0.0000000081
2	108429177	110572431	517	40	0.0000118233	0.0000000143
2	110572432	113921855	760	40	-0.0000061929	0.0000000224
2	113921856	116772469	742	40	-0.0000314963	0.0000000183
2	116772470	118367465	393	37	-0.0000073081	0.0000000096
2	118367466	121303782	983	40	0.0000291462	0.0000000196
2	121303783	123302905	569	40	-0.0000003281	0.0000000166
2	123302906	124732249	425	40	0.0000754059	0.0000000099
2	124732250	125840920	377	40	0.0000564204	0.0000000111
2	125840921	127373763	407	37	0.0000583487	0.0000000104
2	127373764	128034346	256	40	-0.0000392658	0.0000000112
2	128034347	129474440	422	40	-0.0000273477	0.0000000133
2	129474441	130067169	220	26	0.0000732327	0.0000000081
2	130067170	130658084	200	26	0.0000685278	0.0000000063
2	130658085	133042783	204	33	-0.0000786160	0.0000000066
2	133042784	135158577	900	40	-0.0000797225	0.0000000184
2	135158578	137042793	442	40	-0.0002878245	0.0000000154
2	137042794	138698116	589	40	-0.0000366582	0.0000000175
2	138698117	140100270	429	40	0.0002802109	0.0000000119
2	140100271	141805350	561	40	-0.0000717426	0.0000000153
2	141805351	142518601	293	33	-0.0000360147	0.0000000081
2	142518602	144519483	645	40	-0.0000001657	0.0000000161
2	144519484	146445569	437	40	0.0000627645	0.0000000129
2	146445570	147277161	151	15	0.0000587770	0.0000000046
2	147277162	150210291	648	40	-0.0000457102	0.0000000152
2	150210292	151731461	467	40	-0.0001731823	0.0000000142
2	151731462	152486781	279	29	0.0000634397	0.0000000097
2	152486782	154005055	466	40	0.0000696367	0.0000000146
2	154005056	155391134	483	40	0.0001320915	0.0000000132
2	155391135	157560634	546	40	0.0000588178	0.0000000157
2	157560635	158533217	171	25	0.0000299127	0.0000000096
2	158533218	159577081	327	39	0.0000661319	0.0000000103
2	159577082	161769732	706	40	-0.0000628218	0.0000000178
2	161769733	163503550	385	36	0.0000355352	0.0000000101
2	163503551	164466637	191	23	-0.0000886228	0.0000000048
2	164466638	165178839	172	20	-0.0000125009	0.0000000037
2	165178840	167160269	613	40	0.0001757340	0.0000000150
2	167160270	167355969	72	10	0.0000138721	0.0000000024
2	167355970	169968235	817	40	-0.0001129605	0.0000000195
2	169968236	171226244	471	40	0.0001341629	0.0000000147
2	171226245	173138904	557	40	0.0001431680	0.0000000263
2	173138905	175588928	822	40	-0.0000576004	0.0000000168
2	175588929	177363635	521	40	-0.0000948026	0.0000000127
2	177363636	178553182	460	40	0.0001085975	0.0000000111
2	178553183	181312738	993	40	-0.0001026414	0.0000000172
2	181312739	182266030	296	31	-0.0000310682	0.0000000100
2	182266031	184357607	599	40	-0.0000917060	0.0000000146
2	184357608	185280172	232	25	0.0000081566	0.0000000070
2	185280173	189882064	942	40	-0.0001056997	0.0000000201
2	189882065	191973356	483	40	-0.0000292629	0.0000000136
2	191973357	195861163	698	40	0.0001808163	0.0000000168
2	195861164	196447455	151	19	-0.0000023090	0.0000000062
2	196447456	198078109	436	40	-0.0000055841	0.0000000117
2	198078110	199311124	301	26	0.0001630117	0.0000000097
2	199311125	201576283	616	40	0.0000249889	0.0000000149
2	201576284	202818636	306	39	0.0000404456	0.0000000117
2	202818637	205799240	736	40	-0.0001676558	0.0000000176
2	205799241	206735703	395	40	0.0002371798	0.0000000148
2	206735704	208645398	635	40	-0.0000338559	0.0000000168
2	208645399	209941528	323	38	-0.0000836402	0.0000000092
2	209941529	212379517	733	40	-0.0000812083	0.0000000181
2	212379518	214014281	616	40	-0.0001788080	0.0000000186
2	214014282	215573794	436	40	-0.0000085239	0.0000000136
2	215573795	217715660	775	40	0.0000877525	0.0000000192
2	217715661	218395479	273	36	-0.0000455478	0.0000000109
2	218395480	220454550	558	40	-0.0001328444	0.0000000163
2	220454551	222521175	841	40	-0.0000264873	0.0000000171
2	222521176	224859418	773	40	0.0000693955	0.0000000160
2	224859419	225840003	344	36	0.0001679672	0.0000000103
2	225840004	228119841	714	40	-0.0001041882	0.0000000153
2	228119842	229370786	437	40	-0.0000536981	0.0000000109
2	229370787	231843388	908	40	-0.0000185638	0.0000000173
2	231843389	233550002	454	40	0.0001832946	0.0000000132
2	233550003	235150986	763	40	-0.0000562644	0.0000000185
2	235150987	236043549	413	40	-0.0001386471	0.0000000147
2	236043550	237449031	451	40	0.0000129082	0.0000000130
2	237449032	238760980	525	40	0.0000866074	0.0000000135
2	238760981	239952642	400	40	-0.0000514050	0.0000000114
2	239952643	241560083	625	40	0.0001001912	0.0000000178
2	241560084	242149920	197	29	-0.0000734689	0.0000000078
2	242149921	243188919	121	14	0.0001148788	0.0000000043
3	60157	1441778	614	40	0.0001768573	0.0000000155
3	1441779	2992119	875	40	-0.0000108283	0.0000000169
3	2992120	4431646	760	40	0.0001102086	0.0000000167
3	4431647	6083182	745	40	0.0001543287	0.0000000186
3	6083183	7083386	420	40	0.0000133986	0.0000000135
3	7083387	8648560	849	40	-0.0000127113	0.0000000175
3	8648561	9543182	467	40	-0.0000463084	0.0000000171
3	9543183	11019664	555	40	0.0002536560	0.0000000186
3	11019665	13070798	710	40	0.0000328075	0.0000000273
3	13070799	14816899	771	40	-0.0000306599	0.0000000163
3	14816900	16282441	518	40	0.0000327965	0.0000000126
3	16282442	17891117	489	40	-0.0001715478	0.0000000133
3	17891118	19125143	336	40	0.0000059663	0.0000000106
3	19125144	20091347	190	24	-0.0000592474	0.0000000046
3	20091348	21643706	631	40	0.0000457209	0.0000000159
3	21643707	22204243	376	40	-0.0000740484	0.0000000109
3	22204244	23804864	522	40	0.0000020579	0.0000000137
3	23804865	25461557	736	40	-0.0001432565	0.0000000190
3	25461558	26877768	461	40	0.0000312676	0.0000000138
3	26877769	27840909	262	30	-0.0000147835	0.0000000089
3	27840910	29142259	440	40	-0.0000370024	0.0000000133
3	29142260	30717954	670	40	-0.0000878602	0.0000000174
3	30717955	32351714	644	40	0.0001280188	0.0000000164
3	32351715	33255591	269	40	-0.0000168998	0.0000000110
3	33255592	35283457	572	40	0.0000436203	0.0000000144
3	35283458	36486841	400	40	0.0000280459	0.0000000103
3	36486842	38356115	578	40	0.0000181044	0.0000000159
3	38356116	40221297	634	40	0.0000015698	0.0000000148
3	40221298	41064527	144	15	-0.0000540864	0.0000000034
3	41064528	42540001	442	40	-0.0001254457	0.0000000136
3	42540002	45165152	684	40	-0.0001963892	0.0000000164
3	45165153	46657499	494	40	0.0000488659	0.0000000129
3	46657500	47727211	170	17	0.0000148153	0.0000000055
3	47727212	49316971	241	15	-0.0000924261	0.0000000055
3	49316972	51832014	421	24	-0.0000314994	0.0000000094
3	51832015	54081389	586	40	0.0001594514	0.0000000123
3	54081390	55348859	648	40	-0.0000798500	0.0000000167
3	55348860	56433906	361	40	-0.0000046687	0.0000000119
3	56433907	58157518	524	40	-0.0000597975	0.0000000141
3	58157519	60272905	957	40	-0.0000167291	0.0000000180
3	60272906	62355665	966	40	0.0001270684	0.0000000177
3	62355666	63669285	656	40	-0.0000605288	0.0000000169
3	63669286	65273537	748	40	0.0000055829	0.0000000169
3	65273538	66270446	343	40	0.0000067232	0.0000000115
3	66270447	68286913	628	40	0.0001168762	0.0000000181
3	68286914	69276761	357	40	0.0000440479	0.0000000102
3	69276762	70449027	385	40	-0.0000228036	0.0000000126
3	70449028	72529328	778	40	0.0001204953	0.0000000185
3	72529329	74321816	711	40	0.0001329764	0.0000000185
3	74321817	75704948	268	30	0.0000108621	0.0000000101
3	75704949	77508834	480	40	-0.0000221436	0.0000000131
3	77508835	79024540	397	40	-0.0000225933	0.0000000117
3	79024541	81427309	487	40	0.0000174223	0.0000000122
3	81427310	82643885	294	27	-0.0000436561	0.0000000067
3	82643886	84367478	313	32	-0.0000920568	0.0000000097
3	84367479	85582230	251	22	0.0000237500	0.0000000070
3	85582231	87409731	446	40	0.0000439862	0.0000000113
3	87409732	88298372	184	18	0.0000837042	0.0000000074
3	88298373	94255315	456	40	0.0002372751	0.0000000120
3	94255316	95311970	216	18	-0.0000874005	0.0000000057
3	95311971	98215949	558	40	0.0000423490	0.0000000108
3	98215950	99373761	323	39	-0.0000920664	0.0000000112
3	99373762	100592216	322	28	-0.0000817921	0.0000000103
3	100592217	103084959	648	40	-0.0000911715	0.0000000167
3	103084960	104581612	411	40	-0.0001535148	0.0000000104
3	104581613	106982810	700	40	0.0001468393	0.0000000188
3	106982811	109522394	748	40	0.0000893539	0.0000000193
3	109522395	110513769	248	25	-0.0000299939	0.0000000075
3	110513770	112815698	679	40	-0.0001096574	0.0000000175
3	112815699	113947862	363	40	0.0000702758	0.0000000103
3	113947863	115447079	394	40	0.0000336109	0.0000000115
3	115447080	116800152	511	40	-0.0000323577	0.0000000142
3	116800153	118530250	561	40	-0.0000730363	0.0000000153
3	118530251	120523054	655	40	-0.0000348633	0.0000000142
