chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	97	18	0.0001140811	0.0000000197
1	1892607	3582735	440	40	-0.0001465496	0.0000000560
1	3582736	4380810	268	40	0.0001412455	0.0000000354
1	4380811	5913892	853	40	-0.0000809354	0.0000000577
1	5913893	7247334	426	40	-0.0000477254	0.0000000422
1	7247335	9365198	696	40	-0.0002158656	0.0000000610
1	9365199	10806983	349	40	-0.0002517953	0.0000000344
1	10806984	11777840	252	40	-0.0000673305	0.0000000271
1	11777841	12779465	280	40	0.0000431630	0.0000000387
1	12779466	14891510	614	40	0.0000411453	0.0000000648
1	14891511	16897729	685	40	-0.0001692689	0.0000000637
1	16897730	18662898	665	40	-0.0001747416	0.0000000630
1	18662899	20469148	711	40	-0.0000874893	0.0000000607
1	20469149	21736587	458	40	0.0000045694	0.0000000466
1	21736588	23086882	520	40	0.0001849594	0.0000000569
1	23086883	23920589	220	28	-0.0001696059	0.0000000282
1	23920590	25516844	519	40	0.0000075776	0.0000000603
1	25516845	27401866	411	40	-0.0002814978	0.0000000414
1	27401867	30161880	547	40	0.0002542968	0.0000000503
1	30161881	32438684	924	40	-0.0003526133	0.0000000634
1	32438685	34799757	669	40	0.0002319556	0.0000000611
1	34799758	37549182	553	40	-0.0000444210	0.0000000486
1	37549183	38731846	362	40	0.0000313829	0.0000000396
1	38731847	40200566	445	40	0.0000507693	0.0000000454
1	40200567	41975326	551	40	-0.0001373528	0.0000000466
1	41975327	43758456	540	40	0.0001585051	0.0000000411
1	43758457	44969182	366	35	0.0000300939	0.0000000339
1	44969183	46899500	455	38	-0.0000267616	0.0000000367
1	46899501	48002575	291	33	-0.0001773319	0.0000000434
1	48002576	48978187	342	40	-0.0002389438	0.0000000341
1	48978188	49894176	246	28	0.0001168730	0.0000000264
1	49894177	51713725	255	25	0.0000385786	0.0000000208
1	51713726	54226261	559	40	0.0002171289	0.0000000467
1	54226262	56413116	831	40	-0.0000011568	0.0000000609
1	56413117	57021727	271	31	0.0002181478	0.0000000270
1	57021728	58865398	844	40	-0.0000423020	0.0000000595
1	58865399	59890408	383	40	0.0001194071	0.0000000326
1	59890409	61922364	667	40	-0.0001937675	0.0000000598
1	61922365	63455088	532	40	-0.0001963393	0.0000000529
1	63455089	65041703	656	40	-0.0000346079	0.0000000494
1	65041704	66939403	639	40	0.0002678465	0.0000000581
1	66939404	68477894	678	40	0.0001016185	0.0000000521
1	68477895	69687615	372	40	0.0000390862	0.0000000390
1	69687616	71372469	513	40	-0.0000531963	0.0000000408
1	71372470	71684404	82	10	0.0000542172	0.0000000062
1	71684405	74326906	556	40	-0.0000149663	0.0000000425
1	74326907	76728134	711	40	0.0001238688	0.0000000503
1	76728135	79661197	942	40	-0.0000343841	0.0000000581
1	79661198	81354190	468	40	-0.0000797975	0.0000000386
1	81354191	83991747	962	40	-0.0001301046	0.0000000596
1	83991748	84844494	312	35	0.0000622936	0.0000000235
1	84844495	86454750	645	40	-0.0002311664	0.0000000586
1	86454751	88128630	563	40	0.0000621247	0.0000000532
1	88128631	90066302	516	40	0.0002666805	0.0000000443
1	90066303	91886316	557	40	-0.0000057637	0.0000000539
1	91886317	93536458	509	40	-0.0001525464	0.0000000379
1	93536459	94506190	254	26	0.0001628254	0.0000000237
1	94506191	96150892	640	40	-0.0002295120	0.0000000561
1	96150893	97885248	600	40	-0.0003013320	0.0000000433
1	97885249	99800603	638	40	-0.0001010150	0.0000000471
1	99800604	100826404	311	36	0.0000633805	0.0000000318
1	100826405	102041015	444	40	0.0000353393	0.0000000333
1	102041016	102898744	271	36	0.0001331239	0.0000000254
1	102898745	103914210	200	21	0.0000716649	0.0000000153
1	103914211	106087841	448	40	0.0000475967	0.0000000409
1	106087842	108409664	721	40	-0.0000049678	0.0000000611
1	108409665	110303930	559	40	-0.0000448769	0.0000000507
1	110303931	111741736	566	40	-0.0000691757	0.0000000619
1	111741737	113273305	718	40	0.0000492337	0.0000000588
1	113273306	114873844	507	40	0.0001649727	0.0000000473
1	114873845	115880592	343	37	0.0004420104	0.0000000316
1	115880593	118839066	814	40	0.0002823019	0.0000000637
1	118839067	144977493	562	40	0.0003580886	0.0000000454
1	144977494	148361252	431	40	-0.0001860009	0.0000000377
1	148361253	151538880	349	34	0.0002204501	0.0000000332
1	151538881	153180828	463	40	0.0000734735	0.0000000408
1	153180829	154770402	459	40	0.0000418575	0.0000000408
1	154770403	156336132	305	38	0.0002646011	0.0000000390
