chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	96	17	0.0000431276	0.0000000167
1	1892607	3582735	437	40	-0.0002297444	0.0000000723
1	3582736	4380810	270	40	0.0000400251	0.0000000471
1	4380811	5913892	867	40	0.0000864062	0.0000000842
1	5913893	7247334	427	40	-0.0001660149	0.0000000566
1	7247335	9365198	699	40	0.0002254036	0.0000000918
1	9365199	10806983	351	40	0.0001525132	0.0000000499
1	10806984	11777840	258	40	0.0000993739	0.0000000405
1	11777841	12779465	281	40	-0.0001387097	0.0000000473
1	12779466	14891510	618	40	-0.0002380439	0.0000000890
1	14891511	16897729	688	40	-0.0001606363	0.0000000842
1	16897730	18662898	660	40	0.0001218456	0.0000000858
1	18662899	20469148	710	40	0.0000763453	0.0000000857
1	20469149	21736587	461	40	-0.0002283466	0.0000000658
1	21736588	23086882	523	40	0.0000715904	0.0000000753
1	23086883	23920589	222	28	-0.0000043352	0.0000000289
1	23920590	25516844	520	40	-0.0000640902	0.0000000811
1	25516845	27401866	413	40	0.0004099397	0.0000000482
1	27401867	30161880	550	40	-0.0000302594	0.0000000669
1	30161881	32438684	934	40	0.0001071874	0.0000000840
1	32438685	34799757	675	40	0.0000918200	0.0000000864
1	34799758	37549182	549	40	0.0000923408	0.0000000689
1	37549183	38731846	371	40	-0.0002417879	0.0000000463
1	38731847	40200566	447	40	-0.0000066357	0.0000000608
1	40200567	41975326	554	40	0.0000808323	0.0000000697
1	41975327	43758456	542	40	0.0000652908	0.0000000637
1	43758457	44969182	371	35	0.0001497998	0.0000000465
1	44969183	46899500	458	38	0.0002212376	0.0000000512
1	46899501	48002575	297	33	-0.0000702995	0.0000000365
1	48002576	48978187	344	40	0.0002036255	0.0000000479
1	48978188	49894176	247	28	0.0000351775	0.0000000369
1	49894177	51713725	260	25	0.0001550410	0.0000000326
1	51713726	54226261	562	40	-0.0000939874	0.0000000817
1	54226262	56413116	837	40	0.0000638455	0.0000000883
1	56413117	57021727	271	31	-0.0001507519	0.0000000316
1	57021728	58865398	847	40	-0.0002570082	0.0000000803
1	58865399	59890408	383	40	0.0000349151	0.0000000517
1	59890409	61922364	671	40	-0.0001874785	0.0000000829
1	61922365	63455088	533	40	0.0001415259	0.0000000732
1	63455089	65041703	656	40	0.0003752362	0.0000000735
1	65041704	66939403	649	40	-0.0000820162	0.0000000719
1	66939404	68477894	687	40	0.0001108339	0.0000000739
1	68477895	69687615	389	40	0.0001562053	0.0000000467
1	69687616	71372469	520	40	-0.0002591313	0.0000000621
1	71372470	71684404	82	10	-0.0000269397	0.0000000085
1	71684405	74326906	559	40	0.0001454522	0.0000000542
1	74326907	76728134	727	40	-0.0002441414	0.0000000717
1	76728135	79661197	945	40	0.0002829602	0.0000000852
1	79661198	81354190	475	40	0.0000072251	0.0000000614
1	81354191	83991747	973	40	-0.0001554970	0.0000000846
1	83991748	84844494	312	34	0.0000684046	0.0000000329
1	84844495	86454750	652	40	0.0000363202	0.0000000827
1	86454751	88128630	570	40	0.0000168853	0.0000000703
1	88128631	90066302	523	40	0.0000130942	0.0000000631
1	90066303	91886316	557	40	-0.0000960343	0.0000000781
1	91886317	93536458	509	40	0.0000647445	0.0000000535
1	93536459	94506190	255	26	0.0000791924	0.0000000263
1	94506191	96150892	651	40	0.0000381260	0.0000000814
1	96150893	97885248	605	40	0.0001943246	0.0000000660
1	97885249	99800603	640	40	0.0000512546	0.0000000686
1	99800604	100826404	339	37	0.0000024329	0.0000000363
1	100826405	102041015	447	40	-0.0001196768	0.0000000510
1	102041016	102898744	278	36	0.0000730939	0.0000000374
1	102898745	103914210	200	21	0.0000001152	0.0000000251
1	103914211	106087841	454	40	0.0001270161	0.0000000576
1	106087842	108409664	725	40	-0.0002881475	0.0000000801
1	108409665	110303930	564	40	0.0003619133	0.0000000751
1	110303931	111741736	570	40	-0.0000881062	0.0000000796
1	111741737	113273305	721	40	0.0001348952	0.0000000888
1	113273306	114873844	511	40	0.0001460080	0.0000000668
1	114873845	115880592	345	37	0.0000056008	0.0000000423
1	115880593	118839066	834	40	-0.0000913171	0.0000000855
1	118839067	144977493	568	40	-0.0000827000	0.0000000705
1	144977494	148361252	432	40	0.0001076793	0.0000000559
1	148361253	151538880	349	34	-0.0002473770	0.0000000490
1	151538881	153180828	468	40	0.0000024972	0.0000000463
1	153180829	154770402	456	40	0.0001902331	0.0000000596
1	154770403	156336132	307	38	-0.0001607171	0.0000000524
1	156336133	158027411	597	40	-0.0000418844	0.0000000786
1	158027412	159913047	681	40	0.0002435102	0.0000000918
1	159913048	162346720	874	40	0.0001494293	0.0000000906
1	162346721	165191701	1196	40	0.0000389045	0.0000000808
1	165191702	166460516	533	40	0.0000814040	0.0000000712
1	166460517	169086323	1106	40	0.0000238244	0.0000000849
1	169086324	170557775	558	40	0.0000223777	0.0000000564
1	170557776	173097906	902	40	0.0007559504	0.0000000982
1	173097907	175089767	412	32	-0.0000076970	0.0000000342
1	175089768	177433380	784	40	0.0001824680	0.0000000919
