chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	93	17	0.0000600903	0.0000000083
1	1892607	3582735	409	40	-0.0000886763	0.0000000223
1	3582736	4380810	263	40	0.0000938241	0.0000000135
1	4380811	5913892	863	40	0.0001204131	0.0000000227
1	5913893	7247334	410	40	-0.0000687316	0.0000000174
1	7247335	9365198	680	40	0.0000157339	0.0000000221
1	9365199	10806983	338	40	0.0000251465	0.0000000149
1	10806984	11777840	246	40	0.0000486666	0.0000000128
1	11777841	12779465	278	40	0.0002014264	0.0000000135
1	12779466	14891510	607	40	0.0000394758	0.0000000277
1	14891511	16897729	656	40	-0.0001425904	0.0000000249
1	16897730	18662898	637	40	-0.0000163671	0.0000000250
1	18662899	20469148	685	40	0.0000081364	0.0000000238
1	20469149	21736587	450	40	0.0000752494	0.0000000209
1	21736588	23086882	506	40	-0.0000158555	0.0000000228
1	23086883	23920589	214	27	-0.0000520845	0.0000000137
1	23920590	25516844	500	40	-0.0001049521	0.0000000239
1	25516845	27401866	386	40	-0.0004162877	0.0000000251
1	27401867	30161880	524	40	-0.0000886182	0.0000000210
1	30161881	32438684	905	40	0.0002092591	0.0000000261
1	32438685	34799757	644	40	0.0002009644	0.0000000232
1	34799758	37549182	526	40	-0.0000102508	0.0000000179
1	37549183	38731846	358	40	0.0000737501	0.0000000154
1	38731847	40200566	424	40	0.0000267505	0.0000000184
1	40200567	41975326	540	40	0.0002264668	0.0000000172
1	41975327	43758456	532	40	-0.0000439290	0.0000000169
1	43758457	44969182	351	35	0.0000579547	0.0000000118
1	44969183	46899500	440	38	0.0000149735	0.0000000129
1	46899501	48002575	280	33	-0.0000255126	0.0000000169
1	48002576	48978187	339	40	0.0000035369	0.0000000162
1	48978188	49894176	237	28	0.0001150470	0.0000000120
1	49894177	51713725	252	25	-0.0001167910	0.0000000096
1	51713726	54226261	546	40	0.0000982080	0.0000000185
1	54226262	56413116	812	40	-0.0000516010	0.0000000371
1	56413117	57021727	265	31	-0.0000794647	0.0000000103
1	57021728	58865398	824	40	0.0000535010	0.0000000242
1	58865399	59890408	371	40	0.0000801458	0.0000000136
1	59890409	61922364	660	40	-0.0000257618	0.0000000262
1	61922365	63455088	522	40	0.0005778846	0.0000000563
1	63455089	65041703	642	40	0.0000543218	0.0000000210
1	65041704	66939403	636	40	-0.0000922605	0.0000000231
1	66939404	68477894	663	40	0.0000049606	0.0000000231
1	68477895	69687615	383	40	-0.0000015405	0.0000000161
1	69687616	71372469	507	40	0.0000315613	0.0000000174
1	71372470	71684404	81	10	0.0000498326	0.0000000025
1	71684405	74326906	558	40	0.0001051269	0.0000000168
1	74326907	76728134	711	40	-0.0000651356	0.0000000197
1	76728135	79661197	923	40	0.0000578912	0.0000000230
1	79661198	81354190	470	40	-0.0001425039	0.0000000152
1	81354191	83991747	965	40	-0.0000470403	0.0000000224
1	83991748	84844494	306	35	0.0001702609	0.0000000099
1	84844495	86454750	634	40	0.0000128527	0.0000000225
1	86454751	88128630	552	40	-0.0001082015	0.0000000204
1	88128631	90066302	515	40	0.0000440637	0.0000000178
1	90066303	91886316	553	40	0.0000858519	0.0000000227
1	91886317	93536458	500	40	-0.0001119941	0.0000000244
1	93536459	94506190	245	26	-0.0000567910	0.0000000117
1	94506191	96150892	640	40	0.0001713133	0.0000000248
1	96150893	97885248	598	40	-0.0001532915	0.0000000164
1	97885249	99800603	632	40	0.0000597706	0.0000000201
1	99800604	100826404	329	36	0.0001792253	0.0000000131
1	100826405	102041015	439	40	0.0000340963	0.0000000158
1	102041016	102898744	271	36	0.0000117628	0.0000000112
1	102898745	103914210	196	21	0.0000234913	0.0000000061
1	103914211	106087841	452	40	0.0000492332	0.0000000156
1	106087842	108409664	721	40	0.0000470713	0.0000000239
1	108409665	110303930	552	40	-0.0004955127	0.0000000850
1	110303931	111741736	560	40	0.0000759085	0.0000000265
1	111741737	113273305	691	40	-0.0001056638	0.0000000238
1	113273306	114873844	497	40	0.0001374971	0.0000000177
1	114873845	115880592	338	37	-0.0001774951	0.0000000115
1	115880593	118839066	809	40	0.0000962235	0.0000000235
1	118839067	144977493	557	40	-0.0001203022	0.0000000176
1	144977494	148361252	425	40	-0.0000160330	0.0000000162
1	148361253	151538880	332	33	0.0000992851	0.0000000158
1	151538881	153180828	450	40	0.0000689095	0.0000000125
1	153180829	154770402	445	40	0.0000378739	0.0000000168
1	154770403	156336132	280	38	0.0000043448	0.0000000157
1	156336133	158027411	576	40	-0.0000417696	0.0000000202
1	158027412	159913047	665	40	0.0001636553	0.0000000307
1	159913048	162346720	859	40	0.0000306139	0.0000000229
1	162346721	165191701	1171	40	-0.0000786189	0.0000000246
1	165191702	166460516	514	40	0.0001356573	0.0000000205
1	166460517	169086323	1078	40	0.0000911188	0.0000000235
1	169086324	170557775	547	40	-0.0002327284	0.0000000135
1	170557776	173097906	893	40	0.0001053325	0.0000000226
1	173097907	175089767	399	31	-0.0000972959	0.0000000109
1	175089768	177433380	764	40	-0.0000440865	0.0000000223
1	177433381	178944308	494	40	-0.0000981966	0.0000000152
1	178944309	178954469	2	1	-0.0000120816	0.0000000012
1	178954470	181144120	711	40	-0.0000530383	0.0000000231
1	181144121	182755355	577	40	0.0003449646	0.0000000215
1	182755356	184595512	607	40	0.0001338842	0.0000000246
1	184595513	186810022	499	40	0.0000521739	0.0000000167
1	186810023	188759944	616	40	0.0000511999	0.0000000208
1	188759945	189904129	216	17	-0.0000522648	0.0000000068
1	189904130	191868929	537	40	0.0001385656	0.0000000158
1	191868930	194107441	577	40	0.0000600425	0.0000000185
1	194107442	196176200	577	40	-0.0001510727	0.0000000150
1	196176201	197311513	188	16	-0.0001120193	0.0000000079
1	197311514	199239883	501	40	0.0002301296	0.0000000205
1	199239884	200137648	296	36	0.0000776707	0.0000000129
1	200137649	201589974	685	40	0.0000802175	0.0000000226
1	201589975	203334733	591	40	0.0000027153	0.0000000220
1	203334734	204681067	471	40	0.0002863763	0.0000000229
1	204681068	206073264	558	40	0.0001643569	0.0000000245
1	206073265	208410363	603	40	-0.0000354889	0.0000000243
1	208410364	210787749	908	40	-0.0000732955	0.0000000229
1	210787750	212842329	685	40	-0.0000052412	0.0000000259
1	212842330	214578265	604	40	-0.0000699322	0.0000000237
1	214578266	216243633	578	40	-0.0000057366	0.0000000225
1	216243634	218705512	1070	40	0.0000142758	0.0000000236
1	218705513	219590570	281	34	0.0000257024	0.0000000078
1	219590571	221858230	679	40	0.0000078641	0.0000000275
1	221858231	222230219	171	21	-0.0001474265	0.0000000081
1	222230220	224938519	464	40	0.0001192205	0.0000000217
1	224938520	226810859	498	40	-0.0001871402	0.0000000199
1	226810860	229156247	654	40	0.0001085915	0.0000000218
1	229156248	230685254	520	40	-0.0000128150	0.0000000180
1	230685255	232090251	573	40	0.0000216708	0.0000000223
1	232090252	233429283	598	40	0.0001450429	0.0000000218
1	233429284	234599433	519	40	0.0000153444	0.0000000215
1	234599434	235819435	370	40	-0.0004685221	0.0000000307
1	235819436	237555627	693	40	0.0001146341	0.0000000237
1	237555628	238567806	419	40	0.0000029110	0.0000000178
1	238567807	239925313	487	40	-0.0000331233	0.0000000202
1	239925314	240564090	335	40	-0.0000242538	0.0000000144
1	240564091	241582219	505	40	0.0000481262	0.0000000236
1	241582220	242071601	207	37	-0.0001564396	0.0000000094
1	242071602	244109498	603	40	0.0000044924	0.0000000232
1	244109499	245506745	500	40	0.0000832333	0.0000000205
1	245506746	247344517	670	40	0.0001467288	0.0000000238
1	247344518	249239465	387	40	-0.0000816250	0.0000000145
2	10133	1781021	655	40	-0.0000168378	0.0000000188
2	1781022	3973778	951	40	0.0001699680	0.0000000214
2	3973779	5708336	623	40	-0.0002023784	0.0000000229
2	5708337	6836253	558	40	0.0000495667	0.0000000186
2	6836254	8422146	645	40	-0.0000282728	0.0000000217
2	8422147	10298468	660	40	-0.0001077879	0.0000000243
2	10298469	12419149	953	40	0.0000152157	0.0000000209
