chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	14	0.0003214171	0.000000066266
1	1892607	3582735	439	14	0.0001213882	0.000000244433
1	3582736	4380810	272	14	0.0000906676	0.000000139298
1	4380811	5913892	869	14	0.0001052900	0.000000326236
1	5913893	7247334	428	14	0.0000172863	0.000000210108
1	7247335	9365198	699	14	0.0000996432	0.000000325861
1	9365199	10806983	351	14	0.0000744727	0.000000154681
1	10806984	11777840	258	14	-0.0000591815	0.000000121350
1	11777841	12779465	282	14	-0.0000223760	0.000000140691
1	12779466	14891510	618	14	0.0004677247	0.000000350314
1	14891511	16897729	690	14	0.0000930730	0.000000325424
1	16897730	18662898	664	14	0.0002975446	0.000000339009
1	18662899	20469148	711	14	0.0001913618	0.000000331954
1	20469149	21736587	461	14	0.0001136174	0.000000224628
1	21736588	23086882	523	14	0.0000334408	0.000000278947
1	23086883	23920589	222	14	0.0001276532	0.000000107889
1	23920590	25516844	521	14	0.0000215442	0.000000274564
1	25516845	27401866	413	14	0.0000388156	0.000000167777
1	27401867	30161880	552	14	-0.0000561176	0.000000234785
1	30161881	32438684	936	14	0.0001831191	0.000000331407
1	32438685	34799757	675	14	0.0000849045	0.000000324882
1	34799758	37549182	553	14	0.0000898647	0.000000266237
1	37549183	38731846	371	14	0.0001673795	0.000000178185
1	38731847	40200566	447	14	0.0002913489	0.000000228194
1	40200567	41975326	555	14	0.0003482662	0.000000265711
1	41975327	43758456	542	14	0.0002946908	0.000000246193
1	43758457	44969182	371	14	0.0000818184	0.000000151342
1	44969183	46899500	458	14	0.0002916387	0.000000166404
1	46899501	48002575	297	14	0.0000086229	0.000000117146
1	48002576	48978187	344	14	0.0000219221	0.000000163428
1	48978188	49894176	247	14	-0.0001332418	0.000000103549
1	49894177	51713725	260	14	0.0000147815	0.000000085553
1	51713726	54226261	563	14	0.0001791666	0.000000275706
1	54226262	56413116	837	14	0.0000948883	0.000000325545
1	56413117	57021727	272	14	0.0003529844	0.000000129928
1	57021728	58865398	851	14	0.0001361344	0.000000328285
1	58865399	59890408	383	14	0.0003375499	0.000000182899
1	59890409	61922364	671	14	-0.0000013861	0.000000319149
1	61922365	63455088	534	14	0.0001100667	0.000000264029
1	63455089	65041703	656	14	-0.0000124486	0.000000265870
1	65041704	66939403	649	14	0.0002300248	0.000000294861
