chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	83	16	-0.0000321853	0.0000000065
1	1892607	3582735	384	40	-0.0000295793	0.0000000240
1	3582736	4380810	247	40	0.0001668322	0.0000000170
1	4380811	5913892	846	40	0.0001992468	0.0000000317
1	5913893	7247334	375	40	0.0001139421	0.0000000184
1	7247335	9365198	660	40	0.0000179546	0.0000000320
1	9365199	10806983	314	40	0.0001127378	0.0000000130
1	10806984	11777840	231	40	-0.0001277479	0.0000000154
1	11777841	12779465	221	40	-0.0000212801	0.0000000136
1	12779466	14891510	586	40	-0.0000490803	0.0000000293
1	14891511	16897729	624	40	-0.0000838656	0.0000000289
1	16897730	18662898	609	40	-0.0001078668	0.0000000295
1	18662899	20469148	650	40	0.0001509981	0.0000000322
1	20469149	21736587	418	40	0.0001339181	0.0000000211
1	21736588	23086882	472	40	0.0001056984	0.0000000275
1	23086883	23920589	193	26	-0.0000714241	0.0000000131
1	23920590	25516844	474	40	0.0001825344	0.0000000245
1	25516845	27401866	353	40	-0.0000201902	0.0000000215
1	27401867	30161880	503	40	-0.0001345460	0.0000000279
1	30161881	32438684	879	40	-0.0000085032	0.0000000324
1	32438685	34799757	619	40	-0.0001131119	0.0000000299
1	34799758	37549182	501	40	-0.0000038061	0.0000000229
1	37549183	38731846	335	40	-0.0001262791	0.0000000168
1	38731847	40200566	404	40	-0.0000653800	0.0000000279
1	40200567	41975326	515	40	-0.0001275969	0.0000000222
1	41975327	43758456	512	40	0.0000822829	0.0000000210
1	43758457	44969182	330	34	-0.0001262515	0.0000000154
1	44969183	46899500	413	37	-0.0001836979	0.0000000181
1	46899501	48002575	261	32	-0.0001366118	0.0000000148
1	48002576	48978187	330	40	-0.0000947536	0.0000000168
1	48978188	49894176	230	27	0.0001094407	0.0000000161
1	49894177	51713725	242	25	0.0001634819	0.0000000091
1	51713726	54226261	511	40	-0.0000426341	0.0000000251
1	54226262	56413116	773	40	-0.0000752435	0.0000000300
1	56413117	57021727	244	29	-0.0000474414	0.0000000095
1	57021728	58865398	805	40	-0.0000348336	0.0000000283
