chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	14	0.0002113392	0.000000078618
1	1892607	3582735	409	14	0.0003356006	0.000000283235
1	3582736	4380810	263	14	-0.0000357745	0.000000134930
1	4380811	5913892	863	14	0.0000355492	0.000000293164
1	5913893	7247334	410	14	0.0000092303	0.000000183253
1	7247335	9365198	680	14	0.0000427956	0.000000293823
1	9365199	10806983	338	14	0.0001977431	0.000000153475
1	10806984	11777840	246	14	0.0001686534	0.000000136674
1	11777841	12779465	278	14	0.0003842626	0.000000184761
1	12779466	14891510	607	14	0.0002357689	0.000000312551
1	14891511	16897729	656	14	0.0002132275	0.000000307036
1	16897730	18662898	637	14	0.0001726670	0.000000312970
1	18662899	20469148	685	14	0.0002495003	0.000000318649
1	20469149	21736587	450	14	0.0001623473	0.000000210403
1	21736588	23086882	506	14	0.0000333781	0.000000251668
1	23086883	23920589	214	14	0.0000900052	0.000000090450
1	23920590	25516844	500	14	0.0001014833	0.000000249255
1	25516845	27401866	386	14	0.0005214404	0.000000170745
1	27401867	30161880	524	14	0.0000125952	0.000000213084
1	30161881	32438684	903	14	0.0002294761	0.000000296163
1	32438685	34799757	644	14	0.0000700799	0.000000283878
1	34799758	37549182	526	14	-0.0000018701	0.000000224068
1	37549183	38731846	358	14	0.0002142357	0.000000158500
1	38731847	40200566	424	14	0.0001437417	0.000000194716
1	40200567	41975326	540	14	0.0002430064	0.000000222998
1	41975327	43758456	532	14	0.0000574576	0.000000191490
1	43758457	44969182	351	14	0.0003238368	0.000000142800
1	44969183	46899500	440	14	0.0004433019	0.000000141576
1	46899501	48002575	280	14	0.0005088053	0.000000128606
1	48002576	48978187	339	14	0.0002612926	0.000000150201
1	48978188	49894176	237	14	0.0001786111	0.000000099855
1	49894177	51713725	252	14	-0.0000066119	0.000000065936
1	51713726	54226261	546	14	0.0003264295	0.000000246790
1	54226262	56413116	812	14	0.0001695743	0.000000301804
1	56413117	57021727	265	14	0.0003572217	0.000000110812
1	57021728	58865398	824	14	-0.0000040806	0.000000282375
1	58865399	59890408	371	14	0.0001763249	0.000000146584
1	59890409	61922364	660	14	-0.0000528332	0.000000288261
1	61922365	63455088	522	14	0.0002649355	0.000000255575
1	63455089	65041703	642	14	0.0000574058	0.000000233766
1	65041704	66939403	636	14	-0.0000436201	0.000000231087
1	66939404	68477894	663	14	0.0002136295	0.000000232776
1	68477895	69687615	382	14	0.0000517958	0.000000161041
1	69687616	71372469	507	14	-0.0000299175	0.000000196756
1	71372470	71684404	81	10	0.0001359435	0.000000029970
1	71684405	74326906	558	14	0.0001504453	0.000000180321
1	74326907	76728134	711	14	0.0000625647	0.000000231988
1	76728135	79661197	923	14	0.0000723201	0.000000290748
