chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	16	0.0001297615	0.000000051903
1	1892607	3582735	442	16	0.0001884426	0.000000222577
1	3582736	4380810	272	16	0.0000024539	0.000000120531
1	4380811	5913892	855	16	0.0001096803	0.000000267108
1	5913893	7247334	426	16	-0.0000044744	0.000000172378
1	7247335	9365198	698	16	0.0003087293	0.000000280076
1	9365199	10806983	348	16	0.0001708563	0.000000137476
1	10806984	11777840	253	16	0.0000593081	0.000000108510
1	11777841	12779465	281	16	0.0001217922	0.000000130897
1	12779466	14891510	614	16	-0.0000566638	0.000000260348
1	14891511	16897729	684	16	0.0001437355	0.000000274987
1	16897730	18662898	668	16	-0.0000215280	0.000000265821
1	18662899	20469148	713	16	-0.0000404992	0.000000265211
1	20469149	21736587	458	16	0.0001612681	0.000000190260
1	21736588	23086882	520	16	0.0000772242	0.000000235259
1	23086883	23920589	220	16	0.0002409725	0.000000097623
1	23920590	25516844	520	16	0.0002355800	0.000000241548
1	25516845	27401866	412	16	0.0001920369	0.000000151632
1	27401867	30161880	549	16	0.0001033299	0.000000203502
1	30161881	32438684	924	16	-0.0000311622	0.000000256972
1	32438685	34799757	669	16	0.0002481159	0.000000278879
1	34799758	37549182	556	16	0.0000365235	0.000000219909
1	37549183	38731846	362	16	0.0002117345	0.000000149027
1	38731847	40200566	445	16	-0.0000738856	0.000000171315
1	40200567	41975326	551	16	0.0001085206	0.000000204380
1	41975327	43758456	540	16	0.0000200527	0.000000185651
1	43758457	44969182	366	16	0.0001598386	0.000000131181
1	44969183	46899500	455	16	0.0005284413	0.000000152515
1	46899501	48002575	291	16	0.0002834397	0.000000114762
1	48002576	48978187	342	16	0.0000304953	0.000000134547
1	48978188	49894176	246	16	0.0000698192	0.000000097222
1	49894177	51713725	255	16	0.0000796621	0.000000074007
1	51713726	54226261	560	16	-0.0000046407	0.000000213208
1	54226262	56413116	832	16	0.0001097151	0.000000270020
1	56413117	57021727	272	16	0.0003721049	0.000000110030
1	57021728	58865398	846	16	-0.0000299602	0.000000258169
1	58865399	59890408	383	16	0.0000394811	0.000000134757
1	59890409	61922364	667	16	-0.0000076481	0.000000262448
1	61922365	63455088	533	16	-0.0000237416	0.000000209318
1	63455089	65041703	657	16	0.0000626143	0.000000224050
1	65041704	66939403	639	16	0.0003283214	0.000000245681
1	66939404	68477894	678	16	0.0001244686	0.000000222824
1	68477895	69687615	372	16	0.0002494594	0.000000155416
1	69687616	71372469	513	16	0.0000509408	0.000000183367
1	71372470	71684404	82	10	0.0000180925	0.000000023717
1	71684405	74326906	556	16	0.0000901498	0.000000168092
1	74326907	76728134	711	16	0.0002093656	0.000000225384
1	76728135	79661197	944	16	0.0001378819	0.000000272329
1	79661198	81354190	468	16	0.0000224170	0.000000170846
1	81354191	83991747	962	16	0.0002033833	0.000000275938
1	83991748	84844494	312	16	0.0001142091	0.000000104382
1	84844495	86454750	645	16	0.0003381643	0.000000265111
1	86454751	88128630	564	16	0.0000911513	0.000000215324
1	88128631	90066302	516	16	0.0000039641	0.000000186806
1	90066303	91886316	561	16	0.0003515258	0.000000225365
