chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	0.0003150328	0.000000065966
1	1892607	3582735	434	14	0.0001174384	0.000000241193
1	3582736	4380810	272	14	0.0000872266	0.000000139356
1	4380811	5913892	869	14	0.0001016683	0.000000326662
1	5913893	7247334	430	14	0.0000173627	0.000000211907
1	7247335	9365198	700	14	0.0001011249	0.000000326626
1	9365199	10806983	352	14	0.0000740505	0.000000155610
1	10806984	11777840	257	14	-0.0000520860	0.000000121451
1	11777841	12779465	283	14	-0.0000201232	0.000000141768
1	12779466	14891510	617	14	0.0004676176	0.000000351000
1	14891511	16897729	690	14	0.0000935462	0.000000326122
1	16897730	18662898	666	14	0.0002950934	0.000000339526
1	18662899	20469148	716	14	0.0001852878	0.000000332224
1	20469149	21736587	461	14	0.0001133813	0.000000225071
1	21736588	23086882	523	14	0.0000332039	0.000000279507
1	23086883	23920589	223	14	0.0001130739	0.000000107150
1	23920590	25516844	521	14	0.0000211227	0.000000275103
1	25516845	27401866	413	14	0.0000385787	0.000000168108
1	27401867	30161880	552	14	-0.0000564680	0.000000235253
1	30161881	32438684	934	14	0.0001830230	0.000000332073
1	32438685	34799757	676	14	0.0000857701	0.000000325605
1	34799758	37549182	552	14	0.0000911885	0.000000265448
1	37549183	38731846	373	14	0.0001694342	0.000000179332
1	38731847	40200566	447	14	0.0002911147	0.000000228633
1	40200567	41975326	557	14	0.0003491607	0.000000267701
1	41975327	43758456	543	14	0.0002960444	0.000000247465
1	43758457	44969182	371	14	0.0000815820	0.000000151637
1	44969183	46899500	458	14	0.0002914045	0.000000166716
1	46899501	48002575	298	14	0.0000088269	0.000000118020
1	48002576	48978187	344	14	0.0000216850	0.000000163751
1	48978188	49894176	247	14	-0.0001334805	0.000000103759
1	49894177	51713725	259	14	0.0000135269	0.000000085649
1	51713726	54226261	563	14	0.0001833302	0.000000276542
1	54226262	56413116	838	14	0.0000940080	0.000000326153
1	56413117	57021727	271	14	0.0003522095	0.000000129515
1	57021728	58865398	847	14	0.0001390815	0.000000329151
1	58865399	59890408	383	14	0.0003373162	0.000000183242
1	59890409	61922364	672	14	-0.0000016239	0.000000319793
1	61922365	63455088	533	14	0.0001096420	0.000000263832
1	63455089	65041703	659	14	-0.0000137569	0.000000267766
1	65041704	66939403	650	14	0.0002304495	0.000000296208
1	66939404	68477894	687	14	0.0001745291	0.000000278818
1	68477895	69687615	389	14	0.0000735732	0.000000178244
1	69687616	71372469	520	14	-0.0000476204	0.000000219227
1	71372470	71684404	82	10	0.0000876859	0.000000032713
1	71684405	74326906	559	14	0.0001987076	0.000000211718
1	74326907	76728134	728	14	0.0000191940	0.000000267090
1	76728135	79661197	947	14	-0.0001691086	0.000000308654
1	79661198	81354190	475	14	0.0002376237	0.000000223064
1	81354191	83991747	973	14	0.0000493493	0.000000323183
1	83991748	84844494	314	14	0.0001082670	0.000000122699
1	84844495	86454750	652	14	0.0000490860	0.000000301675
1	86454751	88128630	572	14	0.0002855307	0.000000277616
1	88128631	90066302	523	14	0.0001380746	0.000000238400
1	90066303	91886316	559	14	0.0001231626	0.000000250637
1	91886317	93536458	509	14	0.0004163240	0.000000220046
1	93536459	94506190	255	14	0.0001854336	0.000000101675
1	94506191	96150892	651	14	0.0000414464	0.000000304846
1	96150893	97885248	606	14	0.0000110055	0.000000222416
1	97885249	99800603	643	14	0.0001847750	0.000000270229
1	99800604	100826404	339	14	0.0003162700	0.000000143782
1	100826405	102041015	447	14	0.0000037580	0.000000184841
1	102041016	102898744	279	14	0.0000623628	0.000000114163
1	102898745	103914210	200	14	0.0000195027	0.000000070752
1	103914211	106087841	455	14	-0.0000440696	0.000000192339
1	106087842	108409664	728	14	0.0000451229	0.000000322902
1	108409665	110303930	566	14	0.0004791455	0.000000267909
1	110303931	111741736	572	14	0.0001387943	0.000000308369
1	111741737	113273305	721	14	0.0000700193	0.000000324558
1	113273306	114873844	512	14	0.0001099808	0.000000240700
1	114873845	115880592	345	14	0.0000762768	0.000000136127
1	115880593	118839066	837	14	0.0002773898	0.000000338349
1	118839067	144977493	567	14	0.0000577798	0.000000244210
1	144977494	148361252	432	14	0.0000151135	0.000000188243
1	148361253	151538880	350	14	0.0002434185	0.000000149623
1	151538881	153180828	468	14	0.0002044011	0.000000185556
1	153180829	154770402	460	14	0.0004044418	0.000000222612
1	154770403	156336132	307	14	0.0001323775	0.000000144841
1	156336133	158027411	597	14	0.0002476234	0.000000292288
1	158027412	159913047	683	14	-0.0000286081	0.000000317998
1	159913048	162346720	876	14	0.0002066535	0.000000333644
1	162346721	165191701	1197	14	0.0002937319	0.000000339436
1	165191702	166460516	533	14	-0.0001530257	0.000000257102
1	166460517	169086323	1106	14	0.0000533655	0.000000323450
1	169086324	170557775	560	14	0.0001564313	0.000000215669
1	170557776	173097906	902	14	0.0000584439	0.000000323788
1	173097907	175089767	412	14	0.0000382437	0.000000116258
1	175089768	177433380	784	14	0.0002439260	0.000000336123
1	177433381	178944308	492	14	0.0000689832	0.000000208542
1	178944309	178954469	2	1	-0.0000160764	0.000000000013
1	178954470	181144120	751	14	0.0001033656	0.000000320808
1	181144121	182755355	601	14	0.0001633935	0.000000307065
1	182755356	184595512	630	14	-0.0000318743	0.000000251625
1	184595513	186810022	525	14	0.0000312413	0.000000207401
1	186810023	188759944	620	14	0.0000744227	0.000000258667
1	188759945	189904129	219	14	-0.0000130692	0.000000066295
1	189904130	191868929	538	14	0.0001947201	0.000000196110
1	191868930	194107441	583	14	0.0000913774	0.000000243643
1	194107442	196176200	581	14	0.0001117786	0.000000220868
1	196176201	197311513	196	14	-0.0000322982	0.000000056376
1	197311514	199239883	504	14	0.0001238012	0.000000223026
1	199239884	200137648	301	14	0.0001690552	0.000000135978
1	200137649	201589974	710	14	-0.0000477572	0.000000316725
1	201589975	203334733	617	14	0.0005600570	0.000000348936
1	203334734	204681067	484	14	0.0000177737	0.000000229061
1	204681068	206073264	577	14	0.0002389796	0.000000296050
1	206073265	208410363	634	14	0.0003679614	0.000000344372
1	208410364	210787749	932	14	0.0001977848	0.000000333055
1	210787750	212842329	698	14	0.0000512586	0.000000323310
1	212842330	214578265	613	14	0.0006470368	0.000000350260
1	214578266	216243633	593	14	0.0001684358	0.000000279846
1	216243634	218705512	1085	14	0.0001042880	0.000000326837
1	218705513	219590570	282	14	-0.0000489813	0.000000111761
1	219590571	221858230	690	14	0.0002168126	0.000000329095
1	221858231	222230219	174	14	-0.0000291144	0.000000079894
1	222230220	224938519	466	14	0.0001202783	0.000000218706
1	224938520	226810859	520	14	0.0000669832	0.000000233006
1	226810860	229156247	695	14	-0.0000306281	0.000000296381
1	229156248	230685254	530	14	0.0002511634	0.000000281753
1	230685255	232090251	589	14	0.0000287505	0.000000284999
1	232090252	233429283	607	14	0.0002486688	0.000000336439
1	233429284	234599433	536	14	0.0000307999	0.000000274307
1	234599434	235819435	385	14	0.0000685193	0.000000195093
1	235819436	237555627	732	14	0.0000180093	0.000000321099
1	237555628	238567806	430	14	-0.0000650591	0.000000209864
1	238567807	239925313	491	14	0.0000160474	0.000000247753
1	239925314	240564090	343	14	0.0000499916	0.000000166264
1	240564091	241582219	517	14	0.0002567655	0.000000312533
1	241582220	242071601	220	14	0.0000764868	0.000000113867
1	242071602	244109498	622	14	-0.0000557829	0.000000308741
1	244109499	245506745	518	14	0.0002820735	0.000000290971
1	245506746	247344517	709	14	0.0000506595	0.000000323270
1	247344518	249239465	400	14	0.0001127252	0.000000201349
2	10133	1781021	663	14	0.0002602149	0.000000337207
2	1781022	3973778	968	14	0.0001169966	0.000000327682
2	3973779	5708336	632	14	0.0001407527	0.000000329262
2	5708337	6836253	566	14	0.0002300561	0.000000280353
2	6836254	8422146	655	14	0.0001256425	0.000000328257
2	8422147	10298468	674	14	0.0000281589	0.000000321774
2	10298469	12419149	973	14	0.0000322797	0.000000322048
2	12419150	14335307	595	14	-0.0000351644	0.000000277861
2	14335308	16329734	748	14	-0.0000612236	0.000000315829
2	16329735	18647422	861	14	0.0001526886	0.000000330056
2	18647423	19692403	384	14	0.0000755991	0.000000186271
2	19692404	21050489	635	14	0.0000384511	0.000000310556
2	21050490	23341382	622	14	-0.0000289120	0.000000317978
2	23341383	24686917	442	14	0.0002270021	0.000000211571
2	24686918	26894984	560	14	0.0002245595	0.000000273576
2	26894985	28598776	417	14	0.0015544608	0.000000266001
2	28598777	29217558	246	14	0.0001777899	0.000000121737
2	29217559	30463710	636	14	0.0000539452	0.000000323489
2	30463711	31550449	532	14	0.0000521445	0.000000290910
2	31550450	33363776	495	14	0.0000838955	0.000000281427
2	33363777	35345027	805	14	-0.0001058200	0.000000312863
2	35345028	36122005	291	14	-0.0000034100	0.000000130264
2	36122006	38132711	932	14	0.0003286886	0.000000341760
2	38132712	39031336	326	14	0.0002738428	0.000000195385
2	39031337	40281482	303	14	-0.0000123519	0.000000153771
2	40281483	43309589	1311	14	0.0004316675	0.000000348609
2	43309590	44313802	403	14	0.0005512056	0.000000247176
2	44313803	46482633	1073	14	-0.0000289642	0.000000317975
2	46482634	47318771	419	14	0.0004726768	0.000000282926
2	47318772	48213000	301	14	0.0004957588	0.000000202792
2	48213001	50022256	716	14	0.0001045711	0.000000326855
2	50022257	50818927	345	14	0.0002373255	0.000000183153
2	50818928	52491132	648	14	0.0002146838	0.000000334179
2	52491133	53508451	466	14	0.0000841454	0.000000238297
2	53508452	54685225	436	14	0.0000725360	0.000000228546
2	54685226	56203344	614	14	0.0002604568	0.000000337223
2	56203345	57429099	428	14	0.0001846681	0.000000233897
2	57429100	58297314	272	14	0.0002735911	0.000000148467
2	58297315	60291999	741	14	0.0001286662	0.000000328458
2	60292000	62429043	587	14	0.0002400029	0.000000333620
2	62429044	64625912	583	14	0.0001256257	0.000000306025
2	64625913	65933443	464	14	0.0000555161	0.000000238486
2	65933444	67226165	555	14	-0.0000830507	0.000000257459
2	67226166	68010175	423	14	-0.0000002735	0.000000196569
2	68010176	69139563	471	14	0.0002451711	0.000000228319
2	69139564	70755197	535	14	0.0001316294	0.000000246307
2	70755198	73174847	802	14	0.0000416635	0.000000322672
2	73174848	75630085	722	14	0.0002938568	0.000000339444
2	75630086	76913660	515	14	0.0001428956	0.000000267454
2	76913661	78079263	394	14	0.0001962148	0.000000226447
2	78079264	80050402	826	14	0.0001628107	0.000000330729
2	80050403	81620840	579	14	-0.0000388606	0.000000312097
2	81620841	85140679	891	14	0.0000993556	0.000000279573
2	85140680	88038506	633	14	0.0002083774	0.000000276775
2	88038507	89154525	245	14	0.0002951061	0.000000120297
2	89154526	95326451	4	2	-0.0000296823	0.000000000189
2	95326452	98995200	428	14	0.0003775306	0.000000204859
2	98995201	101822328	907	14	0.0000646954	0.000000324204
2	101822329	102688764	261	14	0.0001057777	0.000000108487
2	102688765	103588214	406	14	0.0000845074	0.000000136668
2	103588215	105125033	304	14	-0.0000027551	0.000000131560
2	105125034	106210057	407	14	0.0000793121	0.000000195805
2	106210058	107408266	444	14	-0.0000174923	0.000000196103
2	107408267	108429176	355	14	0.0001969721	0.000000142806
2	108429177	110572431	530	14	-0.0000260293	0.000000225474
2	110572432	113921855	799	14	0.0004566759	0.000000350272
2	113921856	116772469	758	14	-0.0000497471	0.000000316593
2	116772470	118367465	397	14	0.0004820163	0.000000176068
2	118367466	121303782	995	14	0.0001008552	0.000000326608
2	121303783	123302905	577	14	0.0000530044	0.000000279378
2	123302906	124732249	430	14	0.0002762564	0.000000175989
2	124732250	125840920	381	14	0.0001557749	0.000000174528
