chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	222	34	0.0000210796	0.0000000021
1	1892607	3582735	580	40	0.0000243092	0.0000000057
1	3582736	4380810	323	40	0.0000013248	0.0000000039
1	4380811	5913892	926	40	-0.0000356721	0.0000000064
1	5913893	7247334	504	40	0.0000318985	0.0000000056
1	7247335	9365198	764	40	-0.0000471621	0.0000000071
1	9365199	10806983	421	40	-0.0000244634	0.0000000034
1	10806984	11777840	301	40	-0.0000112223	0.0000000037
1	11777841	12779465	350	40	-0.0000182919	0.0000000037
1	12779466	14891510	651	40	-0.0000280239	0.0000000064
1	14891511	16897729	826	40	0.0000014966	0.0000000064
1	16897730	18662898	730	40	-0.0000797862	0.0000000068
1	18662899	20469148	826	40	0.0000240844	0.0000000064
1	20469149	21736587	510	40	-0.0001041298	0.0000000059
1	21736588	23086882	567	40	-0.0000075123	0.0000000057
1	23086883	23920589	259	30	-0.0000581492	0.0000000026
1	23920590	25516844	601	40	0.0000393257	0.0000000061
1	25516845	27401866	530	40	-0.0000162154	0.0000000039
1	27401867	30161880	664	40	-0.0000491411	0.0000000057
1	30161881	32438684	1017	40	-0.0000351254	0.0000000067
1	32438685	34799757	756	40	0.0000137937	0.0000000062
1	34799758	37549182	680	40	-0.0000959000	0.0000000072
1	37549183	38731846	470	40	-0.0000431409	0.0000000047
1	38731847	40200566	486	40	-0.0000034688	0.0000000047
1	40200567	41975326	617	40	0.0000511951	0.0000000055
1	41975327	43758456	612	40	-0.0000430861	0.0000000057
1	43758457	44969182	420	37	0.0000033525	0.0000000053
1	44969183	46899500	540	40	0.0000557742	0.0000000033
1	46899501	48002575	356	36	0.0000278399	0.0000000034
1	48002576	48978187	369	40	0.0000835594	0.0000000036
1	48978188	49894176	260	29	0.0000297843	0.0000000022
1	49894177	51713725	293	27	0.0000270618	0.0000000021
1	51713726	54226261	614	40	0.0000225023	0.0000000059
1	54226262	56413116	934	40	-0.0000453772	0.0000000060
1	56413117	57021727	292	31	0.0000415827	0.0000000027
1	57021728	58865398	940	40	-0.0000543569	0.0000000073
1	58865399	59890408	427	40	0.0000232427	0.0000000040
1	59890409	61922364	720	40	0.0000506676	0.0000000064
1	61922365	63455088	595	40	-0.0000024914	0.0000000056
1	63455089	65041703	712	40	-0.0000653780	0.0000000060
1	65041704	66939403	694	40	-0.0000558770	0.0000000067
1	66939404	68477894	745	40	-0.0000274337	0.0000000062
1	68477895	69687615	406	40	-0.0000402935	0.0000000046
1	69687616	71372469	585	40	0.0000314545	0.0000000055
1	71372470	71684404	95	10	-0.0000149358	0.0000000010
1	71684405	74326906	597	40	-0.0000931227	0.0000000067
1	74326907	76728134	791	40	0.0000226460	0.0000000067
1	76728135	79661197	1043	40	-0.0000600493	0.0000000069
1	79661198	81354190	510	40	-0.0000303480	0.0000000045
1	81354191	83991747	1039	40	-0.0000030585	0.0000000060
1	83991748	84844494	344	36	0.0000158926	0.0000000028
1	84844495	86454750	698	40	0.0000371435	0.0000000062
1	86454751	88128630	638	40	-0.0000777800	0.0000000060
1	88128631	90066302	567	40	-0.0000352353	0.0000000055
1	90066303	91886316	616	40	-0.0000150936	0.0000000066
1	91886317	93536458	571	40	0.0000196155	0.0000000044
1	93536459	94506190	292	28	-0.0001412252	0.0000000032
1	94506191	96150892	719	40	-0.0000539980	0.0000000062
1	96150893	97885248	676	40	-0.0000338688	0.0000000057
1	97885249	99800603	685	40	0.0000595582	0.0000000064
1	99800604	100826404	356	37	-0.0000120849	0.0000000029
1	100826405	102041015	496	40	0.0000058969	0.0000000041
1	102041016	102898744	302	38	0.0000252997	0.0000000027
1	102898745	103914210	216	21	-0.0000120495	0.0000000017
1	103914211	106087841	502	40	-0.0000422853	0.0000000042
1	106087842	108409664	781	40	0.0000363054	0.0000000062
1	108409665	110303930	640	40	-0.0000192578	0.0000000053
1	110303931	111741736	644	40	-0.0000610766	0.0000000070
1	111741737	113273305	780	40	-0.0000360403	0.0000000070
1	113273306	114873844	586	40	0.0000000700	0.0000000054
1	114873845	115880592	378	39	-0.0000276946	0.0000000033
1	115880593	118839066	958	40	-0.0001461321	0.0000000071
1	118839067	144977493	623	40	-0.0000034287	0.0000000048
1	144977494	148361252	506	40	0.0000204654	0.0000000049
1	148361253	151538880	414	36	0.0000291980	0.0000000039
1	151538881	153180828	561	40	-0.0000507339	0.0000000042
1	153180829	154770402	565	40	-0.0000281139	0.0000000052
1	154770403	156336132	403	40	0.0000799942	0.0000000040
1	156336133	158027411	668	40	-0.0000451125	0.0000000062
1	158027412	159913047	767	40	0.0000032876	0.0000000063
1	159913048	162346720	984	40	0.0000155624	0.0000000066
1	162346721	165191701	1306	40	0.0000050849	0.0000000060
1	165191702	166460516	592	40	-0.0000605610	0.0000000059
1	166460517	169086323	1260	40	-0.0000405942	0.0000000060
1	169086324	170557775	608	40	-0.0000493090	0.0000000046
1	170557776	173097906	1018	40	-0.0001851024	0.0000000074
1	173097907	175089767	556	35	-0.0000534937	0.0000000030
1	175089768	177433380	891	40	-0.0000400181	0.0000000069
1	177433381	178944308	567	40	-0.0000394871	0.0000000047
1	178944309	178954469	2	1	0.0000017493	0.0000000000
1	178954470	181144120	840	40	-0.0000101373	0.0000000062
1	181144121	182755355	679	40	0.0000337194	0.0000000074
1	182755356	184595512	689	40	0.0000295220	0.0000000056
1	184595513	186810022	649	40	-0.0000677831	0.0000000048
1	186810023	188759944	725	40	-0.0000387848	0.0000000054
1	188759945	189904129	252	19	-0.0000008989	0.0000000018
1	189904130	191868929	607	40	-0.0000399786	0.0000000044
1	191868930	194107441	690	40	-0.0000301111	0.0000000059
1	194107442	196176200	646	40	0.0000217275	0.0000000054
1	196176201	197311513	214	16	-0.0000219299	0.0000000017
1	197311514	199239883	565	40	0.0000772755	0.0000000054
1	199239884	200137648	356	39	-0.0000351769	0.0000000034
1	200137649	201589974	775	40	-0.0000175187	0.0000000061
1	201589975	203334733	681	40	-0.0000008288	0.0000000064
1	203334734	204681067	573	40	-0.0000212646	0.0000000061
1	204681068	206073264	613	40	-0.0001020889	0.0000000064
1	206073265	208410363	736	40	0.0000268063	0.0000000059
1	208410364	210787749	1039	40	-0.0000188856	0.0000000066
1	210787750	212842329	762	40	-0.0000058269	0.0000000076
1	212842330	214578265	674	40	-0.0001276583	0.0000000068
1	214578266	216243633	653	40	0.0000358839	0.0000000057
1	216243634	218705512	1170	40	-0.0000123286	0.0000000062
1	218705513	219590570	324	36	0.0000199259	0.0000000025
1	219590571	221858230	774	40	-0.0000873634	0.0000000069
1	221858231	222230219	190	22	0.0000226368	0.0000000023
1	222230220	224938519	821	40	-0.0000029483	0.0000000064
1	224938520	226810859	579	40	-0.0000275798	0.0000000056
1	226810860	229156247	833	40	-0.0000131198	0.0000000063
1	229156248	230685254	636	40	0.0000478344	0.0000000061
1	230685255	232090251	669	40	0.0000407088	0.0000000059
1	232090252	233429283	662	40	-0.0000009486	0.0000000063
1	233429284	234599433	601	40	-0.0000263615	0.0000000054
1	234599434	235819435	446	40	0.0000751441	0.0000000052
1	235819436	237555627	822	40	0.0000250377	0.0000000062
1	237555628	238567806	463	40	-0.0000236689	0.0000000062
1	238567807	239925313	543	40	0.0000192828	0.0000000056
1	239925314	240564090	387	40	-0.0000612647	0.0000000038
1	240564091	241582219	568	40	-0.0000157312	0.0000000059
1	241582220	242071601	243	40	0.0000249154	0.0000000024
1	242071602	244109498	726	40	-0.0000299499	0.0000000067
1	244109499	245506745	573	40	0.0000168392	0.0000000061
1	245506746	247344517	827	40	0.0000339245	0.0000000064
1	247344518	249239465	498	40	0.0000288454	0.0000000048
2	10133	1781021	745	40	-0.0000153028	0.0000000064
2	1781022	3973778	1055	40	-0.0000660934	0.0000000070
2	3973779	5708336	676	40	-0.0000184809	0.0000000062
2	5708337	6836253	598	40	0.0000094099	0.0000000059
2	6836254	8422146	681	40	-0.0000156932	0.0000000067
2	8422147	10298468	750	40	-0.0000513436	0.0000000062
2	10298469	12419149	1054	40	-0.0000356553	0.0000000068
2	12419150	14335307	636	40	-0.0000451592	0.0000000065
2	14335308	16329734	788	40	0.0000884524	0.0000000067
2	16329735	18647422	918	40	0.0000282501	0.0000000062
2	18647423	19692403	397	40	-0.0000002481	0.0000000038
2	19692404	21050489	686	40	-0.0000164987	0.0000000062
2	21050490	23341382	652	40	0.0000288055	0.0000000071
2	23341383	24686917	477	40	0.0000005014	0.0000000045
2	24686918	26894984	617	40	-0.0000491971	0.0000000055
2	26894985	28598776	448	34	0.0000170440	0.0000000037
2	28598777	29217558	260	33	-0.0001040345	0.0000000028
2	29217559	30463710	657	40	-0.0001024372	0.0000000068
2	30463711	31550449	562	40	-0.0000524084	0.0000000055
2	31550450	33363776	548	40	-0.0000369870	0.0000000059
2	33363777	35345027	865	40	0.0000416178	0.0000000064
2	35345028	36122005	307	31	-0.0000217217	0.0000000031
2	36122006	38132711	986	40	-0.0000418153	0.0000000064
2	38132712	39031336	353	40	-0.0000143058	0.0000000042
2	39031337	40281482	320	32	0.0000415731	0.0000000035
2	40281483	43309589	1386	40	-0.0000441842	0.0000000067
