chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0001250096	0.000000002056
1	1892607	3582735	404	40	0.0007911253	0.000000010494
1	3582736	4380810	262	40	0.0002249889	0.000000004070
1	4380811	5913892	862	40	0.0000557404	0.000000004956
1	5913893	7247334	409	40	0.0001516940	0.000000004244
1	7247335	9365198	678	40	0.0003822582	0.000000007675
1	9365199	10806983	337	40	0.0003526286	0.000000005240
1	10806984	11777840	247	40	0.0002763025	0.000000004343
1	11777841	12779465	273	40	0.0000696839	0.000000002938
1	12779466	14891510	606	40	0.0001898645	0.000000006167
1	14891511	16897729	656	40	0.0001280069	0.000000005551
1	16897730	18662898	637	40	0.0005926430	0.000000009611
1	18662899	20469148	684	40	0.0004056595	0.000000007921
1	20469149	21736587	450	40	0.0004887363	0.000000007222
1	21736588	23086882	506	40	0.0003821073	0.000000007064
1	23086883	23920589	214	27	0.0005051640	0.000000005698
1	23920590	25516844	498	40	0.0003916181	0.000000007047
1	25516845	27401866	385	40	0.0006806684	0.000000008095
1	27401867	30161880	523	40	0.0003416429	0.000000006243
1	30161881	32438684	903	40	0.0004031119	0.000000007774
1	32438685	34799757	644	40	0.0002004403	0.000000006063
1	34799758	37549182	522	40	0.0002710538	0.000000005850
1	37549183	38731846	358	40	0.0004063659	0.000000005837
1	38731847	40200566	424	40	0.0001784774	0.000000004471
1	40200567	41975326	540	40	0.0007255708	0.000000009472
1	41975327	43758456	530	40	0.0004569902	0.000000006908
1	43758457	44969182	350	35	0.0001420006	0.000000003272
1	44969183	46899500	439	38	0.0004425660	0.000000005744
1	46899501	48002575	278	33	0.0004551443	0.000000005481
1	48002576	48978187	339	40	0.0002969364	0.000000004820
1	48978188	49894176	237	28	0.0000303218	0.000000001879
1	49894177	51713725	252	25	0.0002822067	0.000000003591
1	51713726	54226261	546	40	0.0004195581	0.000000007163
1	54226262	56413116	811	40	0.0003133636	0.000000007109
1	56413117	57021727	264	31	0.0002352963	0.000000003527
1	57021728	58865398	826	40	0.0001803472	0.000000005928
1	58865399	59890408	371	40	0.0002070566	0.000000004038
1	59890409	61922364	660	40	0.0002219944	0.000000006302
1	61922365	63455088	514	40	0.0001923562	0.000000005198
1	63455089	65041703	642	40	0.0001699543	0.000000005096
1	65041704	66939403	634	40	0.0003843240	0.000000007021
1	66939404	68477894	662	40	0.0003483375	0.000000006537
1	68477895	69687615	382	40	0.0001077689	0.000000003472
1	69687616	71372469	505	40	0.0001757641	0.000000004646
1	71372470	71684404	80	10	0.0000488217	0.000000000821
1	71684405	74326906	556	40	0.0001502197	0.000000004110
1	74326907	76728134	710	40	0.0003379804	0.000000006514
1	76728135	79661197	924	40	0.0003297935	0.000000007199
1	79661198	81354190	470	40	0.0001307402	0.000000004058
1	81354191	83991747	964	40	0.0001570937	0.000000005748
1	83991748	84844494	305	34	0.0001832459	0.000000003283
1	84844495	86454750	634	40	0.0003469224	0.000000006986
1	86454751	88128630	552	40	0.0003460874	0.000000006472
1	88128631	90066302	515	40	0.0004727185	0.000000007188
1	90066303	91886316	554	40	0.0001620784	0.000000004866
1	91886317	93536458	497	40	0.0004635398	0.000000006646
1	93536459	94506190	244	26	0.0002035989	0.000000003024
1	94506191	96150892	638	40	0.0002815546	0.000000006505
1	96150893	97885248	598	40	0.0001830452	0.000000004675
1	97885249	99800603	632	40	0.0001266998	0.000000004716
1	99800604	100826404	329	36	0.0001139870	0.000000002785
1	100826405	102041015	439	40	0.0002040920	0.000000004386
1	102041016	102898744	271	36	0.0001619418	0.000000003073
1	102898745	103914210	195	21	0.0003834881	0.000000004238
1	103914211	106087841	452	40	0.0001609344	0.000000004225
1	106087842	108409664	720	40	0.0000698211	0.000000005033
1	108409665	110303930	544	40	0.0002056376	0.000000005107
1	110303931	111741736	560	40	0.0001744817	0.000000005678
1	111741737	113273305	691	40	0.0004365999	0.000000008048
1	113273306	114873844	496	40	0.0001326450	0.000000004403
1	114873845	115880592	337	37	0.0001492469	0.000000003173
1	115880593	118839066	807	40	0.0002511447	0.000000006570
1	118839067	144977493	554	40	0.0011251876	0.000000012712
1	144977494	148361252	425	40	0.0005020852	0.000000006850
1	148361253	151538880	331	33	0.0013509331	0.000000013130
1	151538881	153180828	448	40	0.0002143703	0.000000004262
1	153180829	154770402	444	40	0.0001499379	0.000000004086
1	154770403	156336132	280	38	0.0002650917	0.000000004141
1	156336133	158027411	576	40	0.0003153700	0.000000006503
1	158027412	159913047	665	40	0.0000977274	0.000000005355
1	159913048	162346720	847	40	0.0003130854	0.000000007108
1	162346721	165191701	1171	40	0.0001741370	0.000000005912
1	165191702	166460516	513	40	0.0003080659	0.000000006242
1	166460517	169086323	1078	40	0.0002968869	0.000000007054
1	169086324	170557775	543	40	0.0002212154	0.000000004772
1	170557776	173097906	887	40	0.0012539599	0.000000014927
1	173097907	175089767	399	31	0.0002221074	0.000000003523
1	175089768	177433380	763	40	0.0006766730	0.000000010076
1	177433381	178944308	484	40	0.0001475189	0.000000004142
1	178944309	178954469	2	1	0.0000141071	0.000000000161
1	178954470	181144120	713	40	0.0002186902	0.000000006008
1	181144121	182755355	577	40	0.0002172394	0.000000005797
1	182755356	184595512	605	40	0.0013127415	0.000000014541
1	184595513	186810022	499	40	0.0002211241	0.000000004725
1	186810023	188759944	611	40	0.0000331948	0.000000003836
1	188759945	189904129	216	17	0.0000647438	0.000000001571
1	189904130	191868929	536	40	0.0001516155	0.000000003887
1	191868930	194107441	575	40	0.0000777464	0.000000003995
1	194107442	196176200	576	40	0.0000665249	0.000000003586
1	196176201	197311513	188	16	0.0001084855	0.000000001803
1	197311514	199239883	499	40	0.0001675748	0.000000004439
1	199239884	200137648	294	35	0.0002764140	0.000000004148
1	200137649	201589974	683	40	0.0001442471	0.000000005686
1	201589975	203334733	591	40	0.0001811312	0.000000005828
1	203334734	204681067	469	40	0.0003399692	0.000000006169
1	204681068	206073264	559	40	0.0002008911	0.000000005562
1	206073265	208410363	598	40	0.0002415397	0.000000006318
1	208410364	210787749	903	40	0.0002825084	0.000000006833
1	210787750	212842329	685	40	0.0004952648	0.000000008582
1	212842330	214578265	604	40	0.0001454385	0.000000005518
1	214578266	216243633	578	40	0.0006532171	0.000000009181
1	216243634	218705512	1069	40	0.0006035218	0.000000009434
1	218705513	219590570	277	33	0.0007154556	0.000000007685
1	219590571	221858230	675	40	0.0007250216	0.000000010291
1	221858231	222230219	171	21	0.0001443192	0.000000002408
1	222230220	224938519	449	40	0.0002546151	0.000000005136
1	224938520	226810859	497	40	0.0002555591	0.000000005293
1	226810860	229156247	652	40	0.0007139592	0.000000009971
1	229156248	230685254	514	40	0.0001717258	0.000000005168
1	230685255	232090251	573	40	0.0001296339	0.000000005013
1	232090252	233429283	598	40	0.0001631658	0.000000005872
1	233429284	234599433	517	40	0.0001530594	0.000000005039
1	234599434	235819435	367	40	0.0002567058	0.000000005031
1	235819436	237555627	692	40	0.0002544930	0.000000006679
1	237555628	238567806	418	40	0.0001289000	0.000000004113
1	238567807	239925313	487	40	0.0001295220	0.000000004582
1	239925314	240564090	335	40	0.0001021303	0.000000003272
1	240564091	241582219	504	40	0.0001825468	0.000000005851
1	241582220	242071601	207	37	0.0001372365	0.000000002816
1	242071602	244109498	599	40	0.0002844684	0.000000006608
1	244109499	245506745	497	40	0.0001291318	0.000000005101
1	245506746	247344517	667	40	0.0002157263	0.000000006333
1	247344518	249239465	384	40	0.0001031001	0.000000004085
2	10133	1781021	648	40	0.0004982699	0.000000008579
2	1781022	3973778	949	40	0.0001083894	0.000000005421
2	3973779	5708336	623	40	0.0001405437	0.000000005632
2	5708337	6836253	558	40	0.0001957625	0.000000005323
2	6836254	8422146	642	40	0.0001664200	0.000000005809
2	8422147	10298468	658	40	0.0003923190	0.000000007833
2	10298469	12419149	954	40	0.0004263042	0.000000008177
2	12419150	14335307	589	40	0.0001603123	0.000000005226
2	14335308	16329734	734	40	0.0001688174	0.000000005793
2	16329735	18647422	853	40	0.0003829179	0.000000007617
2	18647423	19692403	380	40	0.0003180263	0.000000005280
2	19692404	21050489	627	40	0.0005298540	0.000000008690
2	21050490	23341382	622	40	0.0002349676	0.000000006430
2	23341383	24686917	435	40	0.0006895034	0.000000008552
2	24686918	26894984	541	40	0.0014731807	0.000000015862
2	26894985	28598776	406	33	0.0003534930	0.000000005302
2	28598777	29217558	248	32	0.0001641502	0.000000003114
2	29217559	30463710	626	40	0.0000968089	0.000000005258
2	30463711	31550449	521	40	0.0003137700	0.000000006568
2	31550450	33363776	482	40	0.0005510187	0.000000008347
2	33363777	35345027	796	40	0.0004454115	0.000000008189
2	35345028	36122005	289	30	0.0001171449	0.000000002889
2	36122006	38132711	917	40	0.0006084131	0.000000009511
2	38132712	39031336	320	38	0.0002070010	0.000000004244
2	39031337	40281482	299	32	0.0001532470	0.000000003519
2	40281483	43309589	1284	40	0.0003812399	0.000000007525
2	43309590	44313802	395	40	0.0003333155	0.000000005787
2	44313803	46482633	1053	40	0.0005848786	0.000000009378
2	46482634	47318771	408	40	0.0009379503	0.000000011367
2	47318772	48213000	295	40	0.0002618256	0.000000004854
2	48213001	50022256	700	40	0.0001859114	0.000000005914
2	50022257	50818927	341	34	0.0000631953	0.000000002967
2	50818928	52491132	646	40	0.0000769817	0.000000004968
2	52491133	53508451	461	40	0.0001271249	0.000000004301
2	53508452	54685225	427	40	0.0001728564	0.000000004542
2	54685226	56203344	602	40	0.0021302367	0.000000021939
2	56203345	57429099	425	40	0.0006808411	0.000000008782
2	57429100	58297314	270	28	0.0000708945	0.000000002496
2	58297315	60291999	737	40	0.0001809062	0.000000005840
2	60292000	62429043	581	40	0.0003947524	0.000000007545
2	62429044	64625912	576	40	0.0001693313	0.000000005453
2	64625913	65933443	456	40	0.0001741619	0.000000004813
2	65933444	67226165	548	40	0.0002015176	0.000000005393
2	67226166	68010175	418	40	0.0001522555	0.000000004060
2	68010176	69139563	466	40	0.0004007462	0.000000006362
2	69139564	70755197	522	40	0.0003709453	0.000000006375
2	70755198	73174847	783	40	0.0006070053	0.000000009573
2	73174848	75630085	700	40	0.0003666518	0.000000007554
2	75630086	76913660	513	40	0.0001567102	0.000000004890
2	76913661	78079263	390	40	0.0000870924	0.000000003883
2	78079264	80050402	818	40	0.0001272245	0.000000005412
2	80050403	81620840	573	40	0.0001497621	0.000000005567
2	81620841	85140679	887	40	0.0001493968	0.000000005012
2	85140680	88038506	616	40	0.0004454531	0.000000007287
2	88038507	89154525	242	30	0.0004503444	0.000000005236
2	89154526	95326451	4	2	0.0000209232	0.000000000319
2	95326452	98995200	420	40	0.0003245646	0.000000005252
2	98995201	101822328	887	40	0.0002407089	0.000000006315
2	101822329	102688764	256	30	0.0001017895	0.000000002326
2	102688765	103588214	396	36	0.0001482335	0.000000003146
2	103588215	105125033	304	40	0.0000887826	0.000000002730
2	105125034	106210057	399	40	0.0003172119	0.000000005450
2	106210058	107408266	439	40	0.0002098385	0.000000004589
2	107408267	108429176	351	40	0.0001109756	0.000000002860
2	108429177	110572431	519	40	0.0003228036	0.000000005914
2	110572432	113921855	762	40	0.0003145233	0.000000006943
2	113921856	116772469	742	40	0.0002090906	0.000000006143
2	116772470	118367465	393	37	0.0001077520	0.000000003027
2	118367466	121303782	984	40	0.0002104378	0.000000006195
2	121303783	123302905	571	40	0.0004219564	0.000000007513
2	123302906	124732249	426	40	0.0001023569	0.000000003136
2	124732250	125840920	377	40	0.0000788395	0.000000003008
2	125840921	127373763	407	37	0.0002267788	0.000000003925
2	127373764	128034346	257	40	0.0001692239	0.000000003165
2	128034347	129474440	423	40	0.0003579922	0.000000005631
2	129474441	130067169	220	26	0.0000682310	0.000000001859
2	130067170	130658084	201	26	0.0000773844	0.000000001969
2	130658085	133042783	203	32	0.0000361513	0.000000001824
2	133042784	135158577	901	40	0.0002924378	0.000000006858
2	135158578	137042793	442	40	0.0002554228	0.000000004493
2	137042794	138698116	589	40	0.0001648973	0.000000005151
2	138698117	140100270	430	40	0.0001723685	0.000000003587
2	140100271	141805350	561	40	0.0001186645	0.000000004634
2	141805351	142518601	293	33	0.0000637124	0.000000002619
2	142518602	144519483	645	40	0.0001661059	0.000000005434
2	144519484	146445569	437	40	0.0003314074	0.000000005629
2	146445570	147277161	151	15	0.0000499965	0.000000001381
2	147277162	150210291	649	40	0.0002062526	0.000000005438
2	150210292	151731461	468	40	0.0001567668	0.000000004346
2	151731462	152486781	279	29	0.0001870648	0.000000003211
2	152486782	154005055	466	40	0.0001144713	0.000000003957
2	154005056	155391134	484	40	0.0001609799	0.000000004559
2	155391135	157560634	546	40	0.0001972902	0.000000005081
2	157560635	158533217	171	25	0.0001408571	0.000000002576
2	158533218	159577081	328	39	0.0002342130	0.000000004192
2	159577082	161769732	705	40	0.0004235979	0.000000007673
2	161769733	163503550	387	36	0.0001696573	0.000000003445
2	163503551	164466637	191	23	0.0001567202	0.000000002564
2	164466638	165178839	173	21	0.0000366254	0.000000001441
2	165178840	167160269	614	40	0.0001388544	0.000000004894
2	167160270	167355969	72	10	0.0000357332	0.000000000755
2	167355970	169968235	819	40	0.0003425033	0.000000007212
2	169968236	171226244	475	40	0.0001453315	0.000000004345
2	171226245	173138904	558	40	0.0005218578	0.000000008307
2	173138905	175588928	822	40	0.0003526166	0.000000007369
2	175588929	177363635	521	40	0.0002024575	0.000000004985
2	177363636	178553182	460	40	0.0003105215	0.000000005240
2	178553183	181312738	994	40	0.0004386403	0.000000008047
2	181312739	182266030	297	32	0.0001003052	0.000000002600
2	182266031	184357607	600	40	0.0002405516	0.000000005911
2	184357608	185280172	232	25	0.0000364768	0.000000001719
2	185280173	189882064	943	40	0.0001007471	0.000000005156
2	189882065	191973356	485	40	0.0004189359	0.000000006452
2	191973357	195861163	700	40	0.0000554340	0.000000004959
2	195861164	196447455	152	19	0.0000465542	0.000000001385
2	196447456	198078109	436	40	0.0000710505	0.000000002909
2	198078110	199311124	301	26	0.0002851305	0.000000003829
2	199311125	201576283	618	40	0.0004935631	0.000000007873
2	201576284	202818636	306	39	0.0001404766	0.000000003156
2	202818637	205799240	739	40	0.0004116017	0.000000007861
2	205799241	206735703	395	40	0.0001448823	0.000000004374
2	206735704	208645398	636	40	0.0002705408	0.000000006698
2	208645399	209941528	324	39	0.0002269911	0.000000004089
2	209941529	212379517	733	40	0.0001394176	0.000000005506
2	212379518	214014281	618	40	0.0002249911	0.000000006295
2	214014282	215573794	436	40	0.0001298556	0.000000004035
2	215573795	217715660	778	40	0.0005138652	0.000000008844
2	217715661	218395479	273	36	0.0009473668	0.000000009972
2	218395480	220454550	562	40	0.0012571143	0.000000014171
2	220454551	222521175	842	40	0.0002805734	0.000000006777
2	222521176	224859418	775	40	0.0003221220	0.000000007227
2	224859419	225840003	345	36	0.0004702722	0.000000005798
2	225840004	228119841	718	40	0.0002088687	0.000000005908
2	228119842	229370786	438	40	0.0001916167	0.000000004341
2	229370787	231843388	909	40	0.0001481099	0.000000005688
