chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	18	0.0000536717	0.000000026790
1	1892607	3582735	440	22	0.0001888176	0.000000115766
1	3582736	4380810	273	22	0.0001638517	0.000000065752
1	4380811	5913892	871	22	0.0000994846	0.000000125929
1	5913893	7247334	430	22	0.0002207232	0.000000092374
1	7247335	9365198	701	22	0.0002306561	0.000000132580
1	9365199	10806983	352	22	0.0002256982	0.000000069611
1	10806984	11777840	259	22	0.0001483644	0.000000060672
1	11777841	12779465	282	22	0.0002246154	0.000000061328
1	12779466	14891510	618	22	0.0001311785	0.000000127677
1	14891511	16897729	691	22	0.0001431359	0.000000130003
1	16897730	18662898	666	22	0.0000333456	0.000000124741
1	18662899	20469148	715	22	0.0000038918	0.000000124442
1	20469149	21736587	461	22	0.0000510160	0.000000087689
1	21736588	23086882	523	22	-0.0000397928	0.000000108344
1	23086883	23920589	222	22	0.0001556634	0.000000045054
1	23920590	25516844	522	22	0.0002292376	0.000000118189
1	25516845	27401866	413	22	0.0000561024	0.000000066692
1	27401867	30161880	553	22	-0.0000105779	0.000000095563
1	30161881	32438684	938	22	0.0001615378	0.000000128320
1	32438685	34799757	675	22	0.0001629580	0.000000130592
1	34799758	37549182	552	22	0.0002740126	0.000000112708
1	37549183	38731846	372	22	0.0001605928	0.000000072594
1	38731847	40200566	447	22	0.0000206258	0.000000081799
1	40200567	41975326	555	22	0.0000840265	0.000000096596
1	41975327	43758456	543	22	0.0004121755	0.000000103371
1	43758457	44969182	371	22	0.0002320159	0.000000067868
1	44969183	46899500	458	22	0.0000481457	0.000000059077
1	46899501	48002575	297	22	0.0001209926	0.000000051626
1	48002576	48978187	344	22	0.0000848298	0.000000066222
1	48978188	49894176	247	22	0.0002946160	0.000000056633
1	49894177	51713725	260	22	0.0002292182	0.000000042980
1	51713726	54226261	563	22	0.0000105378	0.000000101847
1	54226262	56413116	839	22	0.0000333586	0.000000119631
1	56413117	57021727	272	22	0.0002943775	0.000000050073
1	57021728	58865398	851	22	0.0002627980	0.000000132264
1	58865399	59890408	383	22	0.0001205512	0.000000067450
1	59890409	61922364	671	22	0.0000888047	0.000000123231
1	61922365	63455088	534	22	0.0002074837	0.000000096733
1	63455089	65041703	658	22	0.0000776043	0.000000106045
1	65041704	66939403	649	22	0.0003736035	0.000000120605
1	66939404	68477894	687	22	0.0001045706	0.000000106185
1	68477895	69687615	389	22	0.0001937407	0.000000076885
1	69687616	71372469	520	22	0.0000877140	0.000000091407
1	71372470	71684404	82	10	0.0000178321	0.000000011788
1	71684405	74326906	559	22	0.0005243209	0.000000090273
1	74326907	76728134	727	22	0.0001287710	0.000000102903
1	76728135	79661197	949	22	0.0003918409	0.000000135840
1	79661198	81354190	475	22	0.0001004246	0.000000083318
1	81354191	83991747	973	22	0.0001212232	0.000000123392
1	83991748	84844494	314	22	0.0002541789	0.000000056719
1	84844495	86454750	652	22	0.0000691363	0.000000114507
1	86454751	88128630	573	22	0.0001556165	0.000000108766
1	88128631	90066302	523	22	0.0000585137	0.000000087642
1	90066303	91886316	563	22	0.0001543264	0.000000101831
1	91886317	93536458	509	22	0.0001930543	0.000000080423
1	93536459	94506190	255	22	0.0001590438	0.000000042566
1	94506191	96150892	651	22	0.0000152653	0.000000112432
1	96150893	97885248	606	22	0.0003088186	0.000000097494
1	97885249	99800603	640	22	0.0000866525	0.000000102825
1	99800604	100826404	339	22	0.0001787992	0.000000055558
1	100826405	102041015	447	22	0.0001721173	0.000000078715
1	102041016	102898744	281	22	0.0001010161	0.000000051103
1	102898745	103914210	201	21	0.0000191986	0.000000029765
1	103914211	106087841	455	22	0.0000645539	0.000000079490
1	106087842	108409664	730	22	0.0001410151	0.000000125897
1	108409665	110303930	567	22	0.0003373934	0.000000094854
1	110303931	111741736	571	22	0.0000984339	0.000000115992
1	111741737	113273305	721	22	0.0003402194	0.000000134045
1	113273306	114873844	512	22	0.0000511005	0.000000094194
1	114873845	115880592	346	22	0.0001332523	0.000000056910
1	115880593	118839066	838	22	0.0000704723	0.000000123158
1	118839067	144977493	567	22	0.0001474381	0.000000084768
1	144977494	148361252	432	22	0.0001544887	0.000000077710
1	148361253	151538880	349	22	0.0000950426	0.000000056274
1	151538881	153180828	468	22	-0.0000635701	0.000000063790
1	153180829	154770402	460	22	0.0000218092	0.000000077360
1	154770403	156336132	307	22	0.0003525465	0.000000070002
1	156336133	158027411	599	22	0.0001221112	0.000000114312
1	158027412	159913047	686	22	0.0000335289	0.000000122628
1	159913048	162346720	876	22	0.0000579471	0.000000109953
1	162346721	165191701	1204	22	-0.0000363059	0.000000118616
1	165191702	166460516	533	22	-0.0000422094	0.000000101364
1	166460517	169086323	1107	22	0.0000258775	0.000000124515
1	169086324	170557775	560	22	0.0003402383	0.000000089405
1	170557776	173097906	903	22	0.0000724120	0.000000117485
1	173097907	175089767	412	22	0.0001312855	0.000000050271
1	175089768	177433380	785	22	0.0002506158	0.000000131115
1	177433381	178944308	492	22	0.0002733839	0.000000080042
1	178944309	178954469	2	1	0.0000387974	0.000000002576
1	178954470	181144120	752	22	0.0002086625	0.000000128096
1	181144121	182755355	601	22	0.0000876195	0.000000114706
1	182755356	184595512	630	22	-0.0000198349	0.000000095999
1	184595513	186810022	524	22	-0.0000698329	0.000000076112
1	186810023	188759944	619	22	0.0001281621	0.000000101311
1	188759945	189904129	220	18	0.0002337888	0.000000037290
