chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	95	18	0.0002621718	0.000000012403
1	1892607	3582735	435	32	0.0003885341	0.000000037429
1	3582736	4380810	270	32	0.0001117663	0.000000019576
1	4380811	5913892	866	32	0.0002284908	0.000000040555
1	5913893	7247334	429	32	0.0001702131	0.000000028206
1	7247335	9365198	698	32	0.0002014919	0.000000040151
1	9365199	10806983	352	32	0.0001016069	0.000000020438
1	10806984	11777840	258	32	0.0002278116	0.000000020968
1	11777841	12779465	279	32	0.0002829443	0.000000024147
1	12779466	14891510	617	32	0.0000556257	0.000000036929
1	14891511	16897729	686	32	0.0001532146	0.000000039137
1	16897730	18662898	658	32	0.0001618056	0.000000039665
1	18662899	20469148	708	32	0.0001670746	0.000000039356
1	20469149	21736587	460	32	0.0000021188	0.000000024808
1	21736588	23086882	521	32	0.0001512549	0.000000034465
1	23086883	23920589	222	28	0.0001417236	0.000000015191
1	23920590	25516844	519	32	0.0000603026	0.000000032184
1	25516845	27401866	413	32	0.0004957428	0.000000030880
1	27401867	30161880	551	32	0.0000567512	0.000000028443
1	30161881	32438684	933	32	0.0001677708	0.000000039206
1	32438685	34799757	675	32	0.0000660472	0.000000036793
1	34799758	37549182	548	32	0.0002211612	0.000000034187
1	37549183	38731846	373	32	0.0000807114	0.000000021536
1	38731847	40200566	446	32	0.0000328720	0.000000024928
1	40200567	41975326	554	32	0.0000514250	0.000000028480
1	41975327	43758456	542	32	0.0002370699	0.000000030986
1	43758457	44969182	371	32	0.0001541494	0.000000020803
1	44969183	46899500	457	32	0.0002608390	0.000000023095
1	46899501	48002575	296	32	0.0002279040	0.000000018977
1	48002576	48978187	344	32	0.0002640541	0.000000024897
1	48978188	49894176	247	28	0.0002128010	0.000000018229
1	49894177	51713725	260	25	0.0002039142	0.000000014748
1	51713726	54226261	562	32	0.0001558181	0.000000033016
1	54226262	56413116	834	32	0.0000011011	0.000000035433
1	56413117	57021727	271	31	0.0000806463	0.000000014459
1	57021728	58865398	847	32	0.0003264215	0.000000042602
1	58865399	59890408	382	32	0.0002057264	0.000000023406
1	59890409	61922364	670	32	0.0000337869	0.000000035658
1	61922365	63455088	532	32	0.0002068254	0.000000033696
1	63455089	65041703	659	32	0.0000681079	0.000000031410
1	65041704	66939403	649	32	0.0002779004	0.000000037063
1	66939404	68477894	686	32	0.0003467485	0.000000037450
1	68477895	69687615	386	32	0.0002464837	0.000000025634
1	69687616	71372469	517	32	0.0000213964	0.000000025404
1	71372470	71684404	82	10	0.0000593348	0.000000004652
1	71684405	74326906	558	32	0.0001237098	0.000000025100
1	74326907	76728134	726	32	0.0000897353	0.000000031346
1	76728135	79661197	946	32	0.0000771474	0.000000036598
1	79661198	81354190	475	32	0.0002189864	0.000000028537
1	81354191	83991747	971	32	0.0000857975	0.000000037105
1	83991748	84844494	313	32	0.0001193896	0.000000016352
1	84844495	86454750	650	32	0.0002885125	0.000000039475
1	86454751	88128630	568	32	0.0001770728	0.000000032881
1	88128631	90066302	522	32	0.0000198341	0.000000026212
1	90066303	91886316	559	32	0.0001801485	0.000000031367
