chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	103	20	0.0001329277	0.000000008154
1	1892607	3582735	441	40	0.0003938530	0.000000032759
1	3582736	4380810	277	40	0.0002045282	0.000000018978
1	4380811	5913892	870	40	0.0000645905	0.000000032658
1	5913893	7247334	431	40	0.0002665069	0.000000027480
1	7247335	9365198	700	40	0.0003939299	0.000000039956
1	9365199	10806983	353	40	0.0002229818	0.000000020817
1	10806984	11777840	259	40	0.0001802857	0.000000017387
1	11777841	12779465	284	40	0.0000933132	0.000000017207
1	12779466	14891510	618	40	0.0000801364	0.000000033002
1	14891511	16897729	690	40	0.0001672574	0.000000034933
1	16897730	18662898	668	40	0.0001669755	0.000000034927
1	18662899	20469148	719	40	0.0001414656	0.000000034361
1	20469149	21736587	461	40	0.0002558540	0.000000027811
1	21736588	23086882	524	40	0.0001458361	0.000000030822
1	23086883	23920589	222	28	0.0000598795	0.000000012070
1	23920590	25516844	523	40	0.0000549660	0.000000028429
1	25516845	27401866	414	40	0.0000243913	0.000000017866
1	27401867	30161880	552	40	0.0000200058	0.000000024551
1	30161881	32438684	931	40	0.0001135526	0.000000033743
1	32438685	34799757	675	40	0.0000959440	0.000000033352
1	34799758	37549182	553	40	0.0000259613	0.000000026644
1	37549183	38731846	373	40	0.0002075097	0.000000022161
1	38731847	40200566	446	40	0.0003240501	0.000000028500
1	40200567	41975326	554	40	0.0001246865	0.000000027183
1	41975327	43758456	544	40	0.0001566384	0.000000026626
1	43758457	44969182	371	35	0.0003811099	0.000000023810
1	44969183	46899500	457	38	0.0000719373	0.000000017046
1	46899501	48002575	296	33	0.0001452680	0.000000015623
1	48002576	48978187	344	40	0.0000482824	0.000000018019
1	48978188	49894176	247	28	0.0000317792	0.000000012748
1	49894177	51713725	260	25	0.0000671577	0.000000010690
1	51713726	54226261	563	40	0.0002211688	0.000000031283
1	54226262	56413116	838	40	0.0001297977	0.000000034103
1	56413117	57021727	271	31	0.0001021993	0.000000013683
1	57021728	58865398	850	40	0.0002011714	0.000000035685
1	58865399	59890408	382	40	0.0004202869	0.000000026048
1	59890409	61922364	671	40	0.0002283095	0.000000036286
1	61922365	63455088	534	40	0.0001692908	0.000000029500
