chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	-0.0000075579	0.000000046292
1	1892607	3582735	436	14	0.0003019094	0.000000265220
1	3582736	4380810	272	14	0.0006511103	0.000000183132
1	4380811	5913892	869	14	0.0001029027	0.000000340361
1	5913893	7247334	428	14	0.0000893351	0.000000224378
1	7247335	9365198	699	14	-0.0000313179	0.000000331239
1	9365199	10806983	351	14	0.0000547319	0.000000160248
1	10806984	11777840	258	14	0.0000120211	0.000000131733
1	11777841	12779465	282	14	0.0000789747	0.000000153914
1	12779466	14891510	618	14	0.0001387366	0.000000342796
1	14891511	16897729	690	14	-0.0000060042	0.000000332960
1	16897730	18662898	664	14	-0.0000534188	0.000000329737
1	18662899	20469148	711	14	-0.0000429079	0.000000330452
1	20469149	21736587	461	14	0.0000194263	0.000000228173
1	21736588	23086882	523	14	0.0003392134	0.000000312035
1	23086883	23920589	222	14	0.0001667829	0.000000115247
1	23920590	25516844	521	14	0.0001008950	0.000000292130
1	25516845	27401866	413	14	0.0002985649	0.000000192783
1	27401867	30161880	552	14	0.0002043024	0.000000262974
1	30161881	32438684	934	14	0.0002051881	0.000000347312
1	32438685	34799757	675	14	0.0003273530	0.000000355614
1	34799758	37549182	551	14	0.0000180822	0.000000271634
1	37549183	38731846	371	14	0.0002407833	0.000000190929
1	38731847	40200566	447	14	0.0002027185	0.000000232032
1	40200567	41975326	555	14	0.0002227497	0.000000268591
1	41975327	43758456	542	14	-0.0001185741	0.000000228862
1	43758457	44969182	371	14	0.0000695087	0.000000157252
1	44969183	46899500	458	14	0.0003147660	0.000000175069
1	46899501	48002575	297	14	0.0001107073	0.000000129315
1	48002576	48978187	344	14	0.0002150919	0.000000183782
1	48978188	49894176	247	14	-0.0000299638	0.000000115391
1	49894177	51713725	260	14	0.0003921635	0.000000114708
1	51713726	54226261	563	14	0.0000783492	0.000000280905
1	54226262	56413116	837	14	0.0001920497	0.000000346419
1	56413117	57021727	272	14	0.0002369061	0.000000127547
1	57021728	58865398	849	14	0.0001513388	0.000000343652
1	58865399	59890408	383	14	0.0000412687	0.000000170735
1	59890409	61922364	671	14	-0.0000002838	0.000000333348
1	61922365	63455088	534	14	-0.0000011792	0.000000268114
1	63455089	65041703	656	14	-0.0001077984	0.000000271269
1	65041704	66939403	649	14	0.0000701558	0.000000296804
1	66939404	68477894	687	14	0.0000329953	0.000000280808
1	68477895	69687615	389	14	0.0000717933	0.000000185677
1	69687616	71372469	520	14	0.0000164578	0.000000232969
1	71372470	71684404	82	10	0.0002338113	0.000000043768
1	71684405	74326906	559	14	-0.0000305831	0.000000205034
1	74326907	76728134	727	14	0.0000667674	0.000000280863
1	76728135	79661197	947	14	0.0000585891	0.000000337349
1	79661198	81354190	475	14	-0.0000055526	0.000000215854
1	81354191	83991747	973	14	0.0000589977	0.000000337377
1	83991748	84844494	314	14	0.0002960916	0.000000140466
1	84844495	86454750	652	14	-0.0000617430	0.000000306820
1	86454751	88128630	572	14	0.0003499996	0.000000293370
1	88128631	90066302	523	14	0.0002361715	0.000000254996
1	90066303	91886316	562	14	0.0004528467	0.000000285618
1	91886317	93536458	509	14	0.0000377759	0.000000203367
1	93536459	94506190	255	14	0.0001103506	0.000000100813
1	94506191	96150892	651	14	0.0002460451	0.000000331541
1	96150893	97885248	606	14	-0.0000919389	0.000000225646
1	97885249	99800603	640	14	0.0001705478	0.000000279002
1	99800604	100826404	339	14	0.0001910170	0.000000141156
1	100826405	102041015	447	14	0.0002539872	0.000000209625
1	102041016	102898744	280	14	0.0000272885	0.000000117314
1	102898745	103914210	200	14	0.0000128030	0.000000073369
1	103914211	106087841	455	14	0.0003502764	0.000000227229
1	106087842	108409664	726	14	0.0001782308	0.000000345480
1	108409665	110303930	565	14	0.0000443482	0.000000248529
1	110303931	111741736	571	14	-0.0000289632	0.000000309045
1	111741737	113273305	721	14	0.0001012927	0.000000340251
1	113273306	114873844	511	14	-0.0000640927	0.000000239028
1	114873845	115880592	345	14	0.0001407449	0.000000146235
1	115880593	118839066	837	14	0.0000781080	0.000000338676
