chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	72	14	0.0000022637	0.0000000078
1	1892607	3582735	347	40	0.0001914881	0.0000000237
1	3582736	4380810	232	40	-0.0000325637	0.0000000134
1	4380811	5913892	842	40	-0.0000920900	0.0000000294
1	5913893	7247334	351	40	-0.0000237264	0.0000000217
1	7247335	9365198	628	40	0.0001223634	0.0000000310
1	9365199	10806983	289	40	-0.0001304675	0.0000000176
1	10806984	11777840	213	40	-0.0000157145	0.0000000187
1	11777841	12779465	182	40	-0.0000934364	0.0000000126
1	12779466	14891510	562	40	0.0000229576	0.0000000312
1	14891511	16897729	568	40	0.0000461386	0.0000000263
1	16897730	18662898	553	40	-0.0000228138	0.0000000296
1	18662899	20469148	599	40	0.0000435443	0.0000000309
1	20469149	21736587	387	40	-0.0000152045	0.0000000209
1	21736588	23086882	431	40	0.0002105623	0.0000000364
1	23086883	23920589	177	25	0.0001508441	0.0000000096
1	23920590	25516844	430	40	-0.0000162005	0.0000000225
1	25516845	27401866	296	40	-0.0002496709	0.0000000284
1	27401867	30161880	461	40	-0.0000367169	0.0000000223
1	30161881	32438684	848	40	0.0000889184	0.0000000327
1	32438685	34799757	583	40	0.0000125412	0.0000000289
1	34799758	37549182	485	40	0.0000960675	0.0000000231
1	37549183	38731846	314	40	0.0001298539	0.0000000154
1	38731847	40200566	373	40	0.0000554942	0.0000000208
1	40200567	41975326	486	40	-0.0000720856	0.0000000213
1	41975327	43758456	472	40	-0.0002602847	0.0000000257
1	43758457	44969182	291	33	0.0000790847	0.0000000116
1	44969183	46899500	355	36	0.0000217571	0.0000000131
1	46899501	48002575	245	32	-0.0001586071	0.0000000121
1	48002576	48978187	327	40	-0.0000403840	0.0000000186
1	48978188	49894176	222	26	0.0001385597	0.0000000140
1	49894177	51713725	238	25	-0.0001198179	0.0000000095
1	51713726	54226261	475	40	-0.0000075412	0.0000000239
1	54226262	56413116	720	40	-0.0000636783	0.0000000453
1	56413117	57021727	240	29	0.0001285978	0.0000000114
1	57021728	58865398	800	40	-0.0001480881	0.0000000299
1	58865399	59890408	346	40	-0.0001141509	0.0000000162
1	59890409	61922364	621	40	-0.0000111177	0.0000000316
1	61922365	63455088	419	40	0.0000116826	0.0000000361
1	63455089	65041703	605	40	-0.0000771560	0.0000000280
1	65041704	66939403	587	40	0.0001865312	0.0000000229
1	66939404	68477894	614	40	-0.0001137914	0.0000000281
1	68477895	69687615	364	40	-0.0003504308	0.0000000344
1	69687616	71372469	476	40	0.0000219448	0.0000000200
1	71372470	71684404	76	10	0.0000050972	0.0000000032
1	71684405	74326906	505	40	0.0000225853	0.0000000190
1	74326907	76728134	637	40	-0.0000012056	0.0000000234
1	76728135	79661197	857	40	0.0000261197	0.0000000306
