chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	98	17	0.0000506106	0.0000000104
1	1892607	3582735	435	40	-0.0001978437	0.0000000297
1	3582736	4380810	270	40	-0.0000888112	0.0000000147
1	4380811	5913892	866	40	-0.0001411939	0.0000000285
1	5913893	7247334	429	40	-0.0000269015	0.0000000197
1	7247335	9365198	697	40	-0.0001072426	0.0000000287
1	9365199	10806983	353	40	-0.0000185768	0.0000000169
1	10806984	11777840	257	40	0.0001012664	0.0000000161
1	11777841	12779465	281	40	0.0000387248	0.0000000184
1	12779466	14891510	617	40	0.0000964620	0.0000000258
1	14891511	16897729	686	40	-0.0001997756	0.0000000275
1	16897730	18662898	654	40	0.0001338468	0.0000000277
1	18662899	20469148	707	40	-0.0000551375	0.0000000284
1	20469149	21736587	460	40	-0.0001487639	0.0000000185
1	21736588	23086882	522	40	0.0000315582	0.0000000246
1	23086883	23920589	222	28	0.0000528902	0.0000000110
1	23920590	25516844	520	40	-0.0000255540	0.0000000242
1	25516845	27401866	413	40	0.0001019385	0.0000000230
1	27401867	30161880	550	40	0.0001493537	0.0000000206
1	30161881	32438684	933	40	0.0000791405	0.0000000279
1	32438685	34799757	675	40	-0.0000080177	0.0000000257
1	34799758	37549182	547	40	0.0000293324	0.0000000241
1	37549183	38731846	373	40	-0.0001449586	0.0000000154
1	38731847	40200566	446	40	-0.0000059724	0.0000000182
1	40200567	41975326	553	40	0.0000361905	0.0000000208
1	41975327	43758456	543	40	0.0000627027	0.0000000211
1	43758457	44969182	371	35	-0.0002339509	0.0000000157
1	44969183	46899500	457	38	-0.0001185831	0.0000000194
1	46899501	48002575	296	33	-0.0000293056	0.0000000137
1	48002576	48978187	344	40	0.0000646391	0.0000000182
1	48978188	49894176	247	28	0.0000189779	0.0000000142
1	49894177	51713725	260	25	0.0001193637	0.0000000113
1	51713726	54226261	562	40	-0.0000145354	0.0000000265
1	54226262	56413116	834	40	-0.0001517898	0.0000000247
1	56413117	57021727	270	31	0.0000605607	0.0000000108
1	57021728	58865398	845	40	0.0001271056	0.0000000291
1	58865399	59890408	382	40	0.0000327025	0.0000000173
1	59890409	61922364	670	40	-0.0000666225	0.0000000251
1	61922365	63455088	532	40	-0.0002111032	0.0000000239
1	63455089	65041703	658	40	0.0000831718	0.0000000220
1	65041704	66939403	649	40	0.0002729779	0.0000000256
1	66939404	68477894	686	40	0.0000359157	0.0000000268
1	68477895	69687615	386	40	0.0000378598	0.0000000179
1	69687616	71372469	517	40	0.0000486280	0.0000000177
1	71372470	71684404	82	10	0.0000470302	0.0000000033
1	71684405	74326906	558	40	-0.0000823111	0.0000000169
1	74326907	76728134	726	40	0.0000341108	0.0000000218
1	76728135	79661197	946	40	0.0001107484	0.0000000260
1	79661198	81354190	475	40	-0.0002854975	0.0000000212
1	81354191	83991747	971	40	-0.0000168281	0.0000000264
1	83991748	84844494	312	34	-0.0000238509	0.0000000106
1	84844495	86454750	650	40	-0.0000593948	0.0000000279
1	86454751	88128630	566	40	0.0000115167	0.0000000230
1	88128631	90066302	522	40	-0.0001229665	0.0000000184
1	90066303	91886316	557	40	0.0000175127	0.0000000246
1	91886317	93536458	507	40	0.0000139826	0.0000000163
1	93536459	94506190	255	26	-0.0001722644	0.0000000128
1	94506191	96150892	649	40	0.0000639437	0.0000000242
1	96150893	97885248	602	40	0.0001241497	0.0000000223
1	97885249	99800603	638	40	0.0000342302	0.0000000217
1	99800604	100826404	339	37	0.0002412211	0.0000000135
1	100826405	102041015	445	40	0.0002497506	0.0000000178
1	102041016	102898744	276	36	0.0000759358	0.0000000130
1	102898745	103914210	201	21	0.0001437767	0.0000000092
1	103914211	106087841	454	40	0.0000172484	0.0000000204
1	106087842	108409664	726	40	0.0000455378	0.0000000249
1	108409665	110303930	565	40	0.0001058786	0.0000000219
1	110303931	111741736	566	40	-0.0000681269	0.0000000252
1	111741737	113273305	720	40	0.0000531690	0.0000000293
1	113273306	114873844	511	40	0.0000759046	0.0000000204
1	114873845	115880592	345	37	0.0000647498	0.0000000124
1	115880593	118839066	834	40	-0.0000183541	0.0000000274
1	118839067	144977493	566	40	0.0001533870	0.0000000246
1	144977494	148361252	431	40	-0.0002086892	0.0000000390
1	148361253	151538880	349	34	0.0000707642	0.0000000212
1	151538881	153180828	468	40	0.0000711883	0.0000000169
1	153180829	154770402	454	40	-0.0000630124	0.0000000174
1	154770403	156336132	306	38	-0.0002382626	0.0000000316
1	156336133	158027411	596	40	-0.0000879336	0.0000000274
1	158027412	159913047	680	40	0.0001227700	0.0000000292
1	159913048	162346720	872	40	0.0000491874	0.0000000294
1	162346721	165191701	1190	40	0.0000928974	0.0000000319
1	165191702	166460516	531	40	-0.0000307195	0.0000000256
1	166460517	169086323	1102	40	-0.0000041973	0.0000000288
1	169086324	170557775	557	40	-0.0000746932	0.0000000174
1	170557776	173097906	898	40	0.0000040266	0.0000000300
1	173097907	175089767	411	32	-0.0001206010	0.0000000135
1	175089768	177433380	784	40	0.0000855322	0.0000000269
1	177433381	178944308	492	40	0.0000715382	0.0000000174
1	178944309	178954469	2	1	-0.0000221249	0.0000000016
1	178954470	181144120	749	40	0.0000894194	0.0000000270
1	181144121	182755355	599	40	0.0000810862	0.0000000240
1	182755356	184595512	629	40	0.0001146800	0.0000000235
1	184595513	186810022	523	40	0.0000577465	0.0000000252
1	186810023	188759944	618	40	-0.0001124795	0.0000000217
1	188759945	189904129	218	17	-0.0000221720	0.0000000069
1	189904130	191868929	538	40	0.0001388881	0.0000000194
1	191868930	194107441	583	40	-0.0000343677	0.0000000206
1	194107442	196176200	580	40	0.0000438928	0.0000000212
1	196176201	197311513	196	16	0.0000649612	0.0000000072
1	197311514	199239883	504	40	-0.0002324592	0.0000000190
1	199239884	200137648	301	36	-0.0001788977	0.0000000182
1	200137649	201589974	708	40	0.0001323183	0.0000000310
1	201589975	203334733	611	40	-0.0000225141	0.0000000298
1	203334734	204681067	485	40	-0.0001000698	0.0000000187
1	204681068	206073264	577	40	0.0001581778	0.0000000264
1	206073265	208410363	631	40	-0.0000469712	0.0000000260
1	208410364	210787749	922	40	0.0000990575	0.0000000267
1	210787750	212842329	697	40	0.0000546711	0.0000000268
1	212842330	214578265	608	40	0.0000755493	0.0000000256
1	214578266	216243633	591	40	0.0000851691	0.0000000215
1	216243634	218705512	1080	40	0.0000230490	0.0000000279
1	218705513	219590570	281	34	0.0001773658	0.0000000113
1	219590571	221858230	690	40	0.0001802653	0.0000000284
1	221858231	222230219	174	21	-0.0000602719	0.0000000111
1	222230220	224938519	458	40	0.0000657281	0.0000000179
1	224938520	226810859	518	40	-0.0001587449	0.0000000230
1	226810860	229156247	694	40	-0.0002459457	0.0000000281
1	229156248	230685254	528	40	-0.0000748678	0.0000000250
1	230685255	232090251	589	40	0.0001598568	0.0000000281
1	232090252	233429283	605	40	-0.0000253794	0.0000000275
1	233429284	234599433	535	40	0.0000760339	0.0000000225
1	234599434	235819435	383	40	0.0000033782	0.0000000251
1	235819436	237555627	721	40	0.0001692888	0.0000000304
1	237555628	238567806	427	40	-0.0001162732	0.0000000211
1	238567807	239925313	489	40	0.0000313872	0.0000000197
