chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	87	18	-0.0001639746	0.0000000183
1	1892607	3582735	385	40	0.0003457541	0.0000000578
1	3582736	4380810	253	40	0.0001090212	0.0000000422
1	4380811	5913892	880	40	-0.0000902551	0.0000000709
1	5913893	7247334	370	40	0.0001977196	0.0000000487
1	7247335	9365198	669	40	0.0000635736	0.0000000733
1	9365199	10806983	314	40	-0.0005022654	0.0000000398
1	10806984	11777840	237	40	-0.0000856374	0.0000000351
1	11777841	12779465	201	40	0.0000385042	0.0000000288
1	12779466	14891510	589	40	0.0001189830	0.0000000767
1	14891511	16897729	625	40	0.0000335805	0.0000000698
1	16897730	18662898	588	40	0.0002892406	0.0000000715
1	18662899	20469148	671	40	0.0000114826	0.0000000738
1	20469149	21736587	404	40	0.0000101019	0.0000000449
1	21736588	23086882	462	40	0.0001836399	0.0000000872
1	23086883	23920589	191	26	0.0000501740	0.0000000230
1	23920590	25516844	466	40	-0.0000637040	0.0000000583
1	25516845	27401866	318	40	-0.0001964655	0.0000000419
1	27401867	30161880	502	40	-0.0002690627	0.0000000561
1	30161881	32438684	904	40	-0.0000094298	0.0000000760
1	32438685	34799757	634	40	-0.0002092986	0.0000000789
1	34799758	37549182	542	40	-0.0001510526	0.0000000624
1	37549183	38731846	337	40	0.0004173030	0.0000000407
1	38731847	40200566	398	40	0.0003354091	0.0000000517
1	40200567	41975326	510	40	0.0001298471	0.0000000597
1	41975327	43758456	510	40	-0.0000856725	0.0000000573
1	43758457	44969182	319	34	-0.0001095722	0.0000000339
1	44969183	46899500	380	37	-0.0000186657	0.0000000339
1	46899501	48002575	272	32	0.0000228514	0.0000000291
1	48002576	48978187	344	40	-0.0000476669	0.0000000416
1	48978188	49894176	234	28	-0.0000985233	0.0000000287
1	49894177	51713725	247	25	-0.0001748434	0.0000000231
1	51713726	54226261	509	40	0.0000205524	0.0000000597
1	54226262	56413116	770	40	-0.0002942498	0.0000000729
1	56413117	57021727	258	31	0.0001847006	0.0000000295
1	57021728	58865398	856	40	0.0000796079	0.0000000730
1	58865399	59890408	379	40	-0.0002145038	0.0000000420
1	59890409	61922364	652	40	0.0000360986	0.0000000710
1	61922365	63455088	456	40	-0.0000999347	0.0000000526
1	63455089	65041703	648	40	0.0000636489	0.0000000602
1	65041704	66939403	619	40	0.0002602441	0.0000000622
1	66939404	68477894	653	40	-0.0000098187	0.0000000622
1	68477895	69687615	379	40	-0.0002740215	0.0000000793
1	69687616	71372469	523	40	0.0001402991	0.0000000511
1	71372470	71684404	81	10	-0.0000079667	0.0000000096
1	71684405	74326906	525	40	0.0001338517	0.0000000460
1	74326907	76728134	672	40	-0.0000012101	0.0000000598
1	76728135	79661197	912	40	0.0000926722	0.0000000714
1	79661198	81354190	487	40	0.0000465831	0.0000000513
1	81354191	83991747	975	40	0.0000594184	0.0000000748
1	83991748	84844494	318	35	0.0000984551	0.0000000350
1	84844495	86454750	615	40	0.0001816041	0.0000000663
1	86454751	88128630	549	40	0.0000143547	0.0000000674
1	88128631	90066302	501	40	-0.0004733284	0.0000000594
1	90066303	91886316	559	40	0.0005204001	0.0000000695
1	91886317	93536458	472	40	0.0000256176	0.0000000504
1	93536459	94506190	233	26	-0.0002849679	0.0000000253
1	94506191	96150892	648	40	-0.0002074580	0.0000000730
1	96150893	97885248	607	40	-0.0001864830	0.0000000499
1	97885249	99800603	639	40	0.0001642790	0.0000000603
1	99800604	100826404	308	36	0.0000550874	0.0000000334
1	100826405	102041015	438	40	-0.0000712533	0.0000000512
1	102041016	102898744	283	37	-0.0001542096	0.0000000282
1	102898745	103914210	190	21	-0.0000827158	0.0000000238
1	103914211	106087841	472	40	0.0000707831	0.0000000514
1	106087842	108409664	728	40	0.0001279041	0.0000000769
1	108409665	110303930	423	40	-0.0000122712	0.0000000498
1	110303931	111741736	549	40	-0.0000266062	0.0000000672
1	111741737	113273305	654	40	-0.0002094840	0.0000000696
1	113273306	114873844	489	40	0.0001579778	0.0000000520
1	114873845	115880592	316	36	-0.0000597637	0.0000000380
1	115880593	118839066	807	40	0.0001775591	0.0000000711
1	118839067	144977493	494	40	-0.0000552592	0.0000000535
1	144977494	148361252	397	40	-0.0000772709	0.0000000435
1	148361253	151538880	260	28	-0.0000981652	0.0000000296
1	151538881	153180828	448	40	-0.0002193470	0.0000000482
1	153180829	154770402	393	40	0.0001377462	0.0000000427
1	154770403	156336132	230	34	-0.0000976060	0.0000000316
1	156336133	158027411	525	40	-0.0000370167	0.0000000599
1	158027412	159913047	601	40	0.0002150402	0.0000000803
1	159913048	162346720	681	40	0.0001177063	0.0000000720
1	162346721	165191701	1193	40	0.0001575399	0.0000000719
1	165191702	166460516	539	40	0.0000683367	0.0000000631
1	166460517	169086323	1091	40	-0.0000123484	0.0000000688
1	169086324	170557775	457	40	0.0001144873	0.0000000460
1	170557776	173097906	816	40	-0.0004193122	0.0000000773
1	173097907	175089767	408	31	0.0001824010	0.0000000343
1	175089768	177433380	790	40	0.0001143042	0.0000000751
1	177433381	178944308	446	40	-0.0001612761	0.0000000432
1	178944309	178954469	2	1	-0.0000382748	0.0000000010
1	178954470	181144120	702	40	-0.0000389478	0.0000000707
1	181144121	182755355	614	40	0.0001161291	0.0000000644
1	182755356	184595512	594	40	0.0001539674	0.0000000584
1	184595513	186810022	503	40	-0.0002547788	0.0000000473
1	186810023	188759944	659	40	-0.0000788144	0.0000000589
1	188759945	189904129	244	19	0.0001589719	0.0000000219
1	189904130	191868929	565	40	-0.0001249934	0.0000000503
1	191868930	194107441	606	40	-0.0001580493	0.0000000589
1	194107442	196176200	607	40	0.0000307377	0.0000000519
1	196176201	197311513	169	14	-0.0002151700	0.0000000211
1	197311514	199239883	518	40	-0.0003130864	0.0000000544
1	199239884	200137648	326	37	-0.0001203121	0.0000000367
1	200137649	201589974	625	40	0.0000231159	0.0000000717
1	201589975	203334733	554	40	-0.0002282351	0.0000000665
1	203334734	204681067	427	40	-0.0000928060	0.0000000540
1	204681068	206073264	495	40	-0.0000950667	0.0000000630
1	206073265	208410363	565	40	0.0000595864	0.0000000722
1	208410364	210787749	937	40	0.0001339377	0.0000000755
1	210787750	212842329	685	40	0.0001440972	0.0000000772
1	212842330	214578265	572	40	-0.0001777228	0.0000000707
1	214578266	216243633	598	40	0.0000554355	0.0000000581
1	216243634	218705512	1094	40	0.0001915899	0.0000000702
1	218705513	219590570	295	34	0.0002372308	0.0000000324
1	219590571	221858230	667	40	0.0000717354	0.0000000697
1	221858231	222230219	178	21	-0.0000460109	0.0000000216
1	222230220	224938519	526	40	-0.0000126128	0.0000000559
1	224938520	226810859	479	40	-0.0000589314	0.0000000526
1	226810860	229156247	665	40	0.0001803122	0.0000000641
1	229156248	230685254	499	40	0.0000302782	0.0000000617
1	230685255	232090251	551	40	0.0000684341	0.0000000623
1	232090252	233429283	600	40	0.0002949548	0.0000000729
1	233429284	234599433	549	40	-0.0001086246	0.0000000622
1	234599434	235819435	366	40	-0.0002342588	0.0000000438
1	235819436	237555627	686	40	0.0001501423	0.0000000764
1	237555628	238567806	406	40	0.0001684154	0.0000000525
1	238567807	239925313	505	40	-0.0000135845	0.0000000565
1	239925314	240564090	346	40	-0.0000041560	0.0000000426
1	240564091	241582219	522	40	0.0000356356	0.0000000702
1	241582220	242071601	202	37	-0.0000719249	0.0000000332
1	242071602	244109498	650	40	-0.0001233756	0.0000000717
1	244109499	245506745	514	40	-0.0000362293	0.0000000671
1	245506746	247344517	730	40	0.0000104685	0.0000000703
1	247344518	249239465	359	40	0.0000927652	0.0000000500
2	10133	1781021	603	40	-0.0000908155	0.0000000674
2	1781022	3973778	947	40	0.0002296054	0.0000000708
2	3973779	5708336	635	40	-0.0003077430	0.0000000771
2	5708337	6836253	570	40	0.0001247996	0.0000000620
2	6836254	8422146	649	40	-0.0000852944	0.0000000734
2	8422147	10298468	627	40	0.0000757939	0.0000000713
2	10298469	12419149	925	40	-0.0000422080	0.0000000744
2	12419150	14335307	590	40	-0.0000229828	0.0000000711
2	14335308	16329734	726	40	-0.0003431635	0.0000000752
2	16329735	18647422	847	40	0.0001628083	0.0000000743
2	18647423	19692403	383	40	-0.0000923118	0.0000000468
2	19692404	21050489	602	40	0.0001395331	0.0000000743
2	21050490	23341382	563	40	0.0004728953	0.0000000660
2	23341383	24686917	408	40	-0.0001457518	0.0000000515
2	24686918	26894984	474	40	-0.0000217634	0.0000000594
2	26894985	28598776	248	26	0.0000858470	0.0000000300
2	28598777	29217558	208	29	-0.0001186296	0.0000000289
2	29217559	30463710	604	40	-0.0001221468	0.0000000772
2	30463711	31550449	493	40	-0.0000187207	0.0000000623
2	31550450	33363776	460	40	-0.0001063480	0.0000000649
2	33363777	35345027	791	40	-0.0000103897	0.0000000778
2	35345028	36122005	291	30	0.0001876228	0.0000000335
2	36122006	38132711	903	40	0.0000754526	0.0000000735
2	38132712	39031336	316	38	0.0001258664	0.0000000519
2	39031337	40281482	292	31	-0.0003000934	0.0000000416
2	40281483	43309589	1250	40	0.0003603988	0.0000000746
2	43309590	44313802	265	39	-0.0000245423	0.0000000457
2	44313803	46482633	1037	40	0.0000219779	0.0000000724
2	46482634	47318771	385	40	-0.0001339719	0.0000000565
2	47318772	48213000	279	40	-0.0000845103	0.0000000415
2	48213001	50022256	684	40	-0.0000466489	0.0000000699
2	50022257	50818927	328	34	0.0001980769	0.0000000431
2	50818928	52491132	642	40	0.0001409501	0.0000000745
2	52491133	53508451	472	40	0.0001318037	0.0000000561
2	53508452	54685225	414	40	-0.0002214567	0.0000000580
2	54685226	56203344	553	40	-0.0001705614	0.0000000749
2	56203345	57429099	425	40	-0.0001305877	0.0000000540
2	57429100	58297314	276	29	-0.0002035841	0.0000000372
2	58297315	60291999	736	40	-0.0000380428	0.0000000714
2	60292000	62429043	547	40	-0.0002847834	0.0000000726
2	62429044	64625912	553	40	0.0001120076	0.0000000661
2	64625913	65933443	441	40	-0.0000562152	0.0000000528
2	65933444	67226165	539	40	-0.0001161117	0.0000000633
2	67226166	68010175	406	40	0.0000994817	0.0000000443
2	68010176	69139563	454	40	-0.0000005466	0.0000000589
2	69139564	70755197	485	40	-0.0000613074	0.0000000559
2	70755198	73174847	733	40	0.0001871592	0.0000000755
2	73174848	75630085	660	40	-0.0000046329	0.0000000761
2	75630086	76913660	508	40	0.0001435660	0.0000000603
2	76913661	78079263	394	40	-0.0003742441	0.0000000568
2	78079264	80050402	817	40	-0.0001921674	0.0000000743
2	80050403	81620840	570	40	0.0002734734	0.0000000779
2	81620841	85140679	879	40	0.0000790254	0.0000000623
2	85140680	88038506	547	40	-0.0001479291	0.0000000579
2	88038507	89154525	226	30	-0.0001913616	0.0000000295
2	89154526	95326451	0	0	0.0000000000	0.0000000000
2	95326452	98995200	370	37	-0.0002387406	0.0000000408
2	98995201	101822328	831	40	0.0001504839	0.0000000733
2	101822329	102688764	240	30	0.0000260993	0.0000000240
2	102688765	103588214	364	35	-0.0000909814	0.0000000385
2	103588215	105125033	308	40	0.0001706859	0.0000000327
2	105125034	106210057	402	40	0.0000655077	0.0000000444
2	106210058	107408266	445	40	-0.0003314975	0.0000000475
2	107408267	108429176	352	40	0.0001793059	0.0000000333
2	108429177	110572431	507	40	0.0001499739	0.0000000542
2	110572432	113921855	715	40	0.0000845735	0.0000000724
2	113921856	116772469	752	40	-0.0001356248	0.0000000738
2	116772470	118367465	406	38	-0.0000560165	0.0000000380
2	118367466	121303782	947	40	-0.0001155942	0.0000000822
2	121303783	123302905	575	40	0.0000518785	0.0000000677
2	123302906	124732249	431	40	0.0000319795	0.0000000431
2	124732250	125840920	388	40	0.0000359285	0.0000000454
2	125840921	127373763	415	37	0.0000246716	0.0000000375
2	127373764	128034346	269	40	-0.0000546879	0.0000000294
2	128034347	129474440	381	40	0.0001608321	0.0000000483
2	129474441	130067169	231	27	-0.0002323345	0.0000000277
2	130067170	130658084	206	26	0.0001025680	0.0000000218
2	130658085	133042783	218	35	-0.0000405586	0.0000000275
2	133042784	135158577	905	40	0.0001592516	0.0000000721
2	135158578	137042793	409	39	-0.0002177524	0.0000000412
2	137042794	138698116	599	40	0.0001303313	0.0000000626
2	138698117	140100270	436	40	-0.0001639233	0.0000000343
2	140100271	141805350	554	40	0.0002298413	0.0000000639
2	141805351	142518601	301	33	0.0000720951	0.0000000396
2	142518602	144519483	644	40	0.0000821736	0.0000000688
2	144519484	146445569	440	40	0.0002437149	0.0000000601
2	146445570	147277161	150	15	0.0000535111	0.0000000140
2	147277162	150210291	658	40	-0.0000402420	0.0000000657
2	150210292	151731461	470	40	0.0001468112	0.0000000496
2	151731462	152486781	261	28	0.0000263146	0.0000000293
2	152486782	154005055	469	40	0.0001292178	0.0000000517
2	154005056	155391134	486	40	-0.0002589144	0.0000000548
2	155391135	157560634	561	40	0.0003214619	0.0000000623
2	157560635	158533217	157	25	-0.0001245320	0.0000000258
2	158533218	159577081	330	39	-0.0000213341	0.0000000391
2	159577082	161769732	661	40	0.0001543635	0.0000000669
2	161769733	163503550	379	36	-0.0001887771	0.0000000358
2	163503551	164466637	199	24	-0.0000140308	0.0000000220
2	164466638	165178839	170	21	0.0000686944	0.0000000250
2	165178840	167160269	570	40	0.0002920036	0.0000000730
2	167160270	167355969	61	9	-0.0000268223	0.0000000103
2	167355970	169968235	787	40	-0.0001996344	0.0000000783
2	169968236	171226244	440	40	-0.0000539441	0.0000000492
2	171226245	173138904	545	40	-0.0000221223	0.0000000641
2	173138905	175588928	788	40	-0.0001247059	0.0000000753
2	175588929	177363635	518	40	-0.0000524903	0.0000000570
2	177363636	178553182	445	40	-0.0000153071	0.0000000487
2	178553183	181312738	897	40	0.0001159862	0.0000000719
2	181312739	182266030	307	32	0.0000078521	0.0000000331
2	182266031	184357607	585	40	-0.0000846303	0.0000000681
2	184357608	185280172	236	25	0.0001817451	0.0000000261
2	185280173	189882064	919	40	-0.0000961133	0.0000000730
2	189882065	191973356	457	40	-0.0001166582	0.0000000511
2	191973357	195861163	701	40	-0.0002564136	0.0000000742
2	195861164	196447455	156	21	-0.0001283546	0.0000000180
2	196447456	198078109	406	40	0.0004282782	0.0000000409
2	198078110	199311124	298	26	0.0000845032	0.0000000303
2	199311125	201576283	611	40	0.0000981949	0.0000000655
2	201576284	202818636	266	35	0.0000973982	0.0000000380
2	202818637	205799240	647	40	0.0000088679	0.0000000726
2	205799241	206735703	393	40	-0.0000147948	0.0000000535
2	206735704	208645398	612	40	0.0000586907	0.0000000762
2	208645399	209941528	316	40	0.0000770626	0.0000000361
2	209941529	212379517	704	40	0.0001712388	0.0000000748
2	212379518	214014281	626	40	0.0001392868	0.0000000714
2	214014282	215573794	439	40	-0.0000048129	0.0000000493
2	215573795	217715660	769	40	0.0003215530	0.0000000749
2	217715661	218395479	281	36	0.0002264444	0.0000000394
2	218395480	220454550	476	40	0.0000914623	0.0000000503
2	220454551	222521175	858	40	-0.0001937696	0.0000000741
2	222521176	224859418	761	40	-0.0001148564	0.0000000724
2	224859419	225840003	333	36	-0.0000797603	0.0000000387
2	225840004	228119841	683	40	0.0004345518	0.0000000635
2	228119842	229370786	431	40	0.0000743405	0.0000000451
2	229370787	231843388	879	40	-0.0000038166	0.0000000735
2	231843389	233550002	441	40	-0.0000308864	0.0000000537
2	233550003	235150986	682	40	-0.0001266389	0.0000000726
2	235150987	236043549	420	40	0.0000365766	0.0000000521
2	236043550	237449031	455	40	0.0000287037	0.0000000523
2	237449032	238760980	498	40	0.0000694468	0.0000000626
2	238760981	239952642	410	40	0.0001401158	0.0000000501
2	239952643	241560083	639	40	0.0000381504	0.0000000765
2	241560084	242149920	181	29	-0.0000508197	0.0000000228
2	242149921	243188919	113	16	-0.0001023295	0.0000000198
3	60157	1441778	606	40	0.0003308562	0.0000000747
3	1441779	2992119	910	40	-0.0000580005	0.0000000761
3	2992120	4431646	741	40	-0.0001989363	0.0000000778
3	4431647	6083182	779	40	-0.0000661489	0.0000000704
3	6083183	7083386	433	40	0.0001951518	0.0000000556
3	7083387	8648560	865	40	-0.0005470621	0.0000000837
3	8648561	9543182	458	40	-0.0001256192	0.0000000557
3	9543183	11019664	548	40	0.0003237422	0.0000000723
3	11019665	13070798	667	40	-0.0001328530	0.0000000883
3	13070799	14816899	747	40	0.0000032517	0.0000000779
3	14816900	16282441	439	40	0.0003446737	0.0000000445
3	16282442	17891117	481	40	-0.0001276928	0.0000000514
3	17891118	19125143	344	40	-0.0000712689	0.0000000389
3	19125144	20091347	186	24	0.0001724657	0.0000000345
3	20091348	21643706	631	40	0.0001618475	0.0000000763
3	21643707	22204243	395	40	-0.0001139587	0.0000000507
3	22204244	23804864	543	40	-0.0000550274	0.0000000643
3	23804865	25461557	745	40	-0.0001756184	0.0000000729
3	25461558	26877768	462	40	0.0003302164	0.0000000537
3	26877769	27840909	250	31	0.0002814968	0.0000000332
3	27840910	29142259	447	40	-0.0000522586	0.0000000606
3	29142260	30717954	671	40	0.0001665091	0.0000000788
3	30717955	32351714	639	40	0.0001602149	0.0000000746
3	32351715	33255591	264	40	0.0000993433	0.0000000427
3	33255592	35283457	581	40	0.0001045857	0.0000000594
3	35283458	36486841	407	40	-0.0000247575	0.0000000486
3	36486842	38356115	541	40	-0.0002722723	0.0000000600
3	38356116	40221297	542	40	-0.0003084279	0.0000000591
3	40221298	41064527	142	16	-0.0000863937	0.0000000218
3	41064528	42540001	429	40	0.0002464788	0.0000000683
3	42540002	45165152	637	40	-0.0001974953	0.0000000636
3	45165153	46657499	505	40	0.0000917613	0.0000000581
3	46657500	47727211	129	15	0.0001075648	0.0000000190
3	47727212	49316971	182	12	-0.0000537775	0.0000000188
3	49316972	51832014	372	22	0.0000607841	0.0000000369
3	51832015	54081389	442	40	-0.0001790625	0.0000000514
3	54081390	55348859	648	40	0.0001055368	0.0000000784
3	55348860	56433906	372	40	-0.0001793705	0.0000000478
3	56433907	58157518	477	40	0.0002013278	0.0000000526
3	58157519	60272905	962	40	-0.0000989195	0.0000000730
3	60272906	62355665	997	40	0.0000804559	0.0000000734
3	62355666	63669285	657	40	-0.0000173304	0.0000000694
3	63669286	65273537	738	40	0.0001145238	0.0000000747
3	65273538	66270446	345	40	0.0001349299	0.0000000477
3	66270447	68286913	641	40	0.0000289423	0.0000000737
3	68286914	69276761	356	40	0.0001550366	0.0000000484
3	69276762	70449027	398	40	-0.0002706969	0.0000000498
3	70449028	72529328	784	40	-0.0002502642	0.0000000732
3	72529329	74321816	705	40	0.0001363031	0.0000000762
3	74321817	75704948	268	31	-0.0000216168	0.0000000345
3	75704949	77508834	507	40	-0.0002061341	0.0000000561
3	77508835	79024540	403	40	-0.0001699412	0.0000000507
3	79024541	81427309	496	40	0.0000798502	0.0000000473
3	81427310	82643885	295	27	0.0000970113	0.0000000301
3	82643886	84367478	327	32	-0.0000147783	0.0000000299
3	84367479	85582230	261	22	0.0000125108	0.0000000256
3	85582231	87409731	429	39	-0.0000151986	0.0000000400
3	87409732	88298372	176	19	0.0002606710	0.0000000238
3	88298373	94255315	448	40	0.0000673642	0.0000000484
3	94255316	95311970	221	18	0.0000146813	0.0000000196
3	95311971	98215949	558	40	-0.0000365544	0.0000000522
3	98215950	99373761	313	38	0.0001159902	0.0000000396
3	99373762	100592216	312	28	-0.0000694199	0.0000000308
3	100592217	103084959	630	40	-0.0000604630	0.0000000646
3	103084960	104581612	429	40	0.0001107707	0.0000000458
3	104581613	106982810	719	40	-0.0001132190	0.0000000699
3	106982811	109522394	708	40	0.0000619858	0.0000000737
3	109522395	110513769	255	25	-0.0001834005	0.0000000239
3	110513770	112815698	648	40	-0.0003582094	0.0000000645
3	112815699	113947862	321	40	0.0003023198	0.0000000404
3	113947863	115447079	399	40	-0.0000889368	0.0000000534
3	115447080	116800152	537	40	0.0000184187	0.0000000604
3	116800153	118530250	590	40	0.0001525240	0.0000000647
3	118530251	120523054	626	40	-0.0001796727	0.0000000651
3	120523055	121974096	345	36	0.0001273388	0.0000000332
3	121974097	123517767	432	40	0.0001189944	0.0000000539
3	123517768	124936641	562	40	-0.0001473291	0.0000000639
3	124936642	126214942	353	40	-0.0000553313	0.0000000408
3	126214943	128194860	635	40	0.0000012301	0.0000000649
3	128194861	130244734	383	40	-0.0000518723	0.0000000423
3	130244735	131836515	513	40	-0.0000210404	0.0000000527
3	131836516	133252172	490	40	-0.0001591008	0.0000000459
3	133252173	135456905	825	40	0.0002660769	0.0000000783
3	135456906	137371082	421	38	-0.0000279803	0.0000000417
3	137371083	139954596	775	40	-0.0001106551	0.0000000721
3	139954597	141339096	455	40	-0.0000182741	0.0000000550
3	141339097	143164627	600	40	0.0001516496	0.0000000687
3	143164628	144410815	389	40	0.0000623684	0.0000000473
3	144410816	145664618	362	40	0.0000068935	0.0000000359
3	145664619	146726628	315	40	0.0002306895	0.0000000365
3	146726629	149043236	675	40	0.0000855245	0.0000000718
3	149043237	150252003	414	40	-0.0001943216	0.0000000517
3	150252004	151348729	329	40	0.0000895835	0.0000000385
3	151348730	153256570	556	40	0.0003350743	0.0000000651
3	153256571	154714217	406	40	0.0000015816	0.0000000403
3	154714218	156008699	324	40	-0.0002412858	0.0000000383
3	156008700	157312027	426	40	0.0001212606	0.0000000524
3	157312028	159477889	631	40	-0.0000406063	0.0000000554
3	159477890	161524503	557	40	-0.0000448820	0.0000000506
3	161524504	163253204	493	40	0.0000125290	0.0000000443
3	163253205	165055468	430	36	-0.0002298327	0.0000000444
3	165055469	167117428	456	40	0.0000976353	0.0000000484
3	167117429	168580959	357	40	0.0000787710	0.0000000350
3	168580960	170964908	627	40	-0.0002118413	0.0000000788
3	170964909	172295730	489	40	0.0003889397	0.0000000645
3	172295731	173477284	379	40	-0.0000183758	0.0000000504
3	173477285	175116538	604	40	0.0000802925	0.0000000723
3	175116539	176320286	348	40	-0.0001812892	0.0000000403
3	176320287	178107164	551	40	0.0002244770	0.0000000642
3	178107165	179374585	373	40	0.0000213608	0.0000000421
3	179374586	181511165	452	40	0.0004427618	0.0000000554
3	181511166	183769682	606	40	-0.0001165847	0.0000000674
3	183769683	185068254	348	40	0.0000196008	0.0000000468
3	185068255	186890343	550	40	-0.0001053535	0.0000000761
3	186890344	188856213	774	40	-0.0001937541	0.0000000725
3	188856214	190226606	601	40	-0.0001025071	0.0000000698
3	190226607	192343813	746	40	0.0001497871	0.0000000729
3	192343814	194059670	526	40	-0.0001041843	0.0000000628
3	194059671	194786673	269	40	-0.0001652331	0.0000000344
3	194786674	195971407	207	35	-0.0001992269	0.0000000314
3	195971408	197075986	267	40	-0.0000185691	0.0000000374
3	197075987	197946621	173	28	-0.0001345205	0.0000000212
4	10240	694714	87	12	-0.0000822885	0.0000000161
4	694715	1478710	178	23	0.0001091905	0.0000000285
4	1478711	2842978	241	40	0.0002243452	0.0000000343
4	2842979	3846039	219	35	0.0001488279	0.0000000269
4	3846040	4684115	228	36	0.0000110250	0.0000000284
4	4684116	5502387	386	40	-0.0000513182	0.0000000505
4	5502388	6773042	598	40	-0.0000291613	0.0000000736
4	6773043	7539691	404	40	0.0001492869	0.0000000570
4	7539692	8152234	313	40	0.0000404696	0.0000000485
4	8152235	9326478	218	38	-0.0001919644	0.0000000325
4	9326479	10699151	491	37	-0.0001073142	0.0000000462
4	10699152	12323033	661	40	0.0001250231	0.0000000707
4	12323034	14272000	712	40	0.0000620263	0.0000000806
4	14272001	15147445	377	40	-0.0000257910	0.0000000505
4	15147446	15927008	242	33	0.0002673497	0.0000000285
4	15927009	17383321	656	40	-0.0002280850	0.0000000713
4	17383322	18841873	399	40	0.0002101349	0.0000000465
4	18841874	20544556	478	40	0.0000899974	0.0000000446
4	20544557	22319346	665	40	0.0000386465	0.0000000720
4	22319347	24135528	602	40	0.0000474015	0.0000000687
4	24135529	25609321	575	40	0.0001487381	0.0000000686
4	25609322	27343721	539	40	0.0001846557	0.0000000703
4	27343722	27965867	206	28	0.0000528876	0.0000000280
4	27965868	29762207	540	40	0.0001102755	0.0000000569
4	29762208	30454534	159	24	0.0003820970	0.0000000289
4	30454535	31782980	416	40	-0.0001299390	0.0000000485
4	31782981	33172765	332	37	0.0000859266	0.0000000413
4	33172766	35151414	373	33	-0.0001908225	0.0000000362
4	35151415	36020435	274	34	0.0001694016	0.0000000326
4	36020436	37255046	431	40	0.0001196734	0.0000000456
4	37255047	38907021	756	40	0.0002207740	0.0000000758
4	38907022	40202608	339	40	-0.0000297873	0.0000000423
4	40202609	42213057	666	40	0.0001032865	0.0000000737
4	42213058	43965044	529	40	0.0000080041	0.0000000599
4	43965045	45189156	319	37	-0.0000568021	0.0000000331
4	45189157	47411895	454	40	-0.0001013517	0.0000000439
4	47411896	48123599	194	24	0.0001501500	0.0000000231
4	48123600	53877432	453	39	0.0003281422	0.0000000499
4	53877433	55429555	507	40	-0.0002402541	0.0000000566
4	55429556	56547643	356	40	0.0001602170	0.0000000432
4	56547644	58935007	844	40	-0.0001353550	0.0000000715
4	58935008	60741086	465	40	0.0002486165	0.0000000533
4	60741087	62371762	437	40	0.0001879378	0.0000000503
4	62371763	64341000	436	40	-0.0000421052	0.0000000474
4	64341001	66600491	522	40	-0.0001953005	0.0000000509
4	66600492	68059496	401	40	0.0001862676	0.0000000423
4	68059497	68854764	226	31	0.0000838858	0.0000000237
4	68854765	71049151	509	40	-0.0001499383	0.0000000407
4	71049152	72140557	210	27	0.0000578671	0.0000000231
4	72140558	74592389	472	40	0.0004645090	0.0000000577
4	74592390	77130706	681	40	0.0000655455	0.0000000706
4	77130707	79093978	723	40	0.0000930949	0.0000000760
4	79093979	80990296	534	40	0.0001132631	0.0000000512
4	80990297	82125314	234	29	-0.0000559596	0.0000000271
4	82125315	83372592	382	40	-0.0001703567	0.0000000397
4	83372593	84799655	463	40	0.0001674787	0.0000000508
4	84799656	86930608	610	40	0.0001585835	0.0000000585
4	86930609	87534647	132	17	0.0000060497	0.0000000147
4	87534648	89238027	485	40	-0.0001635902	0.0000000640
4	89238028	90231563	297	40	0.0002166698	0.0000000340
4	90231564	91560676	352	40	0.0000090425	0.0000000375
4	91560677	94233298	583	40	0.0000109858	0.0000000674
4	94233299	96182187	595	40	0.0001632936	0.0000000664
4	96182188	97540702	498	40	-0.0000707813	0.0000000560
4	97540703	99424066	402	35	0.0000851833	0.0000000373
4	99424067	100678359	375	40	-0.0001049420	0.0000000411
4	100678360	103221355	786	40	0.0001320341	0.0000000722
4	103221356	105305293	461	40	-0.0000228524	0.0000000441
4	105305294	107501304	563	40	0.0000253889	0.0000000607
4	107501305	108815347	355	40	-0.0000084589	0.0000000399
4	108815348	111256566	733	40	0.0000157937	0.0000000743
