chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	103	14	0.0000491465	0.000000052683
1	1892607	3582735	424	14	0.0003329809	0.000000260472
1	3582736	4380810	264	14	0.0006139149	0.000000176777
1	4380811	5913892	845	14	0.0001236737	0.000000343186
1	5913893	7247334	418	14	0.0000797790	0.000000218341
1	7247335	9365198	678	14	-0.0000300700	0.000000332712
1	9365199	10806983	344	14	0.0000526558	0.000000159495
1	10806984	11777840	250	14	-0.0000057648	0.000000126595
1	11777841	12779465	276	14	0.0000860279	0.000000151770
1	12779466	14891510	601	14	0.0001561439	0.000000345399
1	14891511	16897729	655	14	-0.0000045287	0.000000332113
1	16897730	18662898	637	14	-0.0000414923	0.000000331934
1	18662899	20469148	700	14	-0.0000541262	0.000000331073
1	20469149	21736587	445	14	0.0000624418	0.000000225668
1	21736588	23086882	502	14	0.0003626525	0.000000301407
1	23086883	23920589	219	14	0.0001646202	0.000000114354
1	23920590	25516844	510	14	0.0001017879	0.000000285185
1	25516845	27401866	402	14	0.0002909607	0.000000188349
1	27401867	30161880	536	14	0.0002048036	0.000000256127
1	30161881	32438684	889	14	0.0002033472	0.000000348614
1	32438685	34799757	658	14	0.0003327148	0.000000356647
1	34799758	37549182	540	14	-0.0000038036	0.000000266131
1	37549183	38731846	364	14	0.0002312919	0.000000187036
1	38731847	40200566	436	14	0.0001997851	0.000000226459
1	40200567	41975326	539	14	0.0002181956	0.000000261391
1	41975327	43758456	521	14	-0.0001158588	0.000000218585
1	43758457	44969182	359	14	0.0000550594	0.000000152334
1	44969183	46899500	446	14	0.0003071020	0.000000169979
1	46899501	48002575	290	14	0.0001237412	0.000000130133
1	48002576	48978187	331	14	0.0002348494	0.000000179160
1	48978188	49894176	243	14	-0.0000211934	0.000000115241
1	49894177	51713725	254	14	0.0003870548	0.000000111743
1	51713726	54226261	553	14	0.0000757064	0.000000276713
1	54226262	56413116	813	14	0.0001929351	0.000000347905
1	56413117	57021727	260	14	0.0002527199	0.000000125348
1	57021728	58865398	825	14	0.0001431562	0.000000344514
1	58865399	59890408	370	14	0.0000463015	0.000000165771
1	59890409	61922364	656	14	-0.0000031686	0.000000334545
1	61922365	63455088	517	14	-0.0000001473	0.000000260481
1	63455089	65041703	636	14	-0.0001080371	0.000000265724
1	65041704	66939403	636	14	0.0000765525	0.000000296230
1	66939404	68477894	669	14	0.0000353662	0.000000274717
1	68477895	69687615	375	14	0.0000785618	0.000000178089
1	69687616	71372469	507	14	-0.0000070318	0.000000228097
1	71372470	71684404	82	10	0.0002326182	0.000000043866
1	71684405	74326906	543	14	-0.0000338093	0.000000202225
1	74326907	76728134	714	14	0.0000641911	0.000000278161
1	76728135	79661197	925	14	0.0000796422	0.000000340187
1	79661198	81354190	453	14	-0.0000001072	0.000000207308
1	81354191	83991747	945	14	0.0000596334	0.000000338823
1	83991748	84844494	306	14	0.0003152918	0.000000140436
1	84844495	86454750	633	14	-0.0000577876	0.000000300746
1	86454751	88128630	552	14	0.0003166467	0.000000281237
1	88128631	90066302	509	14	0.0002449341	0.000000252343
1	90066303	91886316	549	14	0.0004540069	0.000000281753
1	91886317	93536458	493	14	0.0000430342	0.000000201834
1	93536459	94506190	252	14	0.0001092545	0.000000099326
1	94506191	96150892	632	14	0.0002664316	0.000000328151
1	96150893	97885248	588	14	-0.0001024895	0.000000221634
1	97885249	99800603	625	14	0.0001548684	0.000000273945
1	99800604	100826404	330	14	0.0001753094	0.000000137481
1	100826405	102041015	438	14	0.0002508457	0.000000208239
1	102041016	102898744	271	14	0.0000335283	0.000000114441
1	102898745	103914210	198	14	0.0000160089	0.000000073324
1	103914211	106087841	444	14	0.0003571614	0.000000223067
1	106087842	108409664	716	14	0.0001651159	0.000000346010
1	108409665	110303930	556	14	0.0000510649	0.000000247158
1	110303931	111741736	556	14	-0.0000256672	0.000000302931
1	111741737	113273305	703	14	0.0000950322	0.000000341235
1	113273306	114873844	503	14	-0.0000604806	0.000000236703
1	114873845	115880592	338	14	0.0001655771	0.000000146597
1	115880593	118839066	827	14	0.0000611493	0.000000338927
1	118839067	144977493	552	14	-0.0000578030	0.000000240504
1	144977494	148361252	425	14	0.0001334164	0.000000203077
1	148361253	151538880	347	14	0.0001480589	0.000000149353
1	151538881	153180828	463	14	0.0002501789	0.000000196493
1	153180829	154770402	444	14	0.0000911732	0.000000205088
1	154770403	156336132	302	14	0.0002103049	0.000000154860
1	156336133	158027411	595	14	0.0001665895	0.000000299334
1	158027412	159913047	660	14	0.0009452742	0.000000394471
1	159913048	162346720	855	14	0.0000706667	0.000000339575
1	162346721	165191701	1174	14	0.0000607646	0.000000338900
1	165191702	166460516	519	14	0.0000885844	0.000000277587
1	166460517	169086323	1082	14	-0.0000211786	0.000000333318
1	169086324	170557775	552	14	0.0001661478	0.000000224184
1	170557776	173097906	874	14	0.0003156589	0.000000356266
1	173097907	175089767	405	14	0.0003332402	0.000000140356
1	175089768	177433380	763	14	0.0001602088	0.000000343335
1	177433381	178944308	475	14	0.0000191708	0.000000211423
1	178944309	178954469	2	1	0.0000243215	0.000000002734
1	178954470	181144120	729	14	-0.0000492477	0.000000318981
1	181144121	182755355	584	14	-0.0000765228	0.000000296427
1	182755356	184595512	610	14	0.0000619680	0.000000266167
1	184595513	186810022	512	14	0.0000442834	0.000000215235
1	186810023	188759944	604	14	0.0001061747	0.000000266959
1	188759945	189904129	211	14	0.0001973413	0.000000081823
1	189904130	191868929	530	14	0.0003073080	0.000000212054
1	191868930	194107441	558	14	0.0001511473	0.000000253216
1	194107442	196176200	561	14	-0.0000205538	0.000000217920
1	196176201	197311513	189	14	0.0002251409	0.000000074017
1	197311514	199239883	492	14	0.0000903531	0.000000228269
1	199239884	200137648	296	14	0.0001831099	0.000000140602
1	200137649	201589974	687	14	0.0000984293	0.000000341467
1	201589975	203334733	598	14	0.0000742936	0.000000322761
1	203334734	204681067	475	14	0.0001195400	0.000000243128
1	204681068	206073264	565	14	0.0004121684	0.000000315268
1	206073265	208410363	608	14	0.0006214010	0.000000366191
1	208410364	210787749	900	14	0.0001146450	0.000000342571
1	210787750	212842329	680	14	0.0001976978	0.000000348230
1	212842330	214578265	603	14	0.0004506791	0.000000346837
1	214578266	216243633	579	14	0.0000523492	0.000000281828
1	216243634	218705512	1062	14	-0.0000436012	0.000000331790
1	218705513	219590570	275	14	0.0001432909	0.000000127584
1	219590571	221858230	676	14	0.0000592615	0.000000326368
1	221858231	222230219	170	14	0.0000022584	0.000000084069
1	222230220	224938519	448	14	-0.0000591836	0.000000208235
1	224938520	226810859	501	14	0.0000852137	0.000000238646
1	226810860	229156247	681	14	-0.0000256977	0.000000306746
1	229156248	230685254	520	14	0.0002226152	0.000000286686
1	230685255	232090251	579	14	0.0001836881	0.000000303511
1	232090252	233429283	593	14	0.0002027870	0.000000343121
1	233429284	234599433	520	14	0.0001233509	0.000000288144
1	234599434	235819435	377	14	0.0000220492	0.000000198329
1	235819436	237555627	711	14	0.0000535567	0.000000338409
1	237555628	238567806	420	14	0.0003695352	0.000000242900
1	238567807	239925313	480	14	-0.0000032601	0.000000254401
1	239925314	240564090	328	14	0.0002045973	0.000000179142
1	240564091	241582219	511	14	0.0001110195	0.000000312227
1	241582220	242071601	215	14	0.0004661977	0.000000143522
1	242071602	244109498	608	14	0.0002124947	0.000000335254
1	244109499	245506745	506	14	0.0003273439	0.000000300503
1	245506746	247344517	688	14	-0.0000236083	0.000000333152
1	247344518	249239465	379	14	0.0004732230	0.000000224649
2	10133	1781021	662	14	0.0001013619	0.000000341666
2	1781022	3973778	965	14	-0.0000069081	0.000000334290
2	3973779	5708336	630	14	0.0002904521	0.000000354549
2	5708337	6836253	566	14	0.0000410593	0.000000280315
2	6836254	8422146	654	14	0.0001603758	0.000000345687
2	8422147	10298468	673	14	0.0000117799	0.000000335563
2	10298469	12419149	971	14	-0.0000994145	0.000000327988
2	12419150	14335307	593	14	0.0003067027	0.000000312627
