chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	14	-0.0000300684	0.000000045366
1	1892607	3582735	436	14	0.0003022534	0.000000265203
1	3582736	4380810	273	14	0.0006495627	0.000000183649
1	4380811	5913892	870	14	0.0001034026	0.000000340356
1	5913893	7247334	429	14	0.0000892644	0.000000225043
1	7247335	9365198	700	14	-0.0000318924	0.000000331163
1	9365199	10806983	352	14	0.0000544794	0.000000160866
1	10806984	11777840	259	14	0.0000089159	0.000000132146
1	11777841	12779465	284	14	0.0000792374	0.000000155223
1	12779466	14891510	618	14	0.0001389865	0.000000342774
1	14891511	16897729	692	14	-0.0000056070	0.000000332949
1	16897730	18662898	669	14	-0.0000536864	0.000000329682
1	18662899	20469148	720	14	-0.0000451593	0.000000330262
1	20469149	21736587	461	14	0.0000196073	0.000000228148
1	21736588	23086882	523	14	0.0003395790	0.000000312018
1	23086883	23920589	223	14	0.0001692007	0.000000115383
1	23920590	25516844	522	14	0.0001014504	0.000000292877
1	25516845	27401866	413	14	0.0002989070	0.000000192771
1	27401867	30161880	552	14	0.0002045901	0.000000262954
1	30161881	32438684	934	14	0.0002054763	0.000000347292
1	32438685	34799757	676	14	0.0003259194	0.000000355476
1	34799758	37549182	554	14	0.0000200178	0.000000273208
1	37549183	38731846	374	14	0.0002464237	0.000000192632
1	38731847	40200566	447	14	0.0002030053	0.000000232013
1	40200567	41975326	557	14	0.0002201434	0.000000269835
1	41975327	43758456	543	14	-0.0001205531	0.000000229411
1	43758457	44969182	371	14	0.0000697186	0.000000157234
1	44969183	46899500	458	14	0.0003151175	0.000000175059
1	46899501	48002575	298	14	0.0001129214	0.000000130079
1	48002576	48978187	344	14	0.0002153858	0.000000183767
1	48978188	49894176	247	14	-0.0000298113	0.000000115376
1	49894177	51713725	260	14	0.0003925597	0.000000114709
1	51713726	54226261	564	14	0.0000786422	0.000000281629
1	54226262	56413116	838	14	0.0001922899	0.000000346396
1	56413117	57021727	272	14	0.0002372127	0.000000127540
1	57021728	58865398	849	14	0.0001515959	0.000000343631
1	58865399	59890408	383	14	0.0000414623	0.000000170716
1	59890409	61922364	672	14	0.0000000624	0.000000333334
1	61922365	63455088	534	14	-0.0000010102	0.000000268087
1	63455089	65041703	659	14	-0.0001093439	0.000000273362
1	65041704	66939403	650	14	0.0000715278	0.000000297612
1	66939404	68477894	687	14	0.0000331841	0.000000280782
1	68477895	69687615	389	14	0.0000720045	0.000000185657
1	69687616	71372469	520	14	0.0000166371	0.000000232944
1	71372470	71684404	82	10	0.0002340676	0.000000043774
1	71684405	74326906	559	14	-0.0000304310	0.000000205009
1	74326907	76728134	728	14	0.0000678652	0.000000281643
1	76728135	79661197	949	14	0.0000589899	0.000000337338
1	79661198	81354190	475	14	-0.0000053861	0.000000215829
1	81354191	83991747	973	14	0.0000592015	0.000000337353
1	83991748	84844494	314	14	0.0002964323	0.000000140460
1	84844495	86454750	652	14	-0.0000616089	0.000000306792
1	86454751	88128630	573	14	0.0003509563	0.000000294134
1	88128631	90066302	523	14	0.0002364776	0.000000254977
1	90066303	91886316	563	14	0.0004431886	0.000000284923
1	91886317	93536458	509	14	0.0000379675	0.000000203345
1	93536459	94506190	255	14	0.0001105840	0.000000100805
1	94506191	96150892	651	14	0.0002463570	0.000000331522
1	96150893	97885248	607	14	-0.0000915615	0.000000225635
1	97885249	99800603	643	14	0.0001874382	0.000000281584
1	99800604	100826404	339	14	0.0001912971	0.000000141145
1	100826405	102041015	448	14	0.0002516050	0.000000210119
1	102041016	102898744	281	14	0.0000279160	0.000000117969
1	102898745	103914210	200	14	0.0000129802	0.000000073362
1	103914211	106087841	455	14	0.0003506484	0.000000227216
1	106087842	108409664	729	14	0.0001760997	0.000000345296
1	108409665	110303930	567	14	0.0000443093	0.000000249938
1	110303931	111741736	572	14	-0.0000276558	0.000000309860
1	111741737	113273305	721	14	0.0001015209	0.000000340228
1	113273306	114873844	511	14	-0.0000639599	0.000000239000
1	114873845	115880592	346	14	0.0001297487	0.000000146120
1	115880593	118839066	839	14	0.0000784061	0.000000338658
1	118839067	144977493	567	14	-0.0000656874	0.000000246130
1	144977494	148361252	432	14	0.0001261658	0.000000203740
1	148361253	151538880	350	14	0.0001594532	0.000000150078
1	151538881	153180828	468	14	0.0002551232	0.000000196623
1	153180829	154770402	459	14	0.0000155597	0.000000205317
1	154770403	156336132	307	14	0.0002107210	0.000000156145
1	156336133	158027411	599	14	0.0001671020	0.000000300328
1	158027412	159913047	686	14	0.0009455594	0.000000397579
1	159913048	162346720	876	14	0.0000659919	0.000000337814
1	162346721	165191701	1201	14	0.0000649902	0.000000337746
1	165191702	166460516	533	14	0.0000910961	0.000000284705
1	166460517	169086323	1107	14	-0.0000157830	0.000000332258
1	169086324	170557775	560	14	0.0001689008	0.000000225476
1	170557776	173097906	902	14	0.0003056360	0.000000354097
1	173097907	175089767	412	14	0.0003372137	0.000000141270
1	175089768	177433380	785	14	0.0001641725	0.000000344485
1	177433381	178944308	492	14	0.0000205961	0.000000214061
1	178944309	178954469	2	1	0.0000244691	0.000000002733
1	178954470	181144120	753	14	-0.0000517104	0.000000325160
1	181144121	182755355	601	14	-0.0000759246	0.000000303530
1	182755356	184595512	630	14	0.0000566997	0.000000268308
1	184595513	186810022	525	14	0.0000428460	0.000000216970
1	186810023	188759944	620	14	0.0001178824	0.000000272449
1	188759945	189904129	220	14	0.0001514972	0.000000080801
1	189904130	191868929	538	14	0.0003245579	0.000000212963
1	191868930	194107441	584	14	0.0001613621	0.000000258578
1	194107442	196176200	581	14	-0.0000107985	0.000000221830
1	196176201	197311513	197	14	0.0002298323	0.000000076986
1	197311514	199239883	504	14	0.0000908030	0.000000230110
1	199239884	200137648	301	14	0.0001950704	0.000000143343
1	200137649	201589974	711	14	0.0000850587	0.000000339110
1	201589975	203334733	618	14	0.0000841212	0.000000332064
1	203334734	204681067	485	14	0.0001189244	0.000000246313
1	204681068	206073264	578	14	0.0004102305	0.000000320573
1	206073265	208410363	634	14	0.0006108207	0.000000374834
1	208410364	210787749	933	14	0.0000625912	0.000000337583
1	210787750	212842329	698	14	0.0001919964	0.000000346376
1	212842330	214578265	614	14	0.0004390362	0.000000350758
1	214578266	216243633	595	14	0.0000534849	0.000000284393
1	216243634	218705512	1085	14	-0.0000328071	0.000000331101
1	218705513	219590570	282	14	0.0001416303	0.000000129435
1	219590571	221858230	690	14	0.0000543827	0.000000331592
1	221858231	222230219	174	14	0.0000102181	0.000000086031
1	222230220	224938519	462	14	-0.0000641033	0.000000212572
1	224938520	226810859	520	14	0.0000950329	0.000000244699
1	226810860	229156247	695	14	-0.0000249343	0.000000309281
1	229156248	230685254	530	14	0.0002249862	0.000000291541
1	230685255	232090251	590	14	0.0001775493	0.000000307818
1	232090252	233429283	607	14	0.0001818310	0.000000345685
1	233429284	234599433	536	14	0.0001544714	0.000000294224
1	234599434	235819435	387	14	0.0000277054	0.000000201958
1	235819436	237555627	736	14	0.0000581617	0.000000337282
1	237555628	238567806	430	14	0.0003624148	0.000000247738
1	238567807	239925313	491	14	-0.0000080967	0.000000256588
1	239925314	240564090	344	14	0.0002026249	0.000000184260
1	240564091	241582219	522	14	0.0001091726	0.000000319146
1	241582220	242071601	220	14	0.0004409501	0.000000143109
1	242071602	244109498	622	14	0.0002077707	0.000000339688
1	244109499	245506745	519	14	0.0003319550	0.000000306999
1	245506746	247344517	711	14	-0.0000271329	0.000000331487
1	247344518	249239465	401	14	0.0004823332	0.000000235397
2	10133	1781021	664	14	0.0001025351	0.000000340297
2	1781022	3973778	969	14	-0.0000060067	0.000000332922
2	3973779	5708336	632	14	0.0002931037	0.000000353246
2	5708337	6836253	566	14	0.0000423719	0.000000279173
2	6836254	8422146	656	14	0.0001618595	0.000000344328
2	8422147	10298468	674	14	0.0000119287	0.000000334141
2	10298469	12419149	974	14	-0.0000995749	0.000000326564
2	12419150	14335307	594	14	0.0003043458	0.000000311888
2	14335308	16329734	750	14	0.0000220250	0.000000334827
2	16329735	18647422	862	14	0.0002497848	0.000000350303
2	18647423	19692403	385	14	0.0001692767	0.000000201122
2	19692404	21050489	638	14	0.0000417833	0.000000326097
2	21050490	23341382	625	14	0.0000082618	0.000000333892
2	23341383	24686917	442	14	0.0004702691	0.000000236680
2	24686918	26894984	560	14	0.0003040581	0.000000290218
2	26894985	28598776	417	14	0.0000984882	0.000000177252
2	28598777	29217558	248	14	-0.0001267035	0.000000107601
2	29217559	30463710	636	14	0.0003101392	0.000000354403
2	30463711	31550449	532	14	-0.0000397436	0.000000296865
2	31550450	33363776	495	14	0.0001939936	0.000000300649
2	33363777	35345027	808	14	0.0002072145	0.000000347410
2	35345028	36122005	291	14	0.0001878130	0.000000148713
2	36122006	38132711	934	14	0.0001883829	0.000000346130
2	38132712	39031336	326	14	0.0003159234	0.000000206189
2	39031337	40281482	303	14	0.0000872595	0.000000167079
2	40281483	43309589	1313	14	0.0002411462	0.000000349716
2	43309590	44313802	403	14	0.0004445599	0.000000249733
2	44313803	46482633	1073	14	0.0001126220	0.000000340983
2	46482634	47318771	419	14	0.0001650219	0.000000273433
2	47318772	48213000	301	14	0.0002206887	0.000000192260
2	48213001	50022256	716	14	0.0001103653	0.000000340829
2	50022257	50818927	345	14	0.0001702924	0.000000186149
2	50818928	52491132	648	14	0.0002610551	0.000000351068
2	52491133	53508451	466	14	0.0002047997	0.000000256445
2	53508452	54685225	436	14	-0.0000291320	0.000000231284
2	54685226	56203344	614	14	0.0002502017	0.000000350331
2	56203345	57429099	428	14	0.0000432457	0.000000234026
2	57429100	58297314	272	14	0.0001755068	0.000000147886
2	58297315	60291999	741	14	0.0001650639	0.000000344546
2	60292000	62429043	587	14	0.0002929883	0.000000350905
2	62429044	64625912	583	14	0.0000976586	0.000000316836
2	64625913	65933443	465	14	0.0000228522	0.000000247039
2	65933444	67226165	556	14	0.0002608770	0.000000292485
2	67226166	68010175	423	14	-0.0000162140	0.000000203872
2	68010176	69139563	472	14	0.0000676832	0.000000226419
2	69139564	70755197	535	14	-0.0000154030	0.000000246626
2	70755198	73174847	803	14	0.0001155057	0.000000341179
2	73174848	75630085	725	14	0.0004034221	0.000000360742
2	75630086	76913660	515	14	0.0001018062	0.000000275786
2	76913661	78079263	394	14	0.0001816399	0.000000234822
2	78079264	80050402	826	14	0.0001062360	0.000000340549
2	80050403	81620840	579	14	0.0003725162	0.000000353202
2	81620841	85140679	891	14	0.0000189832	0.000000285791
2	85140680	88038506	634	14	0.0000040444	0.000000275091
2	88038507	89154525	245	14	0.0000649580	0.000000109661
2	89154526	95326451	4	2	-0.0000065409	0.000000001779
2	95326452	98995200	427	14	0.0002365485	0.000000203590
2	98995201	101822328	907	14	-0.0000475512	0.000000330099
2	101822329	102688764	261	14	-0.0000275346	0.000000104094
2	102688765	103588214	406	14	0.0001121120	0.000000144283
2	103588215	105125033	304	14	0.0000623627	0.000000141595
2	105125034	106210057	409	14	-0.0000186474	0.000000198833
2	106210058	107408266	444	14	0.0000674312	0.000000210211
2	107408267	108429176	355	14	-0.0000327986	0.000000133248
2	108429177	110572431	530	14	0.0001684822	0.000000248223
2	110572432	113921855	799	14	0.0001954479	0.000000346610
2	113921856	116772469	758	14	-0.0000897388	0.000000327233
2	116772470	118367465	397	14	0.0001680566	0.000000161855
2	118367466	121303782	995	14	0.0002196025	0.000000348252
2	121303783	123302905	579	14	0.0000997331	0.000000295762
2	123302906	124732249	430	14	0.0001687023	0.000000175911
2	124732250	125840920	381	14	0.0002518232	0.000000188247
2	125840921	127373763	409	14	0.0001903019	0.000000160042
2	127373764	128034346	288	14	0.0000612473	0.000000138911
2	128034347	129474440	433	14	-0.0000713912	0.000000184906
2	129474441	130067169	223	14	0.0001529844	0.000000098675
2	130067170	130658084	204	14	0.0000403926	0.000000091759
2	130658085	133042783	214	14	0.0000877910	0.000000108040
2	133042784	135158577	917	14	0.0000669301	0.000000337878
2	135158578	137042793	457	14	0.0001348329	0.000000181051
2	137042794	138698116	595	14	0.0000410745	0.000000285793
2	138698117	140100270	436	14	-0.0001275882	0.000000145963
2	140100271	141805350	569	14	0.0001395019	0.000000284265
2	141805351	142518601	299	14	0.0002184291	0.000000163254
2	142518602	144519483	657	14	0.0000509798	0.000000312141
2	144519484	146445569	440	14	0.0003948343	0.000000234393
2	146445570	147277161	151	14	-0.0000471908	0.000000062687
2	147277162	150210291	661	14	0.0002645245	0.000000297198
2	150210292	151731461	474	14	-0.0000640154	0.000000213284
2	151731462	152486781	286	14	0.0001448253	0.000000125169
2	152486782	154005055	481	14	0.0001633189	0.000000235006
2	154005056	155391134	486	14	0.0000370774	0.000000237908
2	155391135	157560634	554	14	0.0004069744	0.000000283204
2	157560635	158533217	172	14	0.0002406782	0.000000107648
2	158533218	159577081	331	14	0.0000874121	0.000000161082
2	159577082	161769732	721	14	0.0000641327	0.000000322224
2	161769733	163503550	390	14	0.0001961984	0.000000156484
2	163503551	164466637	193	14	0.0000183149	0.000000087190
2	164466638	165178839	177	14	0.0000681207	0.000000083759
2	165178840	167160269	630	14	0.0002470593	0.000000301246
2	167160270	167355969	73	10	-0.0000189751	0.000000029214
2	167355970	169968235	832	14	0.0016629980	0.000000446327
2	169968236	171226244	491	14	-0.0000020672	0.000000230251
2	171226245	173138904	576	14	0.0001043822	0.000000310434
2	173138905	175588928	843	14	0.0001293557	0.000000342120
2	175588929	177363635	534	14	-0.0000690184	0.000000240104
2	177363636	178553182	475	14	0.0003323717	0.000000218331
2	178553183	181312738	1009	14	0.0000801919	0.000000338779
2	181312739	182266030	298	14	0.0001803560	0.000000135246
2	182266031	184357607	615	14	0.0000623615	0.000000300008
2	184357608	185280172	232	14	0.0002862247	0.000000116312
2	185280173	189882064	956	14	0.0000887188	0.000000339358
2	189882065	191973356	502	14	0.0001883772	0.000000234567
2	191973357	195861163	718	14	0.0002076770	0.000000347441
2	195861164	196447455	154	14	0.0000010054	0.000000066510
2	196447456	198078109	449	14	0.0001531432	0.000000179579
2	198078110	199311124	304	14	-0.0000151154	0.000000103034
2	199311125	201576283	628	14	0.0000135489	0.000000289921
2	201576284	202818636	316	14	0.0000495247	0.000000145974
2	202818637	205799240	747	14	0.0000128782	0.000000334205
2	205799241	206735703	404	14	0.0001785556	0.000000238169
2	206735704	208645398	657	14	0.0001758890	0.000000345281
2	208645399	209941528	335	14	0.0001323757	0.000000164771
2	209941529	212379517	740	14	0.0000972994	0.000000339941
2	212379518	214014281	629	14	0.0000795969	0.000000338739
2	214014282	215573794	444	14	-0.0000508861	0.000000213464
2	215573795	217715660	801	14	0.0002139430	0.000000347867
2	217715661	218395479	276	14	0.0002683195	0.000000156079
2	218395480	220454550	596	14	0.0001000096	0.000000271976
2	220454551	222521175	855	14	0.0001752023	0.000000345235
2	222521176	224859418	789	14	0.0000356194	0.000000335750
2	224859419	225840003	350	14	0.0001860877	0.000000148597
2	225840004	228119841	738	14	-0.0000877999	0.000000308840
2	228119842	229370786	457	14	0.0001111010	0.000000204109
2	229370787	231843388	934	14	0.0002131929	0.000000347816
2	231843389	233550002	466	14	0.0002704888	0.000000237983
2	233550003	235150986	797	14	0.0001002475	0.000000340142
2	235150987	236043549	422	14	-0.0000824100	0.000000238476
2	236043550	237449031	471	14	0.0001565676	0.000000251740
2	237449032	238760980	537	14	0.0000669195	0.000000280092
2	238760981	239952642	413	14	0.0001430800	0.000000217412
2	239952643	241560083	654	14	0.0000961240	0.000000339862
2	241560084	242149920	217	14	0.0000766166	0.000000104780
2	242149921	243188919	129	14	0.0003618119	0.000000080415
3	60157	1441778	619	14	0.0001960681	0.000000346653
3	1441779	2992119	901	14	0.0001541847	0.000000343807
3	2992120	4431646	772	14	0.0001295120	0.000000342130
