chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	100	19	-0.0000193708	0.0000000035
1	1892607	3582735	435	40	0.0000614787	0.0000000103
1	3582736	4380810	272	40	0.0000395756	0.0000000053
1	4380811	5913892	866	40	0.0000253860	0.0000000090
1	5913893	7247334	430	40	0.0000059691	0.0000000075
1	7247335	9365198	698	40	0.0000332638	0.0000000108
1	9365199	10806983	353	40	0.0000394746	0.0000000057
1	10806984	11777840	258	40	0.0000441862	0.0000000056
1	11777841	12779465	280	40	-0.0000906817	0.0000000057
1	12779466	14891510	617	40	-0.0000055651	0.0000000081
1	14891511	16897729	686	40	0.0000006058	0.0000000092
1	16897730	18662898	658	40	-0.0001244234	0.0000000092
1	18662899	20469148	710	40	0.0001689857	0.0000000091
1	20469149	21736587	460	40	-0.0001059659	0.0000000067
1	21736588	23086882	522	40	-0.0000782150	0.0000000082
1	23086883	23920589	222	28	-0.0001282530	0.0000000037
1	23920590	25516844	521	40	-0.0000187673	0.0000000071
1	25516845	27401866	414	40	-0.0000689877	0.0000000070
1	27401867	30161880	551	40	-0.0000058259	0.0000000061
1	30161881	32438684	929	40	-0.0001236468	0.0000000089
1	32438685	34799757	675	40	0.0000048709	0.0000000082
1	34799758	37549182	547	40	-0.0001115395	0.0000000074
1	37549183	38731846	373	40	-0.0000048902	0.0000000058
1	38731847	40200566	446	40	0.0000179445	0.0000000071
1	40200567	41975326	554	40	-0.0000447653	0.0000000067
1	41975327	43758456	543	40	-0.0000713807	0.0000000076
1	43758457	44969182	371	35	0.0000631992	0.0000000067
1	44969183	46899500	457	38	0.0000299876	0.0000000055
1	46899501	48002575	296	33	-0.0000033058	0.0000000050
1	48002576	48978187	344	40	-0.0000673655	0.0000000057
1	48978188	49894176	247	28	0.0000599411	0.0000000042
1	49894177	51713725	260	25	-0.0000299469	0.0000000037
1	51713726	54226261	562	40	0.0000096364	0.0000000083
1	54226262	56413116	834	40	0.0000104549	0.0000000081
1	56413117	57021727	271	31	-0.0000043536	0.0000000037
1	57021728	58865398	847	40	-0.0000223835	0.0000000102
1	58865399	59890408	381	40	0.0000327958	0.0000000075
1	59890409	61922364	670	40	-0.0001251104	0.0000000088
1	61922365	63455088	532	40	0.0000543275	0.0000000082
1	63455089	65041703	658	40	-0.0000079541	0.0000000062
1	65041704	66939403	649	40	-0.0002458314	0.0000000102
1	66939404	68477894	685	40	0.0000068757	0.0000000098
1	68477895	69687615	386	40	0.0000175275	0.0000000060
1	69687616	71372469	517	40	-0.0000081825	0.0000000058
1	71372470	71684404	82	10	-0.0000085374	0.0000000015
1	71684405	74326906	558	40	-0.0001524794	0.0000000071
1	74326907	76728134	726	40	-0.0000140742	0.0000000088
1	76728135	79661197	946	40	0.0000715876	0.0000000083
1	79661198	81354190	475	40	-0.0000302483	0.0000000069
1	81354191	83991747	971	40	-0.0000632605	0.0000000092
1	83991748	84844494	313	34	-0.0000021317	0.0000000051
1	84844495	86454750	650	40	0.0000285372	0.0000000088
1	86454751	88128630	568	40	0.0000311186	0.0000000077
1	88128631	90066302	522	40	0.0000307348	0.0000000062
1	90066303	91886316	558	40	-0.0000181556	0.0000000082
1	91886317	93536458	507	40	-0.0000122316	0.0000000052
1	93536459	94506190	255	26	-0.0000718105	0.0000000042
1	94506191	96150892	649	40	0.0000191375	0.0000000075
1	96150893	97885248	602	40	-0.0000128188	0.0000000090
1	97885249	99800603	637	40	0.0000359669	0.0000000092
1	99800604	100826404	339	37	0.0000228215	0.0000000049
1	100826405	102041015	445	40	-0.0000785974	0.0000000053
1	102041016	102898744	276	36	-0.0000078230	0.0000000057
1	102898745	103914210	201	21	0.0000107672	0.0000000021
1	103914211	106087841	454	40	-0.0000605235	0.0000000073
1	106087842	108409664	726	40	-0.0000601104	0.0000000087
1	108409665	110303930	565	40	0.0000482568	0.0000000067
1	110303931	111741736	566	40	0.0000167482	0.0000000079
1	111741737	113273305	720	40	0.0000234526	0.0000000095
1	113273306	114873844	511	40	-0.0000479369	0.0000000065
1	114873845	115880592	345	37	0.0000136049	0.0000000039
1	115880593	118839066	834	40	-0.0000579767	0.0000000087
1	118839067	144977493	564	40	0.0000105667	0.0000000073
1	144977494	148361252	431	40	0.0000678391	0.0000000153
1	148361253	151538880	349	34	-0.0002134796	0.0000000087
1	151538881	153180828	468	40	-0.0000301227	0.0000000058
1	153180829	154770402	454	40	0.0000106445	0.0000000065
1	154770403	156336132	306	38	-0.0001316408	0.0000000099
1	156336133	158027411	596	40	-0.0000116884	0.0000000087
