chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	80	16	0.0002757014	0.000000040854
1	1892607	3582735	365	16	0.0001940652	0.000000148815
1	3582736	4380810	236	16	0.0003420828	0.000000104628
1	4380811	5913892	844	16	0.0000207891	0.000000219940
1	5913893	7247334	356	16	0.0002951758	0.000000138267
1	7247335	9365198	635	16	0.0002065085	0.000000230385
1	9365199	10806983	298	16	0.0003503787	0.000000112392
1	10806984	11777840	220	16	0.0002998372	0.000000094617
1	11777841	12779465	188	16	0.0001178262	0.000000076497
1	12779466	14891510	569	16	0.0001264656	0.000000218527
1	14891511	16897729	587	16	0.0001053839	0.000000203749
1	16897730	18662898	561	16	0.0000637242	0.000000203341
1	18662899	20469148	617	16	-0.0000765487	0.000000214465
1	20469149	21736587	393	16	0.0001537675	0.000000138883
1	21736588	23086882	445	16	0.0015705405	0.000000250718
1	23086883	23920589	181	16	0.0002288225	0.000000073492
1	23920590	25516844	443	16	0.0001784876	0.000000172305
1	25516845	27401866	307	16	0.0005329076	0.000000124282
1	27401867	30161880	482	16	0.0000623229	0.000000152400
1	30161881	32438684	867	16	0.0003266813	0.000000237143
1	32438685	34799757	607	16	0.0006104229	0.000000241820
1	34799758	37549182	506	16	0.0000748300	0.000000171165
1	37549183	38731846	323	16	0.0001218668	0.000000114451
1	38731847	40200566	390	16	-0.0000072384	0.000000131241
1	40200567	41975326	497	16	0.0000894629	0.000000156216
1	41975327	43758456	478	16	0.0001628679	0.000000150708
1	43758457	44969182	303	16	0.0000689960	0.000000093289
1	44969183	46899500	369	16	0.0000634042	0.000000091691
1	46899501	48002575	255	16	0.0000800896	0.000000078180
1	48002576	48978187	330	16	0.0001817933	0.000000120427
1	48978188	49894176	230	16	0.0001020997	0.000000080246
1	49894177	51713725	245	16	0.0001133102	0.000000061302
1	51713726	54226261	491	16	-0.0000372199	0.000000163021
1	54226262	56413116	734	16	0.0000110861	0.000000219394
1	56413117	57021727	245	16	0.0000697295	0.000000074244
1	57021728	58865398	819	16	0.0000359317	0.000000220791
1	58865399	59890408	354	16	0.0002297225	0.000000120902
1	59890409	61922364	629	16	0.0000269226	0.000000217828
1	61922365	63455088	427	16	0.0000057308	0.000000150153
1	63455089	65041703	619	16	0.0000151131	0.000000176271
1	65041704	66939403	601	16	0.0000039076	0.000000179422
1	66939404	68477894	629	16	0.0002669592	0.000000188030
1	68477895	69687615	367	16	0.0011995201	0.000000183377
1	69687616	71372469	488	16	0.0000352608	0.000000148596
1	71372470	71684404	77	10	-0.0000034204	0.000000017945
1	71684405	74326906	505	16	0.0001062691	0.000000135781
1	74326907	76728134	649	16	0.0001433234	0.000000177812
1	76728135	79661197	875	16	0.0001596926	0.000000227752
1	79661198	81354190	467	16	0.0000058113	0.000000142840
1	81354191	83991747	936	16	0.0002513549	0.000000232907
1	83991748	84844494	304	16	0.0002284640	0.000000091497
1	84844495	86454750	591	16	0.0000171226	0.000000191587
1	86454751	88128630	510	16	0.0001094242	0.000000170301
1	88128631	90066302	484	16	0.0003232271	0.000000168832
1	90066303	91886316	536	16	0.0002109201	0.000000174586
1	91886317	93536458	450	16	0.0003703653	0.000000144250
1	93536459	94506190	224	16	0.0002315811	0.000000069099
1	94506191	96150892	607	16	-0.0000034828	0.000000193787
1	96150893	97885248	573	16	0.0001181586	0.000000153689
1	97885249	99800603	617	16	0.0002567180	0.000000186515
1	99800604	100826404	300	16	0.0002500802	0.000000096097
1	100826405	102041015	418	16	0.0002384307	0.000000135993
1	102041016	102898744	269	16	0.0001023551	0.000000080681
1	102898745	103914210	180	16	0.0001803194	0.000000056024
1	103914211	106087841	446	16	0.0003746192	0.000000153471
1	106087842	108409664	699	16	0.0001923360	0.000000229588
1	108409665	110303930	399	16	0.0001821171	0.000000129288
1	110303931	111741736	506	16	0.0001824618	0.000000190381
1	111741737	113273305	627	16	0.0002339429	0.000000222127
1	113273306	114873844	471	16	0.0001290352	0.000000155673
1	114873845	115880592	305	16	0.0001887922	0.000000095246
1	115880593	118839066	743	16	0.0000873467	0.000000223683
1	118839067	144977493	465	16	0.0002106107	0.000000158860
1	144977494	148361252	373	16	0.0000169984	0.000000117858
1	148361253	151538880	250	16	0.0002078506	0.000000082337
1	151538881	153180828	406	16	0.0001492218	0.000000117293
1	153180829	154770402	368	16	0.0004320363	0.000000139237
1	154770403	156336132	218	16	0.0000431981	0.000000076551
1	156336133	158027411	486	16	0.0001742082	0.000000166495
1	158027412	159913047	559	16	0.0001569319	0.000000199912
1	159913048	162346720	639	16	0.0001753905	0.000000228635
1	162346721	165191701	1121	16	0.0000425494	0.000000221164
1	165191702	166460516	500	16	0.0002605132	0.000000187198
1	166460517	169086323	1008	16	0.0001249874	0.000000225800
1	169086324	170557775	431	16	0.0002821755	0.000000137988
1	170557776	173097906	750	16	0.0006507408	0.000000255369
1	173097907	175089767	377	16	0.0001467676	0.000000082728
1	175089768	177433380	721	16	0.0001476992	0.000000220699
1	177433381	178944308	409	16	0.0002603079	0.000000133206
1	178944309	178954469	2	1	-0.0000115007	0.000000000127
1	178954470	181144120	648	16	0.0003561545	0.000000215901
1	181144121	182755355	559	16	-0.0000131221	0.000000192286
1	182755356	184595512	559	16	0.0001527002	0.000000171326
1	184595513	186810022	460	16	0.0001090802	0.000000135938
1	186810023	188759944	600	16	0.0000086435	0.000000170736
1	188759945	189904129	216	16	0.0002600539	0.000000061258
1	189904130	191868929	521	16	0.0000710009	0.000000128881
1	191868930	194107441	560	16	0.0000111456	0.000000159684
1	194107442	196176200	568	16	-0.0000588700	0.000000142875
1	196176201	197311513	162	14	0.0000857613	0.000000041897
1	197311514	199239883	485	16	0.0002226688	0.000000157703
1	199239884	200137648	290	16	0.0005287562	0.000000115870
1	200137649	201589974	594	16	0.0000823967	0.000000209232
1	201589975	203334733	520	16	0.0000746254	0.000000186232
1	203334734	204681067	407	16	0.0001385804	0.000000146168
1	204681068	206073264	477	16	0.0000876826	0.000000165825
1	206073265	208410363	521	16	0.0002367657	0.000000198656
1	208410364	210787749	863	16	0.0001259242	0.000000225853
1	210787750	212842329	648	16	0.0003076987	0.000000236076
1	212842330	214578265	544	16	-0.0001033848	0.000000183390
1	214578266	216243633	555	16	0.0000282108	0.000000177949
1	216243634	218705512	1038	16	0.0000761066	0.000000223051
1	218705513	219590570	268	16	0.0003318570	0.000000096397
1	219590571	221858230	617	16	0.0003310572	0.000000212085
1	221858231	222230219	166	16	0.0000483428	0.000000057698
1	222230220	224938519	415	16	0.0000142115	0.000000133340
1	224938520	226810859	447	16	-0.0000678827	0.000000136900
1	226810860	229156247	589	16	0.0002409661	0.000000193187
1	229156248	230685254	440	16	0.0000513256	0.000000161933
1	230685255	232090251	516	16	-0.0000400180	0.000000173181
1	232090252	233429283	565	16	0.0002326299	0.000000217187
1	233429284	234599433	499	16	0.0000545044	0.000000178951
1	234599434	235819435	343	16	0.0004063782	0.000000142245
1	235819436	237555627	631	16	0.0002460868	0.000000232611
1	237555628	238567806	386	16	0.0002102453	0.000000144290
1	238567807	239925313	473	16	0.0001551945	0.000000173331
1	239925314	240564090	322	16	0.0001453109	0.000000116636
1	240564091	241582219	491	16	0.0000754668	0.000000195340
1	241582220	242071601	193	16	0.0001428118	0.000000078304
1	242071602	244109498	606	16	0.0002167509	0.000000220673
1	244109499	245506745	476	16	0.0001217410	0.000000183192
1	245506746	247344517	658	16	0.0000337808	0.000000220670
1	247344518	249239465	334	16	0.0002077130	0.000000125841
2	10133	1781021	563	16	0.0001109101	0.000000200689
2	1781022	3973778	899	16	0.0000397648	0.000000221007
2	3973779	5708336	610	16	-0.0000293832	0.000000217118
2	5708337	6836253	551	16	-0.0000438602	0.000000175798
2	6836254	8422146	634	16	0.0001372147	0.000000222068
2	8422147	10298468	601	16	0.0001070887	0.000000224301
2	10298469	12419149	878	16	0.0002328669	0.000000231867
2	12419150	14335307	567	16	0.0001442506	0.000000191562
2	14335308	16329734	707	16	0.0000481331	0.000000221478
2	16329735	18647422	815	16	0.0000637690	0.000000222357
2	18647423	19692403	373	16	0.0000668740	0.000000126418
2	19692404	21050489	576	16	0.0003645100	0.000000213002
2	21050490	23341382	550	16	0.0001334099	0.000000204841
2	23341383	24686917	395	16	-0.0000556218	0.000000125843
2	24686918	26894984	458	16	0.0002111675	0.000000160267
2	26894985	28598776	242	16	-0.0000705668	0.000000069387
2	28598777	29217558	202	16	0.0004071884	0.000000087552
2	29217559	30463710	592	16	0.0001905301	0.000000225556
2	30463711	31550449	475	16	0.0001525508	0.000000187283
2	31550450	33363776	442	16	0.0001872484	0.000000182152
2	33363777	35345027	755	16	0.0001889753	0.000000229399
2	35345028	36122005	282	16	-0.0000109351	0.000000087983
2	36122006	38132711	862	16	-0.0000621635	0.000000215274
2	38132712	39031336	300	16	0.0001916116	0.000000125385
2	39031337	40281482	280	16	0.0002456046	0.000000115228
2	40281483	43309589	1201	16	0.0006610519	0.000000255949
2	43309590	44313802	259	16	0.0001038041	0.000000104720
2	44313803	46482633	995	16	-0.0000441179	0.000000216289
2	46482634	47318771	371	16	0.0000400593	0.000000154372
2	47318772	48213000	274	16	0.0000118815	0.000000108759
2	48213001	50022256	662	16	0.0000278122	0.000000220335
2	50022257	50818927	322	16	0.0001373933	0.000000118392
2	50818928	52491132	625	16	0.0002348029	0.000000231976
2	52491133	53508451	451	16	0.0001684681	0.000000165711
2	53508452	54685225	397	16	0.0004676726	0.000000172318
2	54685226	56203344	540	16	0.0005510762	0.000000235076
2	56203345	57429099	413	16	0.0003117183	0.000000165431
2	57429100	58297314	266	16	0.0002740622	0.000000105130
2	58297315	60291999	713	16	0.0001241978	0.000000225756
2	60292000	62429043	527	16	0.0000551595	0.000000206247
2	62429044	64625912	538	16	0.0001097772	0.000000197745
2	64625913	65933443	430	16	0.0002479234	0.000000164620
2	65933444	67226165	534	16	0.0001530751	0.000000184004
2	67226166	68010175	401	16	0.0000353447	0.000000134972
2	68010176	69139563	433	16	0.0004501539	0.000000166311
2	69139564	70755197	471	16	0.0001481349	0.000000154908
2	70755198	73174847	708	16	0.0000798615	0.000000223262
2	73174848	75630085	625	16	0.0000726658	0.000000221874
2	75630086	76913660	491	16	-0.0000054159	0.000000170886
2	76913661	78079263	379	16	0.0001835948	0.000000152778
2	78079264	80050402	794	16	0.0002649451	0.000000233671
2	80050403	81620840	559	16	0.0000455574	0.000000211053
2	81620841	85140679	853	16	0.0000709371	0.000000186500
2	85140680	88038506	524	16	0.0003421901	0.000000180074
2	88038507	89154525	219	16	0.0002651573	0.000000080499
2	89154526	95326451	0	0	-0.0004577420	-0.000000000000
2	95326452	98995200	358	16	0.0000985006	0.000000111835
2	98995201	101822328	808	16	0.0000750138	0.000000222989
2	101822329	102688764	232	16	0.0003974770	0.000000087013
2	102688765	103588214	354	16	0.0001276860	0.000000092701
2	103588215	105125033	297	16	0.0001493624	0.000000097761
2	105125034	106210057	392	16	0.0000871742	0.000000133367
2	106210058	107408266	428	16	-0.0001299078	0.000000124840
2	107408267	108429176	340	16	0.0001581838	0.000000096537
2	108429177	110572431	490	16	0.0000254536	0.000000150338
2	110572432	113921855	685	16	0.0000459277	0.000000214000
2	113921856	116772469	727	16	0.0002785715	0.000000234438
2	116772470	118367465	391	16	0.0001965127	0.000000110753
2	118367466	121303782	917	16	0.0002578002	0.000000233269
2	121303783	123302905	548	16	0.0002250696	0.000000193244
2	123302906	124732249	419	16	0.0000758917	0.000000113644
2	124732250	125840920	372	16	0.0002220220	0.000000124432
2	125840921	127373763	401	16	0.0003065657	0.000000115145
2	127373764	128034346	257	16	0.0000514679	0.000000085902
2	128034347	129474440	371	16	0.0001866104	0.000000122457
2	129474441	130067169	214	16	0.0000586383	0.000000061152
2	130067170	130658084	198	16	0.0000771209	0.000000063416
2	130658085	133042783	198	16	0.0001580123	0.000000073716
2	133042784	135158577	883	16	-0.0000190880	0.000000217697
2	135158578	137042793	392	16	0.0000740594	0.000000109160
2	137042794	138698116	571	16	0.0000562157	0.000000186624
2	138698117	140100270	416	16	-0.0000186151	0.000000097902
2	140100271	141805350	536	16	-0.0000592578	0.000000173990
2	141805351	142518601	294	16	0.0002844962	0.000000113482
2	142518602	144519483	625	16	0.0001060505	0.000000201859
2	144519484	146445569	421	16	0.0000726115	0.000000136602
2	146445570	147277161	144	15	0.0000869011	0.000000048007
2	147277162	150210291	640	16	0.0001634809	0.000000187895
2	150210292	151731461	457	16	0.0004322351	0.000000164854
2	151731462	152486781	253	16	0.0001699096	0.000000081909
2	152486782	154005055	439	16	0.0002999913	0.000000156097
2	154005056	155391134	471	16	0.0002964417	0.000000170099
2	155391135	157560634	538	16	0.0002939618	0.000000182036
2	157560635	158533217	156	16	-0.0000276848	0.000000054714
